NAAM,AFKORTING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,STATUS,EVENEMENT,GROOTTE,BEHEERDER,KMLINT,KMLINT_OMSCHRIJVING,LATITUDE,LONGITUDE,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NR,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,X,Y,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,PUIC,ID
Nijverdal,Nvd,206,,206,206__,Zwolle - Wierden,31.127718,"31,127718",Gerealiseerd/vastgesteld,N,klein,ProRail,Zl-Wdn,Zwolle - Wierden ,52.3663513444865,6.46295419919501,Noord-Oost,NO,32,Twente,BASIS,Twente,228267.561,487040.42,BASIS,Noord-Oost,NO,83beecf2-6c77-4f5f-a050-6d3f68d6f6a4,1
Enschede De Eschmarke,Ese,028,,28,028__,Hengelo - Enschede Grens,57.79,"57,790000",Gerealiseerd/vastgesteld,N,klein,ProRail,Zp-Esg,Zutphen - Enschede Grens ,52.2211447144987,6.95201325216597,Noord-Oost,NO,32,Twente,BASIS,Twente,261922.323,471493.991,BASIS,Noord-Oost,NO,0d8cd232-f446-4b65-900e-78299f24c068,2
Bad Nieuweschans,Nsch,005,,5,005__,Zuidbroek - Nieuweschans Grens,126.864,"126,864000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlg-Nscg,Harlingen - Nieuweschans Grens ,53.1845413288547,7.19984427898406,Noord-Oost,NO,35,Drenthe,BASIS,Drenthe,276165.717,579065.546,BASIS,Noord-Oost,NO,8c64087f-f7e6-4cc0-b85b-990ca51a8482,3
Deurne,Dn,055,,55,055__,Blerick - Eindhoven,29.213,"29,213000",Gerealiseerd/vastgesteld,N,klein,ProRail,Vl-Ehv,Venlo - Eindhoven ,51.4559280951767,5.78901633988806,Zuid,Z,24,Eindhoven,BASIS,De Peel,182927.619,385282.547,BASIS,Zuid,Z,a475aee5-9564-460e-95c6-0f1b1770811d,4
Leeuwarden Camminghaburen,Lwc,002,,2,002__,Leeuwarden - Groningen,29.623,"29,623000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlg-Nscg,Harlingen - Nieuweschans Grens ,53.2020588367359,5.8421003783218,Noord-Oost,NO,37,Groningen,BASIS,Wadden,185397.14,579586.585,BASIS,Noord-Oost,NO,718a0fa9-2e5e-40be-96d9-70b0c6c6711b,5
Den Helder Zuid,Hdrz,073,,73,073__,Den Helder - Heerhugowaard,3.314,"3,314000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hdr-Zd,Den Helder - Zaandam ,52.9330394683622,4.76393376231265,Randstad Noord,RN,6,Heerhugowaard,BASIS,Hollands Noorderkwartier,113092.688,549733.674,BASIS,Randstad Noord,RN,78994275-e383-4f54-931f-42ca8789f3c6,6
Driebergen - Zeist,Db,035,,35,035__,Lunetten - De Haar Aansl.,46.489,"46,489000",Gerealiseerd/vastgesteld,N,klein,ProRail,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,52.0652728891922,5.25948819776539,Randstad Noord,RN,15,Driebergen,BASIS,Neerlands Midden,146242.332,453005.517,BASIS,Randstad Noord,RN,7a0e3354-9021-4627-abca-fd16fa76313b,7
Barneveld Noord,Bnn,612,a,612,612_a,Barneveld Noord,12.1,"12,100000",Gerealiseerd/vastgesteld,N,klein,ProRail,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,52.1612786374322,5.59810235759335,Noord-Oost,NO,29,Gelderse Vallei,BASIS,Veluwe,169430.7,463700.4,BASIS,Noord-Oost,NO,77c3b0b9-39ce-48e6-a8a0-e6b989fc52d7,9
Vleuten,Vtn,100,,100,100__,Utrecht Centraal - Harmelen Aansl.,7.3,"7,300000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,52.102949622153,5.00786742161439,Randstad Noord,RN,14,Woerden,BASIS,Neerlands Midden,129010.168,457257.569,BASIS,Randstad Noord,RN,e7d500d8-ab53-4bd1-b431-c0302119fa69,10
Purmerend Overwhere,Pmo,079,,79,079__,Zaandam - Hoorn,14.597,"14,597000",Gerealiseerd/vastgesteld,N,klein,ProRail,Zd-Ekz,Zaandam - Enkhuizen ,52.5115786708896,4.96850900005982,Randstad Noord,RN,6,Heerhugowaard,BASIS,Hollands Noorderkwartier,126576.119,502737.375,BASIS,Randstad Noord,RN,4de4a2d3-f2d3-453f-aaf3-0bf4bf1ba9e9,12
Landgraaf,Lg,661,b,661,661_b,Landgraaf,21.748,"21,748000",Gerealiseerd/vastgesteld,N,klein,ProRail,Std-Hz,Sittard - Herzogenrath (D) ,50.8964753380798,6.01939878158366,Zuid,Z,26,Maastricht,BASIS,Limburg,199478.656,323158.596,BASIS,Zuid,Z,8837bb96-4b1c-4fd7-b2b9-b707a271013b,13
Ravenstein,Rvs,047,,47,047__,s Hertogenbosch - Nijmegen,49.44,"49,440000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ht-Nm,s-Hertogenbosch - Nijmegen ,51.794197872141,5.63590969188874,Zuid,Z,21,Den Bosch,BASIS,Betuwe,172157.569,422868.333,BASIS,Zuid,Z,a1665ec0-b162-401c-8c9d-c4d8cc99f8cc,14
Wijhe,Wh,018,,18,018__,Deventer - Zwolle,59.605,"59,605000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ah-Zl,Arnhem - Zwolle ,52.3905013406045,6.14066707914305,Noord-Oost,NO,31,IJsselstreek,BASIS,Veluwe,206289.834,489450.213,BASIS,Noord-Oost,NO,98b16c44-6b04-476b-b39b-28d35bcdd08b,16
Heemstede - Aerdenhout,Had,085,,85,085__,Haarlem - Warmond,21.174,"21,174000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,52.3593270291928,4.60669109171854,Randstad Noord,RN,8,Haarlem,BASIS,Kennemerland,101831.46,486001.005,BASIS,Randstad Noord,RN,ca78ee0a-8d07-4e5b-89bc-ee785a9dda18,17
Klimmen - Ransdaal,Kmr,067,,67,067__,Heerlen - Schin op Geul,5.979,"5,979000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hrl-Sog,Heerlen - Schin op Geul ,50.8664557370754,5.89058418979036,Zuid,Z,26,Maastricht,BASIS,Limburg,190438.945,319748.637,BASIS,Zuid,Z,d543ff32-bc90-4d20-ba66-81b739b002b5,18
Leiden Centraal,Ledn,534,b,534,534_b,Leiden Centraal,45.634,"45,634000",Gerealiseerd/vastgesteld,N,groot,ProRail,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,52.166134092915,4.48178688854767,Randstad Zuid,RZ,1,Leiden,BASIS,Rijn en Gouwe,93054.891,464606.016,BASIS,Randstad Zuid,RZ,967f79bf-9b6c-4f0d-a314-e414359d99d1,21
Houten Castellum,Htnc,117,,117,117__,Lunetten - Geldermalsen,9.4,"9,400000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ut-Btl,Utrecht Centraal - Boxtel ,52.0172604129675,5.17927809260327,Randstad Noord,RN,15,Driebergen,BASIS,Neerlands Midden,140726.891,447676.447,BASIS,Randstad Noord,RN,7d062e96-4194-4d8e-96b2-476135acad3f,22
Hilversum Media Park,Hvsm,087,,87,087__,Weesp Aansl. - Hilversum,26.965,"26,965000",Gerealiseerd/vastgesteld,N,klein,ProRail,Asd-Zp,Amsterdam Centraal - Zutphen ,52.2380654075933,5.17389489406328,Randstad Noord,RN,12,Amersfoort,BASIS,Eemland,140429.515,472244.18,BASIS,Randstad Noord,RN,3eb738dd-0e94-4907-bf77-16f0ac3d1629,23
Stedum,Stm,201,,201,201__,Sauwerd - Delfzijl,21.853,"21,853000",Gerealiseerd/vastgesteld,N,klein,ProRail,Gn-Dz,Groningen - Delfzijl ,53.3265950925188,6.68857969028133,Noord-Oost,NO,37,Groningen,BASIS,Wadden,241707.67,594134.415,BASIS,Noord-Oost,NO,eb48df08-f7ae-4529-b9fb-701d99fda79a,24
Eygelshoven Markt,Eghm,066,a,66,066_a,Landgraaf - Haanrade Grens,24.48,"24,480000",Gerealiseerd/vastgesteld,N,klein,ProRail,Std-Hz,Sittard - Herzogenrath (D) ,50.8960633439467,6.05744403059273,Zuid,Z,26,Maastricht,BASIS,Limburg,202155.714,323136.589,BASIS,Zuid,Z,2fb44dfa-1568-4c61-ae23-78aab6f8ca08,25
Sliedrecht,Sdt,118,,118,118__,Geldermalsen - Dordrecht,83.8,"83,800000",Gerealiseerd/vastgesteld,N,klein,ProRail,Gdm-Ddr,Geldermalsen - Dordrecht ,51.8295819592473,4.7783171257375,Randstad Zuid,RZ,5,Dordrecht,BASIS,Dordrecht,113028.119,426951.243,BASIS,Randstad Zuid,RZ,a95e0a4f-87a9-4dfd-b11d-feb6e38339e5,26
Ermelo,Eml,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,44.635,"44,635000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,52.3011299227528,5.6144247042949,Noord-Oost,NO,29,Gelderse Vallei,BASIS,Veluwe,170498.76,479263.835,BASIS,Noord-Oost,NO,247368ad-c5ff-4db2-9ebe-e79497b4d8f4,27
Koog aan de Zaan,Kz,078,,78,078__,Uitgeest - Zaandam,68.855,"68,855000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hdr-Zd,Den Helder - Zaandam ,52.4586927333278,4.80564860221249,Randstad Noord,RN,7,Alkmaar,BASIS,Hollands Noorderkwartier,115472.948,496929.39,BASIS,Randstad Noord,RN,097981c2-4c55-4ace-a436-361570a1535b,28
Rilland - Bath,Rb,127,a,127,127_a,Roosendaal - Vlissingen,28.181,"28,181000",Gerealiseerd/vastgesteld,N,klein,ProRail,Rsd-Vs,Roosendaal - Vlissingen ,51.4225606615862,4.16002225048684,Zuid,Z,18,Goes,BASIS,Zeeland,69646.655,382211.427,BASIS,Zuid,Z,2cf55fcb-a19a-4895-bb3a-f65e6d93ea0d,29
Duiven,Dvn,038,,38,038__,Velperbroek Aansl. - Zevenaar,101.301,"101,301000",Gerealiseerd/vastgesteld,N,klein,ProRail,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,51.9434009852965,6.01455052803918,Noord-Oost,NO,30,Achterhoek,BASIS,Gelre,198135.238,439624.962,BASIS,Noord-Oost,NO,2a1782b2-a340-466e-9300-0546946f5cc9,30
Franeker,Fn,001,a,1,001_a,Harlingen Haven - Leeuwarden,9.62135,"9,621350",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlg-Nscg,Harlingen - Nieuweschans Grens ,53.1823881304165,5.54960945298725,Noord-Oost,NO,36,Friesland,BASIS,Wadden,165857.112,577313.676,BASIS,Noord-Oost,NO,b151c3cb-b04a-4792-9770-77a00d05d10c,32
Arnhem Zuid,Ahz,041,,41,041__,Arnhem - Elst,4.56,"4,560000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ah-Vl,Arnhem - Venlo ,51.9547350718061,5.85192277140832,Noord-Oost,NO,28,Maas en Waal,BASIS,Gelre,186945.32,440801.88,BASIS,Noord-Oost,NO,9888e212-a29b-4786-a2bb-3712d3b3488b,33
Dronryp,Drp,001,a,1,001_a,Harlingen Haven - Leeuwarden,15.562,"15,562000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlg-Nscg,Harlingen - Nieuweschans Grens ,53.1777941622024,5.63539213404728,Noord-Oost,NO,36,Friesland,BASIS,Wadden,171593.715,576818.775,BASIS,Noord-Oost,NO,e5df4177-7991-4402-a1ea-ec902a3cf53d,36
Hollandsche Rading,Hor,095,,95,095__,Hilversum - Blauwkapel,5.534,"5,534000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hvs-Utm,Hilversum - Utrecht Maliebaan ,52.1779981576418,5.17926117331742,Randstad Noord,RN,12,Amersfoort,BASIS,Eemland,140776.923,465559.97,BASIS,Randstad Noord,RN,467feb54-de64-4a31-801a-740d8e138598,38
Obdam,Obd,216,,216,216__,Heerhugowaard - Hoorn,12.7,"12,700000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hwd-Hn,Heerhugowaard - Hoorn ,52.6782513811303,4.90729892528139,Randstad Noord,RN,6,Heerhugowaard,BASIS,Hollands Noorderkwartier,122543.8,521308.6,BASIS,Randstad Noord,RN,f646ab9f-8863-4ffc-a9ac-f34d1b88e6e5,39
Twello,Twl,023,,23,023__,Apeldoorn - Deventer,9.7,"9,700000",Gerealiseerd/vastgesteld,N,klein,ProRail,Apd-Dv,Apeldoorn - Deventer ,52.2380572095497,6.09987915913656,Noord-Oost,NO,31,IJsselstreek,BASIS,Veluwe,203680.2,472461.2,BASIS,Noord-Oost,NO,6744770a-9730-4237-be4d-f7aa5843ed6b,40
Apeldoorn Osseveld,Apdo,023,,23,023__,Apeldoorn - Deventer,2.7,"2,700000",Gerealiseerd/vastgesteld,N,klein,ProRail,Apd-Dv,Apeldoorn - Deventer ,52.2155675951086,6.00559948932071,Noord-Oost,NO,31,IJsselstreek,BASIS,Veluwe,197261.767,469899.909,BASIS,Noord-Oost,NO,abaa97da-5b3f-45cd-8f27-1404e1b580e1,43
Buitenpost,Bp,002,,2,002__,Leeuwarden - Groningen,50.987,"50,987000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlg-Nscg,Harlingen - Nieuweschans Grens ,53.2563925216923,6.14522302953468,Noord-Oost,NO,37,Groningen,BASIS,Wadden,205588.52,585803.718,BASIS,Noord-Oost,NO,72069d8f-a87b-4f88-b9e2-4941c2234405,44
Breda - Prinsenbeek,Bdpb,121,a,121,121_a,Breda - Lage Zwaluwe,4.737,"4,737000",Gerealiseerd/vastgesteld,N,klein,ProRail,Bd-Rtd,Breda - Rotterdam Centraal ,51.606013162971,4.72122037762883,Zuid,Z,20,Breda,BASIS,Brabant,108864.805,402113.6,BASIS,Zuid,Z,1ca80b06-1f3e-4ce4-a296-328007aa4fb7,45
Wehl,Wl,212,,212,212__,Winterswijk - Zevenaar,39.327,"39,327000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ww-Zv,Winterswijk-Zevenaar ,51.95688984205,6.21277834955742,Noord-Oost,NO,30,Achterhoek,BASIS,Gelre,211747.59,441261.927,BASIS,Noord-Oost,NO,ceae2525-9dc5-4933-815e-e8a1a0abde45,46
Gramsbergen,Gbg,203,,203,203__,Mariënberg - Emmen,47.782418,"47,782418",Gerealiseerd/vastgesteld,N,klein,ProRail,Hea-Emn,Herfte Aansl. - Emmen ,52.6091620582533,6.67587634354074,Noord-Oost,NO,34,Overijssel,BASIS,Drenthe,242287.353,514291.059,BASIS,Noord-Oost,NO,93d4b26c-a8d7-4b51-9bfd-1bd851cf7344,48
Oss,O,047,,47,047__,s Hertogenbosch - Nijmegen,41.27,"41,270000",Gerealiseerd/vastgesteld,N,klein,ProRail,Ht-Nm,s-Hertogenbosch - Nijmegen ,51.7653287848203,5.53151880542122,Zuid,Z,21,Den Bosch,BASIS,Betuwe,164962.35,419637.05,BASIS,Zuid,Z,7e4c659c-8c97-4e10-9dd9-951d8bfc3f68,49
Heemskerk,Hk,076,,76,076__,Santpoort Noord - Uitgeest,14.415,"14,415000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlm-Utg,Haarlem - Uitgeest ,52.4948470299299,4.68639013357528,Randstad Noord,RN,7,Alkmaar,BASIS,Hollands Noorderkwartier,107406.313,501023.811,BASIS,Randstad Noord,RN,7b958ac1-b2ea-4e4f-93bc-62225e829fe2,50
Santpoort Zuid,Sptz,082,,82,082__,Haarlem - Santpoort Noord,4.4,"4,400000",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlm-Utg,Haarlem - Uitgeest ,52.4203339370445,4.63132817496924,Randstad Noord,RN,7,Alkmaar,BASIS,Hollands Noorderkwartier,103580.508,492770.906,BASIS,Randstad Noord,RN,2a0904c5-79f1-436a-9a44-807de84f0b51,51
Martenshoek,Mth,004,,4,004__,Waterhuizen Aansl. - Zuidbroek,93.632323,"93,632323",Gerealiseerd/vastgesteld,N,klein,ProRail,Hlg-Nscg,Harlingen - Nieuweschans Grens ,53.1608023836352,6.74066895398401,Noord-Oost,NO,35,Drenthe,BASIS,Drenthe,245524.763,575749.516,BASIS,Noord-Oost,NO,f553201d-24a1-45c2-8f8e-1ae20788781d,55
