ID,VERSIE,OBJECTTYPE,OBJECTCODE,NIVEAU,LENGTE,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,KMLINT,KMLINT_OMSCHRIJVING,GELDIG_VANAF,PUBLICATIEDATUM,SE_ANNO_CAD_DATA,Shape__Length
1,,,,,4721.611,781,a,781,781_a,Aachen (D) - Herzogenrath (D),14.09,"14,090",18.812,"18,812",A-Hz,Aachen (D) - Herzogenrath (D) ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
2,,,,,801.06,820,,820,820__,Almelo Dollegoor,200,"200,000",200.8,"200,800",Aml-Amldol,Almelo - Almelo Dollegoor ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
3,,,,,2773.099,857,a,857,857_a,Almelo Gem. Stamlijn,0,"0,000",2.737,"2,737",Aml-Amlbp,Almelo - Almelo Racc. Bedrijvenpark N.W. Twente  ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
4,,,,,13836.246,025,,25,025__,Almelo - Hengelo,1.1,"1,100",14.9,"14,900",Aml-Hgl,Almelo - Hengelo ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
5,,,,,100.501,543,a,543,543_a,Hengelo,14.9,"14,900",15,"15,000",Aml-Hgl,Almelo - Hengelo ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
6,,,,,1098.816,606,a,606,606_a,Almelo,0,"0,000",1.1,"1,100",Aml-Hgl,Almelo - Hengelo ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
7,,,,,499.427,857,b,857,857_b,Almelo Gem. Stamlijn,100,"100,000",100.5,"100,500",Amlbp-Amlbps,Almelo Racc. Bedrijvenpark N.W. Twente Singel ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
8,,,,,1207.657,837,,837,837__,Alphen a/d Rijn Industrieterrein Rijnhaven,300,"300,000",301.208,"301,208",Apn-Apnir,Alphen a/d Rijn - Alphen a/d Rijn Industrieterrein Rijnhaven ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
9,,,,,1262.927,900,,900,900__,Amersfoort Hoofdwerkplaats,200.256,"200,256",201.5,"201,500",Amf-Amfwph,Amersfoort - Amersfoort Hoofdwerkplaats ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
10,,,,,58831.947,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,24,"24,000",82.8,"82,800",Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
11,,,,,499.912,505,a,505,505_a,Amersfoort Aansl.,23.5,"23,500",24,"24,000",Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
12,,,,,1603.77,604,b,604,604_b,Hattemerbroek,82.8,"82,800",84.4,"84,400",Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
13,,,,,1217.995,940,,940,940__,Amersfoort Bokkeduinen,42.672,"42,672",43.8,"43,800",Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
14,,,,,22625.917,035,,35,035__,Lunetten - De Haar Aansl.,38.2,"38,200",60.8,"60,800",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
15,,,,,13514.549,036,,36,036__,Ede=Wageningen - Arnhem,76.4,"76,400",89.9,"89,900",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
16,,,,,1200.897,037,,37,037__,Arnhem - Velperbroek Aansl.,92.3,"92,300",93.5,"93,500",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
17,,,,,9908.601,038,,38,038__,Velperbroek Aansl. - Zevenaar,95.1,"95,100",105,"105,000",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
18,,,,,3830.092,039,,39,039__,Zevenaar - Zevenaar Grens,107.2,"107,200",111.03,"111,030",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
19,,,,,12199.466,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,6,"6,000",18.2,"18,200",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
20,,,,,2338.554,096,a,96,096_a,Amsterdam Muiderpoort - Duivendrecht,1.458,"1,458",3.8,"3,800",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
21,,,,,3110.12,097,,97,097__,Nieuwersluis=Loenen - Breukelen,19.4,"19,400",22.5,"22,500",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
22,,,,,9507.986,098,,98,098__,Breukelen - Utrecht Centraal,23.4,"23,400",32.9,"32,900",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
23,,,,,13208.468,108,,108,108__,De Haar Aansl. - Ede=Wageningen,61.7,"61,700",74.9,"74,900",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
24,,,,,1602.604,507,b,507,507_b,Velperbroek Aansl.,93.5,"93,500",95.1,"95,100",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
25,,,,,2403.678,508,,508,508__,Arnhem,89.9,"89,900",92.3,"92,300",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
26,,,,,901.627,529,,529,529__,Breukelen,22.5,"22,500",23.4,"23,400",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
27,,,,,4303.453,531,c,531,531_c,Utrecht Centraal,32.9,"32,900",37.2,"37,200",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
28,,,,,799.361,535,a,535,535_a,Amsterdam Bijlmer Arena,5.2,"5,200",6,"6,000",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
29,,,,,995.839,547,c,547,547_c,Lunetten Aansl.,37.2,"37,200",38.2,"38,200",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
30,,,,,900.282,562,b,562,562_b,De Haar Aansl.,60.8,"60,800",61.7,"61,700",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
31,,,,,1401.835,589,b,589,589_b,Duivendrecht,3.8,"3,800",5.2,"5,200",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
32,,,,,2201.896,611,b,611,611_b,Zevenaar,105,"105,000",107.2,"107,200",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
33,,,,,1501.459,613,,613,613__,Ede=Wageningen,74.9,"74,900",76.4,"76,400",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
34,,,,,1203.718,621,,621,621__,Nieuwersluis=Loenen,18.2,"18,200",19.4,"19,400",Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
35,,,,,12895.977,020,,20,020__,Amersfoort Aansl. - Barneveld Noord,47.4,"47,400",60.3,"60,300",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
36,,,,,25729.129,021,,21,021__,Barneveld Noord - Apeldoorn,61.3,"61,300",87,"87,000",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
37,,,,,2199.806,050,,50,050__,Amsterdam Muiderpoort - Diemen,4.2,"4,200",6.4,"6,400",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
38,,,,,11338.308,087,,87,087__,Weesp Aansl. - Hilversum,16.4,"16,400",27.8,"27,800",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
39,,,,,5817.802,088,,88,088__,Hilversum - Baarn,29.2,"29,200",35,"35,000",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
40,,,,,1099.617,089,,89,089__,Amersfoort - Amersfoort Aansl.,45.5,"45,500",46.6,"46,600",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
41,,,,,5220.952,092,,92,092__,Baarn - Amersfoort,37.4,"37,400",42.6,"42,600",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
42,,,,,3824.308,128,,128,128__,Diemen Aansl. - Weesp Aansl.,9.8,"9,800",13.6,"13,600",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
43,,,,,15355.664,208,,208,208__,Apeldoorn - Zutphen,89.2,"89,200",104.55,"104,550",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
44,,,,,789.032,505,b,505,505_b,Amersfoort Aansl.,46.6,"46,600",47.4,"47,400",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
45,,,,,3009.311,506,b,506,506_b,Amersfoort,42.6,"42,600",45.5,"45,500",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
46,,,,,2406.416,509,a,509,509_a,Baarn,35,"35,000",37.4,"37,400",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
47,,,,,990.266,526,a,526,526_a,Amsterdam Muiderpoort,3.2,"3,200",4.2,"4,200",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
48,,,,,1404.705,528,b,528,528_b,Hilversum,27.8,"27,800",29.2,"29,200",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
49,,,,,2779.744,541,b,541,541_b,Weesp Aansl.,13.6,"13,600",16.4,"16,400",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
50,,,,,1693.409,585,,585,585__,Diemen Aansl.,8.1,"8,100",9.8,"9,800",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
51,,,,,1699.581,587,a,587,587_a,Diemen,6.4,"6,400",8.1,"8,100",Asd-Zp,Amsterdam Centraal - Zutphen ,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,0
