zk_volgnr;subsidiejaar;subsidieregeling;naam_activiteit_of_projectnaam;resultaat;voorlopig_bedrag;definitief_bedrag;aanvrager;kvk
1.246.598;2017;Amateurkunst en Cultuur;MusicalMeesters;Verleend;5.077;;Stichting Culturele Staten;56.895.992
1.248.287;2017;Amateurkunst en Cultuur;Babel - Plan(nen) voor de Stad!;Verleend en Vastgesteld conform;;13.598;Stichting Babel;34.187.379
1.242.413;2017;Amateurkunst en Cultuur;Geplande culturele activiteiten;Verleend en Vastgesteld conform;;20.678;Stichting Theatermijn;56.569.157
1.255.269;2017;Amateurkunst en Cultuur;Geplande culturele activiteiten;Verleend en Vastgesteld conform;;6.769;Stichting Tengel;41.232.182
1.657.738;2017;Amateurkunst en Cultuur;Jubileumconcert COV, Christelijke Oratoriumver. Zaanstreek;Verleend en Vastgesteld conform;;6.666;COV Zaanstreek;40.617.193
1.236.565;2017;Amateurkunst en Cultuur;Stichting t Lab, Jazz Inverdan;Verleend en Vastgesteld conform;;6.006;Stichting t Lab;41.231.975
1.447.589;2017;Amateurkunst en Cultuur;WAK/IkToon 2017;Verleend en Vastgesteld conform;;10.000;St. FluXus;34.130.291
1.250.683;2017;Amateurkunst en Cultuur; jaarlijkse subsidie;Verstrekt;;1.490;IGK Revival;40.617.903
1.238.207;2017;Amateurkunst en Cultuur; jaarsubsidie;Verstrekt;;3.000;Het Zaans Showorkest;2.619.180
1.234.844;2017;Amateurkunst en Cultuur;Activiteiten van de Krommenieer Schilderskring;Verstrekt;;2.000;Krommenieer Schilderskring KSK80;40.617.609
1.229.240;2017;Amateurkunst en Cultuur;activiteiten Zangkoor 't Zingt Geheid;Verstrekt;;1.418;'t Zingt Geheid;34.187.470
1.240.157;2017;Amateurkunst en Cultuur;Amateurkunst en cultuur;Verstrekt;;677;Muziekvereniging Onderling Genoegen / Koor GO;406.172.507
1.284.462;2017;Amateurkunst en Cultuur;aprilconcert;Verstrekt;;244;Kamerkoor Krommenie;40.618.029
1.545.390;2017;Amateurkunst en Cultuur;Close Call;Verstrekt;;2.907;Stichting Goed Bezig!;62.415.174
1.232.012;2017;Amateurkunst en Cultuur;concertreeks ;Verstrekt;;2.176;Stichting Roots aan de Zaan;57.438.935
