MAST_NUMMER,ARMATUURTYPE_1,ARMATUURTYPE_2,ARMPLAATSINGSDATUM,LAMPPLAATSINGSDATUM,LAMPTYPENAAM
00 143355,Urbanstar BDS100DRW 12-3S LED,,20130701000000,20130701000000,LED 11W 3000K 1200lm
000 43490,Urbanstar BDS100DRW 18-3S LED,,20210512000000,20210512000000,LED 16W 3000K 1800lm
001 43313,2500 1xPLL24 E,,19940101000000,20180928000000,310024 PL-L 24W/830 4P MASTER
001 43314,ALTRA-2 1x PLL24 E,,20071010000000,20181127000000,310024 PL-L 24W/830 4P MASTER
001 43315,Evolo-2 CPO 60W dim,,20130412000000,20200330000000,260060 CPO-TW 060W/728 MASTER
001 43316,LW-SRDS2 2000 LM 16A 730 DAME CC,,20191001000000,20191001000000,LED 16W 3000K 2000lm
001 43317,2400 1xPLL 24 E Padvinder,,20030701000000,20190111000000,310024 PL-L 24W/830 4P MASTER
001 43318,2500 1xPLL24 E,,20030901000000,20181001000000,310024 PL-L 24W/830 4P MASTER
001 43321,2500 1xPLL24 E,,20031101000000,20181031000000,310024 PL-L 24W/830 4P MASTER
001 43322,BDP102 GRN20 / 830 DRW PCC SI CLO D9 SRG10,,20200801000000,20200801000000,LED 16W 3000K 2000lm
001 43323,BDP102 GRN12 / 830 DRW PCC SI CLO D9 SRG10,,20200901000000,20200901000000,LED 11W 3000K 1200lm
001 43324,2500 1xPLL24 E,,20051101000000,20181105000000,310024 PL-L 24W/830 4P MASTER
001 43325,ALTRA-2 1x PLL24 E,,20080415000000,20181128000000,310024 PL-L 24W/830 4P MASTER
001 43326,2010 1xPLL 24 E,,20051001000000,20181008000000,310024 PL-L 24W/830 4P MASTER
001 43327,Urbanstar BDS100DRW 18-3S LED,,20130701000000,20130701000000,LED 16W 3000K 1800lm
001 43329,2500 1xPLL24 E,,20060201000000,20181030000000,310024 PL-L 24W/830 4P MASTER
001 43330,LW-SRDS2 2000 LM 16A 730 DAME CC,,20200801000000,20200801000000,LED 16W 3000K 2000lm
