GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,FYSIEK_VOORKOMEN,OPPERVLAKTE,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,PUIC,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE,ID,Shape__Area,Shape__Length
128,,128,128__,Diemen Aansl. - Weesp Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,13.100628,"13,100628",Randstad Noord,RN,gesloten verharding,11.361212,131597.953686,480509.679,52.3120483614978,5.04403192586914,Prorail,L0004,bestaand,,283,be4a183841674c7da74d2e7b61998699,0,gerealiseerd,2021/01/22 19:03:08+00,120149,0,0
128,,128,128__,Diemen Aansl. - Weesp Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,13.1,"13,100000",Randstad Noord,RN,gesloten verharding,11.468576,131616.913499,480530.804,52.312239029394,5.04430848662749,Prorail,L0004,bestaand,,283,5f227a4fc6a8450b97421cdb40245061,0,gerealiseerd,2021/01/22 19:02:45+00,120167,0,0
,,,,,,,,,,,gesloten verharding: cementbeton,32.246579,143458.742695,487485.0405,52.3751165873444,5.21772073517805,Almere,G0034,bestaand,,283,ae18d7cd201d423faeba4d9447ec9741,0,gerealiseerd,2018/10/23 15:32:00+00,133302,0,0
,,,,,,,,,,,gesloten verharding: cementbeton,32.235232,143463.143083,487467.06,52.3749550795382,5.21778597155693,Almere,G0034,bestaand,,283,dfa77817ffa04b3cb69371b0a319c6e0,0,gerealiseerd,2018/10/23 15:31:57+00,137562,0,0
,,,,,,,,,,,gesloten verharding,32.837086,117539.2905,488989.267453,52.3874790284732,4.83693634381517,Prorail,L0004,bestaand,,283,446013d398a9418ca50f32e013e96d7b,1,gerealiseerd,2022/12/01 10:06:47+00,156769,0,0
078,,78,078__,Uitgeest - Zaandam,Hdr-Zd,Den Helder - Zaandam ,62.447507,"62,447507",Randstad Noord,RN,gesloten verharding,10.015308,112053.970513,501008.1995,52.4950912717275,4.75482444665789,Prorail,L0004,bestaand,,283,b851451eb9ab4a2eb2fa537d9f9baedc,0,gerealiseerd,2020/06/29 09:30:42+00,184815,0,0
144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,154.011338,"154,011338",Randstad Noord,RN,gesloten verharding,8.540208,121132.845876,483344.8945,52.3369848086453,4.89028924736166,Prorail,L0004,bestaand,,283,b8ef7803007927f4e0531529a8c0d55b,1,gerealiseerd,2021/01/22 18:59:27+00,264784,0,0
,,,,,,,,,,,gesloten verharding,10.676062,124277.925,481846.457027,52.3237024983574,4.93657056232238,Prorail,L0004,bestaand,,283,b8ef780300d427f4e0531529a8c0d55b,3,gerealiseerd,2021/10/21 07:55:17+00,264786,0,0
161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,20.614658,"20,614658",Randstad Noord,RN,gesloten verharding,87.24436,177660.006746,505268.1155,52.534591032468,5.72117001388969,Prorail,L0004,bestaand,,283,d4176d60106045b4ac95c8c8394e10c8,0,gerealiseerd,2020/09/11 14:57:14+00,275621,0,0
,,,,,,,,,,,gesloten verharding,7.409407,107997.421967,478532.343,52.2927675140229,4.69824263046132,Prorail,L0004,bestaand,,283,b512b7677a316024e0531529a8c0965b,1,gerealiseerd,2020/12/04 12:39:36+00,276425,0,0
,,,,,,,,,,,gesloten verharding,7.429504,108016.755529,478513.8525,52.2926029874067,4.69852857546099,Prorail,L0004,bestaand,,283,b512b7677a2d6024e0531529a8c0965b,1,gerealiseerd,2020/12/04 12:38:51+00,276496,0,0
096,a,96,096_a,Amsterdam Muiderpoort - Duivendrecht,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,1.469448,"1,469448",Randstad Noord,RN,gesloten verharding,18.375039,122989.2035,484371.677861,52.3463241265791,4.91742807136545,Prorail,L0004,bestaand,,283,13ddd81f74cc436a8ded526c5cd821b2,0,gerealiseerd,2021/02/01 17:53:38+00,276678,0,0
524,b,524,524_b,Zaandam,Hdr-Zd,Den Helder - Zaandam ,71.23027,"71,230270",Randstad Noord,RN,gesloten verharding,18.135389,116031.357,494643.640178,52.4381905867081,4.81413006852445,Prorail,L0004,bestaand,,283,5fcb4af4141046a099e7e5564b510328,0,gerealiseerd,2021/04/23 10:44:20+00,277139,0,0
,,,,,,,,,Randstad Noord,RN,gesloten verharding,26.734718,117602.046995,489136.801,52.3888092211749,4.83784171664393,Prorail,L0004,bestaand,,283,034d755a44f344258bc99603b5e16bec,0,gerealiseerd,2021/02/12 17:00:30+00,277307,0,0
,,,,,,,,,Randstad Noord,RN,gesloten verharding,34.336337,117617.732,489135.525275,52.3887988244793,4.83807225567205,Prorail,L0004,bestaand,,283,ba6db7545712395ce0531529a8c0318d,2,gerealiseerd,2022/12/01 10:07:10+00,277324,0,0
,,,,,,,,,,,gesloten verharding,20.456296,154095.3855,462903.754665,52.1543065353946,5.37398500837772,Prorail,L0004,bestaand,,283,65baf669df124102bbdc6022864201e9,1,gerealiseerd,2020/10/12 09:26:42+00,277525,0,0
506,b,506,506_b,Amersfoort,Asd-Zp,Amsterdam Centraal - Zutphen ,44.609992,"44,609992",Randstad Noord,RN,gesloten verharding,25.071128,154083.445448,462843.4675,52.1537646592003,5.37381069740598,Prorail,L0004,bestaand,,283,bdcc7c11318b46f6a7555f248d5a898d,0,gerealiseerd,2020/10/12 09:27:23+00,277798,0,0
506,b,506,506_b,Amersfoort,Asd-Zp,Amsterdam Centraal - Zutphen ,44.589698,"44,589698",Randstad Noord,RN,gesloten verharding,24.453115,154064.949438,462816.8605,52.1535254867402,5.37354050382997,Prorail,L0004,bestaand,,283,05f45cbba3ad44dabe838a4d0b15699c,0,gerealiseerd,2020/10/12 09:25:44+00,277984,0,0
506,b,506,506_b,Amersfoort,Asd-Zp,Amsterdam Centraal - Zutphen ,44.610493,"44,610493",Randstad Noord,RN,gesloten verharding,25.036996,154082.082447,462868.02,52.1539853330979,5.37379071556965,Prorail,L0004,bestaand,,283,2b6f8304f277452ba1d214b015f5a08e,0,gerealiseerd,2020/10/12 09:27:29+00,278614,0,0
514,a,514,514_a,Nijmegen,Ah-Vl,Arnhem - Venlo ,17.019848,"17,019848",Noord-Oost,NO,gesloten verharding,31.390807,187062.4725,428417.021258,51.8434127999353,5.85247324802305,Prorail,L0004,bestaand,,283,4b996918da554be19f339c31dcaa8f3e,0,gerealiseerd,2015/03/11 15:01:33+00,283266,0,0
514,a,514,514_a,Nijmegen,Ah-Vl,Arnhem - Venlo ,17.045673,"17,045673",Noord-Oost,NO,gesloten verharding,33.34009,187074.752,428386.186277,51.8431349454336,5.85264856959389,Prorail,L0004,bestaand,,283,f6472709f5f94e1490b9b0868c55b887,0,gerealiseerd,2015/03/11 15:01:29+00,283783,0,0
,,,,,,,,,,,gesloten verharding,8.291915,125920.377009,478919.4015,52.2974849726324,4.9609139273839,Prorail,L0004,bestaand,,283,ccb1b9b698914b258625d2529caab086,1,gerealiseerd,2022/01/04 19:51:45+00,299938,0,0
,,,,,,,,,,,gesloten verharding,7.890905,125888.753623,478901.9505,52.297326460115,4.96045186505035,Prorail,L0004,bestaand,,283,604d0de8357a4632a178471a4898abe5,1,gerealiseerd,2022/01/04 19:54:07+00,301738,0,0
