EntranceExitId,AreaManagerId,AreaId,StartDateEntranceOrExit,EndDateEntranceOrExit,Alias,PedestrianEntrance,PedestrianExit,VehicleEntrance,VehicleExit
1242,2452,14_MPGAR,20200723093139,,,0,0,1,1
137,687,687_KOU,20191112112338,,,0,0,1,1
63,599,599_STJP,20141001000000,,,1,1,0,0
1013,203,203_CPSTR,20200511150424,,Provincialeweg,0,0,1,1
1741,22,22_CPLEEK,20191018152011,,,0,0,0,0
2158,2463,TP3,20210519081222,,Voertuiguitgang rechts,0,0,0,1
2160,2463,TP3,20210519081133,,Voertuiguitgang links,0,0,0,1
1790,2199,119_PRSTW,20200519132613,,Leonard Springerlaan,0,0,0,0
66,599,599_VERA,20141001000000,,,1,1,0,0
2025,2463,772_HOEK,20210121100513,,In- / uitgang,0,0,0,0
45,599,599_OUHA,20141001000000,,,0,0,1,1
2161,2463,TP3,20210519080657,,Tourniquet rechts,1,1,0,0
2162,2463,TP3,20210519080834,,Tourniquet links,1,1,0,0
1777,2199,2199_BUND1,20200228110533,,Spoorstraat,0,0,0,0
1232,2451,14_MARTINI,20200723101310,,,1,1,1,1
2159,2463,TP3,20210519081036,,Voertuigingang rechts,0,0,1,0
270,141,141_HKEL,20170608135817,,,0,0,1,1
2,988,988_KROM,20141001000000,,,0,0,1,1
2157,2463,TP3,20210519080945,,Voertuigingang links,0,0,1,0
1015,203,203_PRTRA,20200511145239,,Baron van Nagellstraat,0,0,1,1
7,988,988_CENT,20141001000000,,,0,0,1,1
65,599,599_VERA,20141001000000,,,1,1,0,0
1789,2199,228_PRVEZU,20200519132051,,Rondweg De Klomp,0,0,0,0
1785,2199,2199_SUST2,20200228140650,,Stationsstraat,0,0,0,0
488,611,611_CPNWE,20191113095522,,,0,0,1,1
19,268,268_KELFKB,20141001000000,,,1,1,0,0
1442,153,010106,20170613091406,,Parkeergarage Hermandad,1,1,1,1
2050,14,PENRREITD,20210511105418,,Ingang P+R Reitdiep,0,0,1,1
56,599,599_COLW,20141001000000,,,1,1,0,0
1691,1586,1586_CPLIC,20191015145113,,,0,0,0,0
