FID,OBJECT,WOONPLAATS,STRAAT,STADSDEEL,BUURT,X_COORDINAAT,Y_COORDINAAT,BOOMSOORT,LATIJNSE_NAAM,KIEMJAAR,BOOMHOOGTE,EIGENAAR,MONUMENTAAL,LON,LAT,GEOMETRIE
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3cc,000149,Groningen,Sint Walburgstraat,Stadsdeel Centrum,Binnenstad-Noord,233877,582240.9,Hollandse linde,Tilia x europaea,1981,12-15m.,Gemeente Groningen,nee       ,6.56814994,53.22096123,POINT (233877.003 582240.844)
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3cd,000150,Groningen,Sint Walburgstraat,Stadsdeel Centrum,Binnenstad-Noord,233872.64,582247.1,Hollandse linde,Tilia x europaea,1981,12-15m.,Gemeente Groningen,nee       ,6.56808626,53.22101818,POINT (233872.646 582247.112)
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3ce,000151,Groningen,Sint Walburgstraat,Stadsdeel Centrum,Binnenstad-Noord,233854.58,582243.56,Hollandse linde,Tilia x europaea,1975,18-24m.,Gemeente Groningen,nee       ,6.567815,53.22098901,POINT (233854.583 582243.569)
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3cf,000152,Groningen,Sint Walburgstraat,Stadsdeel Centrum,Binnenstad-Noord,233858.84,582202.2,Plataan,Platanus x hispanica,1975,12-15m.,Gemeente Groningen,nee       ,6.56786858,53.22061663,POINT (233858.841 582202.189)
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3d0,000153,Groningen,Sint Walburgstraat,Stadsdeel Centrum,Binnenstad-Noord,233863.42,582214.4,Plataan,Platanus x hispanica,1975,12-15m.,Gemeente Groningen,nee       ,6.56794014,53.22072539,POINT (233863.422 582214.37)
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3d1,000155,Groningen,Spilsluizen,Stadsdeel Centrum,Binnenstad-Noord,233679.25,582336.94,Hollandse linde,Tilia x europaea,1984,6-9m.,Gemeente Groningen,nee       ,6.56521339,53.22185342,POINT (233679.254 582336.917)
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3d2,000156,Groningen,Spilsluizen,Stadsdeel Centrum,Binnenstad-Noord,233673.88,582333.8,Hollandse linde,Tilia x europaea,1984,6-9m.,Gemeente Groningen,nee       ,6.56513214,53.2218261,POINT (233673.877 582333.788)
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3d3,000157,Groningen,Spilsluizen,Stadsdeel Centrum,Binnenstad-Noord,233654.83,582324.56,Hollandse linde,Tilia x europaea,1984,6-9m.,Gemeente Groningen,nee       ,6.56484478,53.22174617,POINT (233654.831 582324.579)
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3d4,000158,Groningen,Spilsluizen,Stadsdeel Centrum,Binnenstad-Noord,233640,582317.8,Hollandse linde,Tilia x europaea,1984,6-9m.,Gemeente Groningen,nee       ,6.56462109,53.2216875,POINT (233639.998 582317.806)
Bomen gemeente Groningen.fid-214b96d3_1861f39e703_3d5,000159,Groningen,Spilsluizen,Stadsdeel Centrum,Binnenstad-Noord,233627.77,582311.25,Hollandse linde,Tilia x europaea,1984,6-9m.,Gemeente Groningen,nee       ,6.56443643,53.22163015,POINT (233627.77 582311.223)
