Kenteken,As nummer,Aantal assen,Aangedreven as,Hefas,Plaatscode as,Spoorbreedte,Weggedrag code,Wettelijk toegestane maximum aslast,Technisch toegestane maximum aslast,Geremde as indicator,Afstand tot volgende as voertuig,Afstand tot volgende as voertuig minimum,Afstand tot volgende as voertuig maximum,Maximum last as technisch maximum,Maximum last as technisch minimum
0026ZZ,4,5,,N,A,,,9000,11200,,,,,,
0026ZZ,5,5,,N,A,,,9000,11200,,,,,,
0027FD,1,2,,,V,,,,,,,,,,
0027FD,2,2,,,A,,,,,,,,,,
0027WR,1,1,,N,A,,,900,900,,,,,,
0027WU,1,1,,N,A,,,2000,2000,,,,,,
0027WX,1,1,,N,A,,,1000,1000,,,,,,
0027XM,1,2,,,V,,,,,,,,,,
0027XM,2,2,,,A,,,,,,,,,,
0027ZZ,1,5,,J,A,,,9000,11200,,,,,,
0027ZZ,2,5,,J,A,,,9000,11200,,,,,,
0027ZZ,3,5,,N,A,,,9000,11200,,,,,,
0027ZZ,4,5,,N,A,,,9000,11200,,,,,,
0027ZZ,5,5,,N,A,,,9000,11200,,,,,,
0028AH,1,2,,,V,,,,,,,,,,
0028AH,2,2,,,A,,,,,,,,,,
0028AS,1,2,,,V,,,,,,,,,,
0028AS,2,2,,,A,,,,,,,,,,
0028HL,1,2,,,V,,,,,,,,,,
0028HL,2,2,,,A,,,,,,,,,,
0028VK,1,2,,,V,,,,,,,,,,
0028VK,2,2,,,A,,,,,,,,,,
0028VR,1,2,,,V,,,,,,,,,,
0028VR,2,2,,,A,,,,,,,,,,
0028WF,1,1,,N,A,,,800,800,,,,,,
0028WJ,1,1,,N,A,,,2000,2000,,,,,,
0028WN,1,1,,N,A,,,990,990,,,,,,
0028WP,1,2,,N,A,,,1000,1000,,,,,,
0028WP,2,2,,N,A,,,1000,1000,,,,,,
0028WR,1,1,,N,A,,,1250,1250,,,,,,
0028XK,1,2,,,V,,,,,,,,,,
0028XK,2,2,,,A,,,,,,,,,,
0028ZR,1,2,,,V,,,,,,,,,,
0028ZR,2,2,,,A,,,,,,,,,,
0028ZZ,1,7,,J,A,,,9000,10000,,,,,,
0028ZZ,2,7,,N,A,,,9000,10000,,,,,,
0028ZZ,3,7,,N,A,,,9000,10000,,,,,,
0028ZZ,4,7,,N,A,,,9000,10000,,,,,,
0028ZZ,5,7,,N,A,,,9000,10000,,,,,,
0028ZZ,6,7,,N,A,,,9000,10000,,,,,,
0028ZZ,7,7,,N,A,,,9000,10000,,,,,,
0029DR,1,2,,,V,,,,,,,,,,
0029DR,2,2,,,A,,,,,,,,,,
0029WP,1,1,,N,A,,,2000,2000,,,,,,
0029WV,1,1,,N,A,,,1200,1200,,,,,,
0029XB,1,2,,,V,,,421,,,,,,,
0029XB,2,2,,,A,,,521,,,,,,,
0029XM,1,2,,,V,,,,,,,,,,
0029XM,2,2,,,A,,,,,,,,,,
0029XU,1,2,,,V,,,,,,,,,,
0029XU,2,2,,,A,,,,,,,,,,
0030WF,1,1,,N,A,,,800,800,,,,,,
0030WL,1,1,,N,A,,,1600,1600,,,,,,
0030WP,1,1,,N,A,,,850,850,,,,,,
0030ZL,1,2,,,V,,,,,,,,,,
0030ZL,2,2,,,A,,,,,,,,,,
0030ZP,1,2,,,V,,,,,,,,,,
0030ZP,2,2,,,A,,,,,,,,,,
0030ZZ,1,7,,J,A,,,9000,10000,,,,,,
0030ZZ,2,7,,J,A,,,9000,10000,,,,,,
0030ZZ,3,7,,N,A,,,9000,10000,,,,,,
0030ZZ,4,7,,N,A,,,9000,10000,,,,,,
0030ZZ,5,7,,N,A,,,9000,10000,,,,,,
0030ZZ,6,7,,N,A,,,9000,10000,,,,,,
0030ZZ,7,7,,J,A,,,9000,10000,,,,,,
0031DM,1,2,,,V,,,,,,,,,,
0031DM,2,2,,,A,,,,,,,,,,
0031PT,1,2,,,V,,,,,,,,,,
0031PT,2,2,,,A,,,,,,,,,,
0031PX,1,2,,,V,,,,,,,,,,
0031PX,2,2,,,A,,,,,,,,,,
0031WE,1,1,,N,A,,,800,800,,,,,,
0031WF,1,1,,N,A,,,800,800,,,,,,
0031WN,1,1,,N,A,,,1000,1000,,,,,,
0031WS,1,1,,N,A,,,1140,1140,,,,,,
0031WT,1,1,,N,A,,,1400,1400,,,,,,
0031ZA,1,2,,,V,,,,,,,,,,
0031ZA,2,2,,,A,,,,,,,,,,
0032AT,1,2,,,V,,,,,,,,,,
0032AT,2,2,,,A,,,,,,,,,,
0032PS,1,2,,,V,,,,,,,,,,
0032PS,2,2,,,A,,,,,,,,,,
0032WK,1,1,,N,A,,,1000,1000,,,,,,
0032WZ,1,1,,N,A,,,900,900,,,,,,
0032ZZ,1,6,J,N,V,,A,12000,12000,,,,,,
0032ZZ,2,6,N,N,V,,,12000,12000,,,,,,
0032ZZ,3,6,N,N,V,,,12000,12000,,,,,,
0032ZZ,4,6,N,N,A,,,12000,12000,,,,,,
0032ZZ,5,6,J,N,A,,A,12000,12000,,,,,,
0032ZZ,6,6,J,N,A,,A,12000,12000,,,,,,
0033JK,1,2,,,V,,,,,,,,,,
0033JK,2,2,,,A,,,,,,,,,,
0033RB,1,2,N,N,V,,,6500,6500,,,,,,
0033RB,2,2,J,N,A,,A,10000,10000,,,,,,
0033TG,1,2,,,V,,,,,,,,,,
0033TG,2,2,,,A,,,,,,,,,,
0033UP,1,2,,,V,,,,,,,,,,
0033UP,2,2,,,A,,,,,,,,,,
0033VG,1,2,,,V,,,,,,,,,,
0033VG,2,2,,,A,,,,,,,,,,
0033WE,1,1,,N,A,,,800,800,,,,,,
0034EZ,1,2,,,V,,,,,,,,,,
0034EZ,2,2,,,A,,,,,,,,,,
0034GB,1,2,,,V,,,2100,2100,,,,,,
0034GB,2,2,,,A,,,4500,4500,,,,,,
0034JK,1,2,,,V,,,,,,,,,,
0034JK,2,2,,,A,,,,,,,,,,
0034TR,1,2,,,V,,,,,,,,,,
0034TR,2,2,,,A,,,,,,,,,,
0034WJ,1,1,,N,A,,,950,950,,,,,,
0034WL,1,1,,N,A,,,2000,2000,,,,,,
0034WN,1,1,,N,A,,,1000,1000,,,,,,
0034WS,1,1,,N,A,,,800,800,,,,,,
0034WU,1,1,,N,A,,,850,850,,,,,,
0034WZ,1,1,,N,A,,,1000,1000,,,,,,
0034XA,1,2,,,V,,,,,,,,,,
0034XA,2,2,,,A,,,,,,,,,,
0034XE,1,2,,,V,,,,,,,,,,
0034XE,2,2,,,A,,,,,,,,,,
0034ZZ,1,3,,N,A,,,9000,10000,,,,,,
0034ZZ,2,3,,N,A,,,9000,10000,,,,,,
0034ZZ,3,3,,N,A,,,9000,10000,,,,,,
0035MU,1,2,,,V,,,,,,,,,,
0035MU,2,2,,,A,,,,,,,,,,
0035NA,1,2,,,V,,,,,,,,,,
0035NA,2,2,,,A,,,,,,,,,,
0035PL,1,2,,,V,,,,,,,,,,
0035PL,2,2,,,A,,,,,,,,,,
0035PS,1,2,,,V,,,,,,,,,,
0035PS,2,2,,,A,,,,,,,,,,
0035WF,1,1,,N,A,,,800,800,,,,,,
0035WG,1,2,,,V,,,1000,1000,,,,,,
0035WG,2,2,,,A,,,1000,1000,,,,,,
0035WJ,1,1,,N,A,,,800,800,,,,,,
0035WK,1,1,,N,A,,,1000,1000,,,,,,
0035WP,1,1,,N,A,,,2000,2000,,,,,,
0035WR,1,2,,,V,,,10000,10000,,,,,,
0035WR,2,2,,,A,,,10000,10000,,,,,,
0035WS,1,2,,N,A,,,600,600,,,,,,
0035WS,2,2,,N,A,,,600,600,,,,,,
0035WT,1,1,,N,A,,,1400,1400,,,,,,
0035WZ,1,1,,N,A,,,1000,1000,,,,,,
0035ZV,1,2,,,V,,,,,,,,,,
0035ZV,2,2,,,A,,,,,,,,,,
0035ZZ,1,8,,N,A,,,6960,6960,,,,,,
0035ZZ,2,8,,N,A,,,6960,6960,,,,,,
0035ZZ,3,8,,N,A,,,6960,6960,,,,,,
0035ZZ,4,8,,N,A,,,6960,6960,,,,,,
0035ZZ,5,8,,N,A,,,6960,6960,,,,,,
0035ZZ,6,8,,N,A,,,6960,6960,,,,,,
0035ZZ,7,8,,N,A,,,6960,6960,,,,,,
0035ZZ,8,8,,N,A,,,6960,6960,,,,,,
0036PH,1,2,,,V,,,,,,,,,,
0036PH,2,2,,,A,,,,,,,,,,
0036VX,1,2,,,V,,,,,,,,,,
0036VX,2,2,,,A,,,,,,,,,,
0036WG,1,1,,N,A,,,1200,1200,,,,,,
0036WL,1,1,,N,A,,,1600,1600,,,,,,
0036WN,1,1,,N,A,,,1400,1400,,,,,,
0036WP,1,1,,N,A,,,1300,1300,,,,,,
0036WZ,1,1,,N,A,,,2000,2000,,,,,,
0036XA,1,2,,,V,,,,,,,,,,
0036XA,2,2,,,A,,,,,,,,,,
0036XF,1,2,,,V,,,,,,,,,,
0036XF,2,2,,,A,,,,,,,,,,
0036ZJ,1,2,,,V,,,,,,,,,,
0036ZJ,2,2,,,A,,,,,,,,,,
0036ZZ,1,8,,N,A,,,6960,6960,,,,,,
0036ZZ,2,8,,N,A,,,6960,6960,,,,,,
0036ZZ,3,8,,N,A,,,6960,6960,,,,,,
0036ZZ,4,8,,N,A,,,6960,6960,,,,,,
0036ZZ,5,8,,N,A,,,6960,6960,,,,,,
0036ZZ,6,8,,N,A,,,6960,6960,,,,,,
0036ZZ,7,8,,N,A,,,6960,6960,,,,,,
0036ZZ,8,8,,N,A,,,6960,6960,,,,,,
0037WG,1,1,,N,A,,,2000,2000,,,,,,
0037WH,1,1,,N,A,,,1100,1100,,,,,,
0037WK,1,1,,N,A,,,800,800,,,,,,
0037WN,1,1,,N,A,,,1400,1400,,,,,,
0037WP,1,1,,N,A,,,1300,1300,,,,,,
0037WX,1,1,,N,A,,,1000,1000,,,,,,
0037XF,1,2,,,V,,,,,,,,,,
0037XF,2,2,,,A,,,,,,,,,,
0037ZZ,1,9,,N,A,,,6000,6000,,,,,,
0037ZZ,2,9,,N,A,,,6000,6000,,,,,,
0037ZZ,3,9,,N,A,,,6000,6000,,,,,,
0037ZZ,4,9,,N,A,,,6000,6000,,,,,,
0037ZZ,5,9,,N,A,,,6000,6000,,,,,,
0037ZZ,6,9,,N,A,,,6000,6000,,,,,,
0037ZZ,7,9,,N,A,,,6000,6000,,,,,,
0037ZZ,8,9,,N,A,,,6000,6000,,,,,,
0037ZZ,9,9,,N,A,,,6000,6000,,,,,,
0038EP,1,2,,,V,,,,,,,,,,
0038EP,2,2,,,A,,,,,,,,,,
0038VX,1,2,,,V,,,,,,,,,,
0038VX,2,2,,,A,,,,,,,,,,
0038WP,1,1,,N,A,,,1300,1300,,,,,,
0038WT,1,1,,N,A,,,850,850,,,,,,
0038WU,1,1,,N,A,,,900,900,,,,,,
0038ZZ,1,6,,N,A,,,6960,6960,,,,,,
0038ZZ,2,6,,N,A,,,6960,6960,,,,,,
0038ZZ,3,6,,N,A,,,6960,6960,,,,,,
0038ZZ,4,6,,N,A,,,6960,6960,,,,,,
0038ZZ,5,6,,N,A,,,6960,6960,,,,,,
0038ZZ,6,6,,N,A,,,6960,6960,,,,,,
0039PF,1,2,,,V,,,,,,,,,,
0039PF,2,2,,,A,,,,,,,,,,
0039WF,1,1,,N,A,,,800,800,,,,,,
0039WG,1,1,,N,A,,,1500,1500,,,,,,
0039WJ,1,1,,N,A,,,850,850,,,,,,
0039WZ,1,2,,N,A,,,1000,1000,,,,,,
0039WZ,2,2,,N,A,,,1000,1000,,,,,,
0039XX,1,2,,,V,135,,,,,,,,,
0039XX,2,2,,,A,132,,,,,,,,,
0039ZZ,1,9,,N,A,,,6960,6960,,,,,,
0039ZZ,2,9,,N,A,,,6960,6960,,,,,,
0039ZZ,3,9,,N,A,,,6960,6960,,,,,,
0039ZZ,4,9,,N,A,,,6960,6960,,,,,,
0039ZZ,5,9,,N,A,,,6960,6960,,,,,,
0039ZZ,6,9,,N,A,,,6960,6960,,,,,,
0039ZZ,7,9,,N,A,,,6960,6960,,,,,,
0039ZZ,8,9,,N,A,,,6960,6960,,,,,,
0039ZZ,9,9,,N,A,,,6960,6960,,,,,,
0040PF,1,2,,,V,,,,,,,,,,
0040PF,2,2,,,A,,,,,,,,,,
0040SL,1,2,,,V,143,,975,,,,,,,
0040SL,2,2,,,A,143,,1250,,,,,,,
0040VA,1,2,,,V,,,,,,,,,,
0040VA,2,2,,,A,,,,,,,,,,
0040VN,1,2,,,V,,,,,,,,,,
0040VN,2,2,,,A,,,,,,,,,,
0040WG,1,1,,N,A,,,1000,1000,,,,,,
0040WT,1,1,,N,A,,,1400,1400,,,,,,
0040WU,1,3,,N,V,,,1200,1200,,,,,,
0040WU,2,3,,N,A,,,1150,1150,,,,,,
0040WU,3,3,,N,A,,,1150,1150,,,,,,
0040WX,1,1,,N,A,,,950,950,,,,,,
0040XK,1,2,,,V,,,,,,,,,,
0040XK,2,2,,,A,,,,,,,,,,
0040ZZ,1,4,,N,A,,,9000,10000,,,,,,
0040ZZ,2,4,,N,A,,,9000,10000,,,,,,
0040ZZ,3,4,,N,A,,,9000,10000,,,,,,
0040ZZ,4,4,,N,A,,,9000,10000,,,,,,
0041EB,1,2,,,V,,,610,,,,,,,
0041EB,2,2,,,A,,,705,,,,,,,
0041VF,1,2,,,V,,,,,,,,,,
0041VF,2,2,,,A,,,,,,,,,,
0041WE,1,1,,N,A,,,900,900,,,,,,
0041WG,1,1,,N,A,,,1600,1600,,,,,,
0041WL,1,1,,N,A,,,2000,2000,,,,,,
0041WR,1,1,,N,A,,,1500,1500,,,,,,
0041WS,1,1,,N,A,,,850,850,,,,,,
0041WU,1,1,,N,A,,,2000,2000,,,,,,
0041ZZ,1,6,,N,A,,,6000,6000,,,,,,
0041ZZ,2,6,,N,A,,,6000,6000,,,,,,
0041ZZ,3,6,,N,A,,,6000,6000,,,,,,
0041ZZ,4,6,,N,A,,,6000,6000,,,,,,
0041ZZ,5,6,,N,A,,,6000,6000,,,,,,
0041ZZ,6,6,,N,A,,,6000,6000,,,,,,
0042BV,1,2,,,V,,,,,,,,,,
0042BV,2,2,,,A,,,,,,,,,,
0042FE,1,2,,,V,,,,,,,,,,
0042FE,2,2,,,A,,,,,,,,,,
0042NV,1,2,,,V,,,,,,,,,,
0042NV,2,2,,,A,,,,,,,,,,
0042WD,1,1,,N,A,,,1000,1000,,,,,,
0042WF,1,1,,N,A,,,800,800,,,,,,
0042WG,1,1,,N,A,,,1500,1500,,,,,,
0042WH,1,1,,N,A,,,900,900,,,,,,
0042WK,1,1,,N,A,,,900,900,,,,,,
0042WR,1,2,,,V,,,1000,1000,,,,,,
0042WR,2,2,,,A,,,1000,1000,,,,,,
0042WU,1,3,,,V,,,1000,1000,,,,,,
0042WU,2,3,,,A,,,1250,1250,,,,,,
0042WU,3,3,,,A,,,1250,1250,,,,,,
0042WZ,1,1,,N,A,,,1300,1300,,,,,,
0042XZ,1,2,,,V,,,,,,,,,,
0042XZ,2,2,,,A,,,,,,,,,,
0042ZZ,1,8,,N,A,,,6000,6000,,,,,,
0042ZZ,2,8,,N,A,,,6000,6000,,,,,,
0042ZZ,3,8,,N,A,,,6000,6000,,,,,,
0042ZZ,4,8,,N,A,,,6000,6000,,,,,,
0042ZZ,5,8,,N,A,,,6000,6000,,,,,,
0042ZZ,6,8,,N,A,,,6000,6000,,,,,,
0042ZZ,7,8,,N,A,,,6000,6000,,,,,,
0042ZZ,8,8,,N,A,,,6000,6000,,,,,,
0043AT,1,2,,,V,,,,,,,,,,
0043AT,2,2,,,A,,,,,,,,,,
0043WF,1,1,,N,A,,,800,800,,,,,,
0043WJ,1,1,,N,A,,,850,850,,,,,,
0043WR,1,1,,N,A,,,1300,1300,,,,,,
0043WT,1,1,,N,A,,,1400,1400,,,,,,
0043WU,1,1,,N,A,,,1400,1400,,,,,,
0043WZ,1,1,,N,A,,,950,950,,,,,,
0043ZZ,1,9,,N,A,,,6000,6000,,,,,,
0043ZZ,2,9,,N,A,,,6000,6000,,,,,,
0043ZZ,3,9,,N,A,,,6000,6000,,,,,,
0043ZZ,4,9,,N,A,,,6000,6000,,,,,,
0043ZZ,5,9,,N,A,,,6000,6000,,,,,,
0043ZZ,6,9,,N,A,,,6000,6000,,,,,,
0043ZZ,7,9,,N,A,,,6000,6000,,,,,,
0043ZZ,8,9,,N,A,,,6000,6000,,,,,,
0043ZZ,9,9,,N,A,,,6000,6000,,,,,,
0044FN,1,2,,,V,,,,,,,,,,
0044FN,2,2,,,A,,,,,,,,,,
0044NF,1,2,,,V,,,,,,,,,,
0044NF,2,2,,,A,,,,,,,,,,
0044WR,1,2,,N,A,,,1000,1000,,,,,,
0044WR,2,2,,N,A,,,1000,1000,,,,,,
0044WS,1,1,,N,A,,,1200,1200,,,,,,
0044WX,1,1,,N,A,,,1200,1200,,,,,,
0044XK,1,2,,,V,,,,,,,,,,
0044XK,2,2,,,A,,,,,,,,,,
0044ZZ,1,4,,N,A,,,10000,10000,,,,,,
0044ZZ,2,4,,N,A,,,10000,10000,,,,,,
0044ZZ,3,4,,N,A,,,10000,10000,,,,,,
0044ZZ,4,4,,N,A,,,10000,10000,,,,,,
0045FN,1,2,,,V,,,,,,,,,,
0045FN,2,2,,,A,,,,,,,,,,
0045NE,1,2,,,V,133,,650,650,,,,,,
0045NE,2,2,,,A,137,,650,650,,,,,,
0045PF,1,2,,,V,150,,972,,,,,,,
0045PF,2,2,,,A,150,,1708,,,,,,,
0045UE,1,2,,,V,126,,,,,,,,,
0045UE,2,2,,,A,128,,,,,,,,,
0045UJ,1,2,,,V,,,,,,,,,,
0045UJ,2,2,,,A,,,,,,,,,,
0045WH,1,1,,N,A,,,900,900,,,,,,
0045WJ,1,1,,N,A,,,800,800,,,,,,
0045WS,1,1,,N,A,,,2000,2000,,,,,,
0045ZZ,1,9,,N,A,,,6000,6000,,,,,,
0045ZZ,2,9,,N,A,,,6000,6000,,,,,,
0045ZZ,3,9,,N,A,,,6000,6000,,,,,,
0045ZZ,4,9,,N,A,,,6000,6000,,,,,,
0045ZZ,5,9,,N,A,,,6000,6000,,,,,,
0045ZZ,6,9,,N,A,,,6000,6000,,,,,,
0045ZZ,7,9,,N,A,,,6000,6000,,,,,,
0045ZZ,8,9,,N,A,,,6000,6000,,,,,,
0045ZZ,9,9,,N,A,,,6000,6000,,,,,,
0046DK,1,2,,,V,,,,,,,,,,
0046DK,2,2,,,A,,,,,,,,,,
0046FE,1,2,,,V,,,,,,,,,,
0046FE,2,2,,,A,,,,,,,,,,
0046FN,1,2,,,V,161,,,,,,,,,
0046FN,2,2,,,A,161,,,,,,,,,
0046JK,1,2,,,V,,,,,,,,,,
0046JK,2,2,,,A,,,,,,,,,,
0046RB,1,2,,,V,,,1580,1580,,,,,,
0046RB,2,2,,,A,,,1700,1700,,,,,,
0046RL,1,2,,,V,,,,,,,,,,
0046RL,2,2,,,A,,,,,,,,,,
0046UJ,1,2,,,V,140,,,,,,,,,
0046UJ,2,2,,,A,141,,,,,,,,,
0046WD,1,1,,N,A,,,850,850,,,,,,
0046WL,1,1,,N,A,,,1600,1600,,,,,,
0046WN,1,1,,N,A,,,850,850,,,,,,
0046WP,1,1,,N,A,,,1000,1000,,,,,,
0046WZ,1,1,,N,A,,,1300,1300,,,,,,
0046XE,1,2,,,V,,,,,,,,,,
0046XE,2,2,,,A,,,,,,,,,,
0046XF,1,2,,,V,,,,,,,,,,
0046XF,2,2,,,A,,,,,,,,,,
0046ZZ,1,9,,N,A,,,6000,6000,,,,,,
0046ZZ,2,9,,N,A,,,6000,6000,,,,,,
0046ZZ,3,9,,N,A,,,6000,6000,,,,,,
0046ZZ,4,9,,N,A,,,6000,6000,,,,,,
0046ZZ,5,9,,N,A,,,6000,6000,,,,,,
0046ZZ,6,9,,N,A,,,6000,6000,,,,,,
0046ZZ,7,9,,N,A,,,6000,6000,,,,,,
0046ZZ,8,9,,N,A,,,6000,6000,,,,,,
0046ZZ,9,9,,N,A,,,6000,6000,,,,,,
0047FN,1,2,,,V,,,,,,,,,,
0047FN,2,2,,,A,,,,,,,,,,
0047NU,1,2,,,V,,,,,,,,,,
0047NU,2,2,,,A,,,,,,,,,,
0047WE,1,1,,N,A,,,1000,1000,,,,,,
0047WL,1,1,,N,A,,,2000,2000,,,,,,
0047WV,1,1,,N,A,,,2000,2000,,,,,,
0047ZV,1,2,,,V,,,,,,,,,,
0047ZV,2,2,,,A,,,,,,,,,,
0047ZZ,1,6,N,N,V,,,12000,12000,,,,,,
0047ZZ,2,6,J,N,V,,A,12000,12000,,,,,,
0047ZZ,3,6,J,N,V,,A,12000,12000,,,,,,
0047ZZ,4,6,N,N,A,,,12000,12000,,,,,,
0047ZZ,5,6,N,N,A,,,12000,12000,,,,,,
0047ZZ,6,6,J,N,A,,A,12000,12000,,,,,,
0048NE,1,2,,,V,,,,,,,,,,
0048NE,2,2,,,A,,,,,,,,,,
0048PS,1,2,,,V,,,,,,,,,,
0048PS,2,2,,,A,,,,,,,,,,
0048WG,1,1,,N,A,,,1000,1000,,,,,,
0048WH,1,1,,N,A,,,900,900,,,,,,
0048WJ,1,1,,N,A,,,800,800,,,,,,
0048WK,1,1,,N,A,,,1300,1300,,,,,,
0048WL,1,1,,N,A,,,2000,2000,,,,,,
0048WN,1,1,,N,A,,,1400,1400,,,,,,
0048WP,1,1,,N,A,,,1000,1000,,,,,,
0048WX,1,1,,N,A,,,965,965,,,,,,
0048WZ,1,1,,N,A,,,1000,1000,,,,,,
0049PK,1,2,,,V,,,,,,,,,,
0049PK,2,2,,,A,,,,,,,,,,
0049WJ,1,1,,N,A,,,800,800,,,,,,
0049WS,1,1,,N,A,,,2000,2000,,,,,,
0049WT,1,2,,N,A,,,650,650,,,,,,
0049WT,2,2,,N,A,,,650,650,,,,,,
0049ZZ,1,4,,N,A,,,6000,6000,,,,,,
0049ZZ,2,4,,N,A,,,6000,6000,,,,,,
0049ZZ,3,4,,N,A,,,6000,6000,,,,,,
0049ZZ,4,4,,N,A,,,6000,6000,,,,,,
0050EE,1,2,,,V,,,,,,,,,,
0050EE,2,2,,,A,,,,,,,,,,
0050PK,1,2,,,V,148,,910,,,,,,,
0050PK,2,2,,,A,149,,1070,,,,,,,
0050US,1,2,,,V,,,,,,,,,,
0050US,2,2,,,A,,,,,,,,,,
0050VA,1,2,,,V,,,,,,,,,,
0050VA,2,2,,,A,,,,,,,,,,
0050VR,1,2,,,V,,,,,,,,,,
0050VR,2,2,,,A,,,,,,,,,,
0050WL,1,1,,N,A,,,2000,2000,,,,,,
0050WN,1,1,,N,A,,,800,800,,,,,,
0050WS,1,1,,N,A,,,1000,1000,,,,,,
0050WX,1,1,,N,A,,,1200,1200,,,,,,
0050XB,1,2,,,V,,,1010,,,,,,,
0050XB,2,2,,,A,,,1300,,,,,,,
0051BD,1,2,,,V,111,,,,,,,,,
0051BD,2,2,,,A,112,,,,,,,,,
0051WF,1,1,,N,A,,,800,800,,,,,,
0051WH,1,1,,N,A,,,900,900,,,,,,
0051WT,1,1,,N,A,,,2000,2000,,,,,,
0051XZ,1,2,,,V,,,,,,,,,,
0051XZ,2,2,,,A,,,,,,,,,,
0052WD,1,1,,N,A,,,900,900,,,,,,
0052WR,1,1,,N,A,,,900,900,,,,,,
0052WS,1,1,,N,A,,,900,900,,,,,,
0052WU,1,1,,N,A,,,950,950,,,,,,
0052ZZ,1,6,,J,A,,,9000,10000,,,,,,
0052ZZ,2,6,,J,A,,,9000,10000,,,,,,
0052ZZ,3,6,,N,A,,,9000,10000,,,,,,
0052ZZ,4,6,,N,A,,,9000,10000,,,,,,
0052ZZ,5,6,,N,A,,,9000,10000,,,,,,
0052ZZ,6,6,,N,A,,,9000,10000,,,,,,
0053NK,1,2,,,V,,,,,,,,,,
0053NK,2,2,,,A,,,,,,,,,,
0053RK,1,2,,,V,137,,,,,,,,,
0053RK,2,2,,,A,141,,,,,,,,,
0053WF,1,1,,N,A,,,800,800,,,,,,
0053WH,1,1,,N,A,,,900,900,,,,,,
0053WP,1,1,,N,A,,,1300,1300,,,,,,
0053WR,1,1,,N,A,,,900,900,,,,,,
0053WS,1,1,,N,A,,,1200,1200,,,,,,
0053WX,1,1,,N,A,,,900,900,,,,,,
0053XK,1,2,,,V,,,,,,,,,,
0053XK,2,2,,,A,,,,,,,,,,
0053ZZ,1,4,,J,A,,,9000,11200,,,,,,
0053ZZ,2,4,,N,A,,,9000,11200,,,,,,
0053ZZ,3,4,,N,A,,,9000,11200,,,,,,
0053ZZ,4,4,,N,A,,,9000,11200,,,,,,
0054DJ,1,2,,,V,110,,,,,,,,,
0054DJ,2,2,,,A,111,,,,,,,,,
0054FP,1,2,,,V,,,,,,,,,,
0054FP,2,2,,,A,,,,,,,,,,
0054ME,1,2,,,V,,,,,,,,,,
0054ME,2,2,,,A,,,,,,,,,,
0054NG,1,2,,,V,,,,,,,,,,
0054NG,2,2,,,A,,,,,,,,,,
0054RN,1,2,,,V,,,,,,,,,,
0054RN,2,2,,,A,,,,,,,,,,
0054WD,1,1,,N,A,,,900,900,,,,,,
0054WH,1,1,,N,A,,,890,890,,,,,,
0054WL,1,1,,N,A,,,1500,1500,,,,,,
0054WN,1,1,,N,A,,,800,800,,,,,,
0054WR,1,1,,N,A,,,900,900,,,,,,
0054WS,1,1,,N,A,,,1000,1000,,,,,,
0054WX,1,1,,N,A,,,1300,1300,,,,,,
0054XH,1,2,,,V,,,,,,,,,,
0054XH,2,2,,,A,,,,,,,,,,
0054XM,1,2,,,V,,,,,,,,,,
0054XM,2,2,,,A,,,,,,,,,,
0054ZZ,1,3,,N,A,,,9000,12000,,,,,,
0054ZZ,2,3,,N,A,,,9000,12000,,,,,,
0054ZZ,3,3,,N,A,,,9000,12000,,,,,,
0055NN,1,2,,,V,,,,,,,,,,
0055NN,2,2,,,A,,,,,,,,,,
0055SL,1,2,,,V,,,,,,,,,,
0055SL,2,2,,,A,,,,,,,,,,
0055UJ,1,2,,,V,,,,,,,,,,
0055UJ,2,2,,,A,,,,,,,,,,
0055WF,1,1,,N,A,,,800,800,,,,,,
0055WJ,1,1,,N,A,,,800,800,,,,,,
0055WL,1,1,,N,A,,,2000,2000,,,,,,
0055WS,1,1,,N,A,,,1000,1000,,,,,,
0055WX,1,1,,N,A,,,900,900,,,,,,
0055WZ,1,1,,N,A,,,1000,1000,,,,,,
0055XA,1,2,,,V,,,,,,,,,,
0055XA,2,2,,,A,,,,,,,,,,
0056FE,1,1,,N,A,,,,,,,,,,
0056RU,1,2,,,V,,,,,,,,,,
0056RU,2,2,,,A,,,,,,,,,,
0056WH,1,1,,N,A,,,900,900,,,,,,
0056WJ,1,1,,,A,,,800,800,,,,,,
0056WS,1,1,,N,A,,,900,900,,,,,,
0056WV,1,1,,N,A,,,800,800,,,,,,
0056ZZ,1,4,,N,A,,,9000,10000,,,,,,
0056ZZ,2,4,,N,A,,,9000,10000,,,,,,
0056ZZ,3,4,,N,A,,,9000,10000,,,,,,
0056ZZ,4,4,,N,A,,,9000,10000,,,,,,
0057TN,1,2,,,V,,,,,,,,,,
0057TN,2,2,,,A,,,,,,,,,,
0057TV,1,2,,,V,,,,,,,,,,
0057TV,2,2,,,A,,,,,,,,,,
0057WD,1,1,,N,A,,,1500,1500,,,,,,
0057WE,1,1,,N,A,,,800,800,,,,,,
0057WH,1,1,,N,A,,,890,890,,,,,,
0057WK,1,1,,N,A,,,900,900,,,,,,
0057WT,1,1,,N,A,,,2000,2000,,,,,,
0057WV,1,1,,N,A,,,850,850,,,,,,
0057WX,1,1,,N,A,,,950,950,,,,,,
0058WH,1,1,,N,A,,,890,890,,,,,,
0058WJ,1,1,,N,A,,,800,800,,,,,,
0058WL,1,1,,N,A,,,2000,2000,,,,,,
0058WP,1,1,,N,A,,,1300,1300,,,,,,
