Kenteken,As nummer,Aantal assen,Aangedreven as,Hefas,Plaatscode as,Spoorbreedte,Weggedrag code,Wettelijk toegestane maximum aslast,Technisch toegestane maximum aslast,Geremde as indicator,Afstand tot volgende as voertuig,Afstand tot volgende as voertuig minimum,Afstand tot volgende as voertuig maximum,Maximum last as technisch maximum,Maximum last as technisch minimum
0003ZZ,5,7,,N,A,,,9000,10000,,,,,,
0003ZZ,6,7,,N,A,,,9000,10000,,,,,,
0003ZZ,7,7,,J,A,,,9000,10000,,,,,,
0004ME,1,2,,,V,,,,,,,,,,
0004ME,2,2,,,A,,,,,,,,,,
0004PF,1,2,,,V,,,,,,,,,,
0004PF,2,2,,,A,,,,,,,,,,
0004PS,1,2,,,V,,,,,,,,,,
0004PS,2,2,,,A,,,,,,,,,,
0004VS,1,2,,,V,,,,,,,,,,
0004VS,2,2,,,A,,,,,,,,,,
0004WL,1,1,,N,A,,,990,990,,,,,,
0004WP,1,1,,N,A,,,2000,2000,,,,,,
0004WT,1,1,,N,A,,,790,790,,,,,,
0004ZT,1,2,,,V,,,,,,,,,,
0004ZT,2,2,,,A,,,,,,,,,,
0004ZZ,1,7,,J,A,,,9000,10000,,,,,,
0004ZZ,2,7,,J,A,,,9000,10000,,,,,,
0004ZZ,3,7,,N,A,,,9000,10000,,,,,,
0004ZZ,4,7,,N,A,,,9000,10000,,,,,,
0004ZZ,5,7,,N,A,,,9000,10000,,,,,,
0004ZZ,6,7,,N,A,,,9000,10000,,,,,,
0004ZZ,7,7,,J,A,,,9000,10000,,,,,,
0005DR,1,2,,,V,,,,,,,,,,
0005DR,2,2,,,A,,,,,,,,,,
0005EB,1,2,,,V,,,480,,,,,,,
0005EB,2,2,,,A,,,510,,,,,,,
0005PS,1,2,,,V,,,,,,,,,,
0005PS,2,2,,,A,,,,,,,,,,
0005RZ,1,2,,,V,,,,,,,,,,
0005RZ,2,2,,,A,,,,,,,,,,
0005SM,1,2,,,V,,,,,,,,,,
0005SM,2,2,,,A,,,,,,,,,,
0005WF,1,1,,N,A,,,800,800,,,,,,
0005WH,1,1,,N,A,,,1300,1300,,,,,,
0005WR,1,2,,N,V,,,1250,1250,,,,,,
0005WR,2,2,,N,A,,,1250,1250,,,,,,
0005WX,1,1,,N,A,,,900,900,,,,,,
0005ZZ,1,5,,J,A,,,9000,11200,,,,,,
0005ZZ,2,5,,N,A,,,9000,11200,,,,,,
0005ZZ,3,5,,N,A,,,9000,11200,,,,,,
0005ZZ,4,5,,N,A,,,9000,11200,,,,,,
0005ZZ,5,5,,N,A,,,9000,11200,,,,,,
0006AR,1,2,,,V,,,,,,,,,,
0006AR,2,2,,,A,,,,,,,,,,
0006EN,1,2,,,V,,,,,,,,,,
0006EN,2,2,,,A,,,,,,,,,,
0006NA,1,1,,N,A,,,,,,,,,,
0006NF,1,2,,,V,,,,,,,,,,
0006NF,2,2,,,A,,,,,,,,,,
0006SN,1,2,,,V,,,,,,,,,,
0006SN,2,2,,,A,,,,,,,,,,
0006WH,1,2,,N,A,,,650,650,,,,,,
0006WH,2,2,,N,A,,,650,650,,,,,,
0006WL,1,1,,N,A,,,1500,1500,,,,,,
0006WR,1,1,,N,A,,,2000,2000,,,,,,
0006WV,1,1,,N,A,,,1300,1300,,,,,,
0006ZZ,1,6,,J,A,,,9000,10000,,,,,,
0006ZZ,2,6,,N,A,,,9000,10000,,,,,,
0006ZZ,3,6,,N,A,,,9000,10000,,,,,,
0006ZZ,4,6,,N,A,,,9000,10000,,,,,,
0006ZZ,5,6,,N,A,,,9000,10000,,,,,,
0006ZZ,6,6,,N,A,,,9000,10000,,,,,,
0007PF,1,2,,,V,,,,,,,,,,
0007PF,2,2,,,A,,,,,,,,,,
0007WH,1,1,,N,A,,,760,760,,,,,,
0007WK,1,1,,N,A,,,890,890,,,,,,
0007WL,1,1,,N,A,,,990,990,,,,,,
0007WR,1,1,,N,A,,,2000,2000,,,,,,
0007WT,1,1,,N,A,,,1400,1400,,,,,,
0007WV,1,1,,N,A,,,1300,1300,,,,,,
0007WZ,1,1,,N,A,,,900,900,,,,,,
0007XD,1,2,,,V,,,,,,,,,,
0007XD,2,2,,,A,,,,,,,,,,
0007XK,1,2,,,V,,,,,,,,,,
0007XK,2,2,,,A,,,,,,,,,,
0007ZZ,1,5,,J,A,,,9000,11200,,,,,,
0007ZZ,2,5,,N,A,,,9000,11200,,,,,,
0007ZZ,3,5,,N,A,,,9000,11200,,,,,,
0007ZZ,4,5,,N,A,,,9000,11200,,,,,,
0007ZZ,5,5,,N,A,,,9000,11200,,,,,,
0008JG,1,2,,,V,,,,,,,,,,
0008JG,2,2,,,A,,,,,,,,,,
0008JK,1,2,,,V,,,,,,,,,,
0008JK,2,2,,,A,,,,,,,,,,
0008NU,1,2,,,V,,,,,,,,,,
0008NU,2,2,,,A,,,,,,,,,,
0008SZ,1,2,,,V,,,,,,,,,,
0008SZ,2,2,,,A,,,,,,,,,,
0008TL,1,2,,,V,,,,,,,,,,
0008TL,2,2,,,A,,,,,,,,,,
0008WE,1,1,,N,A,,,800,800,,,,,,
0008WG,1,1,,N,A,,,850,850,,,,,,
0008WL,1,1,,N,A,,,2000,2000,,,,,,
0008WN,1,1,,N,A,,,990,990,,,,,,
0008WP,1,1,,N,A,,,2000,2000,,,,,,
0008WR,1,2,,N,A,,,675,675,,,,,,
0008WR,2,2,,N,A,,,675,675,,,,,,
0008WT,1,1,,N,A,,,1400,1400,,,,,,
0008WU,1,1,,N,A,,,2000,2000,,,,,,
0008ZZ,1,8,,N,A,,,6000,6000,,,,,,
0008ZZ,2,8,,N,A,,,6000,6000,,,,,,
0008ZZ,3,8,,N,A,,,6000,6000,,,,,,
0008ZZ,4,8,,N,A,,,6000,6000,,,,,,
0008ZZ,5,8,,N,A,,,6000,6000,,,,,,
0008ZZ,6,8,,N,A,,,6000,6000,,,,,,
0008ZZ,7,8,,N,A,,,6000,6000,,,,,,
0008ZZ,8,8,,N,A,,,6000,6000,,,,,,
0009DE,1,2,,,V,,,,,,,,,,
0009DE,2,2,,,A,,,,,,,,,,
0009NN,1,2,,,V,,,,,,,,,,
0009NN,2,2,,,A,,,,,,,,,,
0009PH,1,2,,,V,,,,,,,,,,
