OBJECTID,NAAM,AANMAAKDATUM,REF_FUNC_SPOORTAK_NAAM_LANG,BEIDE_EINDEN_GELIJK,BESTANDSNAAM,SIGMATRAJECT_GUID,DATUM_GOEDGEKEURD_OUDST,DATUM_GOEDGEKEURD_JONGST,LENGTE_TOTAAL_SIGMATRAJECT,REF_FUNCTIONELE_SPOORTAK_PUIC,Shape__Length
1190582,003_2335R_84.4,2021/10/29 19:57:17+00,003_2335R_84.4,0,Detaillijst_003_2335R_84.4.csv,00a35e75-4138-4805-b07e-35a03df91ac4,2017/05/16 10:20:53+00,2017/05/16 10:21:22+00,428.13979899,e4e3f1ff-f706-438e-86d3-cd747c84e00a,428.13578378056
1190583,003_2225L_84.1,2021/10/29 19:57:19+00,003_2225L_84.1,1,Detaillijst_003_2225L_84.1.csv,10418c96-3e5f-4593-be9c-7ef111dbdd66,2020/08/20 02:00:00+00,2020/08/20 02:00:00+00,33.1684258,42cd97ee-b1e4-4379-ab87-b9de213e1b01,33.1683934246143
1190584,003_2329R_84.4,2021/10/29 19:57:25+00,003_2329R_84.4,0,Detaillijst_003_2329R_84.4.csv,10f93d45-67c9-45d1-93e3-212eebcaa592,2017/05/16 10:20:35+00,2017/05/16 10:20:53+00,488.3997737,bf1008fd-89a1-4113-8bbb-62d60cf82657,488.398254212297
1190585,003_2333P_84.4,2021/10/29 19:57:27+00,003_2333P_84.4,0,Detaillijst_003_2333P_84.4.csv,166ad400-2f2e-4fd5-b54a-ecdcf4f38ea0,2017/05/16 10:18:57+00,2017/05/16 10:20:05+00,452.45515847,a6f2a56f-7eb2-419e-9406-f63af0118c9a,452.45516795581
1190588,003_2241L_84.3,2021/10/29 19:57:33+00,003_2241L_84.3,0,Detaillijst_003_2241L_84.3.csv,23d323ae-f400-431e-a526-6d6a4bf6b0f1,2017/05/16 10:01:20+00,2017/05/16 10:01:20+00,457.65190263,bec56179-0f0c-496d-94ee-4f9bcd9942f4,457.645434279437
1190589,003_2217V_84.0,2021/10/29 19:57:35+00,003_2217V_84.0,1,Detaillijst_003_2217V_84.0.csv,275ca0dd-ae7f-439f-8414-656a30684871,2017/05/16 09:57:03+00,2020/08/20 18:23:20+00,134.11589173,613a6db7-34f8-4566-a409-515c299e1d45,134.11590321841
1190591,003_2329L_84.4,2021/10/29 19:57:42+00,003_2329L_84.4,1,Detaillijst_003_2329L_84.4.csv,283660ef-1d49-41e3-af27-d8c8232e042c,2017/05/16 10:20:53+00,2017/05/16 10:20:53+00,59.74295,62816607-ec10-49cc-a3db-ff25f4b0959a,59.7414703419899
1190592,003_2335L_84.4,2021/10/29 19:57:48+00,003_2335L_84.4,1,Detaillijst_003_2335L_84.4.csv,28368508-5f5a-43cc-bc47-9a593e574f71,2017/05/16 10:20:53+00,2017/05/16 10:20:53+00,43.46589,d99fdc2a-5a50-40a9-9e51-ef5c53a2d572,43.4658015788275
1190593,003_2327L_84.4,2021/10/29 19:57:50+00,003_2327L_84.4,1,Detaillijst_003_2327L_84.4.csv,2bab877d-a756-4c11-a90e-8428b823daa4,2017/05/16 10:20:05+00,2017/05/16 10:20:05+00,53.97325,cbafc01e-5f20-4562-bd8a-cd2c5292250d,53.9717070054118
1190594,003_2331/2333_S_T_84.4,2021/10/29 19:57:52+00,003_2331/2333_S_T_84,0,Detaillijst_003_2331_2333_S_T_84.4.csv,306ba9b8-91b4-438b-a6c0-957e2ce40514,2017/05/16 10:20:05+00,2017/05/16 10:20:05+00,20.12712,,20.1250902235673
