RECEPTORID;NAAM;NO2_2014;NO2_2015;NO2_2016;NO2_2017;PM10_2014;PM10_2015;PM10_2016;PM10_2017;PM25_2014;PM25_2015;PM25_2016;PM25_2017;EC_2014;EC_2015;EC_2016;EC_2017;COUNTER;LONG;LAT
110570;Burgemeester Patijnlaa;36.754;34.095;35.033;33.292;23.232;20.851;22.099;21.54;14.839;12.371;12.615;12.439;1.504;1.242;1.374;1.151;152;4.297557106803366;52.08832462504241
108113;Laan van Meerdervoort,;27.498;25.482;26.292;24.913;21.736;19.452;20.945;20.496;14.19;11.793;11.96;12.057;1.1;0.913;1.044;0.887;153;4.2520605799338735;52.06936483632961
15860869;R Laan van Leidschenve;31.373;30.36;30.488;29.459;22.295;19.81;20.412;20.13;14.525;11.823;11.854;11.791;1.343;1.11;1.22;1.061;154;4.398284622952709;52.063673138208976
15708817;Regentesselaan,S Grave;39.285;36.567;37.014;35.091;23.493;21.242;22.611;21.953;15.487;13.025;13.314;13.089;1.527;1.284;1.417;1.192;155;4.284566677807786;52.07194995915239
110379;Laan van Wateringse Ve;30.86;29.966;31.6;30.86;21.459;19.139;19.916;19.698;13.88;11.444;11.505;11.554;1.082;0.919;1.063;0.943;156;4.303011634129672;52.01720127710546
15843140;R Stationsweg;36.786;34.178;35.18;34.005;23.494;20.912;21.953;21.418;15.494;12.868;13.157;12.945;1.483;1.17;1.308;1.13;157;4.319808230689382;52.072512479187345
109193;Erasmusweg,S Gravenhag;28.448;26.314;26.93;25.92;21.658;19.276;20.181;19.857;14.136;11.643;11.675;11.719;1.114;0.901;1.021;0.883;158;4.273084656465179;52.03656068060958
15860902;R Ruijsdaelstraat;34.547;31.382;32.113;30.608;23.414;21.075;22.207;21.613;15.437;12.925;13.185;12.942;1.422;1.179;1.306;1.111;159;4.298270938458751;52.06765179874193
114618;Hofzichtlaan,S Gravenh;27.534;25.583;26.634;25.559;21.411;19.257;20.097;19.765;14.069;11.713;11.874;11.859;1.038;0.884;1.011;0.889;160;4.363476216874529;52.0945666722748
108921;Escamplaan,S Gravenhag;29.477;27.55;28.236;27.011;22.288;20.104;21.421;20.969;14.721;12.309;12.511;12.514;1.205;0.993;1.126;0.979;161;4.267178849755225;52.060009762523926
110927;Plein 1813,S Gravenhag;28.68;27.38;28.658;27.637;21.754;19.648;20.778;20.284;14.444;12.098;12.34;12.219;1.158;0.945;1.087;0.919;162;4.304858048370783;52.08670915426283
115888;RANDWEG,S Gravenhage;29.808;28.339;27.929;27.267;21.566;19.143;19.475;19.23;14.245;11.599;11.474;11.451;1.165;1.045;1.163;1.023;163;4.388951095559641;52.054976801944015
15843027;R Hobbemastraat;35.138;31.788;32.638;31.146;23.544;21.124;22.294;21.689;15.534;12.963;13.24;12.987;1.478;1.199;1.332;1.132;164;4.299911947575249;52.06774998470124
113879;Leidsestraatweg,S Grav;27.798;24.635;24.999;24.226;20.652;18.21;18.729;18.709;13.347;10.856;10.636;10.914;1.049;0.853;0.958;0.841;165;4.347151843959644;52.099028184786555
15860882;;;28.487;27.961;27.526;;19.235;19.563;19.345;;11.633;11.503;11.491;;1.059;1.172;1.037;166;4.394926882213684;52.06051309281256
725080;004_461_TBT_1;34.529;34.358;33.703;32.572;21.688;19.518;19.831;19.505;14.277;11.83;11.69;11.58;1.187;1.124;1.258;1.115;167;4.377190381514103;52.060299676776665
727026;004_437_TBT_1;29.469;29.301;29.255;28.597;21.162;19.122;19.662;19.484;13.889;11.563;11.579;11.634;1.068;0.949;1.067;0.961;168;4.401757469828289;52.07537231998276
108086;Oude Haagweg,S Gravenh;29.883;27.877;28.386;27.087;22.159;19.847;21.26;20.86;14.437;12.019;12.173;12.282;1.178;0.969;1.103;0.958;169;4.25405741547821;52.06022262332844
110069;Erasmusweg,S Gravenhag;30.04;27.905;28.628;27.506;22.269;19.901;20.923;20.536;14.576;12.08;12.233;12.206;1.19;0.983;1.108;0.971;170;4.291397057658318;52.04654416256183
111860;Korte Voorhout,S Grave;31.982;32.49;33.839;32.872;21.912;19.683;20.562;20.138;14.408;12.003;12.18;12.063;1.304;1.066;1.203;1.028;171;4.316667579649564;52.08308033799798
15843172;R Theresiastraat;38.146;38.824;39.939;38.986;22.866;20.536;21.466;21.021;14.946;12.449;12.655;12.524;1.553;1.275;1.397;1.215;172;4.33668225342719;52.08592079203597
