OBJECTID,BORNAME,ELEMENTNUMMER,BEHEERGROEP,AANLEGJAAR,OPPERVLAK,MATERIAAL,AMBITIENIVEAU,STRUCTUURGEBIED,AANWIJINGEN_UITVOERING,BEHEERDER,EIGENAAR,ONDERHOUDSPLOEG,FUNCTIE,STRUCTUURNIVEAU,BEGROTINGSPOST,BESTEMMING,OPMERKINGEN,EXTRA_INFORMATIE_1,EXTRA_INFORMATIE_2,EXTRA_INFORMATIE_3,GROENGEBIEDCODE,GROENGEBIEDNAAM,GEMEENTE,WOONPLAATS,BUURT,WIJK,STRAAT,STRAATCODE,LIGGING,BEHEEROBJECTSOORT,BEHEEROBJECTOMSCHRIJVING,LAATSTE_MUTATIE,Shape__Area,Shape__Length
1,parkverhardingen,3575,Halfverharding,,60.96,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.28.0001,TU-Noord,Delft,Delft,TU-Noord,28 Wippolder,Michiel de Ruyterweg,3417,Binnen de bebouwde kom,pvg,01.28.0001.pg3575,"18 august    2021, 11:01:24",160.619873046875,93.0076542624467
2,parkverhardingen,7403,Halfverharding,,25.68,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg7403,"8 march     2022, 14:10:53",67.67822265625,83.1514229548107
3,parkverhardingen,7402,Halfverharding,,16.62,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg7402,"8 march     2022, 14:10:44",43.799560546875,37.4661734376649
4,parkverhardingen,7401,Halfverharding,,15.34,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg7401,"8 march     2022, 14:10:37",40.423583984375,38.1625645398829
5,parkverhardingen,7400,Halfverharding,,15.91,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg7400,"8 march     2022, 14:10:30",41.929931640625,38.544642557739
6,parkverhardingen,3683,Halfverharding,,249.18,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg3683,"18 august    2021, 11:01:24",656.7236328125,387.637187091813
7,parkverhardingen,7399,Halfverharding,,16.93,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg7399,"8 march     2022, 14:10:23",44.631103515625,80.1677698799923
8,parkverhardingen,7398,Halfverharding,,134.87,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg7398,"8 march     2022, 14:09:57",355.450927734375,206.803028787734
9,parkverhardingen,7397,Halfverharding,,135.65,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg7397,"8 march     2022, 14:09:45",357.503662109375,178.466711896028
10,parkverhardingen,7396,Halfverharding,,55.39,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg7396,"8 march     2022, 14:09:07",145.97021484375,163.694011550385
11,parkverhardingen,7395,Halfverharding,,141.25,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg7395,"8 march     2022, 14:08:50",372.259521484375,248.421788534668
12,parkverhardingen,3682,Halfverharding,,18.34,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg3682,"17 february  2022, 16:10:54",48.33984375,38.4335910811542
13,parkverhardingen,4330,Halfverharding,,7.59,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg4330,"18 august    2021, 11:01:24",20.002197265625,27.149006200465
14,parkverhardingen,4329,Halfverharding,,15.73,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg4329,"18 august    2021, 11:01:24",41.450927734375,52.9872524179978
15,parkverhardingen,3777,Halfverharding,,73.32,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg3777,"11 february  2022, 13:13:20",193.2373046875,217.548385352776
16,parkverhardingen,8633,Halfverharding,,1323.37,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.28.0001,TU-Noord,Delft,Delft,TU-Noord,28 Wippolder,Michiel de Ruyterweg,3417,Binnen de bebouwde kom,pvg,01.28.0001.pg8633,"21 february  2022, 17:41:41",3486.7685546875,1892.32018704818
17,parkverhardingen,3775,Halfverharding,,29.88,Overig,A (goed) - R+ (goed),,,Beheerder Begraafplaats,Gemeente Delft,,,Perceel 1,,,Uitzoeken,-,,,01.16.0004,Hoflaan,Delft,Delft,Hoflaan,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,pvg,01.16.0004.pg3775,"18 august    2021, 11:01:24",78.7421875,93.4562155868179
