servicewijknummer,servicewijknaam,longitude,latitude
,geen servicewijk,4.9543680909241266,51.562253695555945
,geen servicewijk,5.1007670456325,51.57072215290296
,,5.170872838267594,51.61185510501194
1,binnenstad,5.0870206816030175,51.55149841461795
10a,enschot/bosscheweg,5.130077713294859,51.56745183371816
10b,berkel,5.153147423357644,51.59231450739785
11,udenhout,5.151687279929431,51.60658433065427
2a,goirke/hasselt,5.082556434752868,51.5674074616802
2b,groeseind/hoefstraat,5.108316614255748,51.56329461733167
2c,bouwmeestersbuurt,5.077452227508188,51.56201516124465
2d,theresia/loven/besterd,5.09445608465426,51.56739477586081
3a,armhoef,5.098445951611559,51.55244200567782
3b,broekhoven/jeruzalem,5.113117188306591,51.55522114410357
4a,stappegoor/het laar,5.064972296336216,51.54396807826618
4b,groenewoud,5.099584740983917,51.546781260709054
5a,noordhoek,5.077085563057255,51.56033109067097
5b,korvel - westend - st. anna,5.069285354554587,51.549954690376474
5c,trouwlaan,5.0799847660748885,51.55040625119808
6a,zorgvlied,5.060131155740404,51.550123474302325
6b,de blaak,5.050942844055652,51.54376023889372
7a,de reit,5.056996924336926,51.56409240743908
7c,wandelbos,5.043743893105454,51.57003872308644
8a,gesworen hoek/huibeven,5.019968785980893,51.572937384658964
8b,heyhoef/campenhoef/dongewijk,4.996294179749789,51.58247992130935
7b,het zand,5.0663029290368105,51.575559679336514
8c,heerevelden/de kievit,4.996374176000063,51.58276898593001
8e,koolhoven,4.986636423903839,51.5746849815801
8f,witbrant,5.018585835624417,51.56388282707721
8d,dalem,4.984156206078641,51.588535648107886
9a,stokhasselt,5.076216521456445,51.582709546635584
9c,quirijnstok,5.105684011331361,51.585821313196824
9b,heikant,5.084606510771422,51.578967201115645
