ID,Vlg nr,Nr wk,Wijk,Aantal,Thema1,Nr Th.,Subtehma,Nr sub th.,Vorm,Bedrag,Bedrag per initiatief,Orde van grootte,Kw,Naam initiatief* (colwidth:20),Type,Thema2
,,,,,,,,,,,,,,,"(keuze uit: leefbaarheidsintiatief, participatietraject, beheer door bewoners, eigen initiatief)*", (aantal tekens mag kolombreedte niet overschrijden)*
1026008227,1,1,West,1,Verharde openbare ruimte,1,Verlichting,14,opdr/overdr,3.878,3.878,<=5.000,,Aanlichten kunstwerken Lage Weide,leefbaarheidsinitiatief,Bestrating
1026008527,2,1,West,1,Verharde openbare ruimte,1,Straatmeubilair,13,opdr/overdr,0,0,<=500,,Pleinmeubilair Muntplein,leefbaarheidsinitiatief,Bestrating
1026010171,3,1,West,1,Verharde openbare ruimte,1,Bestrating,12,opdr/overdr,15.544,15.544,<=20.000,,Verzamelopdracht kleine voorzieningen,leefbaarheidsinitiatief,Bestrating
1026010172,4,1,West,33,Verkeer,3,Fietsparkeren,33,opdr/overdr,19.5,591,<=2.000,,Verzamelopdracht fietsparkeren,leefbaarheidsinitiatief,Verkeer en parkeren
1026010224,5,1,West,1,Jeugd,6,Jeugdvoorziening,62,opdr/overdr,12.743,12.743,<=20.000,,Schommels Herderplein,leefbaarheidsinitiatief,Jeugd
1026010240,6,1,West,1,Verharde openbare ruimte,1,Straatmeubilair,13,opdr/overdr,4,4,<=5.000,,Vlaggenmasten Dam-Kanaalstraat,leefbaarheidsinitiatief,Bestrating
1026010447,7,1,West,1,Jeugd,6,Jeugdvoorziening,62,opdr/overdr,4.169,4.169,<=5.000,,Glijbaantje Schimmelplein,leefbaarheidsinitiatief,Jeugd
1026010553,8,1,West,1,Groene openbare ruimte,2,"Groen, overig",25,opdr/overdr,3.064,3.064,<=5.000,,Duiven wegvangen Verdomhoekje,leefbaarheidsinitiatief,Groen
1026010556,9,1,West,1,Jeugd,6,Jeugdvoorziening,62,opdr/overdr,17.2,17.2,<=20.000,,Speelplaatsje Krugerstraat,leefbaarheidsinitiatief,Jeugd
1026010574,10,1,West,13,Verkeer,3,Fietsparkeren,33,opdr/overdr,7.358,566,<=2.000,,Fietsklemmen Joseph Haydnlaan,leefbaarheidsinitiatief,Verkeer en parkeren
1026008541,11,1,West,1,Groene openbare ruimte,2,"Groen, overig",25,opdr/overdr,336,336,<=500,,Subsidie stichting Eco groen Utr west,leefbaarheidsinitiatief,Groen
1026009145,12,1,West,1,Groene openbare ruimte,2,"Groen, overig",25,opdr/overdr,164,164,<=500,,Planten boom Ambonstraat,leefbaarheidsinitiatief,Groen
1026010501,13,1,West,1,Groene openbare ruimte,2,"Groen, overig",25,opdr/overdr,7.078,7.078,<=20.000,,Bloembakken Handelstraat,leefbaarheidsinitiatief,Groen
1026005555,14,1,West,1,Verkeer,3,Fietsparkeren,33,opdr/overdr,131,131,<=500,,Fietsenklemmen Leidseweg,leefbaarheidsinitiatief,Verkeer en parkeren
1026008333,15,1,West,1,Verkeer,3,Fietsparkeren,33,opdr/overdr,492,492,<=500,,Verzamelopdracht fietsparkeren,leefbaarheidsinitiatief,Verkeer en parkeren
1026009630,16,1,West,1,Verkeer,3,Verkeer,31,opdr/overdr,246,246,<=500,,Aanpassen inrit Atoomweg,leefbaarheidsinitiatief,Verkeer en parkeren
1026009873,17,1,West,1,Verkeer,3,Fietsparkeren,33,opdr/overdr,345,345,<=500,,Fietsenklemmen Th. á Kempisplantsoen,leefbaarheidsinitiatief,Verkeer en parkeren
1026008593,18,1,West,1,Veiligheid,8,"Veiligheid, overig",85,opdr/overdr,800,800,<=2.000,,Aanpak rolluiken Lombok,leefbaarheidsinitiatief,Veiligheid
1026009137,19,1,West,1,Participatie,7,Participatie,73,opdr/overdr,5,5,<=20.000,,Ontwikkeling kiosk Westplein e/o,leefbaarheidsinitiatief,Buurt- en belangengroepen
1026009212,20,1,West,1,Welzijn,4,"Kunstwerk, cultuur",41,opdr/overdr,2.704,2.704,<=5.000,,"Kracht van Zuilen, verhalen werkspoorter",leefbaarheidsinitiatief,Cultuur
1026009404,21,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,1.04,1.04,<=2.000,,Bijdrage thuis afgehaald,leefbaarheidsinitiatief,Welzijn
1026009636,22,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,1.431,1.431,<=2.000,,Lombox en parkschool,leefbaarheidsinitiatief,Welzijn
1026009637,23,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,7.089,7.089,<=20.000,,Waterwerken,leefbaarheidsinitiatief,Welzijn
1026009638,24,1,West,1,Welzijn,4,"Kunstwerk, cultuur",41,opdr/overdr,1.291,1.291,<=2.000,,Atelierroute OpenLab,leefbaarheidsinitiatief,Cultuur
1026009639,25,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,1.322,1.322,<=2.000,,Project Koffierituelen,leefbaarheidsinitiatief,Welzijn
1026009640,26,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,1.499,1.499,<=2.000,,Project Langste Vredesvlag,leefbaarheidsinitiatief,Welzijn
1026009641,27,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,8.192,8.192,<=20.000,,Project Lievelings en Halve Maan,leefbaarheidsinitiatief,Welzijn
1026009758,28,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,1.75,1.75,<=2.000,,Project lombok Boft,leefbaarheidsinitiatief,Welzijn
1026006634,29,1,West,1,Participatie,7,Bewoners- of belangengroep,71,opdr/overdr,0,0,<=500,,Bewonersgroep Open Oog in al,leefbaarheidsinitiatief,Buurt- en belangengroepen
1026008131,30,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,880,880,<=2.000,,Lombok bij de Kop 2,leefbaarheidsinitiatief,Welzijn
1026008478,31,1,West,1,Welzijn,4,"Kunstwerk, cultuur",41,opdr/overdr,3.21,3.21,<=5.000,,Cultureel Netwerk 2012,leefbaarheidsinitiatief,Cultuur
1026008594,32,1,West,1,Sociale cohesie,5,Festival,53,opdr/overdr,211,211,<=500,,Festiviteiten 5 mei in  lombok,leefbaarheidsinitiatief,Sociale activiteit
1026008763,33,1,West,1,Participatie,7,Bewoners- of belangengroep,71,opdr/overdr,1.6,1.6,<=2.000,,Wijkvereniging Oog in al,leefbaarheidsinitiatief,Buurt- en belangengroepen
1026008765,34,1,West,1,Participatie,7,Bewoners- of belangengroep,71,opdr/overdr,305,305,<=500,,Beheergroep Muntplein,leefbaarheidsinitiatief,Buurt- en belangengroepen
1026008825,35,1,West,1,Welzijn,4,"Kunstwerk, cultuur",41,opdr/overdr,1.105,1.105,<=2.000,,Kerstmarkt  Park Oog in Al,leefbaarheidsinitiatief,Cultuur
1026009140,36,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,294,294,<=500,,Straatfeest Molierlaan 2012,leefbaarheidsinitiatief,Welzijn
1026009598,37,1,West,1,Participatie,7,Bewoners- of belangengroep,71,opdr/overdr,0,0,<=500,,Bewonersgroep Both&Camphuys,leefbaarheidsinitiatief,Buurt- en belangengroepen
1026010223,38,1,West,1,Sociale cohesie,5,Sociale activiteit,52,opdr/overdr,309,309,<=500,,Midwinterborrel beheergroep Muntplein,leefbaarheidsinitiatief,Welzijn
1026008798,39,1,West,1,Welzijn,4,Bewegen,43,opdr/overdr,130,130,<=500,,Sportactiviteit Bankaplein,leefbaarheidsinitiatief,Sport en bewegen
1026009315,40,1,West,1,Jeugd,6,Jeugdactiviteit,61,opdr/overdr,173,173,<=500,,Zomeractiviteiten speeltuin Banka,leefbaarheidsinitiatief,Jeugd
