FID,nummer,bwid_code,donarcode,eu_naam,x_coörd,y_coörd,etrs_89_ea,etrs_89_no,rws_dienst,provincie,zwp_naam,zwp_datum,zwp_period,zwp_kwal,zwp_beoord,blauw_vlag,zout_zoet,eu_2012,eu_2013,eu_2014,eu_2015,eu_actueel,blauwalg,krw_code,krw_systee,se_anno_cad_data,gdb_geomattr_data,shape
zwemlocaties_rws_2016.1,1,NLBW92_ABBSD,ABBSD,ABBERTSTRAND,186662.72189,502683.892641,693642.771,5821694.175,Midden Nederland,FLEVOLAND,Abbertstrand,2008,2004-2007,goed,2013,nee,zoet,Goed,Goed,Uitstekend,Goed,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (186662.72190000117 502683.8925999999)
zwemlocaties_rws_2016.2,2,NLBW92_ALMRBSD,ALMRBSD,SURFSTRAND ALMERE HAVEN,142600,483024,650251.183,5800588.819,Midden Nederland,FLEVOLAND,Surfstrand Almere Haven,2009,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,,POINT (142600 483024)
zwemlocaties_rws_2016.3,3,NLBW92_ALMRJHVN,ALMRJHVN,ZWEMSTRAND ALMERE HAVEN,143103.578088,482782.632641,650762.43,5800364.197,Midden Nederland,FLEVOLAND,Zwemstrand Almere Haven,2009,2004-2007,goed,2013,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,,POINT (143103.57809999958 482782.63259999827)
zwemlocaties_rws_2016.4,4,NLBW92_ELLSD,ELLSD,ELLERSTRAND,182212.239734,494081.606264,689478.547,5812948.363,Midden Nederland,FLEVOLAND,Ellerstrand,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (182212.2397999987 494081.6063000001)
zwemlocaties_rws_2016.5,5,NLBW92_ERKMDSOT,ERKMDSOT,ERKEMEDERSTRAND,161962,475441,669852.761,5793648.258,Midden Nederland,FLEVOLAND,ERKEMEDERSTRAND,2015,2011-2014,goed,2014,nee,zoet,Goed,Goed,Goed,Goed,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (161962 475441)
zwemlocaties_rws_2016.6,6,NLBW92_HARDSD,HARDSD,HARDERSTRAND,171218.329629,488082.938519,678687.675,5806589.32,Midden Nederland,FLEVOLAND,HARDERSTRAND,2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (171218.3295999989 488082.9384999983)
zwemlocaties_rws_2016.7,7,NLBW92_HOUTRHBSD,HOUTRHBSD,"HOUTRIBHOEK, LELYSTAD",159646.27217,506870.898959,666500.485,5824985.471,Midden Nederland,FLEVOLAND,"HOUTRIBHOEK, LELYSTAD",2009,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL92_IJSSELMEER,IJsselmeer,,,POINT (159646.27230000123 506870.8990000002)
zwemlocaties_rws_2016.8,8,NLBW92_HARDWKZSD,HARDWKZSD,HARDERWIJKERZAND,147675,479354,655444.306,5797088.254,Midden Nederland,NOORD HOLLAND,HARDERWIJKERZAND,2015,2013-2014,goed,n.a.n.,nee,zoet,geen,geen,geen,Nieuw,Goed,ja,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,,POINT (147675 479354)
zwemlocaties_rws_2016.9,9,NLBW92_LAAKSSD,LAAKSSD,LAAKSE STRAND,158630.124645,474409.747385,666556.557,5792507.738,Midden Nederland,FLEVOLAND,LAAKSE STRAND,2013,2009-2012,goed,2012,nee,zoet,Goed,Goed,Goed,Uitstekend,Goed,ja,NL92_RANDMEREN_ZUID,Randmeren-Zuid,,,POINT (158630.12460000068 474409.7474000007)
zwemlocaties_rws_2016.10,10,NLBW92_MUIDZD,MUIDZD,ALMEERDERSTRAND,138056,483086,645707.814,5800500.954,Midden Nederland,FLEVOLAND,ALMEERDERSTRAND,2013,2009-2012,uitstekend,2012,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_MARKERMEER,Markermeer,,,POINT (138056 483086)
zwemlocaties_rws_2016.11,11,NLBW92_RIVRBZWT,RIVRBZWT,RIVIERA BEACH ZUIDWEST,183126.757532,495096.511692,690359.142,5813993.059,Midden Nederland,FLEVOLAND,RIVIERA BEACH ZUIDWEST,2013,2009-2012,aanvaardbaar,2015,nee,zoet,Aanvaardbaar,Aanvaardbaar,Aanvaardbaar,Goed,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (183126.7575000003 495096.5117999986)
zwemlocaties_rws_2016.12,12,NLBW92_RIVRCPZSOT,RIVRCPZSOT,RIVIERA BEACH NOORDOOST,183449.28769,495669.101524,690662.614,5814576.066,Midden Nederland,FLEVOLAND,RIVIERA BEACH NOORDOOST,2013,2009-2012,uitstekend,2012,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (183449.28779999912 495669.1015000008)
zwemlocaties_rws_2016.13,13,NLBW92_SCHOKKHVRCAT,SCHOKKHVRCAT,"STRAND SCHOKKERHAVEN, RECREATIEHOEK",179153.105263,513893.674641,685765.31,5832650.489,Midden Nederland,FLEVOLAND,"STRAND SCHOKKERHAVEN, RECREATIEHOEK",2008,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_KETELMEER_VOSSEMEER,Ketelmeer + Vossemeer,,,POINT (179153.1053000018 513893.6746000014)
zwemlocaties_rws_2016.14,14,NLBW92_SPIJKSD,SPIJKSD,SPIJKSTRAND,183813.923458,496540.253579,690998.306,5815458.904,Midden Nederland,FLEVOLAND,SPIJKSTRAND,2011,2007-2010,uitstekend,2011,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,,,POINT (183813.92350000143 496540.25360000134)
zwemlocaties_rws_2016.15,15,NLBW92_URKWTHVN,URKWTHVN,STRAND STAVERSEKADE,169014.921227,519172.647218,675457.099,5837591.029,Midden Nederland,FLEVOLAND,STRAND STAVERSEKADE,2009,2004-2007,uitstekend,n.a.n.,nee,zoet,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL92_IJSSELMEER,IJsselmeer,,,POINT (169014.92130000144 519172.64730000123)
