FID,ZAKRECHT,NAAM,NAAM_UPPER,GEOMETRIE
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d29,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((186701.714 425712.22, 186709.365 425708.775, 186717.276 425726.465, 186709.704 425729.816, 186709.559 425729.882, 186701.714 425712.22))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d2a,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((189314.319 427204.851, 189314.067 427203.52, 189334.85 427199.724, 189335.509 427205.459, 189307.85 427210.511, 189307.358 427207.825, 189314.622 427206.452, 189314.319 427204.851))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d2b,Eigendom (recht van),Stichting Portaal,STICHTING PORTAAL,"POLYGON ((185244.923 424165.081, 185235.655 424157.08, 185242.254 424149.628, 185247.969 424142.952, 185251.987 424138.113, 185299.894 424179.82, 185300.193 424182.39, 185269.821 424217.487, 185256.797 424232.63, 185248.541 424242.219, 185240.676 424251.548, 185237.636 424251.578, 185200.5 424219.664, 185200.517 424217.106, 185204.584 424212.324, 185212.327 424203.166, 185227.833 424185.049, 185235.894 424175.742, 185239.652 424171.24, 185243.515 424166.727, 185244.923 424165.081))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d2c,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((186938.215 425406.774, 186939.587 425412.421, 186925.425 425416.17, 186925.65 425417.092, 186922.388 425417.894, 186921.747 425418.052, 186921.443 425416.819, 186922.084 425416.661, 186921.81 425415.544, 186921.169 425415.702, 186917.819 425416.525, 186916.812 425412.439, 186938.215 425406.774))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d2d,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((184365.253 424317.905, 184371.398 424302.038, 184405.484 424315.265, 184399.326 424331.124, 184365.253 424317.905))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d2e,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((186991.114 425368.038, 187017.503 425361.743, 187017.519 425361.808, 187018.891 425367.404, 187007.797 425370.129, 187007.74 425369.9, 187007.144 425370.052, 187007.2 425370.276, 186992.496 425373.89, 186991.114 425368.038))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d2f,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((185852.14 424361.095, 185838.17 424349.169, 185842.273 424344.4, 185856.203 424356.373, 185852.14 424361.095))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d30,Eigendom (recht van),Stichting Talis,STICHTING TALIS,"POLYGON ((181849.39 427635.59, 181856.3 427631.94, 181857 427633.27, 181861.8 427630.75, 181866.57 427628.25, 181871.34 427625.74, 181876.11 427623.24, 181878.411 427622.028, 181884.9 427634.63, 181888.52 427641.66, 181855.21 427659.09, 181844.3 427638.26, 181847.177 427636.751, 181849.39 427635.59))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d31,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((187028.427 425351.878, 187030.4 425351.416, 187028.966 425345.321, 187046.849 425341.015, 187046.889 425341.377, 187046.957 425341.618, 187047.068 425341.842, 187047.248 425342.074, 187047.474 425342.262, 187047.736 425342.397, 187048.02 425342.472, 187048.314 425342.484, 187052.266 425341.878, 187052.824 425341.848, 187053.342 425341.92, 187053.699 425342.067, 187053.965 425342.246, 187056.028 425350.715, 187029.709 425357.159, 187028.427 425351.878))"
BRK_CORPORATIES.fid-36cc8544_1861e935291_1d32,Eigendom (recht van),Stichting Woonwaarts,STICHTING WOONWAARTS,"POLYGON ((187028.427 425351.878, 187029.709 425357.159, 187031.113 425362.94, 187032.515 425368.713, 187033.924 425374.514, 187035.359 425380.423, 187035.598 425381.404, 187037.334 425388.542, 187038.743 425394.334, 187040.19 425400.281, 187066.438 425393.561, 187072.722 425418.51, 187072.748 425418.996, 187072.725 425419.317, 187072.635 425419.727, 187072.503 425420.065, 187072.187 425420.55, 187071.795 425420.935, 187071.288 425421.308, 187070.522 425421.619, 187069.507 425421.919, 187065.483 425405.203, 187035.412 425412.506, 187039.897 425430.679, 187039.752 425430.722, 187039.545 425430.677, 187039.228 425430.556, 187038.844 425430.369, 187038.512 425430.171, 187038.191 425429.887, 187037.92 425429.578, 187037.692 425429.253, 187037.502 425428.783, 187032.386 425407.913, 187034.283 425404.441, 187022.541 425356.366, 187021.651 425355.971, 187020.893 425355.542, 187019.475 425354.751, 187019.294 425354.016, 187028.427 425351.878))"
