Nummer;Totaal van;Jaar;Maand;Type aanvraag;Nationaliteit;Aantal aanvragen
1;Jaar;2022;*Alle*;*Alle*;*Alle*;37060
2;Jaar, Maand;2022;01;*Alle*;*Alle*;2070
2;Jaar, Maand;2022;02;*Alle*;*Alle*;1740
2;Jaar, Maand;2022;03;*Alle*;*Alle*;3030
2;Jaar, Maand;2022;04;*Alle*;*Alle*;2370
2;Jaar, Maand;2022;05;*Alle*;*Alle*;2650
2;Jaar, Maand;2022;06;*Alle*;*Alle*;2700
2;Jaar, Maand;2022;07;*Alle*;*Alle*;2870
2;Jaar, Maand;2022;08;*Alle*;*Alle*;3950
2;Jaar, Maand;2022;09;*Alle*;*Alle*;4520
2;Jaar, Maand;2022;10;*Alle*;*Alle*;4210
2;Jaar, Maand;2022;11;*Alle*;*Alle*;4200
2;Jaar, Maand;2022;12;*Alle*;*Alle*;2740
3;Jaar, Maand, Type aanvraag;2022;01;Asiel - 1e aanvraag;*Alle*;1960
3;Jaar, Maand, Type aanvraag;2022;01;Asiel - tweede en volgende aanvragen;*Alle*;110
3;Jaar, Maand, Type aanvraag;2022;02;Asiel - 1e aanvraag;*Alle*;1600
3;Jaar, Maand, Type aanvraag;2022;02;Asiel - tweede en volgende aanvragen;*Alle*;140
3;Jaar, Maand, Type aanvraag;2022;03;Asiel - 1e aanvraag;*Alle*;2890
3;Jaar, Maand, Type aanvraag;2022;03;Asiel - tweede en volgende aanvragen;*Alle*;140
3;Jaar, Maand, Type aanvraag;2022;04;Asiel - 1e aanvraag;*Alle*;2220
3;Jaar, Maand, Type aanvraag;2022;04;Asiel - tweede en volgende aanvragen;*Alle*;150
3;Jaar, Maand, Type aanvraag;2022;05;Asiel - 1e aanvraag;*Alle*;2530
3;Jaar, Maand, Type aanvraag;2022;05;Asiel - tweede en volgende aanvragen;*Alle*;120
3;Jaar, Maand, Type aanvraag;2022;06;Asiel - 1e aanvraag;*Alle*;2580
3;Jaar, Maand, Type aanvraag;2022;06;Asiel - tweede en volgende aanvragen;*Alle*;120
3;Jaar, Maand, Type aanvraag;2022;07;Asiel - 1e aanvraag;*Alle*;2750
3;Jaar, Maand, Type aanvraag;2022;07;Asiel - tweede en volgende aanvragen;*Alle*;130
3;Jaar, Maand, Type aanvraag;2022;08;Asiel - 1e aanvraag;*Alle*;3840
3;Jaar, Maand, Type aanvraag;2022;08;Asiel - tweede en volgende aanvragen;*Alle*;110
3;Jaar, Maand, Type aanvraag;2022;09;Asiel - 1e aanvraag;*Alle*;4430
3;Jaar, Maand, Type aanvraag;2022;09;Asiel - tweede en volgende aanvragen;*Alle*;90
3;Jaar, Maand, Type aanvraag;2022;10;Asiel - 1e aanvraag;*Alle*;4080
3;Jaar, Maand, Type aanvraag;2022;10;Asiel - tweede en volgende aanvragen;*Alle*;130
3;Jaar, Maand, Type aanvraag;2022;11;Asiel - 1e aanvraag;*Alle*;4070
3;Jaar, Maand, Type aanvraag;2022;11;Asiel - tweede en volgende aanvragen;*Alle*;130
3;Jaar, Maand, Type aanvraag;2022;12;Asiel - 1e aanvraag;*Alle*;2600
3;Jaar, Maand, Type aanvraag;2022;12;Asiel - tweede en volgende aanvragen;*Alle*;150
4;Jaar, Type aanvraag;2022;*Alle*;Asiel - 1e aanvraag;*Alle*;35540
4;Jaar, Type aanvraag;2022;*Alle*;Asiel - tweede en volgende aanvragen;*Alle*;1530
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Afghaanse;130
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Algerijnse;90
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Azerbeidzjaanse;20
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Belarussische;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Boliviaanse;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Chinese;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Colombiaanse;30
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Egyptische;20
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Eritrese;90
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Ethiopische;20
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Gambiaanse;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Guinese;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Indiase;30
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Iraakse;50
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Iraanse;50
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Jemenitische;90
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Jordaanse;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Kameroense;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Kazachse;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Libanese;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Malinese;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Marokkaanse;50
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Mexicaanse;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Nigeriaanse;60
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Oekraïense;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Onbekend;90
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Pakistaanse;200
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Russische;20
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Salvadoraanse;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Sierra Leoonse;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Soedanese;20
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Somalische;90
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Sri Lankaanse;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Syrische;560
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Tunesische;30
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Turkse;120
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Ugandese;10
5;Jaar, Maand, Nationaliteit;2022;01;*Alle*;Venezolaanse;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Afghaanse;110
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Algerijnse;120
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Azerbeidzjaanse;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Belarussische;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Colombiaanse;30
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Egyptische;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Eritrese;90
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Ethiopische;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Gambiaanse;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Georgische;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Guinese;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Indiase;20
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Iraakse;50
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Iraanse;40
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Jemenitische;120
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Libische;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Macedonische/Burger van Noord-Macedonië;10
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Marokkaanse;60
5;Jaar, Maand, Nationaliteit;2022;02;*Alle*;Nigeriaanse;50
