Leverancier;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
About Flowers;1;;;;;1
Accor Hospitality Nederland N.V.;;1;;;;1
ACT Financial Solutions B.V.;;;4;;;4
AGVR B.V.;3;;;;;3
Albyco Nederland B.V.;1;;;;;1
Anoniem_DEF_105;1;;;;;1
Anoniem_DEF_132;1;;;;;1
Anoniem_DEF_140;1;;;;;1
Anoniem_DEF_206;1;;;;;1
Anoniem_DEF_208;2;;;;;2
Anoniem_DEF_250;1;;;;;1
Anoniem_DEF_263;1;;;;;1
Anoniem_DEF_312;1;;;;;1
Anoniem_DEF_359;3;;;;;3
Anoniem_DEF_379;1;;;;;1
Anoniem_DEF_380;1;;;;;1
Anoniem_DEF_386;1;;;;;1
Anoniem_DEF_412;1;;;;;1
Anoniem_DEF_419;1;;;;;1
Anoniem_DEF_471;;1;;;;1
Anoniem_DEF_5;1;;;;;1
Anoniem_DEF_531;4;;;;;4
Anoniem_DEF_546;5;;;;;5
Anoniem_DEF_568;1;;;;;1
Anoniem_DEF_579;1;;;;;1
Anoniem_DEF_605;1;5;;;;5
Anoniem_DEF_644;1;;;;;1
Anoniem_DEF_655;1;;;;;1
Anoniem_DEF_744;1;;;;;1
Anoniem_DEF_75;1;;;;;1
Anoniem_DEF_757;1;;;;;1
Anoniem_DEF_810;1;;;;;1
Anoniem_DEF_838;1;;;;;1
Anoniem_DEF_862;1;;;;;1
Anoniem_DEF_898;1;;;;;1
Anoniem_DEF_94;;1;;;2;2
Anoniem_DEF_941;1;;;;;1
Anoniem_DEF_944;1;;;;;1
AQA Hydrasep B.V.;1;;;;;1
Arjo Nederland B.V.;1;;;;;1
Armada Structures;;1;;;;1
AXA;1;;;;;1
Bazelmans Audio Visual Rentals;2;;;;;2
Besselink Electro Import B.V.;1;;;;;1
Betahuis;;;;;1;1
Bob's Bloemen en Zo;1;;;;;1
Boer Staphorst B.V.;2;;;;;2
Boerhof Projectinrichters;1;;;;;1
bol.com B.V.;2;;;;;2
Boon Schoen- en Sleutelservice Amersfoort;1;;;;;1
Bos Vlaggen B.V.;1;;;;;1
Bosscher International;2;;;;;2
Bouwhekken Nederland B.V.;1;;;;;1
Bouwmaat Nederland B.V.;1;;;;;1
Brack Capital Germany (Netherlands) XXXI B.V.;;;;;1;1
Brezan Automaterialen Goes;1;;;;;1
Bron Snijder wonen en slapen;2;;;;;2
Brondool B.V.;1;;;;;1
Bronsport B.V.;1;;;;;1
Buitenkado;1;;;;;1
Camera Tools B.V.;1;;;;;1
Champion Biljarts B.V.;1;;;;;1
Cleanmaster Biolux;1;;;;;1
Comfort Best B.V.;1;;;;;1
Conrad Electronic Benelux B.V.;1;;;;;1
Coolblue B.V.;2;;;;;2
Coöperatie Primera BA;3;;;;;3
Customize-it B.V.;2;;;;;2
D.H.T.C. Den Helder Training Centre B.V.;1;;;;;1
DDJ Media;1;;;;;1
De Tuolle;1;;;;;1
De Vries Projekt Design B.V.;1;;;;;1
De Weerd Bouw&Installatieservice;;1;;;;1
Deba 2000 B.V.;2;;;;;2
DecoPartners;1;;;;;1
Dementie-winkel.nl B.V.;1;;;;;1
Den Hartigh Adviesgroep B.V.;1;;;;;1
Destil B.V.;1;;;;;1
Dierenkliniek Velp-Veluwezoom;1;;;;;1
Discountoffice.nl B.V.;1;;;;;1
Dixi Sanitary Services B.V.;7;;;;;7
Dokkumer Vlaggen Centrale B.V.;1;;;;;1
Drukkerij De Toekomst B.V.;1;;;;;1
Dunea N.V.;;;4;;;4
Duursma Electro V.O.F.;1;;;;;1
Eden Springs Nederland B.V.;1;;;;;1
Eijsink Afrekensystemen B.V.;1;;;;;1
Enduris B.V.;;;2;;;2
Eneco B.V.;;;9;;;9
Eneco Services B.V.;;;2;;;2
Eneco Zakelijk;;;3;;;3
Enexis Netbeheer B.V.;;;7;;;7
Ennatuurlijk B.V.;;;4;;;4
EVENTO party&event-rent B.V.;1;;;;;1
Evidensia Dierenklinieken B.V.;1;;;;;1
Expert Dieren B.V.;2;;;;;2
Fidato B.V.;1;;;;;1
FietsNED B.V.;3;;;;;3
Fletcher Hotel Exploitaties B.V.;;;;;1;1
Fudura B.V.;;;3;;;3
Fysiotherapie en Manuele therapie 'Velperweg';1;;;;;1
Golfbaan Het Rijk van Nijmegen B.V.;2;;;;;2
Gouwenberg vloeren.gordijnen.zonwering;4;;;;;4
Greenchoice;;;3;;;3
H.E.L. Shooter B.V.;1;;;;;1
Hatz-Nederland B.V.;;;1;;;1
Hayman Tweewielers B.V.;1;;;;;1
Health2Work B.V.;1;;;;;1
Heijmans Timmerwerken;1;;;;;1
Héman Verhuurservice B.V.;2;;;;;2
Hessel's Toiletwagenverhuur B.V.;1;;;;;1
High Five Health Promotion B.V.;1;;;;;1
House of Sports;1;;;;;1
Huisman Mediap B.V.;1;;;;;1
Inbraakpreventie 'M.I.B.' B.V.;1;;;;;1
Industrial Solutions Zuid-Oost B.V.;;;1;;;1
Ingenieursbureau Ebatech B.V.;;;3;;;3
Inspiring Company;1;;;;;1
Intratuin Duiven;1;;;;;1
iPadspullekes B.V.;1;;;;;1
Jacobs Verhuizingen;1;;;;;1
JB Caravans;1;;;;;1
Joulz Infradiensten B.V.;;;1;;;1
