Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;Eindtotaal
Aannemersbedrijf G.B. van Hoek B.V.;2;;;2
Conrad Electronic Benelux B.V.;1;;;1
Discountoffice.nl B.V.;;;1;1
Dunea N.V.;;2;;2
Electro-Engros van der Wiel B.V.;1;;;1
Eneco Services B.V.;;3;;3
Eneco Zakelijk;;4;;4
Firesol B.V.;1;;;1
First Light B.V.;1;;;1
G. Vermes B.V.;1;;;1
Greenchoice;;4;;4
Heijmans Utiliteit;3;;;3
Henri de Jong Tuinen B.V.;1;;;1
Ingenieursbureau Ebatech B.V.;;1;;1
Koek & Reinders Schilderwerken B.V.;2;;;2
Mastermate VBT Groep;1;;;1
Oliecentrale Nederland;1;;;1
Saval B.V.;1;;;1
Stedin;;3;;3
TL Besparen B.V.;1;;;1
Top Movers Nederland B.V.;;;2;2
Unica Installatietechniek;1;;;1
UTS ABBINK Den Haag;;;2;2
Van Schoonhoven Reclamestudio;;;1;1
VANWAARDE Documentenwacht B.V.;1;;;1
Eindtotaal;4;5;3;6
