BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;PROVINCIE VESTIGING;SAMENWERKINGSVERBAND PASSEND ONDERWIJS VO;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW;TOTAAL
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;Brugjaar 1-2;N.v.t.;N.v.t.;0011;VMBO-GL/TL/HAVO voorbereidende leerjaren;29;26;38;44;0;0;0;0;0;0;0;0;137
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;Brugjaar 1-2;N.v.t.;N.v.t.;0015;HAVO/VWO voorbereidende leerjaren;40;22;38;43;0;0;0;0;0;0;0;0;143
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;Engelse Stroom;N.v.t.;N.v.t.;0700;International Baccalaureate middle years programme;8;9;9;5;10;10;10;11;15;8;0;0;95
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;2;7;0;1;0;0;10
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;20;15;17;10;0;0;62
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;HAVO lj 4-5;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0379;HAVO Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;1;1;0;0;0;0;2
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;21;13;12;14;0;0;60
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;1;0;6;1;0;0;8
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;HAVO lj 4-5;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0374;HAVO Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;5;2;0;0;0;0;7
01UH;00;Maartenscollege;HAREN GN;Groningen;VO2001;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;1;1;2;2;0;0;6
