Handelsnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
&ranj B.V.;;;;;;;;2;2
4Value B.V.;;;;;;;;1;1
Abbott Informatics Netherlands B.V.;;;;;;2;;;2
Acrosoft Nederland;;;;;;;;1;1
Addcomm Direct B.V.;;;;;;;;1;1
AEVES B.V.;;;;;;;;1;1
Agilent Technologies Netherlands B.V.;;;;;;;1;;1
Agrovision B.V.;;;;;;;;1;1
AllSolutions B.V.;;;;;;;;1;1
Amcom;;;;;;;1;;1
Amsio B.V.;;;;;2;;;;2
Andrews Sykes B.V.;;;;;;1;;1;1
Anoigo Services Limited;;;2;;;3;;2;4
Applied Maths N.V.;;;;;;;;2;2
ARCADIS Nederland;;;;;;;;1;1
ASB Security B.V.;;;;;;;1;;1
AST Marine Siences Ltd;;;;;;;1;;1
Atos Nederland B.V.;;6;1;7;6;;;7;8
Auditconnect B.V.;;;;2;;;;;2
Avex B.V.;;1;;;;;;;1
Axians;2;;;;2;;;1;2
Baker Tilly Berk Breda;;;;;3;;;;3
Belstore.Com B.V.;;;;;;;1;;1
Berenschot Groep B.V.;;;;;;;;4;4
Between B.V.;;;;;3;;;2;3
BioAware SA N.V.;;;;;2;;;2;3
Biomatters Ltd;;;;;;;;1;1
bioMérieux Benelux B.V.;;;;;;;;1;1
BIS Bedrijfs Informatie Systemen B.V.;1;;;;;;;;1
Bitall B.V.;1;;;;;;;;1
BLAUD B.V.;;;;;;;1;;1
Bleck Cross Media Creativity;;;;;1;;;;1
Blinker B.V.;;;;;;;;1;1
Bluelink B.V.;;1;;;;;;;1
Boerderij Kamps;;;;1;;;;;1
bol.com B.V.;;;;;;;1;;1
BPI Services B.V.;;;;;2;;;;2
Bredenoord B.V.;;;;;;;;1;1
Breijer Contractonderhoud B.V.;1;2;1;;;2;;2;3
BRW B.V.;;;;;;;;1;1
BSID;;;;;;;;1;1
BT Nederland N.V.;;5;;;;5;1;1;6
BT Professional Services Nederland B.V.;;;;1;;;;4;4
BTC Teleconsult;;;;;;;2;;2
Bun­desver­wal­tungsamt;;;;;;;;1;1
Cam IT Solutions B.V.;5;;;;;;;;5
Cambrium B.V.;;;;;;;1;;1
Candiensten B.V.;;;;1;;;;;1
Cannock Chase B.V.;;;;;;;1;;1
Canon Nederland N.V.;1;2;2;;;;1;;3
Capgemini Nederland B.V.;1;6;2;1;;1;5;9;9
cards ICT Solutions B.V.;;1;;;;;1;;1
CBS Solutions;;;;;;;;3;3
Cendris Dataconsulting B.V.;;1;;;;;;;1
Central Point Nederland B.V.;;1;;;;;;;1
Centric;;;;;3;3;;;4
Centrum voor Publieke Innovatie CPI B.V.;;;3;;;2;;2;4
CGE Risk Management Solutions B.V.;;;;;1;;;;1
CGI Nederland B.V.;;1;;;5;;;7;7
Chalet XV B.V.;;;;;;;2;;2
CHEMDOX GmdH;;;;;;;;1;1
Cimsolutions;;;;;2;;;;2
Circle Systems Inc;;;;;1;;;;1
Claranet Benelux B.V.;;1;;;;;;;1
CLS-Collecte Localisation Satellites;;;;;;;3;;3
CM Telecom B.V.;;;;;;;2;;2
CoMore B.V.;;;;;;;1;;1
COMPAREX Nederland B.V.;6;1;;;4;;;;6
Connected Information Systems B.V.;;;;;2;;;;2
Conquaestor B.V.;;;;;;;;1;1
Conrad Electronic Benelux B.V.;1;;;;;;;;1
Coolblue B.V.;;1;;1;;;2;1;2
Cosinus Computing B.V.;2;;;;1;;;;2
Creaim B.V.;;;;;;;;1;1
CreativeCrowds B.V.;;;;;;;;1;1
CRFS Ltd  Building 7200;;;;;;;3;;3
Croon Elektrotechniek B.V.;;;;;;2;1;;2
CTM Solution B.V.;;;;;;;;1;1
CycloMedia Technology B.V.;;;;;1;;;;1
D Hosting;1;;;;;;;;1
D.D.S. Electronics Europe B.V.;;;;;;;1;;1
Data Recovery Nederland;;;1;;;;;;1
DataExpert B.V.;;;;;1;;1;1;2
Dataplus Netherlands B.V.;;;;;4;;;;4
Daxisweb B.V.;;;;;1;;;;1
DCA Groep B.V.;;;;1;;;;;1
De Lage Landen Vendorlease B.V.;;;;;;;1;;1
De Polderland Groep B.V.;;;;;;;;2;2
De Vos Groep B.V.;;;;;;1;;;1
Dell Products (Europe) BV;;;;;;;;1;1
Delmation Products B.V.;;1;;;;;;;1
Deloitte Belastingadviseurs B.V.;;;;;;;;2;2
Designeffects;1;;;;;;;;1
Detron Computerverhuur;;1;;;;;2;2;2
Detron Telecom Enterprise;;2;;4;4;;2;4;6
DGMR Software B.V.;;;;;;;;1;1
Digidentity B.V.;;;;;1;;;1;1
Dionar B.V.;;;;;1;;;;1
Dophou Nederland B.V.;1;;;;;;;;1
Dow Jones & Company Inc.;;;;;2;;;;2
DPI Animation House B.V.;;;;;;;;1;1
Driebit B.V.;1;;;;;;;;1
Driebit Hosting B.V.;1;;;;;;;;1
DTG B.V.;1;;;;;;;;1
Easylocate;;;;;;;;1;1
Easynet Nederland B.V.;;;;;;;2;;2
Eduwise;;;;;;;;1;1
Effectory B.V.;;;;;;;;1;1
E-Office B.V.;;;;;;;1;;1
EOM Data Solutions B.V.;;;;;;;;2;2
Equinix (Netherlands) B.V.;;1;;;;6;;1;6
Ergobrain B.V.;1;;;;1;;;;1
Ernst & Young Accountants LLP;;;;;;;;3;3
Escrow Europe B.V.;;;;;1;;;;1
Esecor B.V.;;;;;2;;;;2
Esri Nederland;;;;;3;;;;3
Evenium;;;;;;;;1;1
Exact Netherlands B.V.;;;;;1;;;;1
Exact Software Nederland B.V.;;;;;1;;;;1
Except;;;;;;;;2;2
Exelirent B.V.;;;;;;;;1;1
Fastwell Office Automation B.V.;;1;;;;;;;1
FEL Concepts B.V.;;;;;;;;2;2
Finalist IT Group B.V.;;;;;1;2;;1;2
Firma Beukeveld;;;;;;;;1;1
Fleetlogic B.V.;;1;;;;;;;1
ForwardIT B.V.;;;;;1;;;;1
Fox Crypto B.V.;;5;;;;;;;5
Fox-IT;;7;;1;2;4;;1;7
Fujitsu Technology Solutions B.V.;3;2;;;;;;3;4
GAMS Development Corporation;;;;;2;;;;2
Gartner Nederland B.V.;;;;;;;;3;3
Geodan B.V.;;;;;;;;1;1
Geodan Holding B.V.;;;;1;1;;1;;1
Geotax;;;;;;;;1;1
