Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
ADLIB Information Systems (inc Axiell);;1;;;;;;1
A-Mac;1;;;;;;;1
AP-Art;2;;;;;;;2
Atos;;;;;;;8;8
Axez ICT Solutions;;;5;;;;;5
Bartimeus (incl. Stichting Bartiméus Accessibility);;;;;;1;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;1;;;;;1
Between;;;;;;;7;7
Bobbe Abonnementen;;;;;;;1;1
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);5;;;;;2;;5
Bumicom Telecom;1;;1;;;;;1
Caesar Groep;;;;;;;2;2
Capgemini;;;;1;;;7;7
CCV Services;1;;;;;;;1
Centric Financial Professionals (vh Finace);;;;;;;2;2
CGI Group (incl. Logica CMG);;;;;;;2;2
Cinnamon Interactive;;;;;;2;;2
Circle Software Group;;1;;;;;;1
Comparex (incl. PC-Ware);5;2;7;3;;;4;7
Conrad Electronic;2;;;;;;1;2
Copex Air Cargo, Air, Movers&Packers;;;;;;;1;1
Corso Informatica;;;;;;;1;1
Digimarketing Systems (vh Phonecast);;;1;;;;;1
DPS Digital Photo Systems;;;;1;;;;1
Ewoud Sanders;;;;;;;1;1
Fabory Nederland;1;;;;;;;1
Fujitsu Technology Solutions (vh Fujitsu Siemens);1;;;;;;;1
Headfirst;;;;;;;7;7
HELLERMANNTYTON;1;;;;;;;1
imgZine;1;;;;;;;1
Infotrading;;;;;;1;;1
Insight Enterprises Netherlands;5;;7;5;;;2;7
InThere;;;2;;;;;2
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;;;;;7;7
Ivo Broekhuizen Communicatie;;;;;;1;;1
Knowledge Concepts;;;1;;;;;1
Kris Kras Design;;;;;;1;;1
Lyreco Nederland (vh Ahrend Office Products);1;;;;;;;1
Microsoft (incl. Technet);;;6;;;;3;6
Misco Solutions (vh SCC Services);4;;1;;;;3;5
NFGD Audiovisuele Technieken;1;;;;1;1;;2
NYALA MEDIA;;;;;;;1;1
Orange Business Services;;;;;;9;6;9
P&A Software Solutions;;;;4;;;;4
Paralax;;;3;1;;;;3
Planon;;;;4;;;;4
Pointlogic;;;2;2;;;;2
PQR;7;2;6;4;;;;7
PRIMUM MOBILE;;;;;;;4;4
PRODWARE NEDERLAND BV;;;;1;;;;1
Protinus It;7;;;;;1;;7
Public Partners;;;;;;;2;2
Q-Matic Holland;;;;;;1;;1
QSM Quantitative Software Management;;;2;;;;;2
Quint Wellington Redwood;;;;;;;1;1
Ricoh Groep (incl. Nashuatec, NRG);2;1;;;;;;2
Rittal;3;;;;;;;3
Sabel Communicatie;;;1;;;;;1
Sendsteps;;;;;;1;;1
Swets Info Services (incl. Blackwell, Zeitlinger);;;1;;;;;1
T&M Systems;;;1;;;2;;2
T&T Compet&T;;;1;;;;;1
Tangram Automatisering;;;2;2;;;;2
Tele2 (incl. Versatel, BBeyond);;;;;;4;2;4
The Institute of Protocol The Hague;;;2;;;;;2
Tweak;;;;;;1;;1
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;;;;;;4;4
VCK Groep, Travel & Logistics;;;;;;;1;1
Verizon Nederland (incl. VB Verizon Business);;;;;;4;2;4
Vitasys (incl. FastWell Office Automation);;1;;;;;;1
Vodafone (incl. Libertel);;;;;;6;;6
XS4ALL Internet;;;;;;1;;1
Eindtotaal;8;3;8;6;1;9;9;10
