BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW;TOTAAL
01UH;00;Maartenscollege;HAREN;Brugjaar 1-2;N.v.t.;N.v.t.;0011;Ljvb op HAVO/VMBO-Th/Gm Lw;13;13;0;0;0;0;0;0;0;0;0;0;26
01UH;00;Maartenscollege;HAREN;Brugjaar 1-2;N.v.t.;N.v.t.;0013;Ljvb op VMBO-Th/Gm Lw;13;12;12;17;0;0;0;0;0;0;0;0;54
01UH;00;Maartenscollege;HAREN;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;37;53;0;0;0;0;0;0;0;0;0;0;90
01UH;00;Maartenscollege;HAREN;Brugjaar 1-2;N.v.t.;N.v.t.;0017;Ljvb op VWO;0;0;32;16;0;0;0;0;0;0;0;0;48
01UH;00;Maartenscollege;HAREN;Brugjaar 1-2;N.v.t.;N.v.t.;0300;HAVO;0;0;37;23;0;0;0;0;0;0;0;0;60
01UH;00;Maartenscollege;HAREN;Engelse Stroom;N.v.t.;N.v.t.;0700;International Baccalaureate middle years programme;12;6;13;8;16;6;13;7;15;11;0;0;107
01UH;00;Maartenscollege;HAREN;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;0;4;4;4;0;0;12
01UH;00;Maartenscollege;HAREN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;28;20;24;18;0;0;90
01UH;00;Maartenscollege;HAREN;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;17;16;16;29;0;0;78
01UH;00;Maartenscollege;HAREN;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;8;3;4;3;0;0;18
01UH;00;Maartenscollege;HAREN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;0;0;3;4;0;0;7
01UH;00;Maartenscollege;HAREN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4036;HAVO NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;1;6;0;0;7
01UH;00;Maartenscollege;HAREN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;0;0;0;0;26;20;0;0;0;0;0;0;46
01UH;00;Maartenscollege;HAREN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0200;VWO-GYMNASIUMSTROOM;0;0;0;0;5;1;0;0;0;0;0;0;6
01UH;00;Maartenscollege;HAREN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0300;HAVO;0;0;0;0;20;39;0;0;0;0;0;0;59
01UH;00;Maartenscollege;HAREN;Int. Baccelaureaat;N.v.t.;N.v.t.;0800;International Baccalaureate diplom programme;0;0;0;0;0;0;0;0;7;9;5;8;29
01UH;00;Maartenscollege;HAREN;Int. Baccelaureaat;N.v.t.;N.v.t.;0801;International Baccalaureate diplom programme Dutch Residents;0;0;0;0;0;0;0;0;9;6;10;17;42
01UH;00;Maartenscollege;HAREN;VMBO TL lj 3-4;Economie;N.v.t.;0472;MAVO/Theor Lw-Profiel Economie;0;0;0;0;26;28;0;1;0;0;0;0;55
01UH;00;Maartenscollege;HAREN;VMBO TL lj 3-4;N.v.t.;N.v.t.;0400;MAVO/Theor Lw-VMBO;0;0;0;0;0;0;18;12;0;0;0;0;30
