Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;Eindtotaal
2-Advise;1;;;;;1
Actendo B.V.;;;;2;;2
aHa!Ventures;;;1;;;1
APC Benelux B.V.;;1;;;;1
Apprenda B.V.;;;;6;;6
Aquaforest Limited;;;;1;;1
Atexxo B.V.;;;;;1;1
Avantgarde Media B.V.;;;1;;;1
Bbeyond B.V.;;;1;;1;1
Belstore.Com B.V.;;;;;1;1
BIS Bedrijfs Informatie Systemen B.V.;;8;;;;8
BiZZdesign International;;;;7;;7
BrightContact Technology B.V.;;;;7;;7
Bwise B.V.;;;2;;;2
CA software B.V.;;;;7;;7
CANAL DIGITAAL;;;;;1;1
Canast B.V.;;;1;;;1
Canon Nederland;6;6;1;2;;7
Capgemini Nederland B.V.;;;4;1;;4
CaseWare Nederland;;;3;7;;7
CBizz B.V.;;;;;1;1
Centric Netherlands B.V.;;;2;2;;2
CGI Nederland B.V.;;;1;5;;5
Changepoint Canada ULc;;;;2;;2
Clipperms.nl;1;;;;;1
CM Telecom B.V.;;;;;1;1
Comecer Netherlands B.V.;;;;2;;2
Communicativ B.V.;1;2;;;;2
COMPAREX Nederland B.V.;;;5;8;;8
CompLions B.V.;;;1;;;1
Connected Information Systems B.V.;;;1;;;1
Conrad Electronic Benelux B.V.;;;;;1;1
Contact Valley B.V.;;;2;;;2
Coosto Holding B.V.;;;;3;;3
Croon Elektrotechniek B.V.;6;;;1;;6
Croonwolter&dros B.V.;3;;;;;3
CSI TOOLS BVBA;;;1;;;1
DataExpert B.V.;;;3;4;;4
De Hosting Makelaar B.V.;;;;;1;1
Dell Benelux Call Centre;;2;;;;2
Denit Internet Services B.V.;;;1;;;1
Detron Telecom Enterprise;2;6;3;;;6
Digitenne B.V.;;;;;1;1
DNN Corp;;;1;;;1
Document Dialog B.V.;;;;2;;2
Duvak Automatisering B.V.;;;;;2;2
Entco Nederland B.V.;;;;2;;2
E-Office B.V.;;;;2;;2
Escherware B.V.;;;;1;;1
Exact Holding B.V.;;;;1;;1
Flash Rental Services B.V.;;;;;2;2
Flexera Software Limited;;;;2;;2
Flexwebhosting B.V.;;;;;1;1
FlightMaster;;;;4;;4
Flux Groep B.V.;;;2;;;2
Focus Nederland;;;;;3;3
Fujitsu Technology Solutions B.V.;4;7;7;9;;10
GEFEG;;;;1;;1
Gemnet B.V.;;;;;2;2
Gullimex B.V.;;;;;1;1
Heco Systems B.V.;1;;;;;1
Heijnen B.V.;;;1;;;1
Hewlett-Packard Nederland B.V.;8;7;3;5;;8
Honeywell Building Solutions;;;;4;;4
