FID,soort_oeve,globalid,codebpn,disk_beh_o,districtna,objectnaam,objecttype,materiaal,status,beheersreg,contract,opmerking,info1,info2,info3,info4,info5,stichtings,muteerder,mutatie,geobron,hoofdwater,watersyste,watersys_1,subcat,zijde,km,element,beheerder,eigenaar,onderhoude,monument,se_anno_cad_data,gdb_geomattr_data,shape
oever_vlak.1,60,{8596BC58-DA04-4CBC-A859-5882D9D5614D},"109A.OX.L.962,39",44B-001-01,WNZ Z,Uiterwaard ingang Biesboschsluis,Gras, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2015-06-23T00:00:00,Arie Barendrecht,Rijn-Maasmonding,Middendeel,109A,OX,L,962.39,--,RWS,RWS,RWS,nee,,,"POLYGON ((119821.84899999946 424252.26300000027, 119822.86699999869 424252.23099999875, 119825.85399999842 424252.34099999815, 119826.08199999854 424255.66800000146, 119828.81700000167 424255.5309999995, 119828.76399999857 424253.4539999999, 119828.65799999982 424242.186999999, 119828.86300000176 424238.51999999955, 119828.8350000009 424236.1479999982, 119828.80799999833 424235.0069999993, 119828.69900000095 424230.50400000066, 119828.83700000122 424223.4690000005, 119828.92700000107 424215.4609999992, 119828.79500000179 424210.11199999973, 119829.16800000146 424209.7049999982, 119829.10799999908 424199.6330000013, 119829.3359999992 424181.438000001, 119829.39900000021 424174.27899999917, 119829.52899999917 424162.28400000185, 119829.57899999991 424157.66600000113, 119829.6790000014 424144.7820000015, 119829.76999999955 424134.7800000012, 119824.7809999995 424134.9310000017, 119820.17100000009 424134.8229999989, 119815.6640000008 424134.3209999986, 119809.64600000158 424134.93499999866, 119803.82400000095 424135.19999999925, 119803.76900000125 424136.0249999985, 119803.4459999986 424136.0219999999, 119806.77299999818 424142.98000000045, 119808.6400000006 424149.0940000005, 119811.83999999985 424158.1959999986, 119813.49799999967 424163.51000000164, 119813.74300000072 424164.1710000001, 119813.89499999955 424165, 119813.71299999952 424175.90100000054, 119814.10399999842 424181.38599999994, 119814.19399999827 424185.4840000011, 119814.13399999961 424187.3509999998, 119814.46299999952 424192.9310000017, 119814.31100000069 424200.05999999866, 119814.14600000158 424204.5799999982, 119814.17300000042 424206.90199999884, 119814.22300000116 424211.0469999984, 119814.33199999854 424221.20899999887, 119814.51300000027 424232.43400000036, 119813.84299999848 424241.59099999815, 119813.94200000167 424249.9519999996, 119812.91800000146 424252.0529999994, 119812.60599999875 424252.3449999988, 119812.58399999887 424253.6970000006, 119812.7349999994 424253.7019999996, 119812.74399999902 424255.8359999992, 119822.04300000146 424255.89400000125, 119821.84899999946 424252.26300000027))"
oever_vlak.2,60,{E6411E31-4AE0-4BA3-912B-8F2EB2C06E25},"109A.OX.L.971,4011",44B-002-01,WNZ Z,Oeververdediging voorhaven Spieringsluis,-,Niet bekend, ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-08-13T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,109A,OX,L,971.4011,--,RWS,RWS,RWS,nee,,,"POLYGON ((111858.52180000022 421311.370099999, 111857.65790000185 421309.7259999998, 111857.0346999988 421308.54019999877, 111857.03299999982 421308.5370000005, 111854.89400000125 421309.70600000024, 111853.87000000104 421310.4299999997, 111851.74500000104 421312.2899999991, 111849.23099999875 421314.6330000013, 111846 421317.54100000113, 111841.82999999821 421321.3029999994, 111837.68699999899 421324.8049999997, 111832.46299999952 421329.51900000125, 111827.71999999881 421333.65399999917, 111824.00400000066 421336.6559999995, 111819.19200000167 421341.19000000134, 111818.44790000096 421341.73589999974, 111818.50829999894 421341.82349999994, 111821.50519999862 421346.16959999874, 111823.47899999842 421343.6939999983, 111827.06899999827 421339.0399999991, 111830.92000000179 421336.14400000125, 111839.01700000092 421328.7490000017, 111845.19000000134 421323.4530000016, 111849.66899999976 421319.21599999815, 111850.89299999923 421318.05900000036, 111854.6090000011 421314.4519999996, 111858.52180000022 421311.370099999))"
oever_vlak.3,60,{1F1C42A4-EC0C-4696-9128-B1508E291A81},"109A.OX.L.971,5011",44B-002-01,WNZ Z,Oeververdediging buitenzijde Spieringsluis,-,Gras, ,Wel in beheer,IVOV, , ,vobo, , , ,-999,Kuifj,2012-10-01T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,109A,OX,L,971.5011,--,RWS,RWS,RWS,nee,,,"POLYGON ((111845.23809999973 421286.2745000012, 111842.83999999985 421282.15100000054, 111842.12799999863 421282.76999999955, 111839.63599999994 421283.6730000004, 111833.8740000017 421285.76300000027, 111829.17300000042 421287.2320000008, 111827.82800000161 421287.63500000164, 111826.33300000057 421288.3229999989, 111825.20800000057 421288.5069999993, 111823.92199999839 421288.72100000083, 111823.0940000005 421288.8579999991, 111820.94200000167 421289.2410000004, 111813.10799999908 421290.11499999836, 111806.17399999872 421291.33199999854, 111800.6799999997 421292.2470000014, 111795.14299999923 421293.2529999986, 111786.66539999843 421296.94579999894, 111790.11630000174 421302.8471000008, 111790.21979999915 421302.7941999994, 111793.60599999875 421301.061999999, 111798.73999999836 421298.4070000015, 111807.64999999851 421296.23800000176, 111815.23999999836 421294.6070000008, 111824.81799999997 421293.08900000155, 111825.02199999988 421293.0689999983, 111826.25600000098 421292.94999999925, 111826.94799999893 421292.8830000013, 111828.16000000015 421292.7650000006, 111828.94399999827 421292.6889999993, 111830.22199999914 421292.5370000005, 111834.98900000006 421292.06700000167, 111837.36300000176 421291.68400000036, 111839.73699999973 421291.3020000011, 111843.95399999991 421290.11499999836, 111845.61699999869 421289.55700000003, 111846.86199999973 421289.1400000006, 111845.23809999973 421286.2745000012))"
oever_vlak.4,60,{5F4BB000-F560-432F-B4F4-FE9DC756207F},"108A.OX.L.962,41",44B-001-01,WNZ Z,Oeververdediging ingang Biesboschsluis,Stortsteen, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,Kuifj,2012-07-17T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,108A,OX,L,962.41,--,RWS,RWS,RWS,nee,,,"POLYGON ((119749.45939999819 424305.42909999937, 119749.4600000009 424305.4162000008, 119749.47879999876 424305.41640000045, 119750.92669999972 424304.4699999988, 119751.20199999958 424304.2899999991, 119752.17100000009 424302.9129999988, 119753.73200000077 424293.94000000134, 119754.34299999848 424290.16099999845, 119754.41800000146 424287.9539999999, 119754.30700000003 424278.0229999982, 119754.24700000137 424274.506000001, 119754.68800000101 424264.438000001, 119753.49199999869 424247.5379999988, 119752.69299999997 424236.91600000113, 119754.0859999992 424231.6779999994, 119754.79600000009 424224.1629999988, 119754.83199999854 424210.8530000001, 119754.26700000092 424189.7479999997, 119755.55799999833 424171.3379999995, 119755.72700000182 424168.47399999946, 119756.52499999851 424163.3570000008, 119759.96299999952 424151.2190000005, 119763.97399999946 424141.58999999985, 119766.72700000182 424135.6400000006, 119765.64600000158 424135.62000000104, 119765.43299999833 424135.6160000004, 119764.27699999884 424135.5940000005, 119763.29199999943 424135.5760000013, 119760.58900000155 424135.5229999982, 119760.59299999848 424134.4699999988, 119755.44700000063 424134.08199999854, 119746.56199999899 424133.4129999988, 119746.75499999896 424136.69299999997, 119746.70300000161 424150.11400000006, 119746.67100000009 424158.39400000125, 119746.63199999928 424168.52800000086, 119746.51700000092 424190.0159999989, 119746.38300000131 424213.71599999815, 119746.33999999985 424223.1169999987, 119748.43600000069 424230.3839999996, 119748.0540000014 424238.0799999982, 119747.74799999967 424248.7100000009, 119747.82200000063 424255.5009999983, 119747.79899999872 424259.98600000143, 119747.87200000137 424261.43400000036, 119747.96400000155 424267.4519999996, 119748.09600000083 424279.67500000075, 119748.20899999887 424290.10599999875, 119747.68200000003 424295.69000000134, 119747.74700000137 424297.7349999994, 119747.66099999845 424298.05799999833, 119747.32600000128 424299.3200000003, 119746.63899999857 424300.16600000113, 119746.04500000179 424300.60500000045, 119745.78299999982 424300.6270000003, 119745.61100000143 424306.06799999997, 119748.78400000185 424305.87000000104, 119749.3049999997 424305.5300000012, 119749.45939999819 424305.42909999937))"
oever_vlak.5,52,{08DA7E15-F9C9-4F50-80CD-E03E19840A21},"108A.OK.R.970,4",44B-003-01,WNZ Z,Benedenstroomse krib uitvaart Ottersluis,Steenzetting / stortsteen, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,Kuifj,2012-06-28T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,108A,OK,R,970.4,--,RWS,RWS,RWS,nee,,,"POLYGON ((111996.10000000149 422672.256000001, 111994.75 422671.7589999996, 111993.4600000009 422672.2049999982, 111992.1790000014 422673.37000000104, 111991.24100000039 422674.65900000185, 111988.39600000158 422678.48999999836, 111984.61199999973 422684.2270000018, 111978.72599999979 422692.71599999815, 111978.58520000055 422692.93400000036, 111973.67500000075 422700.81500000134, 111969.59760000184 422707.1228, 111969.53200000152 422707.2289999984, 111966.4849999994 422711.54399999976, 111963.38399999961 422715.3779999986, 111963.3748999983 422715.3894000016, 111961.3599999994 422718.811999999, 111960.26889999956 422719.5284000002, 111957.32200000063 422724.4519999996, 111957.52600000054 422725.1009999998, 111958.80000000075 422726.1550000012, 111955.52100000158 422731.07400000095, 111950.24100000039 422739.09899999946, 111938.27299999818 422756.9979999997, 111935.89600000158 422760.12900000066, 111937.15700000152 422761.0700000003, 111936.59699999914 422762.55700000003, 111931.79500000179 422770.94099999964, 111927.23900000006 422778.13599999994, 111924.81500000134 422780.9840000011, 111924.21799999848 422781.68400000036, 111924.77899999917 422782.29199999943, 111924.77699999884 422784.3759999983, 111924.9140000008 422785.42599999905, 111925.70459999889 422784.08410000056, 111930.69799999893 422775.6079999991, 111935.74599999934 422767.1719000004, 111937.51300000027 422764.2190000005, 111938.03269999847 422763.4803000018, 111942.51539999992 422757.1088999994, 111942.53799999878 422757.0709999986, 111946.78299999982 422750.1319999993, 111946.83199999854 422750.05860000104, 111949.1708999984 422746.3267999999, 111954.25 422738.22300000116, 111957.48539999872 422733.53400000185, 111962.57200000063 422726.1620000005, 111971.79740000144 422713.0573000014, 111971.91919999942 422712.8845000006, 111979.2809999995 422702.4990000017, 111984.58210000023 422694.6251000017, 111989.29300000146 422687.6279999986, 111993.9470999986 422680.9796999991, 111995.67599999905 422678.51000000164, 111996.89900000021 422675.8189999983, 111996.85790000111 422674.2947999984, 111996.85209999979 422674.0810999982, 111996.85020000115 422674.0126999989, 111996.84809999913 422673.93499999866, 111996.84670000151 422673.8841000013, 111996.84650000185 422673.8772, 111996.83199999854 422673.33999999985, 111996.10000000149 422672.256000001))"
oever_vlak.6,60,{922AD093-9FF1-4220-95C6-BBF0D12D0212},"109C.OX.R.7,04",44B-003-01,WNZ Z,Oeververdediging binnenzijde oost Ottersluis,Steenzetting/Stortsteen, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,joostena,2013-08-12T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109C,OX,R,7.04,--,RWS,RWS,RWS,nee,,,"POLYGON ((111895.81089999899 422883.9913999997, 111895.80000000075 422883.98800000176, 111894.96570000052 422889.73640000075, 111894.05700000003 422895.9946999997, 111892.65199999884 422905.6730000004, 111892.68409999833 422905.8616000004, 111893.065200001 422908.1009999998, 111893.5850000009 422911.15300000086, 111895.0337000005 422913.67709999904, 111895.1587000005 422913.8953000009, 111895.16149999946 422913.90019999817, 111895.19629999995 422913.9609000012, 111897.66600000113 422918.26399999857, 111902.91200000048 422924.55999999866, 111907.80900000036 422928.8740000017, 111913.84490000084 422933.1052000001, 111914.65430000052 422933.6726000011, 111919.11699999869 422936.80099999905, 111919.21090000123 422936.59980000183, 111919.92289999872 422935.0749000013, 111919.93299999833 422935.0529999994, 111915.72159999982 422932.24500000104, 111914.89759999886 422931.6955999993, 111909.09099999815 422927.82400000095, 111903.9609999992 422923.04399999976, 111899.29800000042 422916.3990000002, 111896.14999999851 422911.26900000125, 111894.63399999961 422905.08999999985, 111897.6596999988 422884.61360000074, 111897.4541000016 422884.5047999993, 111896.61389999837 422884.24219999835, 111895.81089999899 422883.9913999997))"
oever_vlak.7,60,{2877C4B5-595F-4D27-BC0B-DDB093A6F1C3},"109A.OX.-.962,3",44B-001-01,WNZ Z,Oever binnenzijde Biesboschsluis,Steenzetting/Stortsteen, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-04-16T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,OX,-,962.3,--,RWS,RWS,RWS,nee,,,"POLYGON ((119774.6099999994 424033.8379999995, 119774.60300000012 424033.48699999973, 119774.60099999979 424033.38699999824, 119773.44299999997 424033.5329999998, 119772.15399999917 424033.6970000006, 119771.87000000104 424033.7010000013, 119771.12299999967 424033.71599999815, 119769.89900000021 424033.73800000176, 119769.05299999937 424033.7179999985, 119768.47899999842 424033.70600000024, 119768.45800000057 424033.6730000004, 119767.40300000086 424031.7960000001, 119765.84099999815 424026.6719999984, 119765.34499999881 424025.05099999905, 119765.30200000107 424024.9219999984, 119761.85200000182 424014.6180000007, 119760.23200000077 424009.25, 119760.19799999893 424009.13599999994, 119758.97199999914 424003.7969999984, 119757.66699999943 423995.4279999994, 119756.15799999982 423981.6240000017, 119756.06899999827 423979.8029999994, 119755.75 423973.08399999887, 119754.55999999866 423967.59899999946, 119753.5009999983 423967.2168999985, 119752.98600000143 423967.0309999995, 119753.23299999908 423968.25400000066, 119753.33199999854 423968.74599999934, 119753.78299999982 423969.3570000008, 119754.15100000054 423971.0700000003, 119754.9609999992 423978.65100000054, 119755.02299999818 423979.7650000006, 119755.12999999896 423981.6970000006, 119755.3599999994 423985.8500000015, 119756.14799999818 423990.1220000014, 119756.52299999818 423994.3139999993, 119757.875 424002.4539999999, 119758.59899999946 424005.5940000005, 119759.41299999878 424009.1160000004, 119760.54500000179 424012.5150000006, 119763.68800000101 424021.9479999989, 119764.69200000167 424024.9609999992, 119764.83100000024 424025.40900000185, 119766.42300000042 424030.5170000009, 119767.15399999917 424033.1339999996, 119768.19999999925 424034.48099999875, 119769.20300000161 424034.6559999995, 119769.47599999979 424034.64499999955, 119769.74599999934 424034.63500000164, 119770.29899999872 424034.61300000176, 119771.62099999934 424034.561999999, 119774.6099999994 424033.8379999995))"
oever_vlak.8,55,{5EBBBFEB-8E67-4C5D-A560-B04F5A082A99},"109C.OO.R.6,835",44B-003-01,WNZ Z,Talud toegangsweg Ottersluis,Niet-primaire waterkering Dam, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-08-28T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,OO,R,6.835,--,RWS,RWS,RWS,nee,,,"POLYGON ((111614.90819999948 422798.0839000009, 111613.57800000161 422795.1739999987, 111611.82600000128 422792.8379999995, 111607.82200000063 422788.83399999887, 111601.14799999818 422783.118999999, 111591.22100000083 422773.65100000054, 111577.1640000008 422759.9279999994, 111566.90300000086 422750.1259999983, 111553.4299999997 422736.5700000003, 111541.45899999887 422723.97300000116, 111539.62209999934 422722.3178999983, 111537.99300000072 422720.8500000015, 111537.9598999992 422720.8878999986, 111535.25800000131 422723.9750000015, 111535.07600000128 422725.7410000004, 111539.34099999815 422731.8110000007, 111542.90300000086 422738.4200000018, 111577.35099999979 422770.6970000006, 111589.36899999902 422781.9210000001, 111597.3049999997 422790.08399999887, 111599.18400000036 422792.46499999985, 111600.93899999931 422795.9230000004, 111607.49100000039 422799.7039999999, 111613.0150000006 422805.3929999992, 111614.68600000069 422815.77899999917, 111614.82200000063 422815.7811000012, 111615.01900000125 422810.5709999986, 111615.13800000027 422802.4750000015, 111615.25800000131 422800.41099999845, 111614.90819999948 422798.0839000009))"
oever_vlak.9,55,{F60BAF40-53A5-4D25-BBC9-726AFCDB5FCA},"109C.OO.R.6,836",44B-003-01,WNZ Z,Talud toegangsweg Ottersluis,Niet-primaire waterkering Dam, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-03-25T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,OO,R,6.836,--,RWS,RWS,RWS,nee,,,"POLYGON ((111725.17000000179 422836.9140000008, 111710.88199999928 422830.8020000011, 111695.9990000017 422824.61100000143, 111683.45800000057 422819.4510000013, 111664.2100000009 422811.1570000015, 111648.33399999887 422804.44900000095, 111641.34899999946 422801.6710000001, 111638.08900000155 422800.4780000001, 111629.38500000164 422798.08399999887, 111625.97500000149 422797.9389999993, 111622.85599999875 422798.8830000013, 111620.60700000077 422801.56700000167, 111618.06799999997 422807.66000000015, 111617.99599999934 422811.86829999834, 111622.77199999988 422809.3999999985, 111631.85799999908 422807.9549999982, 111642.39400000125 422807.0529999994, 111649.14799999818 422810.7190000005, 111650.3209999986 422811.3440000005, 111658.7650000006 422815.08100000024, 111665.68699999899 422817.3500000015, 111671.58900000155 422819.70800000057, 111678.02400000021 422822.7410000004, 111684.36600000039 422825.11100000143, 111690.28599999845 422827.41699999943, 111696.87299999967 422829.743999999, 111699.10099999979 422830.30000000075, 111698.77400000021 422831.07400000095, 111699.77699999884 422831.54399999976, 111700.07899999991 422830.9279999994, 111701.40700000152 422832.4539999999, 111703.25499999896 422833.76300000027, 111703.4450000003 422833.8440000005, 111710.91000000015 422836.98999999836, 111719.97599999979 422840.9210000001, 111730.94799999893 422845.4290000014, 111741.39299999923 422849.2529999986, 111744.90500000119 422851.0150000006, 111751.67599999905 422854.50499999896, 111759.92399999872 422857.45899999887, 111768.1559999995 422860.95800000057, 111779.13300000131 422865.2969999984, 111788.43100000173 422869.21599999815, 111798.57899999991 422873.506000001, 111809.26000000164 422877.76300000027, 111820.55000000075 422882.5529999994, 111824.46700000018 422884.3260000013, 111829.9149999991 422886.61400000006, 111830.83300000057 422887, 111831.43800000101 422887.2540999986, 111833.26799999923 422882.23999999836, 111820.36100000143 422876.8040000014, 111806.15300000086 422870.8509999998, 111788.76999999955 422863.4290000014, 111775.45399999991 422857.7100000009, 111756.60200000182 422849.97100000083, 111740.41000000015 422843.10500000045, 111725.17000000179 422836.9140000008))"
oever_vlak.10,55,{E4E869EC-968A-4E04-B1DB-84B79B61BFE2},"109C.OO.R.6,838",44B-003-01,WNZ Z,Talud toegangsweg Ottersluis,Niet-primaire waterkering Dam, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-08-28T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,OO,R,6.838,--,RWS,RWS,RWS,nee,,,"POLYGON ((111829.84600000083 422877.2010000013, 111834.01300000027 422868.6279999986, 111842.46700000018 422872.23999999836, 111843.96200000122 422869.0159999989, 111843.70499999821 422868.0540000014, 111836.63100000098 422865.6979999989, 111833.61300000176 422865.1079999991, 111830.2659999989 422865.93299999833, 111828.7809999995 422868.88800000027, 111826.78500000015 422871.1490000002, 111825.01199999824 422871.17599999905, 111810.98200000077 422864.7670000009, 111796.76900000125 422858.90300000086, 111784.01799999923 422853.30099999905, 111769.19399999827 422847.04399999976, 111760.76199999824 422843.938000001, 111748.99700000137 422839.3020000011, 111734.95100000128 422833.1970000006, 111722.0549999997 422827.0540000014, 111708.99700000137 422821.14400000125, 111708.6259999983 422819.58900000155, 111710.00200000033 422817.24500000104, 111709.25699999928 422813.93200000003, 111707.99500000104 422812.2129999995, 111701.10099999979 422809.5720000006, 111691.56399999931 422805.9759999998, 111679.9290000014 422799.4620000012, 111669.62099999934 422794.84600000083, 111660.96200000122 422791.93200000003, 111656.94700000063 422792.4539999999, 111653.91200000048 422795.5009999983, 111651.83999999985 422796.8440000005, 111649.23600000143 422796.2989999987, 111637.84699999914 422792.2650000006, 111624.03000000119 422786.8920000009, 111616.84699999914 422783.78500000015, 111611.77899999917 422780.5219999999, 111606.4059999995 422775.2250000015, 111597.16299999878 422766.7509999983, 111587.03299999982 422757.2019999996, 111573.66099999845 422743.9990000017, 111560.46700000018 422731.1979999989, 111554.37000000104 422725.27600000054, 111546.37700000033 422716.51900000125, 111541.65799999982 422711.33199999854, 111539.42300000042 422709.7740000002, 111536.31100000069 422707.0170000009, 111535.93100000173 422706.4290000014, 111532.37200000137 422708.43499999866, 111531.54699999839 422709.03400000185, 111543.25299999863 422721.1779999994, 111554.55700000003 422733.8579999991, 111569.32200000063 422748.41600000113, 111580.66800000146 422759.5940000005, 111594.72500000149 422773.40100000054, 111605.86100000143 422783.62000000104, 111610.49100000039 422787.2899999991, 111615.37200000137 422790.16899999976, 111618.88599999994 422791.47100000083, 111623.01399999857 422792.86100000143, 111630.27699999884 422795.44000000134, 111642.34200000018 422799.44900000095, 111649.60399999842 422802.186999999, 111658.13699999824 422805.5210000016, 111660.28000000119 422800.8379999995, 111666.39200000092 422803.2980000004, 111685.71999999881 422811.35500000045, 111683.57699999958 422816.0780000016, 111697.14999999851 422821.8720000014, 111711.8740000017 422828.063000001, 111725.92399999872 422834.0560000017, 111741.48099999875 422840.60500000045, 111757.63399999961 422847.2719999999, 111776.4059999995 422855.2490000017, 111789.60300000012 422860.80999999866, 111807.18499999866 422868.15199999884, 111821.35300000012 422873.9459999986, 111829.84600000083 422877.2010000013))"
