PLAATSNAAM_INSTELLING;INSTELLINGSKENMERKEN;SCHOOLSOORT;TELLING_2018;PROGNOSE_2019;PROGNOSE_2020;PROGNOSE_2021;PROGNOSE_2022;PROGNOSE_2023;PROGNOSE_2024;PROGNOSE_2025;PROGNOSE_2026;PROGNOSE_2027;PROGNOSE_2028;PROGNOSE_2029;PROGNOSE_2030;PROGNOSE_2031;PROGNOSE_2032;PROGNOSE_2033;PROGNOSE_2034;PROGNOSE_2035;PROGNOSE_2036;PROGNOSE_2037;PROGNOSE_2038
GRONINGEN;01NJ - Agrarisch Opleidingscentrum Terra - GRONINGEN;ONDERBOUW;1693;1596;1598;1640;1642;1610;1565;1515;1494;1487;1466;1464;1432;1406;1424;1436;1437;1452;1472;1493;1510
GRONINGEN;01NJ - Agrarisch Opleidingscentrum Terra - GRONINGEN;PRO;145;130;124;121;120;124;128;132;134;134;132;132;131;129;127;126;124;124;123;126;127
GRONINGEN;01NJ - Agrarisch Opleidingscentrum Terra - GRONINGEN;VMBO;1965;1852;1686;1564;1530;1565;1573;1542;1500;1442;1422;1414;1407;1395;1370;1347;1354;1371;1370;1384;1403
GRONINGEN;01NJ - Agrarisch Opleidingscentrum Terra - GRONINGEN;HAVO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;01NJ - Agrarisch Opleidingscentrum Terra - GRONINGEN;VWO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HAREN;01UH - Maartenscollege voor Lyceum Havo Mavo - HAREN GN;ONDERBOUW;317;315;322;334;343;343;343;339;335;338;343;341;338;333;334;337;347;349;354;361;364
HAREN;01UH - Maartenscollege voor Lyceum Havo Mavo - HAREN GN;PRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HAREN;01UH - Maartenscollege voor Lyceum Havo Mavo - HAREN GN;VMBO;87;75;71;69;70;74;74;75;74;74;73;72;73;73;72;71;71;73;75;75;76
HAREN;01UH - Maartenscollege voor Lyceum Havo Mavo - HAREN GN;HAVO;339;292;267;257;258;267;271;277;278;281;278;270;272;274;272;270;267;266;275;278;281
HAREN;01UH - Maartenscollege voor Lyceum Havo Mavo - HAREN GN;VWO;421;373;332;308;306;310;316;326;328;330;327;321;319;319;318;318;314;313;317;324;327
GRONINGEN;02CR - Willem Lodewijkgymnasium - GRONINGEN;ONDERBOUW;275;270;265;267;263;260;255;245;245;243;245;248;245;241;243;246;248;252;256;260;262
GRONINGEN;02CR - Willem Lodewijkgymnasium - GRONINGEN;PRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;02CR - Willem Lodewijkgymnasium - GRONINGEN;VMBO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;02CR - Willem Lodewijkgymnasium - GRONINGEN;HAVO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;02CR - Willem Lodewijkgymnasium - GRONINGEN;VWO;478;482;509;511;509;500;488;495;484;474;470;455;457;459;452;454;453;455;456;460;464
GRONINGEN;02UV - Gomarus College - GRONINGEN;ONDERBOUW;1362;1357;1343;1342;1303;1262;1236;1196;1181;1163;1141;1155;1139;1119;1117;1119;1138;1150;1165;1180;1185
GRONINGEN;02UV - Gomarus College - GRONINGEN;PRO;70;71;77;78;78;77;76;75;74;75;75;74;75;74;74;72;73;74;73;74;74
GRONINGEN;02UV - Gomarus College - GRONINGEN;VMBO;652;622;619;615;595;591;576;561;546;527;521;513;506;509;508;499;496;498;503;511;519
GRONINGEN;02UV - Gomarus College - GRONINGEN;HAVO;472;466;465;472;469;462;454;447;433;423;416;406;401;396;396;395;389;387;387;393;400
GRONINGEN;02UV - Gomarus College - GRONINGEN;VWO;556;566;575;576;578;580;565;559;543;523;517;503;498;493;485;485;483;480;480;484;492
GRONINGEN;05OP - Christelijkeschool voor praktijkonderwijs De Bolster - GRONINGEN;ONDERBOUW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;05OP - Christelijkeschool voor praktijkonderwijs De Bolster - GRONINGEN;PRO;253;257;267;270;271;273;272;279;278;279;282;284;285;285;287;289;289;294;297;302;305
GRONINGEN;05OP - Christelijkeschool voor praktijkonderwijs De Bolster - GRONINGEN;VMBO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;05OP - Christelijkeschool voor praktijkonderwijs De Bolster - GRONINGEN;HAVO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;05OP - Christelijkeschool voor praktijkonderwijs De Bolster - GRONINGEN;VWO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;13ZU - Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo - GRONINGEN;ONDERBOUW;934;940;898;869;831;816;816;790;778;784;788;801;813;812;813;826;835;853;863;876;880
GRONINGEN;13ZU - Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo - GRONINGEN;PRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;13ZU - Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo - GRONINGEN;VMBO;345;389;456;457;439;418;402;394;387;381;370;375;378;380;386;385;387;392;396;406;412
GRONINGEN;13ZU - Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo - GRONINGEN;HAVO;272;312;359;404;415;398;381;367;356;355;351;345;345;348;349;353;355;355;359;364;373
GRONINGEN;13ZU - Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo - GRONINGEN;VWO;221;254;295;311;334;337;324;313;301;293;291;291;288;289;290;290;295;295;297;302;306
GRONINGEN;14RP - Christelijke Scholengemeenschap Groningen Vmbo Havo Atheneum - GRONINGEN;ONDERBOUW;1287;1247;1291;1321;1289;1269;1260;1224;1198;1195;1202;1215;1219;1215;1207;1220;1234;1252;1275;1285;1293
GRONINGEN;14RP - Christelijke Scholengemeenschap Groningen Vmbo Havo Atheneum - GRONINGEN;PRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRONINGEN;14RP - Christelijke Scholengemeenschap Groningen Vmbo Havo Atheneum - GRONINGEN;VMBO;865;838;776;737;748;763;754;742;726;704;691;692;700;700;704;703;697;708;707;724;739
GRONINGEN;14RP - Christelijke Scholengemeenschap Groningen Vmbo Havo Atheneum - GRONINGEN;HAVO;645;665;657;627;613;625;631;632;614;602;591;586;585;586;590;589;588;589;587;598;609
GRONINGEN;14RP - Christelijke Scholengemeenschap Groningen Vmbo Havo Atheneum - GRONINGEN;VWO;375;391;403;400;387;381;386;392;386;373;367;363;362;358;360;360;359;362;358;364;370
