;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Happy Meat B.V.;;;1;;;;;;1
Harriet Aans;;;;;1;;;;1
Have fun Events;;;1;;;;;;1
Haverkamp & Bergers Project Communicatie;;;;;1;;;;1
Health2Work B.V.;;1;;;;;;;1
Hectas Facility Services C.V.;;;;;1;;;;1
Heliview Conferences en Training B.V.;;;;;1;;;;1
Hende Bauer Therapie training en coaching;;;;;1;;;;1
Hennekes Special Seating B.V.;;1;;;;;;;1
Herman Weimar;;;;;1;;;;1
Het Bolwerck;;;1;;;;;;1
Het Kookplein;;;2;;;;;;2
Het Kreitenhuys;;;1;;;;;;1
Het Pleidooi;;;1;;;;;;1
Het Theehuis;;;1;;;;;;1
Het Wapen van Emmen;;;1;;;;;;1
Het Wapen van Vidaa B.V.;;;1;;;;;;1
High Five Health Promotion B.V.;;1;1;;;;;;1
Hobeon Groep B.V.;;;;;1;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;;1;;;;1
Hofje van Pauw;;2;;;;;;;2
Hofstad Events B.V.;;;1;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;;;2;;;;;;2
Holland Consulting Group;;;;;1;;;;1
Hordijk Loopbaanperspectief;;;;;1;;;;1
Horeca Exploitatie 2005;;;1;;;;;;1
Hotel Brooklyn B.V.;;;1;;;;;;1
Hotel New York B.V.;;;1;;;;;;1
Hotel Restaurant Princenhof;;;1;;;;;;1
Hotel Wesseling B.V.;;;1;;;;;;1
Hotel/Restaurant Corona;;;;;;;;1;1
House of Music;;;1;;;;;;1
How To Research Trends;;;;;1;;;;1
HSK Groep;;2;;1;1;;;;2
HTM Specials B.V.;;;1;;;;;;1
Huis van Verbeelding;;;;;1;;;;1
Hultzer Coaching;;;;;1;;;;1
Human Dimensions B.V.;;;;;1;;;;1
Human Factors NL;;;;;1;;1;;1
Humphrey's Utrecht B.V.;;;1;;;;;;1
Hydra Intelligence;;;;;1;;;;1
IBOSA advies;;;;;1;;;;1
ICARA B.V.;;;;;1;;;;1
ICM Administratie B.V.;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;2;;;;2
ICTRecht B.V.;;;;;1;;;;1
ICTRecht Privacy B.V.;;;;;1;;;;1
Il Fiore B.V.;;;1;;;;;;1
Il Pozzo B.V.';;;1;;;;;;1
In Je Kracht ' Trainingen, Coach. & Healing;;;;;1;;;;1
In Pace B.V.;;;1;;;;;;1
InCompany massage;;1;;;;;;;1
Indiaas Restaurant Taj Mahal;;;1;;;;;;1
Indisch Restaurant Garoeda;;;1;;;;;;1
Inprevo;;1;;;1;;;;1
Inside Rotterdam;;;1;;;;;;1
InsightsWorld B.V.;;;;;1;;1;;1
Inspiration Company Nederland B.V.;;;1;;;;;;1
Inspiring Art;;;1;;;;;;1
Instituut van Internal Auditors Nederland;;;;;;;1;;1
Instituut voor Arbeidsrecht B.V.;;;;;1;;;;1
Instituut voor Wijsbegeerte B.V.;;;;;;;;1;1
Intergo B.V.;;;;;1;;;;1
Interim Direct Incasso & Debiteurenbeheer;;;1;;;;;;1
Internationaal Instituut Toepasbare;;;;;1;;;;1
International Anti Crime Academy B.V.;;;;;1;;;;1
Interspar-Internationale Vereniging Spar;;;;;;;1;;1
Inventum Products B.V.;;;;;2;;;;2
iPeople;;;;;1;;;;1
IPMA - NL;;;;;;;1;;1
Ipse de Bruggen;;;2;;;;;;2
IPZO;;1;;;;;;;1
Iris Dijkstra, psych.,journ.,stadsg.&reisbeg.;;;1;;;;;;1
Irodion;;;1;;;;;;1
ISS Nederland B.V.;;;1;;;;;;1
Istana Indonesisch Restaurant;;;1;;;;;;1
J.E. Buitenhek Coach., psychologisch advies;;;;;1;;;;1
J.M.S. van Lier B.V.;;;;;1;;;;1
J.P.M. van Gruijthuijsen B.V.;;;1;;;;;;1
Jaarbeurs B.V.;;;1;;;;;;1
Jacques Handelé Antwoorden en Vragen;;;;;1;;;;1
Ja-maar® B.V.;;;;;1;;;;1
Jamie's Italian Den Haag;;;1;;;;;;1
Janskerkhof B.V.;;;1;;;;;;1
Jati;;;1;;;;;;1
JBBX B.V.;;;;;1;;;;1
JigsEye B.V.;;;;;;1;;;1
Jonge Honden 18 C.V.;;;;;1;;;;1
JR's Cuisine;;;1;;;;;;1
J's Food Place;;;1;;;;;;1
KaapZ B.V.;;;;;1;;;;1
Kadenza B.V.;;;;;1;;;;1
Karima el Fillali Productions;;;1;;;;;;1
Keizer Culinair;;;1;;;;;;1
Kessels & Smit, the Learning Company B.V.;;;;;1;;;;1
King Arthur B.V.;;;1;;;;;;1
Knocom B.V.;;;;;1;;;;1
Koken-op-maat;;;1;;;;;;1
Kook en Proefstudio Den Haag;;;1;;;;;;1
Korte Poten 1-3 B.V.;;;1;;;;;;1
Kossencom;;;;;1;;;;1
Kouwenhoven Consultancy B.V.;;;;;1;;;;1
Kristel Peijnenborg;;;;;1;;;;1
Kronenburg Promotie & Begeleiding B.V.;;;;2;;;;;2
KSG Trainers & Consultants;;;;;5;;;;5
Ku Leuven;;;;;1;;;;1
Kuijpers t.h.o.d.n. Run2Day Den Haag;;;1;;;;;;1
Kwibus Funbus B.V.;;;1;;;;;;1
LACHKRACHT! empowerment met een lach;;;1;;;;;;1
Lagant Management Consultants B.V.;;;;;1;;;;1
Lagerweij & Partner Consultants B.V.;;;;;1;;;;1
Lagerweij Holding B.V.;;;;;1;;;;1
Landgoed de Biestheuvel B.V.;;;1;;;;;;1
Laviro E-commerce;;;1;;;;;;1
Le Bistroquet B.V.;;;1;;;;;;1
Le Connaisseur Utrecht B.V.;;;1;;;;;;1
LE:EN Restaurant B.V.;;;1;;;;;;1
Learn it B.V.;;;;;1;;;;1
Lebkov;;;1;;;;;;1
Leeuwendaal Advies B.V.;;;;1;5;;;;5
Lef!;;;;;1;;;;1
LEF-Entertrainment;;;1;;;;;;1
Leienplein 5-9 B.V.;;;1;;;;;;1
lekkerbootjevaren.nl;;;1;;;;;;1
LEN Leren en Ontwikkelen;;;;;1;;;;1
Liefde voor Talent;;;;;1;;;;1
LifeGuard Academy B.V.;;;;;1;;;;1
Lily Schuimer;;;;;1;;;;1
LinQue Consult B.V.;;;;;2;;;;2
Little V Den Haag B.V.;;;1;;;;;;1
Logeion;;;;;1;;1;;1
Lomans & De Roy B.V.;;;;;3;;;;3
Loof training en advies B.V.;;;;;2;;;;2
Lourens van Vliet h.o.d.n. Bakkerij Bart;;;1;;;;;;1
Lourens-van Vliet h.o.d.n. Bakkerij Bart;;;1;;;;;;1
LTP Advies B.V.;;;;;2;;;;2
LTP Holding B.V.;;;;1;;;;;1
Lumenz;;;;;1;;;;1
Lunchtijd.nl;;;1;;;;;;1
M&A Horeca Exploitatie I B.V.;;;1;;;;;;1
Maatschap Suijker;;;;;2;;;;2
Madurodam B.V.;;;;;1;;;;1
Maestro Academy;;;;;1;;;;1
Magazijn 'De Bijenkorf' B.V.;;;1;;;;;;1
Manege de Molenberg;;;1;;;;;;1
MAPH;;;1;;;;;;1
Marieke Obdam;;;;;1;;;;1
MarktOnderzoekAssociatie.nl;;;;;;;1;;1
Master in Event Management B.V.;;;;;1;;;;1
Mavim Holding B.V.;;;;;1;;;;1
Maxilia B.V.;;;1;;;;;;1
MDI Consultants;;;;;1;;;;1
Mediterraan Restaurant Het Zuiden B.V.;;;1;;;;;;1
Meetingselect B.V.;;;3;;3;2;;1;4
Mega Bijt;;;1;;;;;;1
Meneer Nieges;;;1;;;;;;1
Mensen in Bedrijf;;;;;1;;;;1
Metris Roovers;;;;;1;;;;1
MifaSolex & Partners B.V.;;;1;;;;;;1
Mijn OR succes;;;;;1;;;;1
Mijn Torpedoloods;;;1;;;;;;1
Millers;;;1;;;;;;1
Minckelers;;;1;;;;;;1
Mindcampus B.V.;;;;;1;;;;1
Mister Rotterdam;;;1;;;;;;1
MKPC B.V.;;;;;1;;;;1
MOCuitgevers B.V.;;;;;1;;;;1
Mokum Events B.V.;;;1;;;;;;1
Molen & Molen;;;;;1;;;;1
Monitorgroep B.V.;;;;;1;;;;1
Monsterevents;;;1;;;;;;1
Moodz eten & drinken;;;1;;;;;;1
Morane;;;;;2;;;;2
Movenience B.V.;;;;;;;;1;1
Munckhof Reizen B.V.;;;1;;;;;;1
Museumkwartier B.V.;;;1;;;;;;1
My HBM Support B.V.;;;;;1;;;;1
N.V. Nederlandse Spoorwegen;;;;;;;;5;5
Napule è By Donato Ristorante-Pizzeria;;;1;;;;;;1
Nationaal Reddingmuseum Dorus Rijkers;;;1;;;;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;;2
Ned. Trainingsinst. v Neurolinguist. Progr.;;;;;1;;;;1
Ned. Ver. van Bedr.telecomm. Grootgebruikers;;;;;;;1;;1
Nederlands Debat Instituut Holding B.V.;;;;;1;;;;1
Nederlands Genootschap voor Sociale Zekerheid;;;;;;;1;;1
Nederlands Instituut van Psychologen;;;;;1;;;;1
Nederlandse Hartstichting;;;;;1;;;;1
Nederlandse Stg. v. Corporate Universities;;;;;;;1;;1
Nederlandse Vereniging voor Arbeidshygiene;;;;;1;;;;1
Nederlandse Vereniging voor Veiligheidskunde;;;;1;1;;1;;1
Nestor;;;;;1;;;;1
Nevi B.V.;;;;;1;;1;;1
Ni Hao Stadsparkpaviljoen B.V.;;;1;;;;;;1
Nieuw Kami Sushi B.V.;;;1;;;;;;1
Nimble Institute B.V.;;;1;;;;;;1
NIMO Academy B.V.;;;;;1;;;;1
Ninouk Body & Mind;;;;;1;;;;1
NIVA Education;;;;;1;;;;1
Nooit de enige - teamcoaching;;;;;1;;;;1
Nordic Walking achter de duinen;;;1;;;;;;1
Noreda;;;;;;;1;;1
NTI B.V.;;;;;1;;;;1
Nu N Nu;;;;;1;;;;1
OCA Operations B.V.;;;;;1;;;;1
O'Casey's Irish Pub & Restaurant;;;1;;;;;;1
Odyssee B.V.;;;;;1;;;;1
Office Depot B.V.;;;1;;;;;;1
Olaf Biemond - Agile Practitioner;;;;;1;;;;1
Ontdekjestad.nl;;;1;;;;;;1
Oosten Transport Opleiding O.T.O.;;;;;1;;;;1
Or. Café & Restaurant Sir Stamford Raffles;;;1;;;;;;1
Organize Agile;;;;;1;;;;1
Original Tours & Activities Nederland B.V.;;;1;;;;;;1
OR-ondersteuning Opleidingen B.V.;;;;;1;;;;1
Oscars Scheveningen B.V.;;;1;;;;;;1
Oudaen B.V.;;;1;;;;;;1
Ouwehands Dierenpark B.V.;;;1;;;;;;1
Oxhill7 B.V.;;;;;1;;;;1
Paagman Den Haag B.V.;;;1;;;;;;1
Paal39;;;;;1;;;;1
Paardentaxi Groene Hart;;;1;;;;;;1
Palmette B.V.;;;1;;;;;;1
Pannenkoek de Appel;;;1;;;;;;1
Party Service Party-Point;;;1;;;;;;1
Partycentrum Terhorst;;;1;;;;;;1
Party-Restaurant De Korenmolen;;;1;;;;;;1
Patisserie Lemmens;;;1;;;;;;1
PBLQ B.V.;;;;;1;;;;1
PBN Sport & Adventure BV;;;1;;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;1;;;;1
PER4MANCE B.V.;;;;;1;;;;1
PernU B.V.;;;;;2;;;;2
Petanque-Vereniging 't Lover;;;1;;;;;;1
Phaos Advies B.V.;;;;;2;;;;2
Phoenix Opleidingen;;;;;1;;;;1
Phonsawan B.V.;;;1;;;;;;1
Pins & Pints Bowling;;;1;;;;;;1
Pitch & Putt Doetinchem B.V.;;;1;;;;;;1
Pizze e Pazze B.V.;;;1;;;;;;1
Plastic Whale B.V.;;;1;;;;;;1
Plein 19 Den Haag B.V.;;;1;;;;;;1
Plein 9 A B.V.;;;1;;;;;;1
Podium Projectcommunicatie B.V.;;;1;;;;;;1
Pomo d'Oro Catering en Horeca services;;;1;;;;;;1
Porto Marina;;;1;;;;;;1
PPT Solutions B.V.;;;;;1;;;;1
Pragmavision B.V.;;;;;1;;;;1
Praktijk De Regenboog;;;;;1;;;;1
Praktijk Oorsprongpark;;1;;;;;;;1
