categorie;overtreding;oms_feitgroep;mate_overschrijding;aantal
VL;gedrag;Snelheid autosnelwegen;6;67.577
VA;gedrag;Snelheid binnen bebouwde kom ;12;89.230
VA;gedrag;Snelheid binnen bebouwde kom ;23;8.731
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;11;67
VF;gedrag;Snelheid buiten bebouwde kom ;12;28.810
VA;gedrag;Snelheid binnen bebouwde kom ;16;30.328
VM;bord A1;Snelheid autosnelwegen;23;12.204
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;6;6.884
VL;gedrag;Snelheid autosnelwegen;38;278
VN;bord A3;Snelheid autosnelwegen;24;1
VM;bord A1;Snelheid autosnelwegen;6;232.206
VL;gedrag;Snelheid autosnelwegen;24;1.049
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;9;4.546
VV;erf;Snelheid binnen woonerf;12;3
VM;bord A1;Snelheid autosnelwegen;29;5.086
VH;bord A3;Snelheid buiten bebouwde kom ;23;1
VF;gedrag;Snelheid buiten bebouwde kom ;9;49.249
VA;gedrag;Snelheid binnen bebouwde kom ;15;38.161
VM;bord A1;Snelheid autosnelwegen;36;2.289
VM;bord A1;Snelheid autosnelwegen;34;2.574
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;17;213
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;27;3
VA;gedrag;Snelheid binnen bebouwde kom ;10;145.200
VM;bord A1;Snelheid autosnelwegen;5;306.322
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;12;3.373
VF;gedrag;Snelheid buiten bebouwde kom ;25;3.322
VF;gedrag;Snelheid buiten bebouwde kom ;30;2.227
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;20;1.496
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;19;35
VB;bord A1;Snelheid binnen bebouwde kom ;11;11.081
VM;bord A1;Snelheid autosnelwegen;35;2.621
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;10;146
VC;bord A3;Snelheid binnen bebouwde kom ;20;4
VV;erf;Snelheid binnen woonerf;16;1
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;11;3.854
VM;bord A1;Snelheid autosnelwegen;15;39.907
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;29;5
VH;bord A3;Snelheid buiten bebouwde kom ;14;1
VG;bord A1;Snelheid buiten bebouwde kom ;23;4.382
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;27;1
VG;bord A1;Snelheid buiten bebouwde kom ;12;35.811
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;13;64
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;27;607
VC;bord A3;Snelheid binnen bebouwde kom ;22;3
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;4;73
VV;erf;Snelheid binnen woonerf;10;1
VA;gedrag;Snelheid binnen bebouwde kom ;7;304.682
VM;bord A1;Snelheid autosnelwegen;8;139.468
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;14;251
VB;bord A1;Snelheid binnen bebouwde kom ;20;2.033
VC;bord A3;Snelheid binnen bebouwde kom ;30;1
VN;bord A3;Snelheid autosnelwegen;8;1
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;25;831
VN;bord A3;Snelheid autosnelwegen;18;3
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;21;2
VG;bord A1;Snelheid buiten bebouwde kom ;26;2.841
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;19;70
VG;bord A1;Snelheid buiten bebouwde kom ;19;8.068
VM;bord A1;Snelheid autosnelwegen;37;2.229
VB;bord A1;Snelheid binnen bebouwde kom ;28;668
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;6;73
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;23;1
VB;bord A1;Snelheid binnen bebouwde kom ;16;4.042
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;16;230
VN;bord A3;Snelheid autosnelwegen;21;12
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;20;36
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;24;1
VA;gedrag;Snelheid binnen bebouwde kom ;21;12.331
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;12;98
VA;gedrag;Snelheid binnen bebouwde kom ;5;510.622
VL;gedrag;Snelheid autosnelwegen;16;3.408
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;12;1
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;7;11.367
VG;bord A1;Snelheid buiten bebouwde kom ;27;2.894
VB;bord A1;Snelheid binnen bebouwde kom ;30;553
VH;bord A3;Snelheid buiten bebouwde kom ;30;3
VM;bord A1;Snelheid autosnelwegen;10;93.596
VA;gedrag;Snelheid binnen bebouwde kom ;30;2.666
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;13;113
VG;bord A1;Snelheid buiten bebouwde kom ;28;1.967
VN;bord A3;Snelheid autosnelwegen;28;14
VV;erf;Snelheid binnen woonerf;26;3
VM;bord A1;Snelheid autosnelwegen;16;35.199
VG;bord A1;Snelheid buiten bebouwde kom ;13;28.067
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;20;90
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;8;53
VN;bord A3;Snelheid autosnelwegen;26;6
VV;erf;Snelheid binnen woonerf;19;1
VG;bord A1;Snelheid buiten bebouwde kom ;9;64.772
VM;bord A1;Snelheid autosnelwegen;28;5.804
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;25;60
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;30;10
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;15;1
VM;bord A1;Snelheid autosnelwegen;39;1.530
VM;bord A1;Snelheid autosnelwegen;30;5.403
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;16;2.184
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;13;249
VL;gedrag;Snelheid autosnelwegen;29;645
VL;gedrag;Snelheid autosnelwegen;36;336
VN;bord A3;Snelheid autosnelwegen;17;2
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;25;2
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;12;56
VA;gedrag;Snelheid binnen bebouwde kom ;20;14.543
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;29;8
VV;erf;Snelheid binnen woonerf;29;2
VF;gedrag;Snelheid buiten bebouwde kom ;23;4.209
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;21;78
VV;erf;Snelheid binnen woonerf;17;2
VN;bord A3;Snelheid autosnelwegen;37;15
VL;gedrag;Snelheid autosnelwegen;34;394
VB;bord A1;Snelheid binnen bebouwde kom ;13;7.419
VF;gedrag;Snelheid buiten bebouwde kom ;27;2.641
VB;bord A1;Snelheid binnen bebouwde kom ;21;1.780
VB;bord A1;Snelheid binnen bebouwde kom ;10;14.008
VL;gedrag;Snelheid autosnelwegen;7;46.032
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;29;1
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;13;3.086
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;23;12
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;19;4
VH;bord A3;Snelheid buiten bebouwde kom ;27;3
VH;bord A3;Snelheid buiten bebouwde kom ;13;1
VG;bord A1;Snelheid buiten bebouwde kom ;5;154.464
VM;bord A1;Snelheid autosnelwegen;32;3.497
VN;bord A3;Snelheid autosnelwegen;39;15
VH;bord A3;Snelheid buiten bebouwde kom ;5;1
VG;bord A1;Snelheid buiten bebouwde kom ;4;193.128
VL;gedrag;Snelheid autosnelwegen;32;441
VC;bord A3;Snelheid binnen bebouwde kom ;17;1
VC;bord A3;Snelheid binnen bebouwde kom ;25;1
VM;bord A1;Snelheid autosnelwegen;19;21.647
VF;gedrag;Snelheid buiten bebouwde kom ;19;7.368
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;27;11
VN;bord A3;Snelheid autosnelwegen;10;1
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;17;1
VL;gedrag;Snelheid autosnelwegen;22;1.340
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;20;122
VH;bord A3;Snelheid buiten bebouwde kom ;7;1
VL;gedrag;Snelheid autosnelwegen;1;67.750
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;9;277
VN;bord A3;Snelheid autosnelwegen;12;4
VA;gedrag;Snelheid binnen bebouwde kom ;29;3.054
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;10;234
VF;gedrag;Snelheid buiten bebouwde kom ;15;16.297
VC;bord A3;Snelheid binnen bebouwde kom ;14;3
VL;gedrag;Snelheid autosnelwegen;18;2.255
VN;bord A3;Snelheid autosnelwegen;23;12
VL;gedrag;Snelheid autosnelwegen;2;45.708
VB;bord A1;Snelheid binnen bebouwde kom ;29;581
VM;bord A1;Snelheid autosnelwegen;31;3.914
VF;gedrag;Snelheid buiten bebouwde kom ;24;3.701
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;22;9
VM;bord A1;Snelheid autosnelwegen;14;47.062
VN;bord A3;Snelheid autosnelwegen;27;17
VM;bord A1;Snelheid autosnelwegen;13;55.652
VA;gedrag;Snelheid binnen bebouwde kom ;27;4.401
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;11;120
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;18;1.796
VN;bord A3;Snelheid autosnelwegen;13;1
VB;bord A1;Snelheid binnen bebouwde kom ;9;17.745
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;24;109
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;5;320
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;26;2
VF;gedrag;Snelheid buiten bebouwde kom ;14;20.007
VB;bord A1;Snelheid binnen bebouwde kom ;15;4.916
VB;bord A1;Snelheid binnen bebouwde kom ;25;992
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;5;63
VH;bord A3;Snelheid buiten bebouwde kom ;19;3
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;13;1
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;30;50
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;16;40
VG;bord A1;Snelheid buiten bebouwde kom ;14;20.963
VF;gedrag;Snelheid buiten bebouwde kom ;20;6.609
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;5;7.690
VL;gedrag;Snelheid autosnelwegen;33;364
VN;bord A3;Snelheid autosnelwegen;36;20
VH;bord A3;Snelheid buiten bebouwde kom ;9;1
VF;gedrag;Snelheid buiten bebouwde kom ;26;3.484
VC;bord A3;Snelheid binnen bebouwde kom ;29;4
VL;gedrag;Snelheid autosnelwegen;15;3.832
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;25;14
VN;bord A3;Snelheid autosnelwegen;29;17
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;28;520
VB;bord A1;Snelheid binnen bebouwde kom ;22;1.642
VL;gedrag;Snelheid autosnelwegen;19;2.072
VN;bord A3;Snelheid autosnelwegen;20;11
VM;bord A1;Snelheid autosnelwegen;17;36.350
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;10;4.091
VF;gedrag;Snelheid buiten bebouwde kom ;17;20.419
VF;gedrag;Snelheid buiten bebouwde kom ;11;33.675
VL;gedrag;Snelheid autosnelwegen;8;22.193
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;16;104
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;5;207
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;22;74
VF;gedrag;Snelheid buiten bebouwde kom ;8;60.624
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;17;87
VV;erf;Snelheid binnen woonerf;13;3
VA;gedrag;Snelheid binnen bebouwde kom ;9;184.285
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;8;5.151
VA;gedrag;Snelheid binnen bebouwde kom ;26;5.096
VM;bord A1;Snelheid autosnelwegen;25;9.248
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;19;1.698
VG;bord A1;Snelheid buiten bebouwde kom ;18;9.292
VF;gedrag;Snelheid buiten bebouwde kom ;21;5.789
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;17;48
VC;bord A3;Snelheid binnen bebouwde kom ;15;1
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;24;2
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;15;102
VG;bord A1;Snelheid buiten bebouwde kom ;29;1.687
VC;bord A3;Snelheid binnen bebouwde kom ;23;2
VL;gedrag;Snelheid autosnelwegen;9;13.254
VG;bord A1;Snelheid buiten bebouwde kom ;25;3.153
VM;bord A1;Snelheid autosnelwegen;38;1.881
VV;erf;Snelheid binnen woonerf;8;1
VH;bord A3;Snelheid buiten bebouwde kom ;22;2
VB;bord A1;Snelheid binnen bebouwde kom ;8;22.962
VL;gedrag;Snelheid autosnelwegen;37;284
VC;bord A3;Snelheid binnen bebouwde kom ;27;3
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;4;239
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;15;2.402
VB;bord A1;Snelheid binnen bebouwde kom ;14;5.870
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;23;58
VV;erf;Snelheid binnen woonerf;15;1
VN;bord A3;Snelheid autosnelwegen;33;10
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;10;1
VF;gedrag;Snelheid buiten bebouwde kom ;10;40.615
VL;gedrag;Snelheid autosnelwegen;35;448
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;15;47
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;21;29
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;22;3
VH;bord A3;Snelheid buiten bebouwde kom ;18;1
VG;bord A1;Snelheid buiten bebouwde kom ;8;80.468
VF;gedrag;Snelheid buiten bebouwde kom ;4;158.363
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;6;241
VM;bord A1;Snelheid autosnelwegen;33;2.927
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;28;48
VC;bord A3;Snelheid binnen bebouwde kom ;21;3
VF;gedrag;Snelheid buiten bebouwde kom ;22;4.919
VA;gedrag;Snelheid binnen bebouwde kom ;14;48.981
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;8;168
VN;bord A3;Snelheid autosnelwegen;25;3
VL;gedrag;Snelheid autosnelwegen;39;230
VB;bord A1;Snelheid binnen bebouwde kom ;17;3.511
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;9;70
VA;gedrag;Snelheid binnen bebouwde kom ;6;393.415
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;26;823
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;23;1.131
VH;bord A3;Snelheid buiten bebouwde kom ;24;3
VG;bord A1;Snelheid buiten bebouwde kom ;15;16.837
VM;bord A1;Snelheid autosnelwegen;27;6.941
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;10;71
VN;bord A3;Snelheid autosnelwegen;38;15
VH;bord A3;Snelheid buiten bebouwde kom ;25;1
VG;bord A1;Snelheid buiten bebouwde kom ;7;99.660
VL;gedrag;Snelheid autosnelwegen;14;4.369
VL;gedrag;Snelheid autosnelwegen;4;98.724
VC;bord A3;Snelheid binnen bebouwde kom ;19;2
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;20;3
VB;bord A1;Snelheid binnen bebouwde kom ;27;1.350
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;21;120
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;19;164
VN;bord A3;Snelheid autosnelwegen;35;17
VC;bord A3;Snelheid binnen bebouwde kom ;11;1
VL;gedrag;Snelheid autosnelwegen;3;32.453
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;4;8.398
VL;gedrag;Snelheid autosnelwegen;31;396
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;24;19
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;18;34
VH;bord A3;Snelheid buiten bebouwde kom ;26;2
VB;bord A1;Snelheid binnen bebouwde kom ;12;9.105
VA;gedrag;Snelheid binnen bebouwde kom ;17;25.108
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;7;306
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;7;48
VH;bord A3;Snelheid buiten bebouwde kom ;11;1
VB;bord A1;Snelheid binnen bebouwde kom ;6;38.455
VL;gedrag;Snelheid autosnelwegen;10;9.590
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;29;442
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;25;60
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;30;426
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;26;62
VA;gedrag;Snelheid binnen bebouwde kom ;25;6.063
VM;bord A1;Snelheid autosnelwegen;12;66.122
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;18;71
VM;bord A1;Snelheid autosnelwegen;4;435.633
VC;bord A3;Snelheid binnen bebouwde kom ;18;1
VH;bord A3;Snelheid buiten bebouwde kom ;29;2
VF;gedrag;Snelheid buiten bebouwde kom ;18;8.738
VL;gedrag;Snelheid autosnelwegen;12;6.205
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;12;221
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;23;95
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;23;14
VG;bord A1;Snelheid buiten bebouwde kom ;10;53.505
VB;bord A1;Snelheid binnen bebouwde kom ;19;2.360
VC;bord A3;Snelheid binnen bebouwde kom ;16;3
VF;gedrag;Snelheid buiten bebouwde kom ;7;76.916
VM;bord A1;Snelheid autosnelwegen;11;78.797
VB;bord A1;Snelheid binnen bebouwde kom ;23;1.441
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;14;2.759
VA;gedrag;Snelheid binnen bebouwde kom ;28;3.688
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;14;112
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;9;173
VC;bord A3;Snelheid binnen bebouwde kom ;12;2
VC;bord A3;Snelheid binnen bebouwde kom ;13;2
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;21;1.372
VV;erf;Snelheid binnen woonerf;28;1
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;18;180
VN;bord A3;Snelheid autosnelwegen;32;20
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;28;11
VM;bord A1;Snelheid autosnelwegen;7;176.054
VL;gedrag;Snelheid autosnelwegen;11;7.564
VG;bord A1;Snelheid buiten bebouwde kom ;21;5.949
VA;gedrag;Snelheid binnen bebouwde kom ;19;17.200
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;28;4
VA;gedrag;Snelheid binnen bebouwde kom ;11;113.724
VB;bord A1;Snelheid binnen bebouwde kom ;26;838
VL;gedrag;Snelheid autosnelwegen;27;907
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;4;362
VN;bord A3;Snelheid autosnelwegen;16;1
VV;erf;Snelheid binnen woonerf;24;1
VM;bord A1;Snelheid autosnelwegen;24;10.562
VB;bord A1;Snelheid binnen bebouwde kom ;7;29.581
VL;gedrag;Snelheid autosnelwegen;26;1.027
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;17;2.032
VL;gedrag;Snelheid autosnelwegen;17;3.013
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;7;197
VA;gedrag;Snelheid binnen bebouwde kom ;4;648.603
VL;gedrag;Snelheid autosnelwegen;21;1.528
VL;gedrag;Snelheid autosnelwegen;20;1.798
VB;bord A1;Snelheid binnen bebouwde kom ;18;2.906
VA;gedrag;Snelheid binnen bebouwde kom ;8;237.377
VA;gedrag;Snelheid binnen bebouwde kom ;24;7.259
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;11;260
VG;bord A1;Snelheid buiten bebouwde kom ;20;7.043
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;26;15
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;29;33
VV;erf;Snelheid binnen woonerf;11;4
VM;bord A1;Snelheid autosnelwegen;9;113.427
VG;bord A1;Snelheid buiten bebouwde kom ;17;12.362
VL;gedrag;Snelheid autosnelwegen;23;1.115
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;27;65
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;8;309
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;6;296
VL;gedrag;Snelheid autosnelwegen;28;753
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;26;40
VN;bord A3;Snelheid autosnelwegen;31;20
VN;bord A3;Snelheid autosnelwegen;34;3
VF;gedrag;Snelheid buiten bebouwde kom ;13;24.212
VN;bord A3;Snelheid autosnelwegen;22;8
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;30;1
VL;gedrag;Snelheid autosnelwegen;5;85.923
VG;bord A1;Snelheid buiten bebouwde kom ;16;13.595
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;22;19
VV;erf;Snelheid binnen woonerf;22;1
VH;bord A3;Snelheid buiten bebouwde kom ;28;5
VG;bord A1;Snelheid buiten bebouwde kom ;11;43.626
VF;gedrag;Snelheid buiten bebouwde kom ;5;125.227
VF;gedrag;Snelheid buiten bebouwde kom ;16;13.841
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;15;237
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;22;91
VM;bord A1;Snelheid autosnelwegen;22;14.219
VF;gedrag;Snelheid buiten bebouwde kom ;29;2.243
VG;bord A1;Snelheid buiten bebouwde kom ;24;3.732
VC;bord A3;Snelheid binnen bebouwde kom ;28;1
VM;bord A1;Snelheid autosnelwegen;20;19.055
VG;bord A1;Snelheid buiten bebouwde kom ;22;5.165
VA;gedrag;Snelheid binnen bebouwde kom ;22;10.322
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;22;1.278
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;28;45
VB;bord A1;Snelheid binnen bebouwde kom ;4;67.454
VA;gedrag;Snelheid binnen bebouwde kom ;18;20.570
VL;gedrag;Snelheid autosnelwegen;30;1.011
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;29;36
VM;bord A1;Snelheid autosnelwegen;18;24.754
VL;gedrag;Snelheid autosnelwegen;13;5.026
VG;bord A1;Snelheid buiten bebouwde kom ;6;123.741
VF;gedrag;Snelheid buiten bebouwde kom ;6;98.364
VM;bord A1;Snelheid autosnelwegen;26;13.702
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;14;49
VN;bord A3;Snelheid autosnelwegen;30;15
VB;bord A1;Snelheid binnen bebouwde kom ;5;51.192
VV;erf;Snelheid binnen woonerf;27;1
VM;bord A1;Snelheid autosnelwegen;21;16.574
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;24;1.032
VF;gedrag;Snelheid buiten bebouwde kom ;28;2.450
VG;bord A1;Snelheid buiten bebouwde kom ;30;1.673
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;24;69
VH;bord A3;Snelheid buiten bebouwde kom ;21;3
VN;bord A3;Snelheid autosnelwegen;19;3
VR;;Snelheid autosnelwegen;26;1
VA;gedrag;Snelheid binnen bebouwde kom ;13;65.678
VL;gedrag;Snelheid autosnelwegen;25;964
VB;bord A1;Snelheid binnen bebouwde kom ;24;1.122
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;27;47
