FID,fotonaam,fotonummer,fotodatum,fototijd,camera,diafragma,sluitertij,opdrachtne,gsd,x,y,z,roll,pitch,yaw,gdb_geomattr_data,shape
beeldmiddenoverzicht_hrl_2022.1,2022_584010087_hrl,584010087,2022-02-28T00:00:00,10:32:12,431S72402X218442-f100,5.6,175,HLB,7.5,219735.663,512873.974,1882.719,-0.1737,-0.2043,0.473,,POINT (219735.66299999878 512873.97399999946)
beeldmiddenoverzicht_hrl_2022.2,2022_584111497_hrl,584111497,2022-02-28T00:00:00,12:22:50,431S72402X218442-f100,5.6,175,HLB,7.5,235822.183,497548.755,1887.403,-0.2313,-0.1235,359.5076,,POINT (235822.18299999833 497548.75499999896)
beeldmiddenoverzicht_hrl_2022.3,2022_584010121_hrl,584010121,2022-02-28T00:00:00,10:34:25,431S72402X218442-f100,5.6,175,HLB,7.5,228334.03,512849.802,1882.908,-0.2246,-0.0879,1.225,,POINT (228334.0300000012 512849.8020000011)
beeldmiddenoverzicht_hrl_2022.4,2022_584010088_hrl,584010088,2022-02-28T00:00:00,10:32:16,431S72402X218442-f100,5.6,175,HLB,7.5,219989.188,512872.634,1882.993,-0.0605,-0.161,359.6634,,POINT (219989.188000001 512872.6339999996)
beeldmiddenoverzicht_hrl_2022.5,2022_584070843_hrl,584070843,2022-02-28T00:00:00,11:33:52,431S72402X218442-f100,5.6,175,HLB,7.5,224026.818,503587.533,1904.982,-0.1102,-0.0639,0.7964,,POINT (224026.81799999997 503587.5329999998)
beeldmiddenoverzicht_hrl_2022.6,2022_584070859_hrl,584070859,2022-02-28T00:00:00,11:34:53,431S72402X218442-f100,5.6,175,HLB,7.5,228048.608,503592.706,1897.043,0.0156,0.0106,359.3285,,POINT (228048.60799999908 503592.70600000024)
beeldmiddenoverzicht_hrl_2022.7,2022_584010151_hrl,584010151,2022-02-28T00:00:00,10:36:21,431S72402X218442-f100,5.6,175,HLB,7.5,235915.371,512864.845,1879.726,-0.2011,-0.0984,0.1478,,POINT (235915.37099999934 512864.8449999988)
beeldmiddenoverzicht_hrl_2022.8,2022_584010184_hrl,584010184,2022-02-28T00:00:00,10:38:30,431S72402X218442-f100,5.6,175,HLB,7.5,244245.786,512846.188,1884.872,-0.1445,0.0501,359.5755,,POINT (244245.78599999845 512846.188000001)
beeldmiddenoverzicht_hrl_2022.9,2022_584010089_hrl,584010089,2022-02-28T00:00:00,10:32:20,431S72402X218442-f100,5.6,175,HLB,7.5,220242.911,512869.043,1883.808,-0.0466,-0.2057,359.4391,,POINT (220242.91099999845 512869.04300000146)
beeldmiddenoverzicht_hrl_2022.10,2022_584010099_hrl,584010099,2022-02-28T00:00:00,10:33:00,431S72402X218442-f100,5.6,175,HLB,7.5,222770.074,512858.893,1898.262,0.1026,-0.0707,359.1888,,POINT (222770.07400000095 512858.8929999992)
beeldmiddenoverzicht_hrl_2022.11,2022_584111470_hrl,584111470,2022-02-28T00:00:00,12:21:07,431S72402X218442-f100,5.6,175,HLB,7.5,229009.461,497540.925,1876.072,-0.0021,-0.0938,0.1809,,POINT (229009.4609999992 497540.92500000075)
beeldmiddenoverzicht_hrl_2022.12,2022_584010090_hrl,584010090,2022-02-28T00:00:00,10:32:24,431S72402X218442-f100,5.6,175,HLB,7.5,220497.734,512866.602,1884.297,-0.0354,-0.1543,359.6083,,POINT (220497.7340000011 512866.6020000018)
beeldmiddenoverzicht_hrl_2022.13,2022_584111491_hrl,584111491,2022-02-28T00:00:00,12:22:27,431S72402X218442-f100,5.6,175,HLB,7.5,234311.916,497552.032,1881.303,-0.1502,-0.0822,359.9791,,POINT (234311.91600000113 497552.0320000015)
beeldmiddenoverzicht_hrl_2022.14,2022_584010091_hrl,584010091,2022-02-28T00:00:00,10:32:28,431S72402X218442-f100,5.6,175,HLB,7.5,220746.7,512865.003,1886.848,0.0863,-0.1758,359.7185,,POINT (220746.69999999925 512865.0029999986)
beeldmiddenoverzicht_hrl_2022.15,2022_584010092_hrl,584010092,2022-02-28T00:00:00,10:32:32,431S72402X218442-f100,5.6,175,HLB,7.5,221001.003,512863.292,1888.256,0.1388,-0.0728,359.7208,,POINT (221001.00299999863 512863.29199999943)
beeldmiddenoverzicht_hrl_2022.16,2022_584010093_hrl,584010093,2022-02-28T00:00:00,10:32:36,431S72402X218442-f100,5.6,175,HLB,7.5,221256.142,512861.493,1889.293,0.114,-0.0457,359.7062,,POINT (221256.14200000092 512861.4930000007)
beeldmiddenoverzicht_hrl_2022.17,2022_584040537_hrl,584040537,2022-02-28T00:00:00,11:07:58,431S72402X218442-f100,5.6,175,HLB,7.5,232104.481,508166.375,1876.487,0.0103,0.1926,180.6714,,POINT (232104.48099999875 508166.375)
beeldmiddenoverzicht_hrl_2022.18,2022_584131993_hrl,584131993,2022-02-28T00:00:00,12:57:57,431S72402X218442-f100,5.6,175,HLB,7.5,263655.51,494528.612,1889.211,-0.209,0.0373,359.7694,,POINT (263655.51000000164 494528.61199999973)
beeldmiddenoverzicht_hrl_2022.19,2022_584060771_hrl,584060771,2022-02-28T00:00:00,11:27:09,431S72402X218442-f100,5.6,175,HLB,7.5,233350.141,505124.673,1887.082,-0.0212,0.0854,179.35,,POINT (233350.1409999989 505124.6730000004)
