NaamPlaatsingsadres,ClusterCode,ClusterOmschrijving,ContainerCode,Fractie,latitude,longitude
Loc3500,3500,Duinkerkenstraat,P2,papier - Loc3500,53.1978,6.61177
loc3673,3673,Planetenlaan,P439,papier - loc3673,53.23384,6.53272
Loc3646,3646,16 Aprillaan,P268,papier - Loc3646,53.20029,6.55691
loc3527,3527,Kerklaan,P126,papier - loc3527,53.22504,6.55232
loc3527,3527,Kerklaan,P427,papier - loc3527,53.22508,6.55217
loc3527,3527,Kerklaan,P128,papier - loc3527,53.22508,6.55225
Loc3690,3690,Oostzaan Helix/Cortinghborg,P474,papier - Loc3690,53.237,6.5654
Loc3740,3740,Hora Siccamasingel,P634,papier - Loc3740,53.19898,6.57277
GVP0016,GVP0016,De Overtoom 2 t/m 24,40000399,papier - GVP0016,53.23215,6.65485
GVP0016,GVP0016,De Overtoom 2 t/m 24,40000400,papier - GVP0016,53.23215,6.65492
loc3674,3674,Van Ketwich Verschuurlaan,P440,papier - loc3674,53.19373,6.57764
loc3674,3674,Van Ketwich Verschuurlaan,P512,papier - loc3674,53.19377,6.57757
Loc3585,3585,Esperantostraat,P290,papier - Loc3585,53.20865,6.58078
Loc3585,3585,Esperantostraat,P354,papier - Loc3585,53.20869,6.58063
Loc3585,3585,Esperantostraat,P292,papier - Loc3585,53.20869,6.58071
loc3656,3656,Euroborg Stoker/Brander (flat),P628,papier - loc3656,53.20521,6.59085
Loc3665,3665,H. Colleniusstraat/Mondriaanstr. (Hoek),P101,papier - Loc3665,53.21826,6.54944
loc3733,3733,Westerhaven,P609,papier - loc3733,53.21437,6.55625
GVP0012,GVP0012,Melisseweg 19 t/m 75,G162907,papier - GVP0012,53.23554,6.59486
GVP0012,GVP0012,Melisseweg 19 t/m 75,G162908,papier - GVP0012,53.23554,6.59493
GVP0012,GVP0012,Melisseweg 19 t/m 75,G162909,papier - GVP0012,53.23554,6.59501
GVP0012,GVP0012,Melisseweg 19 t/m 75,G162910,papier - GVP0012,53.23558,6.59486
GVP0012,GVP0012,Melisseweg 19 t/m 75,G162911,papier - GVP0012,53.23558,6.59494
loc3570,3570,St. Jansstraat,P16,papier - loc3570,53.21953,6.57047
loc3570,3570,St. Jansstraat,P350,papier - loc3570,53.21957,6.57032
loc3570,3570,St. Jansstraat,P272,papier - loc3570,53.21957,6.5704
Loc3545,3545,M K Ghandhiplein,P194,papier - Loc3545,53.18663,6.5579
Loc3679,3679,Goudlaan noord (De Ommelanderflat),P442,papier - Loc3679,53.23043,6.52938
Loc3679,3679,Goudlaan noord (De Ommelanderflat),P508,papier - Loc3679,53.23047,6.52931
Loc3659,3659,Florakade,P336,papier - Loc3659,53.2268,6.59067
Loc3659,3659,Florakade,P338,papier - Loc3659,53.22684,6.5906
loc3644,3644,Spicastraat,P510,papier - loc3644,53.22854,6.536
loc3678,3678,Goudlaan zuid (Goudflat),P443,papier - loc3678,53.22528,6.53295
Loc2991,2991,Anjerplein 32 tm 51,40000049,papier - Loc2991,53.17203,6.624
Loc2991,2991,Anjerplein 32 tm 51,40000177,papier - Loc2991,53.17207,6.62393
Loc2991,2991,Anjerplein 32 tm 51,40000218,papier - Loc2991,53.17207,6.62401
GVP0001,GVP0001,Woldweg 68-1 tm 68-16,G160181,papier - GVP0001,53.23219,6.62828
GVP0001,GVP0001,Woldweg 68-1 tm 68-16,G160200,papier - GVP0001,53.23219,6.62835
GVP0001,GVP0001,Woldweg 68-1 tm 68-16,G160790,papier - GVP0001,53.23223,6.62828
GVP0001,GVP0001,Woldweg 68-1 tm 68-16,G160206,papier - GVP0001,53.23223,6.62836
loc3510,3510,Goudlaan,P286,papier - loc3510,53.22892,6.5308
loc3510,3510,Goudlaan,P288,papier - loc3510,53.22896,6.53073
Loc3557,3557,Oude Ebbingestraat,P20,papier - Loc3557,53.22014,6.56669
Loc3557,3557,Oude Ebbingestraat,P22,papier - Loc3557,53.22018,6.56654
Loc3557,3557,Oude Ebbingestraat,P642,papier - Loc3557,53.22018,6.56662
Loc3680,3680,Goeman Borgesiuslaan,P444,papier - Loc3680,53.19283,6.59503
Loc3680,3680,Goeman Borgesiuslaan,P637,papier - Loc3680,53.19287,6.59496
Loc3531,3531,Esdoornlaan,P108,papier - Loc3531,53.23367,6.55233
Loc3531,3531,Esdoornlaan,P110,papier - Loc3531,53.23371,6.55218
Loc3531,3531,Esdoornlaan,P616,papier - Loc3531,53.23371,6.55226
Loc3531,3531,Esdoornlaan,P617,papier - Loc3531,53.23371,6.55233
loc3666,3666,Mudaheerd,P420,papier - loc3666,53.25023,6.5868
Loc3697,3697,Kleine Beer,P480,papier - Loc3697,53.2252,6.54687
loc3528,3528,Van Heemskerckstraat/Abel Tasmanplein,P178,papier - loc3528,53.21385,6.55161
loc3528,3528,Van Heemskerckstraat/Abel Tasmanplein,P462,papier - loc3528,53.21389,6.55154
loc3528,3528,Van Heemskerckstraat/Abel Tasmanplein,P180,papier - loc3528,53.21389,6.55162
Loc3716,3716,Wibenaheerd,P495,papier - Loc3716,53.24701,6.60527
Loc3582,3582,Palmslag hoek Meeuwerderweg,P222,papier - Loc3582,53.21359,6.57829
Loc3582,3582,Palmslag hoek Meeuwerderweg,P224,papier - Loc3582,53.21363,6.57822
Loc3582,3582,Palmslag hoek Meeuwerderweg,P418,papier - Loc3582,53.21363,6.5783
GVP0003,GVP0003,A Jacobstraat 35-67,G162895,papier - GVP0003,53.18738,6.54821
GVP0003,GVP0003,A Jacobstraat 35-67,G162896,papier - GVP0003,53.18738,6.54828
GVP0005,GVP0005,P J Noel bakerstraat 2-52,G162899,papier - GVP0005,53.18716,6.55469
GVP0005,GVP0005,P J Noel bakerstraat 2-52,G162900,papier - GVP0005,53.18716,6.55476
loc3676,3676,Gorechtkade hoek Wielewaalplein,P454,papier - loc3676,53.22803,6.57556
loc3676,3676,Gorechtkade hoek Wielewaalplein,P455,papier - loc3676,53.22807,6.57549
GVP0008,GVP0008,P J Noel bakerstraat 158-208,G162905,papier - GVP0008,53.18597,6.55405
GVP0008,GVP0008,P J Noel bakerstraat 158-208,G162906,papier - GVP0008,53.18597,6.55412
Loc3708,3708,Swifter 25 en 27 Meerstad,P506,papier - Loc3708,53.2331,6.65177
Loc3708,3708,Swifter 25 en 27 Meerstad,P507,papier - Loc3708,53.23314,6.6517
Loc3711,3711,Hoogeweg,P483,papier - Loc3711,53.235,6.52765
Loc3711,3711,Hoogeweg,P484,papier - Loc3711,53.235,6.52772
loc3508,3508,Platinalaan,P134,papier - loc3508,53.22506,6.52955
loc3508,3508,Platinalaan,P366,papier - loc3508,53.2251,6.5294
loc3508,3508,Platinalaan,P252,papier - loc3508,53.2251,6.52948
loc3669,3669,Antillenstraat 2,P435,papier - loc3669,53.23291,6.58035
loc3669,3669,Antillenstraat 2,P511,papier - loc3669,53.23295,6.58028
Loc3709,3709,Meeroeverslaan Meerstad,P514,papier - Loc3709,53.2221,6.65094
Loc3719,3719,Dierenriemstraat,P501,papier - Loc3719,53.22938,6.54622
Loc3719,3719,Dierenriemstraat,P497,papier - Loc3719,53.22938,6.54629
loc3516,3516,Rembrandt van Rijnstraat,P332,papier - loc3516,53.21827,6.54314
loc3516,3516,Rembrandt van Rijnstraat,P334,papier - loc3516,53.21831,6.54307
loc3507,3507,Siersteenlaan,P136,papier - loc3507,53.22553,6.52818
loc3507,3507,Siersteenlaan,P138,papier - loc3507,53.22553,6.52826
loc3507,3507,Siersteenlaan,P140,papier - loc3507,53.22557,6.52796
