X,Y,STD_BOOMTYPE,STD_STANDPLAATS,STD_ONTWIKKELINGSSTADIUM,NEDBOOMSOORT,LATBOOMSOORT,AANLEGJAAR,BIJZONDERE_BOOM,BINNEN_BOSWET,OPENBARE_RUIMTE,BUURT,WIJK,WOONPLAATS,OBJECTID,GlobalID
6.09311249896594,52.5919261486244,Straat- / laanboom,Gras,Eindfase,Beuk,Fagus sylvatica,1920,Waardevolle boom,Y,Wilhelminalaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271099,d9dd1bf2-36f2-46f3-83ab-277d9b277882
6.0930652410544,52.5919691736823,Straat- / laanboom,Gras,Eindfase,Beuk,Fagus sylvatica,1920,Waardevolle boom,Y,Wilhelminalaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271100,4ed21b43-1dc2-45b9-ac2f-6596a6fed98c
6.09269285801049,52.5923107243535,Straat- / laanboom,Gras,Eindfase,Beuk,Fagus sylvatica,1920,Waardevolle boom,Y,Wilhelminalaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271101,7c2c0b9d-6f7c-483e-bc16-c2bb5f791a92
6.09258366998265,52.5924114388373,Straat- / laanboom,Gras,Eindfase,Beuk,Fagus sylvatica,1920,Waardevolle boom,Y,Wilhelminalaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271102,8a452478-75c8-43df-9c6c-f034e4886ec3
6.09238716472706,52.5926018808297,Straat- / laanboom,Gras,Eindfase,Beuk,Fagus sylvatica,1920,Waardevolle boom,Y,Wilhelminalaan,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271103,933eefcc-3515-4b27-afe2-4739633dc5a0
6.09248331838104,52.5926787634817,Straat- / laanboom,Gras,Eindfase,Zomereik,Quercus robur,1900,Waardevolle boom,Y,Bolwerk,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271104,82150abd-c2a1-4965-a65a-a70835c75dfb
6.09182410290251,52.5932739315917,Straat- / laanboom,Gras,Eindfase,Linde,Tilia,1945,Waardevolle boom,Y,Bolwerk,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271105,47bf61e9-3f98-4871-9239-68105e9d1633
6.08768192143827,52.5919326959868,Straat- / laanboom,Gras,Eindfase,Zomereik,Quercus robur,1945,Waardevolle boom,Y,Justitie Bastion,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271106,6bd06aa8-4831-44f4-9578-0204586c3561
6.08754197075961,52.5920252289077,Straat- / laanboom,Gras,Eindfase,Zomereik,Quercus robur,1945,Waardevolle boom,Y,Justitie Bastion,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271107,c78bb810-01ad-4a53-b0fd-83a07722025d
6.08725542379096,52.5921841171153,Straat- / laanboom,Gras,Eindfase,Zomereik,Quercus robur,1965,Waardevolle boom,Y,Justitie Bastion,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271108,2cc68a41-82d2-437f-a45b-824d77e9b835
6.08720202211434,52.592215159838,Straat- / laanboom,Gras,Eindfase,Zomereik,Quercus robur,1965,Waardevolle boom,Y,Justitie Bastion,Hasselt Kern,Wijk 02 Hasselt,Hasselt,271109,7589fa30-62f9-4ae0-9c1f-bd934bc7e0b9
