postcode;clustercode_lb9898;clustercode_lb9802;clustercode_lb9806;clustercode_lb9808;clustercode_lb9812;clustercode_lb0202;clustercode_lb0206;clustercode_lb0208;clustercode_lb0212;clustercode_lb0606;clustercode_lb0608;clustercode_lb0612;clustercode_lb0808;clustercode_lb0812;clustercode_lb1010;clustercode_lb1012;clustercode_lb1212
1011AA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1011AB; ; ; ; ; ; ; ; ; ; ; ; ;36308080197; ; ; ; 
1011AC; ; ; ; ; ; ; ; ; ; ; ; ;36308080197; ; ; ; 
1011AD; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1011AE; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1011AG;36398980363;36398020099;36398060174;36398080234;36398120790;36302020210;36302060096;36302080154;36302120745; ; ; ; ;36308120175;36310100508;36310120105;36312120509
1011AH;36398980363;36398020099; ;36398080234;36398120790;36302020210;36302060096;36302080304;36302120745;36306060302;36306080239;36306120461;36308080310;36308120175;36310100508;36310120105;36312120509
1011AJ;36398980363;36398020099;36398060174;36398080372;36398120559;36302020336;36302060096;36302080304;36302120249;36306060446;36306080239;36306120181;36308080310;36308120175;36310100508;36310120105;36312120509
1011AK; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1011AL; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1011AM;36398980471;36398020099;36398060292; ;36398120559;36302020348;36302060096; ;36302120245;36306060446;36306080024;36306120181; ;36308120175;36310100508;36310120105; 
1011AN;36398980336; ;36398060292;36398080234;36398120790;36302020348;36302060096;36302080141;36302120245;36306060446;36306080239;36306120181;36308080350;36308120175;36310100508;36310120105;36312120591
1011AP; ; ; ; ; ; ; ; ; ; ; ; ; ; ;36310100612;36310120105;36312120591
1011AR;36398980471;36398020099;36398060156;36398080372;36398120559;36302020348;36302060096;36302080304;36302120550;36306060494;36306080239; ;36308080350;36308120175;36310100612;36310120105;36312120591
1011AS;36398980471;36398020099;36398060156;36398080372;36398120559;36302020348;36302060211;36302080139;36302120550;36306060494;36306080239;36306120181;36308080350;36308120175;36310100612;36310120105;36312120591
1011AT;36398980471;36398020099;36398060156;36398080372;36398120275;36302020348;36302060211;36302080304;36302120245;36306060494;36306080024;36306120181;36308080350;36308120175;36310100612;36310120105;36312120591
1011AV; ;36398020099;36398060156; ;36398120275; ;36302060096; ;36302120245;36306060494;36306080024;36306120181;36308080350;36308120175;36310100508;36310120105;36312120591
1011AW;36398980471;36398020099;36398060292;36398080372;36398120275;36302020348;36302060096; ;36302120245;36306060494;36306080024;36306120181;36308080350;36308120175;36310100508;36310120105;36312120480
1011AX;36398980471;36398020099;36398060292;36398080234;36398120559;36302020348; ;36302080141;36302120550;36306060446;36306080024;36306120181;36308080350;36308120175;36310100612;36310120105;36312120591
1011AZ;36398980471;36398020099;36398060292;36398080234;36398120790;36302020348;36302060096;36302080304;36302120550;36306060494;36306080024;36306120181;36308080350;36308120175;36310100612;36310120105;36312120591
1011BA;36398980471; ;36398060292;36398080234;36398120790; ;36302060096; ;36302120245;36306060446;36306080024;36306120181;36308080350;36308120175;36310100508;36310120105;36312120591
1011BB;36398980471;36398020099;36398060156;36398080372;36398120559;36302020348;36302060096;36302080304;36302120550;36306060494;36306080024;36306120181;36308080350;36308120175;36310100612;36310120105;36312120591
1011BC;36398980471;36398020099;36398060292;36398080234;36398120559;36302020348;36302060096;36302080304;36302120245;36306060494;36306080024;36306120181;36308080350;36308120175;36310100612;36310120105;36312120591
1011BD;36398980471;36398020099;36398060292;36398080372;36398120275; ;36302060096; ;36302120245;36306060494;36306080024;36306120181;36308080350;36308120175;36310100612;36310120105;36312120591
1011BE; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1011BG; ; ; ;36398080234;36398120790; ; ;36302080141;36302120745;36306060446;36306080239;36306120461;36308080350;36308120175;36310100612;36310120105;36312120591
1011BH;36398980471;36398020099;36398060156;36398080372;36398120559;36302020348;36302060096;36302080304;36302120245;36306060446;36306080024;36306120181;36308080350;36308120175;36310100612;36310120105;36312120591
