crebo-nr.;crossover ;niveau;domein 1;domein 2;domein 3;domein 4;domein 5;crebo 1;crebo 1 omschrijving;crebo 2 ;crebo 2 omschrijving;crebo 3;crebo 3 omschrijving;crebo 4;crebo 4 omschrijving;crebo 5;crebo 5 omschrijving;crebo 6;crebo 6 omschrijving;crebo 7;crebo 7 omschrijving;crebo 8;crebo 8 omschrijving;crebo 9;crebo 9 omschrijving
26000;Allround coördinator-instructeur buitensport;4;Veiligheid en sport;Voedsel, natuur en leefomgeving;;;;25414;Coördinator sportinstructie, training en coaching;25454;Opzichter/uitvoerder groene ruimte;;;;;;;;;;;;;;
26001;Technicus hout en restauratie;3;Bouw en Infra;Afbouw, hout en onderhoud;;;;25118;Allround Timmerman;25015;Allround Machinaal houtbewerken;25017;Allround meubelmaker/(scheeps)interieurbouwer;;;;;;;;;;;;
26002;Zorgtechnicus;4;Zorg en welzijn;Techniek en procesindustrie;Informatie en communicatietechnologie;;;25478;'Persoonlijk begeleider specifieke doelgroepen;25343;Technicus elektrotechnische systemen;25191;Medewerker beheer ICT;25309;Technicus service en onderhoud elektrotechniek en Instrumentatie;25480;Mbo-Verpleegkundige verpleeg- en verzorgingshuizen en thuiszorg (VVT);;;;;;;;
26003;Food professional;3;Toerisme en recreatie;Economie en administratie;Voedsel, natuur en leefomgeving;;;25353;Zelfstandig medewerker leisure en hospitality;25134;Commercieel medewerker;25434;Vakbekwaam medewerker agrohandel en logistiek;25425;Vakbekwaam medewerker vers;;;;;;;;;;
26004;Food specialist;4;Toerisme en recreatie;Economie en administratie;Voedsel, natuur en leefomgeving;;;25351;Leidinggevende leisure en hospitality;25137;Vestigingsmanager groothandel;25438;Vakexpert agrohandel en logistiek;25420;Ondernemer vers;;;;;;;;;;
26005;Middenkaderfunctionaris smart building;4;Bouw en Infra;Techniek en procesindustrie;;;;23053;Middenkader bouw en infra;25104;Middenkaderfunctionaris bouw;23119;Middenkader engineering;25297;Technicus engineering;;;;;;;;;;
26006;Middenkaderfunctionaris smart industry;4;Techniek en procesindustrie;ICT en Creatieve industrie;;;;25297;Technicus engineering;25189;ICT-beheerder;25187;Applicatie en mediaontwikkelaar;;;;;;;;;;;;
26007;Servicemedewerker;;;Zorg en welzijn;Informatie en communicatietechnologie;;;23068;Ondersteunende administratieve beroepen;23189;Dienstverlening ;23090;ICT support;;;;;;;;;;;;
26008;Leidinggevende international hospitality;4;Horeca en bakkerij;Horeca en bakkerij;Toerisme en recreatie;;;25185;Meewerkend horeca ondernemer;25184;Manager/ondernemer horeca;25352;Leidinggevende travel & hospitality;;;;;;;;;;;;
26009;Adviseur duurzame leefomgeving;4;Zorg en welzijn;Voedsel, natuur en leefomgeving;Toerisme en recreatie;;;25488;Sociaal Cultureel werker;25454;Opzichter/uitvoerder groene ruimte;25351;Leidinggevende leisure & hospitality;;;;;;;;;;;;
