FID,gis_code,id__oud_,code_paustabel,gebied_uiterwaard,naam_maatregel,tranche,waterlichaam,fase,gerealiseerd,deelprogramma,jaar_van_oplevering,type_doelbereik,hoeveelheid_doelbereik,hoevlh_doelbereik_op_basis,gdb_geomattr_data,shape
rws_on_lijnmaatregelen.1,YS925b,Y59,,Stokebrandsweerd,Aantakken strangen,1,IJssel,Gereed,Ja,Particulier,2008,STEA,1.3,MIRT 3,,"LINESTRING (209829.85680000111 459924.0815999992, 209773.3359999992 459782.97890000045, 209720.82239999995 459786.2789000012, 209773.35280000046 459783.06819999963, 209771.64829999954 459529.8515999988, 209864.252700001 459254.6843999997, 210017.1911999993 459062.0485999994, 210163.94150000066 458919.65729999915, 210238.04309999943 458874.61510000005)"
rws_on_lijnmaatregelen.2,YS925a,Y59,"TB011, 12 en 13",Stokebrandsweerd,Oevergeul,1,IJssel,Gereed,Ja,RWS,2010,NTWE,0.35,MIRT 3,,"LINESTRING (210219.88100000098 458772.1805000007, 210247.48750000075 458791.79569999874, 210314.3242000006 458792.5221000016, 210408.04100000113 458788.16319999844, 210548.97940000147 458793.97509999946, 210563.5091000013 458770.7274999991)"
rws_on_lijnmaatregelen.3,YS973a,Y92,Y3017,Buitenwaarden bij Windesheim,geulen SBB,2,IJssel,Verkenning,Nee,Overig,,NTWE,1.3,MIRT 2,,"MULTILINESTRING ((204020.02160000056 496139.1235000007, 204025.65689999983 496562.8284999989, 203997.2212000005 496687.5078999996, 203927.76799999923 496783.41959999874, 203863.810899999 496861.2804000005), (203863.810899999 496861.2804000005, 203865.2210999988 496793.3682000004, 203914.83060000092 496713.9930000007, 204008.38219999894 496631.9908000007), (203863.810899999 496861.2804000005, 203851.70010000095 496876.0238999985, 203855.0073999986 496958.70639999956, 203812.01249999925 497081.0764000006, 203795.4759999998 497190.21730000153, 203835.16360000148 497286.12889999896, 203831.8563000001 497375.42599999905, 203861.62200000137 497444.8792000003, 203828.54899999872 497520.9470999986, 203831.8563000001 497593.70760000125), (203863.74760000035 496864.32770000026, 203863.810899999 496861.2804000005))"
rws_on_lijnmaatregelen.4,YS957a,Y81,,IJsseluiterwaarden Olst; Welsumer waarden zuid,Aantakken strang,1,IJssel,Gereed,Ja,NURG-SBB,2016,STEA,0.9,MIRT 3,,"LINESTRING (203586.02950000018 484012.48110000044, 203612.03319999948 484071.28819999844, 203645.08309999853 484140.42119999975, 203658.31230000034 484219.7963999994, 203697.9998999983 484345.47370000184, 203704.61439999938 484494.30209999904, 203694.69260000065 484573.6772999987, 203650.29349999875 484696.2019000016, 203601.86239999905 484787.60390000045, 203605.39550000057 484861.41230000183)"
rws_on_lijnmaatregelen.5,YS962c,Y87,,IJsseluiterwaarden Olst; Duursche waarden,Verlengen aangetakte strang,1,IJssel,Gereed,Ja,NURG-SBB,2015,STEA,1.13,MIRT 3,,"LINESTRING (203689.46440000087 487273.2457000017, 203317.67170000076 487039.33879999816, 203287.9059999995 486959.9637000002, 203271.36950000003 486864.0520000011, 203258.14029999822 486768.1403999999, 203258.14029999822 486688.76520000026, 203261.4475999996 486612.69739999995, 203244.91110000014 486536.62950000167, 203221.7600999996 486500.24920000136, 203218.45279999822 486503.556499999)"
rws_on_lijnmaatregelen.6,YS945b,Y71,x9935,Bolwerksplas,aantakken strangen,1,IJssel,Gereed,Ja,RvdR,2015,STEA,1.2,MIRT 3,,"LINESTRING (207255.1132999994 473872.21660000086, 207255.39909999818 473849.84860000014, 207259.28840000182 473828.9252999984, 207276.19350000098 473803.43299999833, 207328.5810999982 473745.4891999997, 207385.7311999984 473683.57660000026, 207427.80000000075 473639.92020000145, 207480.9814000018 473601.82009999827, 207554.01370000094 473546.17880000174, 207630.74300000072 473466.80370000005, 207718.05570000038 473379.4910000004, 207776.26410000026 473244.55319999903, 207797.43079999834 473136.0738000013, 207795.90509999916 472944.7864000015, 207789.35570000112 472802.20760000125)"
rws_on_lijnmaatregelen.7,YS945c,,,De Worp en Ossenwaard,aantakken strangen,1,IJssel,Gereed,Ja,RvdR,2015,STEA,1.9,MIRT 3,,"LINESTRING (207074.38489999995 473958.14350000024, 206933.65129999816 474055.2133000009, 206838.57889999822 474121.91330000013, 206772.43290000036 474169.5384000018, 206750.5342000015 474196.26900000125, 206728.30920000002 474199.4439999983, 206685.12029999867 474219.8093999997, 206648.0784999989 474243.6218999997, 206624.2659999989 474248.9136000015, 206550.18250000104 474283.3095000014, 206381.52160000056 474325.46620000154, 206261.78610000014 474402.37220000103, 206145.36919999868 474476.4556999989, 205995.03079999983 474560.84789999947, 205884.6048000008 474630.59059999883, 205797.42650000006 474706.1451999992, 205745.11939999834 474755.54619999975, 205692.8123999983 474813.66519999877, 205652.12920000032 474868.8781000003, 205596.9162000008 474941.5267999992, 205495.20809999853 475078.1061999984)"
rws_on_lijnmaatregelen.8,YS948b,Y73,,Deventer; Zandweerdplas,grotere aangetakte geul ,1,IJssel,Gereed,Ja,RvdR,2015,STEA,1.2,MIRT 3,,"LINESTRING (205056.4103000015 476588.92909999937, 205155.82550000027 476518.51399999857, 205219.32569999993 476428.5555000007, 205264.30490000173 476357.11780000106, 205306.63830000162 476245.9926000014, 205362.20100000128 476148.0965999998, 205407.18019999936 476013.15879999846, 205438.93030000106 475891.4501999989, 205446.86780000106 475751.2208000012, 205441.57609999925 475634.8038999997, 205462.74280000106 475521.03280000016, 205349.50090000033 475445.8909999989)"
rws_on_lijnmaatregelen.9,YS949a,Y74,,Deventer; Stobbenhank,semi geïsoleerde geul,1,IJssel,Gereed,Ja,RvdR,2015,STEA,1.3,MIRT 3,,"LINESTRING (204977.94970000163 476693.5430999994, 204886.6499999985 476804.1228, 204844.31659999862 476872.9145999998, 204788.75400000066 476960.22729999945, 204757.00389999896 477073.998399999, 204701.441300001 477174.54019999877, 204669.691300001 477256.56120000035, 204632.64950000122 477375.6240000017, 204614.12860000134 477454.99909999967, 204569.14939999953 477560.8326999992, 204556.5876000002 477655.41120000184, 204579.36679999903 477732.69359999895, 204549.96229999885 477895.8493000008, 204529.90419999883 477949.0267000012, 204549.60110000148 477896.13500000164, 204579.40249999985 477731.8641999997, 204556.38769999892 477655.59259999916, 204528.71350000054 477717.93780000135, 204521.71620000154 477742.58960000053, 204492.65670000017 477786.17880000174)"
rws_on_lijnmaatregelen.10,YS950b,Y76,Y3032,Dorperwaarden Terwolde,KRW nevengeul o.a. door bestaande geïsoleerde plas met bos,1,IJssel,Gereed,Ja,KRW1-WVV,2016,NTWE,0.7,MIRT 4,,"LINESTRING (204374.45479999855 477908.31060000136, 204366.99969999865 477912.33940000087, 204363.3564000018 477914.2879999988, 204357.65520000085 477918.29250000045, 204350.90830000117 477923.9578999989, 204346.03669999912 477926.9166000001, 204341.11719999835 477930.53559999913, 204326.82970000058 477939.26689999923, 204321.05139999837 477949.9710999988, 204313.89449999854 477963.6127000004, 204306.61840000004 477985.4408, 204303.31109999865 478011.2377999984, 204300.66530000046 478037.0346999988, 204286.54300000146 478064.34479999915, 204275.5197999999 478083.9880999997, 204269.63809999824 478095.03119999915, 204263.9926000014 478104.52050000057, 204259.1585999988 478114.243999999, 204246.8376000002 478125.935899999, 204222.558699999 478142.4241000004, 204197.66470000148 478167.57019999996, 204180.32719999924 478188.9836000018, 204162.57690000162 478200.4373999983, 204143.9294999987 478230.66970000044, 204123.58790000156 478269.17350000143, 204106.02409999818 478289.44480000064, 204076.36620000005 478294.60060000047, 204050.04670000076 478309.48699999973, 204044.40080000088 478340.3691999987, 204044.05790000036 478368.13329999894, 204060.36549999937 478404.5009999983)"
rws_on_lijnmaatregelen.11,YS914c,Y54,Y3032,Gelderse Toren,KRW nevengeul,1,IJssel,Gereed,Ja,KRW1-WVV,2017,STEA,0.75,MIRT 4,,"LINESTRING (206780.85080000013 453102.21880000085, 206802.71669999883 453135.7906000018, 206821.0800999999 453149.0482000001, 206840.55810000002 453154.54659999907, 206868.97709999979 453159.4761000015, 206892.53959999979 453177.623300001, 206918.9833999984 453203.9241999984, 206939.96040000021 453236.7591000013, 206964.66090000048 453265.81859999895, 207008.2501000017 453286.1601999998, 207061.499499999 453325.26110000163, 207091.91209999844 453364.96649999917, 207121.51509999856 453388.2036000006, 207140.42020000145 453408.98600000143, 207174.2479000017 453454.17819999903, 207176.88120000064 453477.9888000004, 207191.32470000163 453499.74720000103, 207223.1350999996 453537.7008000016, 207256.02419999987 453552.16490000114, 207317.14299999923 453554.1154999994, 207332.6013999991 453554.29410000145)"
