Naam;Locatie (straat);Locatie (GPS Latitude);Locatie (GPS Longtitude);Tijdigheid camera;Geplaatst op;Wordt verwijderd op;Eigenaar camera;Afdeling;Doel van de camera;Omschrijving;
UTR-CM-501;Loeff Berchmakerstraat;52.09372;5,11853;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-503;Neude plein;52.09346;5,11861;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-504;Neude / Schoutenstraat;52.09309;5,11924;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-505;Neude / Drakenburgstr / Vinkenburgstr;52.09282;5,11877;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-506;Vinkenburgstraat / Neude;52.09237;5,1177;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-507;Oudegracht / Vinkenburgstraat;52.09182;5,11732;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-509;Ganzenmarkt / Stadhuisbrug / Oudegracht;52.09186;5,11894;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-510;Korte Minrebroederstraat;52.09210;5,11994;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-511;Stadhuisbrug / Oudkerkhof / Vismarkt;52.09142;5,11985;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-512;Bakkerbrug / richting Vinkenburgstraat;52.09159;5,11713;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-515;Lange Elisabethstr / Bakkerstr / Steenweg;52.09076;5,11661;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-516;Achter Clarenburg / Voor Clarenburg;52.09079;5,11579;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
UTR-CM-517;Steenweg / Mariastraat;52.09077;5,11712;Vast;;;Gemeente Utrecht;OOV;Openbare Orde & Veiligheid;nvt;
