Nummer stembureau;Naam stembureau;Kiesgerechtigden;Type stembureau;Toegankelijk voor minder validen;Straat / huisnummer;Postcode;Plaats;lon;lat
1;Sporthal Rietlanden ;1130;Standaard;Ja;Grietenij 22 6;8233 BZ;Lelystad;5.4779666333849955;52.4973299822843
2;Woonzorgcentrum De Uiterton;1098;Standaard;Ja;Marktstraat 1;8224 MA;Lelystad;5.486442958797076;52.5195892017896
3;School Laetare;1521;Standaard;Ja;Leekerhoek 16;8223 ZR;Lelystad;5.480059058114413;52.52288419101691
5;Atolplaza;1652;Standaard;Ja;Schor 1;8224 CM;Lelystad;5.492793735527423;52.51325063522728
6;Kerkcentrum Ontmoetingskerk;1503;Standaard;Ja;Schor 4;8224 CM;Lelystad;5.493734019965977;52.51261411257199
7;Gymzaal Voorhof;1719;Standaard;Ja;Voorhof 2;8212 CA;Lelystad;5.506902898040214;52.51397906680836
8;School Arcus;1424;Standaard;Ja;Lindelaan 99;8224 KR;Lelystad;5.480065988652037;52.510838897223884
9;Buurtvereniging Het Palet;1672;Standaard;Ja;Voorhof 18;8212 CA;Lelystad;5.50520485740502;52.511736011814826
10;Buurtcentrum de Brink (2);1460;Standaard;Ja;Griend 33 7;8225 SX;Lelystad;5.488801125272354;52.501125400079616
11;Gymzaal Wold;1586;Standaard;Ja;Wold 18 28;8225 AN;Lelystad;5.489855442041928;52.50758711778682
12;Gymzaal de Horst;1426;Standaard;Ja;Horst 29 2;8225 MV;Lelystad;5.493867000986247;52.50235619032831
13;Buurtcentrum De Brink (1);1354;Standaard;Ja;Griend 33 7;8225 SX;Lelystad;5.488801125272354;52.501125400079616
15;Gymzaal Voorstraat (2);1842;Standaard;Ja;Voorstraat 501;8226 KL;Lelystad;5.49520163585915;52.49417120805642
16;Apollo Hotel Lelystad;1481;Standaard;Ja;Agoraweg 11;8224 BZ;Lelystad;5.477113136948589;52.51036655652495
17;Kerkcentrum Het Anker;1560;Standaard;Ja;Karveel 33 1;8231 BH;Lelystad;5.460625981690955;52.52093664834987
19;Wijkcentrum De Dukdalf;1631;Standaard;Ja;Punter 35 27;8242 EK;Lelystad;5.4464820775511384;52.51469868333635
20;Gymzaal Punter;1618;Standaard;Ja;Punter 18 1;8242 DL;Lelystad;5.449835977036072;52.517567315985346
21;Dans- en Partycentrum Overeem;1453;Standaard;Ja;Kempenaar 01 46;8242 BA;Lelystad;5.460099857849812;52.51820007609532
22;Gymzaal Kindcentrum Warande;1655;Standaard;Nee;Haagwinde 2;8245 HW;Lelystad;5.440479892276513;52.49088422699483
23;Woonzorgcentrum Hanzeborg;1596;Standaard;Ja;Koningsbergenstraat 201;8232 DC;Lelystad;5.469739179336067;52.50891814890525
24;Kerkcentrum 't Lichtschip;1670;Standaard;Ja;Gondel 19 1;8243 BW;Lelystad;5.453173477704476;52.50971842593606
25;School De Toermalijn;1614;Standaard;Ja;Galjoen 24 24;8243 LR;Lelystad;5.441223047236859;52.5101805917464
26;Kerkcentrum Petruskerk;1458;Standaard;Ja;Botter 39 5;8243 KA;Lelystad;5.459403569512049;52.50617423968752
27;School De Tjalk;1526;Standaard;Ja;Tjalk 29 41;8232 LT;Lelystad;5.4659935364820385;52.500385799525304
28;School De Schakel;1628;Standaard;Ja;Botter 40 77;8243 KW;Lelystad;5.459206516602808;52.50275820992496
29;Gymzaal Lelystad Haven (1);1242;Standaard;Ja;Binnendijk 98;8244 AH;Lelystad;5.421729620651319;52.499502790419385
30;Erfgoedpark Batavialand;1668;Standaard;Ja;Oostvaardersdijk 01 13;8242 PA;Lelystad;5.436976910769658;52.52136444045585
32;Aeres VMBO Lelystad;1185;Standaard;Ja;Tjalk 25 58;8232 MB;Lelystad;5.469008660492803;52.499635200001244
33;Gymzaal De Borg;1540;Standaard;Ja;Pauwenburg 2;8226 TA;Lelystad;5.498955370000287;52.49346710823936
35;Kerkcentrum Lichtbron;1612;Standaard;Ja;Pauwenburg 170;8226 TA;Lelystad;5.508175404836734;52.49335088423132
36;School De Meander;1507;Standaard;Ja;Bingerden 41;8219 AT;Lelystad;5.513214870210845;52.49849096124412
37;Gymzaal Lelystad Haven (2);1337;Standaard;Ja;Binnendijk 98;8244 AH;Lelystad;5.421729620651319;52.499502790419385
38;Gymzaal Schouw Noord;1319;Standaard;Ja;Schouw 12 5;8232 ZC;Lelystad;5.4665045472921125;52.513318106774044
39;Gymzaal Landstrekenwijk (2);1098;Standaard;Ja;Kennemerland 21;8245 ER;Lelystad;5.454554427964095;52.49486475764357
40;Drive-through Wigstraat;0;Standaard;Ja;Wigstraat 1;8223 EE;Lelystad;5.495159647654645;52.521784074666556
4;Wijkcentrum Zuiderzee;1545;Standaard;Ja;Waddenlaan 1;8223 CL;Lelystad;5.487454292756982;52.523021734813916
14;Gymzaal Voorstraat (1);1865;Standaard;Ja;Voorstraat 501;8226 KL;Lelystad;5.49520163585915;52.49417120805642
18;Gymzaal Karveel;1499;Standaard;Ja;Karveel 38 20;8231 BX;Lelystad;5.462986104586227;52.522988574582605
31;Gymzaal Landstrekenwijk (1);1163;Standaard;Ja;Kennemerland 21;8245 ER;Lelystad;5.454554427964095;52.49486475764357
34;Stadhuis Lelystad;946;Standaard;Ja;Stadhuisplein 2;8232 ZX;Lelystad;5.475622649284289;52.508072320988155
