LOCATIENUMMER;NAAM;NO2_MEETNET;VERG_MET_NSLMONIT;SOORT;GEVELAFSTAND;WEGRANDAFSTAND;RECEPTORID_MT2013;JAARGEM_2011;JAARGEM_2012;JAARGEM_2013;JAARGEM_2014;JAARGEM_2015;JAARGEM_2016;JAARGEM_2017;JAARGEM_2018;JAARGEM_2019;JAARGEM_2020;JAARGEM_2021;JAARGEM_2022;JAARGEM_2023;JAARGEM_2024;JAARGEM_2025;JAARGEM_2026;JAARGEM_2027;JAARGEM_2028;JAARGEM_2029;JAARGEM_2030;X;Y;LONG;LAT;COUNTER
1;001 Alvereiland;meetpunt;vgl achtergrond;stadsachtergrond;9.53;4.75;15527665;27.9;26.8;24.8;25;23.1;22.9;23.2;23.3;21;16.8;;;;;;;;;;;88014;452947;4.410409948439581;52.06076706595301;1
50;050 Raamweg thv nr 5;meetpunt;vgl;drukke wegen;6.3;2.11;15528695;48.5;46;47.8;49.7;41.7;42.7;38.5;36.3;31.5;25.7;;;;;;;;;;;81312;456383;4.311954795934017;52.0907947754297;50
66;066 Mauritskade thv nr 67;meetpunt;vgl;stadscentrum;3.04;2.86;15528733;36.4;36.5;34.1;31.5;29.3;32.4;32.9;28.7;27.9;23.1;;;;;;;;;;;81223;455863;4.310768830581769;52.086109817037425;66
104;104 Rockanjelaan;meetpunt;;regionale achtergrond;6.28;0.78;NaN;0;20.4;19.5;20.6;17.9;18.4;18.8;19.8;17.5;14.6;;;;;;;;;;;74855;453620;4.218401834500193;52.06506784769449;104
62;062 Laan Copes v. Cattenburch thv nr 56;meetpunt;;stadscentrum;4.48;1.19;15528725;37;36.6;34.7;40.4;34.8;36.3;35.2;32.3;31;25.6;;;;;;;;;;;80919;456451;4.3062063763303025;52.091353419549556;62
54;054 v. Alkemadelaan thv nr 44;meetpunt;vgl;woonwijken;12.46;3.26;15528706;36.2;33.9;31.2;31.8;28.3;28.4;30.3;28.5;26.3;20.8;;;;;;;;;;;82419;456787;4.328019375675843;52.09457168210388;54
85;085 Weteringkade hoog;meetpunt;vgl;stadscentrum;3.34;2.68;15528717;41.8;41.5;41.4;42.3;40.6;40.2;41.4;39;38.8;29.5;;;;;;;;;;;82325;454503;4.327134474914621;52.07403353549083;85
33;033 Moerweg thv nr 85;meetpunt;vgl;woonwijken;6.28;1.58;15528774;37.3;37.6;34.5;38.5;35.3;34.5;37.5;34.1;33.7;27.9;;;;;;;;;;;80207;452243;4.296740719350948;52.0534415306929;33
25;025 Hengelolaan thv nr 83;meetpunt;vgl;woonwijken;11.47;2.46;15528724;38.9;37.7;35;36.6;34.2;34.6;37;33.3;30.4;27.2;;;;;;;;;;;78758;452001;4.275672444727645;52.05106929167452;25
28;028 Vreeswijkstraat;meetpunt;vgl;drukke wegen;4.85;4.23;15528757;38.8;36.4;35.2;35.5;32.4;33.2;34.7;32.2;31.8;25.3;;;;;;;;;;;78908;452850;4.277669792551907;52.05871962052223;28
7;007 Maanweg;meetpunt;;drukke wegen;1.6;3.64;NaN;35.8;34.5;32;34;31.2;30.1;30.3;28.7;27.2;21.1;;;;;;;;;;;83598;453325;4.345946431851165;52.06361260697605;7
43;043 Pr Kennedylaan;meetpunt;;drukke wegen;9.36;6.02;NaN;43.4;41.3;39.2;43;39.5;40.5;41;36.7;34.8;28;;;;;;;;;;;79058;456056;4.279143253044469;52.0875515112729;43
95;095 Amsterdamse Veerkade RIVM;meetpunt;vgl;stadscentrum;6.55;1.25;15528697;41.1;40.4;37.2;38.7;34.1;34.7;34;31.6;30.2;23.7;;;;;;;;;;;81553;454628;4.3158487223356445;52.07505504228141;95
48;048 Laan van Meerdervoort thv nr 10 aan P-automaat;meetpunt;vgl;stadscentrum;2.14;0.41;15528710;38;37.1;35.8;37.7;33.6;29.1;33;31;29;23.5;;;;;;;;;;;80436;455898;4.299280519464066;52.08631892009828;48
3;003 Ypenburg 2 - Wingerd;meetpunt;achtergrond;stadsachtergrond;14.13;1.35;NaN;28.2;26.7;26.9;26.1;23.7;23.8;23.8;22.6;20.7;16.9;;;;;;;;;;;85099;451680;4.368168816352307;52.04902054631113;3
58;058 Koningskade oost;meetpunt;vgl;drukke wegen;11.76;0.4;15528744;46.3;42.6;45.3;43.4;38.6;41.3;36.5;40.1;35.3;30.3;;;;;;;;;;;81529;455956;4.315212703861523;52.08698627687261;58
105;105 Mecklenburglaan 6;meetpunt;;regionale achtergrond;6.6;1.3;NaN;0;15.1;14.4;17;15.5;15.2;14.9;15.2;13.6;11.3;;;;;;;;;;;84340;459978;4.355386506373787;52.123497169225395;105
9;009 Calandstraat thv nr 7459;meetpunt;;drukke wegen;2.96;3.65;NaN;41;39.9;39.3;41.6;36.2;38.1;40;38.3;37.2;33.2;;;;;;;;;;;81434;453249;4.314410363027217;52.06264648488592;9
16;016 Neherkade Gemaalstraat;meetpunt;;drukke wegen;14.69;0.71;NaN;33.9;32.8;33.4;36;32.1;35.3;37.6;33.5;32;25.9;;;;;;;;;;;82576;453841;4.330935535394473;52.068117145651975;16
84;084 RIVM De Constant Rebecquestraat;meetpunt;;stadsachtergrond;7.1;6.38;NaN;29.7;27.9;27.6;28.2;23.7;24.8;24;24.4;22.2;19;;;;;;;;;;;79729;454889;4.289189498431943;52.07715567449428;84
67;067 Jan Hendrikstraat;meetpunt;vgl;stadscentrum;1.23;4.58;15528751;37.3;35.6;33.8;34.5;32.2;33.2;32.5;28.7;29;23.1;;;;;;;;;;;80935;454761;4.3068067586025744;52.07616797727451;67
