FID,NUMMER,STRAAT,SOORT,NAAM,SCORE,OMSCHRIJVING,FOTO,GEOM
kapvergunningen.fid-46bacc95_15e80894c42_1c2c,BN.024,Karnweide,"Zoete Kers, kriek",Prunus avium,56,Waardevolle houtopstand,foto/DSC01798.JPG,POINT (52.04787900303844 5.072320217753759)
kapvergunningen.fid-46bacc95_15e80894c42_1c2d,BN.023,Hoveniersweide,Tamme Kastanje,Castanea sativa,68,Monumentale houtopstand,foto/DSC01797.JPG,POINT (52.047685627555374 5.067598441329389)
kapvergunningen.fid-46bacc95_15e80894c42_1c2e,BN.022,Landmansweide,Valse Christusdoorn,Gleditsia triacanthos,52,Waardevolle houtopstand,foto/DSC01796.JPG,POINT (52.047141795824416 5.068243727547771)
kapvergunningen.fid-46bacc95_15e80894c42_1c2f,BN.021,Landmansweide,Tamme Kastanje,Castanea sativa,52,Waardevolle houtopstand,foto/DSC01795.JPG,POINT (52.047055857433584 5.068040256247464)
kapvergunningen.fid-46bacc95_15e80894c42_1c30,BN.020,Vogelaarsweide,Dubbelbloemmige Paardenkastanje,Aesculus hippocastanum 'Baumannii',64,Waardevolle houtopstand,foto/DSC01794.JPG,POINT (52.04644219283811 5.068788064799408)
kapvergunningen.fid-46bacc95_15e80894c42_1c31,BN.019,Melkersweide,Dubbelbloemmige Paardenkastanje,Aesculus hippocastanum 'Baumannii',56,Waardevolle houtopstand,foto/DSC01793.JPG,POINT (52.04741944976739 5.069544978317782)
kapvergunningen.fid-46bacc95_15e80894c42_1c32,BN.018,Maaiersweide,"Zoete Kers, kriek",Prunus avium,49,Waardevolle houtopstand,foto/DSC01792.JPG,POINT (52.04768909679689 5.06954598150019)
kapvergunningen.fid-46bacc95_15e80894c42_1c33,BN.017,Hagedisweide,"Gewone,- zwarte Els",Alnus glutinosa,52,Waardevolle houtopstand,foto/DSC01791.JPG,POINT (52.0445777652886 5.06934793902931)
kapvergunningen.fid-46bacc95_15e80894c42_1c34,BN.016,Landmansweide,Grote Trompetboom,Catalpa bignonioides,60,Waardevolle houtopstand,foto/DSC01790.JPG,POINT (52.0463260419581 5.070045439718634)
kapvergunningen.fid-46bacc95_15e80894c42_1c35,BN.015,Landmansweide,Els 'Spaeth',Alnus spaethii 'Spaeth',52,Waardevolle houtopstand,foto/DSC01789.JPG,POINT (52.04690040917868 5.0690544879719335)
kapvergunningen.fid-46bacc95_15e80894c42_1c36,BN.014,Pauwoogweide,Hartbladige Els,Alnus cordata,64,Waardevolle houtopstand,foto/DSC01788.JPG,POINT (52.04523809970702 5.068905949879535)
