FID,fotonaam,fotonummer,fotodatum,fototijd,camera,diafragma,sluitertij,opdrachtne,gsd,x,y,z,roll,pitch,yaw,gdb_geomattr_data,shape
beeldmiddenoverzicht_hrl_2021.1,2021_589061004_hrl,589061004,2021-02-25T00:00:00,10:06:29,413S11364X615192-f100,6.7,125,HLB,7.5,245712.247,470721.538,1638.646,0.0048,-0.187,0.4296,,POINT (245712.24700000137 470721.5379999988)
beeldmiddenoverzicht_hrl_2021.2,2021_589010004_hrl,589010004,2021-02-25T00:00:00,09:07:17,413S11364X615192-f100,6.7,125,HLB,7.5,270446.796,477223.205,1638.426,-0.1037,0.2675,181.3714,,POINT (270446.7960000001 477223.2049999982)
beeldmiddenoverzicht_hrl_2021.3,2021_589010036_hrl,589010036,2021-02-25T00:00:00,09:08:53,413S11364X615192-f100,6.7,125,HLB,7.5,263508.384,477223.597,1637.069,-0.1252,0.3156,181.3857,,POINT (263508.3839999996 477223.59699999914)
beeldmiddenoverzicht_hrl_2021.4,2021_589010021_hrl,589010021,2021-02-25T00:00:00,09:08:08,413S11364X615192-f100,6.7,125,HLB,7.5,266750.278,477223.848,1637.15,-0.0996,0.3468,181.4259,,POINT (266750.27800000086 477223.84800000116)
beeldmiddenoverzicht_hrl_2021.5,2021_589010097_hrl,589010097,2021-02-25T00:00:00,09:11:58,413S11364X615192-f100,6.7,125,HLB,7.5,250313.554,477212.617,1630.255,-0.1213,0.3024,181.3598,,POINT (250313.5540000014 477212.6169999987)
beeldmiddenoverzicht_hrl_2021.6,2021_589010005_hrl,589010005,2021-02-25T00:00:00,09:07:20,413S11364X615192-f100,6.7,125,HLB,7.5,270230.093,477222.275,1638.331,-0.1753,0.3599,181.338,,POINT (270230.0929999985 477222.2749999985)
beeldmiddenoverzicht_hrl_2021.7,2021_589010124_hrl,589010124,2021-02-25T00:00:00,09:13:22,413S11364X615192-f100,6.7,125,HLB,7.5,244394.68,477213.369,1632.151,-0.0617,0.3206,181.4859,,POINT (244394.6799999997 477213.368999999)
beeldmiddenoverzicht_hrl_2021.8,2021_589050925_hrl,589050925,2021-02-25T00:00:00,10:00:42,413S11364X615192-f100,6.7,125,HLB,7.5,233839.369,472011.973,1636.817,0.0394,0.1578,180.3162,,POINT (233839.36899999902 472011.97300000116)
beeldmiddenoverzicht_hrl_2021.9,2021_589010006_hrl,589010006,2021-02-25T00:00:00,09:07:23,413S11364X615192-f100,6.7,125,HLB,7.5,270005.404,477220.967,1638.451,-0.1137,0.3006,181.3733,,POINT (270005.40399999917 477220.9670000002)
beeldmiddenoverzicht_hrl_2021.10,2021_589071210_hrl,589071210,2021-02-25T00:00:00,10:18:13,413S11364X615192-f100,6.7,125,HLB,7.5,248990.351,469418.376,1637.925,0.0696,0.1614,180.2243,,POINT (248990.3509999998 469418.3759999983)
beeldmiddenoverzicht_hrl_2021.11,2021_589010169_hrl,589010169,2021-02-25T00:00:00,09:15:45,413S11364X615192-f100,6.7,125,HLB,7.5,234506.766,477205.367,1631.094,-0.062,0.2312,181.3259,,POINT (234506.7659999989 477205.3669999987)
beeldmiddenoverzicht_hrl_2021.12,2021_589010022_hrl,589010022,2021-02-25T00:00:00,09:08:11,413S11364X615192-f100,6.7,125,HLB,7.5,266535,477226.59,1637.734,-0.0998,0.2856,181.4117,,POINT (266535 477226.58999999985)
beeldmiddenoverzicht_hrl_2021.13,2021_589010007_hrl,589010007,2021-02-25T00:00:00,09:07:26,413S11364X615192-f100,6.7,125,HLB,7.5,269788.437,477219.582,1638.375,-0.1527,0.3374,181.3405,,POINT (269788.436999999 477219.58199999854)
beeldmiddenoverzicht_hrl_2021.14,2021_589122023_hrl,589122023,2021-02-25T00:00:00,11:07:09,413S11364X615192-f100,6.7,125,HLB,7.5,255032.339,462897.143,1641.3,-0.0172,-0.1966,0.3283,,POINT (255032.33900000155 462897.1429999992)
beeldmiddenoverzicht_hrl_2021.15,2021_589010077_hrl,589010077,2021-02-25T00:00:00,09:10:56,413S11364X615192-f100,6.7,125,HLB,7.5,254682.729,477225.449,1631.807,-0.1251,0.3216,181.4233,,POINT (254682.72899999842 477225.44900000095)
beeldmiddenoverzicht_hrl_2021.16,2021_589010008_hrl,589010008,2021-02-25T00:00:00,09:07:29,413S11364X615192-f100,6.7,125,HLB,7.5,269571.532,477219.286,1637.797,-0.1013,0.3312,181.331,,POINT (269571.5320000015 477219.28599999845)
beeldmiddenoverzicht_hrl_2021.17,2021_589061103_hrl,589061103,2021-02-25T00:00:00,10:10:19,413S11364X615192-f100,6.7,125,HLB,7.5,267156.982,470715.021,1643.546,0.0449,-0.1129,0.4092,,POINT (267156.9820000008 470715.0210000016)
beeldmiddenoverzicht_hrl_2021.18,2021_589010017_hrl,589010017,2021-02-25T00:00:00,09:07:56,413S11364X615192-f100,6.7,125,HLB,7.5,267620.135,477219.48,1636.19,-0.1709,0.3248,181.3823,,POINT (267620.13500000164 477219.48000000045)
beeldmiddenoverzicht_hrl_2021.19,2021_589010009_hrl,589010009,2021-02-25T00:00:00,09:07:32,413S11364X615192-f100,6.7,125,HLB,7.5,269354.212,477220.072,1637.342,-0.1314,0.2953,181.3298,,POINT (269354.2120000012 477220.0720000006)
