Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
!Pet;;;1;;;;;;;1
&Talent B.V.;;;;;;1;;;;1
013 Feestverhuur.;;;;1;;;;;;1
24 uur in bedrijf;;;;1;;;;;;1
2Byte;;;;1;;;;;;1
2engage.nu organisatieadvies;;;;;;1;;;1;1
2-Tact;;;;;;1;;;;1
3K Horeca B.V.;;;;1;;;;;;1
42on B.V.;;;;;;2;;;;2
4D organisatieontwikkeling & opleiding;;;;;;1;;;;1
4Kids;;;;1;;;;;;1
4Meetings B.V.;;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;;2;;;;2
7AM B.V.;;;;;;1;;;1;1
A. Aardema;;;;;;;;;1;1
A. de Jong;;;;;;;;;1;1
A. van Helden Relatiegeschenken B.V.;;;;1;;;;;;1
A.A. Steenhuizen;;;;;;;;;1;1
A.G. Visser;;;;;;;;;1;1
A.J. Prins;;;;;;;;;1;1
A.M.G. Keizer Communicatie & Coaching;;;;;;1;;;;1
A.M.G. Wolbert Holding;;;1;;;;;;;1
A.P.F. Toonen Beheer B.V.;;;;;;1;;;;1
A.W. Kok B.V.;;;;1;;;;;;1
A-1 Henk van Zon Feestartikelen;;;;1;;;;;;1
Aardevuur Yoga en Coaching;;;;;;1;;;;1
ABC Consult;;;;;;1;;;;1
Absoluta Food and Facilities B.V.;;;;1;;;;;1;2
Academic Cooperation in Bus. Education B.V.;;;;;;1;;;;1
Academy for Information and Management B.V.;;;;;;1;;;;1
Academy for Leadership B.V.;;;;;;2;;;;2
Accretio Beheer B.V.;;;;;;;1;;;1
Acte De Présence;;;;;;1;;;;1
Acteursbureau Kapok B.V.;;;;;;1;;;2;2
Ad Hosman;;;;1;;;;;;1
Adesign;;;;;;;1;;;1
Adv.bur. voor Loopb.consult. & Organ.ontwikk.;;;;;;1;;;;1
Adviescentrum voor Voeding en Diëten;;;;1;;;;;;1
Adviesgroep voor Kantoorinnovatie AVK B.V.;;;;;;1;;;;1
Advyt coaching training Advies motiv. inspir.;;;;;;1;;;;1
AEDcompany.nl;;;1;;;;;;;1
Aes Consultancy;;;;;;;1;;;1
Aestimatica;;;;;;;;;1;1
Agaath Brink;;;;;;1;;;;1
Aiki Art;;;;1;;1;;;;1
Aktiviteitencentrum Poortershoes;;;;1;;;1;;1;1
Al Mundo;;;;1;;;;;;1
Albert Heijn;;;;;;;1;;;1
Algemene Onderwijsbond;;;;;;1;;;;1
Algemene Vereniging Schoolleiders;;;;;;1;;;;1
All Prevent B.V.;;;1;1;;1;;;;2
All Season Sports;;;;1;;;1;;;2
Allgifts.nl B.V.;;;;1;;;;;;1
Allianz Global Assistance;;;;;;;;;1;1
Allus Media B.V.;;;;;;1;;;;1
Alpha Webdesign;;;;;1;;;;;1
Altura Nederland;;;;;;1;;;;1
Amaze Escape Events;;;;1;;;1;;;1
Amazing Bread Company B.V.;;;;;;;;;1;1
Ambitious;;;;1;;;;;;1
Ameland Adventure;;;;1;;;1;;;1
Amersfoortvergaderen.nl;;;;;;1;;;;1
Amfors Holding B.V.;2;;;;;;;;;2
Ami Consultancy B.V.;;;;;;1;;;;1
AnalitiQs B.V.;;;;;;2;;;;2
Andersson Advies B.V.;;;;;;1;;;;1
Annemarie Willems Producties;;;;1;;;;;;1
AO Contact Group;;;;;;;;1;;1
AOG Contractonderwijs B.V.;;;;;;3;;;;3
Aon Hewitt Nederland C.V.;;;;;;;;1;;1
APD Doetinchem B.V.;;;;1;;;;;;1
Appelscha-Outdoor;;;;1;;;1;;;1
ARA Groep B.V.;;;;;;1;;;;1
Aram Goedhart;;;;1;;;;;;1
ARBO Opleidingscentrum B.V.;;;;1;;;;;;1
ArboDirect;;;4;;;2;;;;4
Architectuur Tours Amsterdam;;;;1;;;;;;1
Arcte;;;;;;1;;;;1
Ardis Opleidingen B.V.;;;;1;;6;;;;6
Ardis Organisatieontwikkeling B.V.;;;;;;1;;;;1
Arenda Oomen Fotografie;;;;;;1;;;;1
ARF Balans;;;;;;1;;;;1
Arie Meulepas Management & Advies;;;;;;1;;;;1
