FID,length,br_links,br_rechts,vliegdatum,filenaam,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2008.104,16144.424,199.8999939,-251.1000061,1-4-2008,texel_ar10_06_07,,,"LINESTRING (119498.00800000131 579590.25, 110747.3590000011 566023.061999999)"
vlieglijnen_kust_2008.105,18334.521,238,-190.1000061,1-4-2008,texel_ar10_08_09,,,"LINESTRING (119671.2890000008 579376.375, 109726.13300000131 563973.5)"
vlieglijnen_kust_2008.106,18971.76,197,-211.3999939,1-4-2008,texel_ar10_10_11,,,"LINESTRING (119272.2809999995 578363.5, 108989.8440000005 562419.875)"
vlieglijnen_kust_2008.107,21518.445,246,-223.80000305,1-4-2008,texel_ar10_12,,,"LINESTRING (120311.42199999839 579518.938000001, 108651.11699999869 561433.561999999)"
vlieglijnen_kust_2008.108,19791.439,219.1000061,-287,1-4-2008,texel_ar10_13,,,"LINESTRING (120028.3200000003 577746.75, 109294.8909999989 561118.625)"
vlieglijnen_kust_2008.109,8435.627,209.5,-540.09997559,1-4-2008,texel_ar10_14,,,"LINESTRING (118863.52299999818 575498.313000001, 114287.25800000131 568411.875)"
vlieglijnen_kust_2008.110,9002.734,216.19999695,-187.3999939,1-4-2008,texel_ar11_01,,,"LINESTRING (119037.9690000005 575311.25, 114145.5 567753.936999999)"
vlieglijnen_kust_2008.111,6526.125,186,-226.30000305,1-4-2008,texel_ar11_02,,,"LINESTRING (116777.52299999818 571324.438000001, 120291.67199999839 576823.625)"
vlieglijnen_kust_2008.112,21651.578,282,-196.5,1-4-2008,texel_ar11_03,,,"LINESTRING (120086.95300000161 578706.063000001, 108336.75800000131 560520.25)"
vlieglijnen_kust_2008.113,20511.172,187.19999695,-239.1000061,1-4-2008,texel_ar11_04,,,"LINESTRING (120615.63300000131 579097.563000001, 109499.89799999818 561859.561999999)"
vlieglijnen_kust_2008.114,4843.278,444.29998779,-298.6000061,1-4-2008,texel_ar11_05,,,"LINESTRING (109372.6409999989 556626.875, 109178.22700000182 561466.25)"
vlieglijnen_kust_2008.115,6690.9,202.69999695,-186.69999695,1-4-2008,texel_ar12_01,,,"LINESTRING (109588.8909999989 557135.75, 109323.24199999869 563821.375)"
vlieglijnen_kust_2008.116,10704.478,197.8999939,-288.5,1-4-2008,texel_ar12_02,,,"LINESTRING (110032.72700000182 552260.186999999, 109605.2109999992 562956.125)"
vlieglijnen_kust_2008.117,7625.562,253,-187,1-4-2008,texel_ar12_03,,,"LINESTRING (110089.29699999839 556998.563000001, 109774.52299999818 564617.625)"
vlieglijnen_kust_2008.118,12312.553,197,-188.3999939,1-4-2008,texel_ar12_06,,,"LINESTRING (110485.27299999818 552853.936999999, 109978.64799999818 565156.063000001)"
vlieglijnen_kust_2008.119,3711.826,613.70001221,-443.1000061,1-4-2008,texel_ar12_07,,,"LINESTRING (113054.0940000005 558117.375, 109435.4690000005 557290.811999999)"
vlieglijnen_kust_2008.120,5022.809,208.1000061,-264.5,1-4-2008,texel_ar12_08,,,"LINESTRING (112936.1090000011 557857.875, 108041.75800000131 556729.186999999)"
vlieglijnen_kust_2008.121,7648.13,196.5,-203.80000305,1-4-2008,texel_ar12_09,,,"LINESTRING (116988.86699999869 558544.188000001, 109540.2190000005 556808.813000001)"
vlieglijnen_kust_2008.122,8018.443,233.6000061,-187.80000305,1-4-2008,texel_ar12_10,,,"LINESTRING (117187.1799999997 558340.436999999, 109376.4609999992 556527.125)"
vlieglijnen_kust_2008.123,5950.498,232.5,-193.5,1-4-2008,texel_ar9_01,,,"LINESTRING (114005.20300000161 557292, 108172.85200000182 556112.125)"
vlieglijnen_kust_2008.124,6736.348,243.19999695,-484.79998779,1-4-2008,texel_ar9_02,,,"LINESTRING (115381.2809999995 557427.188000001, 108818.92199999839 555906.063000001)"
vlieglijnen_kust_2008.125,5783.716,189.1000061,-232.5,1-4-2008,texel_ar9_03,,,"LINESTRING (108553.0309999995 555602, 114190.5940000005 556894)"
vlieglijnen_kust_2008.126,6107.259,622.20001221,-411.5,1-4-2008,texel_ar9_04,,,"LINESTRING (115266.6090000011 556903.75, 109316.82800000161 555525.811999999)"
