Jaar;Ketennationaliteit;Aantal unieke vreemdelingen
2019;Syrische;1131
2019;Marokkaanse;910
2019;Algerijnse;886
2019;Nigeriaanse;660
2019;Iraanse;599
2019;Eritrese;530
2019;Iraakse;449
2019;Afghaanse;342
2019;Libische;298
2019;Gambiaanse;249
2019;Tunesische;206
2019;Onbekend;185
2019;Moldavische;176
2019;Jemenitische;172
2019;Guinese;152
2019;Georgische;152
2019;Turkse;138
2019;Somalische;107
2019;Soedanese;99
2019;Staatloos;93
2019;Servische;91
2019;Russische;82
2019;Pakistaanse;82
2019;Egyptische;82
2019;Sierra Leoonse;77
2019;Albanese;75
2019;Burger van de Republiek Noord-Macedonië;73
2019;Armeense;66
2019;Belarussische;65
2019;Azerbeidzjaanse;55
2019;Jordaanse;51
2019;Ugandese;50
2019;Oekraïense;43
2019;Senegalese;43
2019;Venezolaanse;36
2019;Palestijnse;34
2019;Ethiopische;32
2019;Burger van Bosnië-Herzegovina;30
2019;Malinese;30
2019;Ivoriaanse;28
2019;Libanese;27
2019;Chinese;25
2019;Cubaanse;22
2019;Ghanese;20
2019;Kameroense;18
2019;Nigerese;16
2019;Liberiaanse;15
2019;Kosovaarse;15
2019;Guinee-Bissause;15
2019;Colombiaanse;13
2019;Burger van Trinidad en Tobago;13
2019;Burundese;12
2019;Sri Lankaanse;11
2019;Kazachse;11
2019;Nicaraguaanse;11
2019;Angolese;10
2019;Burger van Congo;10
2019;Myanmarese;9
2019;Tadzjiekse;8
2019;Vietnamese;8
2019;Zimbabwaanse;7
2019;Kenyaanse;7
2019;Tsjadische;7
2019;Mongolische;6
2019;Burger van Democratische Republiek Congo;6
2019;Beninse;6
2019;Mauritaanse;6
2019;Saoedi-Arabische;5
2019;Jamaicaanse;5
2019;Joegoslavische;4
2019;Burkinese;4
2019;Taiwanese;4
2019;Nepalese;4
2019;Indiase;4
2019;Tanzaniaanse;4
2019;Bengalese;4
2019;Salvadoraanse;4
2019;Braziliaanse;4
2019;Argentijnse;3
2019;Togolese;3
2019;Israëlische;3
2019;Oezbeekse;3
2019;Surinaamse;3
2019;Bahreinse;3
2019;Amerikaans burger;3
2019;Mexicaanse;2
2019;Rwandese;2
2019;Filipijnse;2
2019;Bahamaanse;2
2019;Saint Luciaanse;2
2019;Zuid-Afrikaanse;2
2019;Gabonese;2
2019;Montenegrijnse;2
2019;Canadese;1
2019;Noord-Koreaanse;1
2019;Centraal-Afrikaanse;1
2019;Zambiaanse;1
2019;Indonesische;1
2019;Burger van Antigua en Barbuda;1
2019;Guyaanse;1
2019;Guatemalaanse;1
2019;Kirgizische;1
2019;Tsjechische;1
2019;Chileense;1
2019;Turkmeense;1
2019;Namibische;1
2019;Haïtiaanse;1
2019;Vastgesteld niet-Nederlander;1
2019;Spaanse;1
2019;Zuid-Soedanese;1
2019;Italiaanse;1
2020;Afghaanse;348
2020;Albanese;15
2020;Algerijnse;732
2020;Amerikaans burger;1
2020;Angolese;16
2020;Argentijnse;3
2020;Armeense;40
2020;Azerbeidzjaanse;57
2020;Bahamaanse;2
2020;Bahreinse;2
2020;Belarussische;57
2020;Bengalese;5
2020;Beninse;4
2020;Braziliaanse;6
2020;Burger van Bosnië-Herzegovina;8
2020;Burger van Congo;9
2020;Burger van de Bondsrepubliek Duitsland;1
2020;Burger van de Republiek Noord-Macedonië;46
2020;Burger van de Verenigde Arabische Emirat;1
2020;Burger van Democratische Republiek Congo;6
2020;Burger van Trinidad en Tobago;9
2020;Burkinese;3
2020;Burundese;2
2020;Centraal-Afrikaanse;1
2020;Chinese;43
2020;Colombiaanse;40
2020;Comorese;1
2020;Costa Ricaanse;1
2020;Cubaanse;20
2020;Dominicaanse;3
2020;Egyptische;95
2020;Eritrese;499
2020;Ethiopische;46
2020;Filipijnse;1
2020;Franse;1
2020;Gabonese;2
2020;Gambiaanse;273
2020;Georgische;72
2020;Ghanese;18
2020;Griekse;1
2020;Guatemalaanse;1
2020;Guinee-Bissause;9
2020;Guinese;143
2020;Haïtiaanse;3
2020;Indiase;3
2020;Iraakse;371
2020;Iraanse;698
2020;Israëlische;5
2020;Italiaanse;2
2020;Ivoriaanse;23
2020;Jamaicaanse;6
2020;Jemenitische;250
2020;Jordaanse;57
2020;Kameroense;27
2020;Kazachse;19
2020;Kenyaanse;8
2020;Kirgizische;2
2020;Koeweitse;3
2020;Kosovaarse;11
2020;Letse;1
2020;Libanese;59
2020;Liberiaanse;13
2020;Libische;205
2020;Litouwse;1
2020;Malinese;24
2020;Marokkaanse;700
2020;Mauritaanse;7
2020;Moldavische;29
2020;Mongolische;9
2020;Montenegrijnse;2
2020;Myanmarese;7
2020;Namibische;1
2020;Nederlandse;3
2020;Nicaraguaanse;12
2020;Nigerese;15
2020;Nigeriaanse;758
2020;Oekraïense;41
2020;Oezbeekse;3
2020;Onbekend;214
2020;Pakistaanse;113
2020;Palestijnse;37
2020;Peruaanse;4
2020;Portugese;1
2020;Russische;111
