OBJECTID,NAAM,DETAIL,CATEGORIE,MUTATIEDATUM,KIJKHOEK,BOOGSTRAAL,GEOSUBCODE_PVR,KM_GEOCODE_PVR,SPOORNAAM_PVR,GEOSUBCODE,KM_GEOCODE,SPOORNAAM,SPOORTAK_AFSTAND,RECHTSTAND,BINNENZIJDEBOOG,KWALITEIT,X,Y,Z,PROCESSTATUS,OBSTAKEL_ID,RECHTSTAND_VERTICAAL,SNELHEID,POSITIONELE_NAUWKEURIGHEID_MM,REF_FUNC_SPOORTAK_NAAM_LANG,VERKANTING,BOOGSTRAAL_VERTICAAL,MEETDATUM,REF_FUNCTIONELE_SPOORTAK_PUIC
1,211-2015-08-0006,,Perronobstakel,2015/06/10 10:50:02+00,0,0,211__,16.316,kb,211__,16.31383,KB,0.01091672,Y,N,Middel,169761.53125,460052.6875,0,Definitief,17878,,,250,211_21V_21.6,,,2015/06/10 10:45:27+00,d41dcdc0-f08d-4194-b053-3556d8df0083
2,211-2015-08-0004,,Bord,2015/06/10 11:01:02+00,0,0,211__,16.808,kb,211__,16.806407,KB,0.0014604,Y,N,Middel,170073.71875,459671.6875,0,Definitief,17879,,,250,211_21V_21.6,,,2015/06/10 10:58:12+00,d41dcdc0-f08d-4194-b053-3556d8df0083
3,211-2015-08-0003,816,Lichtsein,2015/06/10 11:03:26+00,0,3400,211__,17.247,kb,211__,17.245592,KB,0.01088775,N,N,Middel,170352.25,459332.3125,0,Definitief,17880,,,250,211_21V_21.6,,,2015/06/10 11:01:13+00,d41dcdc0-f08d-4194-b053-3556d8df0083
4,204-2015-15-0044,,Bord,2015/09/28 11:20:39+00,0,0,204__,22.728,521,204__,22.728234,521,0.01084283,Y,N,Middel,224560.25,502864.625,0,Definitief,18476,,,250,204_311L_22.6,,,2015/09/28 11:15:32+00,68f438a5-33c1-4bd2-b7e1-214dfa0c04d8
5,204-2015-15-0010,,Bord,2015/09/28 13:33:28+00,0,0,204__,11.111,da,204__,11.112125,sDA-s511,0.01010742,Y,N,Middel,213263.21875,501900.125,0,Definitief,18477,,,250,204_301R_12.6,,,2015/09/28 13:27:58+00,cc3cee79-4591-4b04-b150-f888db335edf
6,204-2015-15-0014,,Lichtsein,2015/09/28 14:15:01+00,0,0,204__,11.897,511,204__,11.899411,511,0.11082346,Y,N,Middel,213998.39063,501618.84375,0,Definitief,18478,,,250,204_301R_12.6,,,2015/09/28 13:35:51+00,cc3cee79-4591-4b04-b150-f888db335edf
7,204-2015-15-0011,,Hekwerk,2015/09/28 14:20:16+00,0,0,204__,11.432,da,204__,11.433244,sDA-s511,0.01640688,Y,N,Middel,213563.78125,501786.78125,0,Definitief,18479,,,250,204_301R_12.6,,,2015/09/28 14:17:55+00,cc3cee79-4591-4b04-b150-f888db335edf
8,204-2015-15-0012,,Hekwerk,2015/09/28 14:25:40+00,0,0,204__,11.419,ca,204__,11.420726,sCA-s512,0.00894937,Y,N,Middel,213550.48438,501787.625,0,Definitief,18480,,,250,204_301L_12.6,,,2015/09/28 14:24:08+00,643cc77e-cc70-4dc1-a1b6-a7f833cf874c
9,204-2015-15-0013,,Kast,2015/09/28 14:27:22+00,0,0,204__,11.888,ca,204__,11.889872,sCA-s512,0.07047339,Y,N,Middel,213987.34375,501616.40625,0,Definitief,18481,,,250,204_301L_12.6,,,2015/09/28 14:25:51+00,643cc77e-cc70-4dc1-a1b6-a7f833cf874c
10,204-2015-15-0018,,Perronobstakel,2015/09/28 14:44:58+00,0,0,204__,12.158,ca,204__,12.16001,s512-w301L,0.06448282,Y,N,Middel,214240.4375,501521.125,0,Definitief,18483,,,250,204_301L_12.6,,,2015/09/28 14:41:59+00,643cc77e-cc70-4dc1-a1b6-a7f833cf874c
