gemcode;jaar;lbrmtr;lbm9802;lbm9806;lbm9808;lbm9810;lbm0206;lbm0208;lbm0210;lbm0608;lbm0610;lbm0810;bev;lftsam;publ;veilig;vrz;won
3;1998;positief; ; ; ; ; ; ; ; ; ; ;-17,93448;-16,28495;-3,13558;24,11665;-7,38276;-19,27487
3;2002;positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;-2,79019;12,56515;-4,54342;25,22609;-15,16642;-13,80181
3;2006;positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;-12,22859;8,21511;-1,13928;18,53365;-16,85898;-12,42442
3;2008;positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;-2,08669;7,49747;-4,58953;19,73083;-16,96039;-5,52776
3;2010;positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;-,89468;9,25193;2,70782;20,1381;-17,60475;-3,67657
5;1998;zeer positief; ; ; ; ; ; ; ; ; ; ;8,60339;2,92754;,77556;37,70625;11,88547;26,48815
5;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;18,47532;9,4594;-,71524;36,69145;-29,09816;30,77625
5;2006;zeer positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;15,17535;4,9084;,32213;35,11755;-29,87546;31,22235
5;2008;zeer positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;22,27486;6,29121;,90384;29,94699;-29,02989;30,88989
5;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;22,5142;8,52395;10,00102;23,91212;-29,53661;30,98926
7;1998;zeer positief; ; ; ; ; ; ; ; ; ; ;-14,18141;19,65759;-14,7063;41,7914;-17,59361;36,73217
7;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;4,35598;27,81246;-16,0102;39,86482;-22,7076;35,94363
7;2006;zeer positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;-7,37613;25,00864;-16,14753;41,21344;-27,06116;35,20088
7;2008;zeer positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;-,11865;23,30868;-26,23825;38,61241;-27,29394;36,08357
7;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;1,02911;25,53088;-8,81444;36,47042;-28,0948;37,08371
9;1998;zeer positief; ; ; ; ; ; ; ; ; ; ;2,69791;14,60834;-1,7662;38,69497;9,45976;37,23663
9;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;10,03141;10,70404;-4,10836;32,88258;-25,38201;36,88509
9;2006;zeer positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;9,77412;4,2011;,23838;25,37648;-30,36415;36,21948
9;2008;zeer positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;16,28647;7,33374;-8,62686;28,70313;-30,59778;36,97171
9;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;17,39488;6,83666;13,79618;30,52142;-28,95198;36,86086
10;1998;positief; ; ; ; ; ; ; ; ; ; ;-22,33924;3,30032;-6,34688;15,19589;7,63025;-5,34836
10;2002;positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;-7,17894;13,66496;-9,62762;12,46969;-4,92237;1,79496
10;2006;positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;-16,50983;6,91527;-9,98305;16,8509;-6,57384;7,45072
10;2008;positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;-6,3305;10,69421;-12,79412;11,9451;-8,98614;13,02814
10;2010;positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;-8,9281;12,70355;1,20057;9,80711;-9,5499;15,41967
14;1998;matig positief; ; ; ; ; ; ; ; ; ; ;-33,07944;-16,80485;-11,8064;-31,47696;2,3187;-33,28925
14;2002;positief;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; ;-6,99042;-11,47434;-12,64351;-29,69953;17,06151;-28,18072
14;2006;matig positief; ;beperkte positieve ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;-13,92746;-13,18851;-10,05157;-27,58844;11,84188;-26,27815
14;2008;positief; ; ;beperkte positieve ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;1,40832;-10,84375;-2,81884;-22,47297;11,13601;-21,48528
14;2010;positief; ; ; ;beperkte positieve ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;1,72907;-9,34251;5,66422;-23,96768;12,03141;-21,73657
15;1998;zeer positief; ; ; ; ; ; ; ; ; ; ;-7,75245;13,33501;-17,7638;35,02416;7,62058;31,9888
15;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;7,07334;11,91711;-19,47505;27,80978;-34,66916;35,13338
15;2006;zeer positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;3,06527;12,03357;-19,43898;25,00157;-36,57109;35,81304
15;2008;zeer positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;13,10444;17,61998;-32,47016;27,99311;-37,80921;35,79293
