Handelsnaam;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
!Pet;1;;;;1
1.2.3. Machineverhuur B.V.;1;;1;;1
A. Agterberg B.V.;1;;;;1
A.J. van Deudekom B.V.;1;;;2;2
Actief Accuraat AA Service en Onderhoud B.V.;1;;;;1
Albe Technieken B.V.;1;;;;1
Alfatech;1;;;;1
Alp Lift B.V.;1;;;;1
Ambius B.V.;2;;;;2
Amilco Benelux B.V.;1;;;;1
Andrews Sykes B.V.;1;;;;1
Ascom (Nederland) B.V.;;;;1;1
Aurion-Immuno Gold Reagents & Accessoires;1;;;;1
Avex B.V.;2;;;;2
Barth Larson-Juhl B.V.;1;;;;1
Baspartout;1;;;;1
Berdi Groenservice B.V.;1;;;;1
Bloembinderij All Seasons;1;;;;1
Bloemsierkunst De Klerk B.V.;1;;;;1
bol.com B.V.;1;;;;1
Bouwbedrijf A.Huurdeman B.V.;1;;;;1
BPI Services B.V.;1;;;;1
Breur IJzerhandel Ceintuurbaan;1;;;;1
Bristol Coatings Holland B.V.;1;;;;1
Bruker Nederland B.V.;1;;;;1
BTL Realisatie B.V.;1;;;1;1
Croon Elektrotechniek B.V.;1;;;;1
Crown Worldwide Transport B.V.;;;1;;1
CWS Nederland B.V.;1;;;;1
D.R. Trading Kitchenware Utrecht Holding B.V.;1;;;;1
DB Audio Video Systemen B.V.;1;;;1;1
De Bouwhof B.V.;1;;;;1
De Eilanden;2;;;;2
de Sleutelbus.nl;;;;1;1
De Sleutelspecialist;1;;;;1
De Witte Dame Monumenten B.V.;;;;1;1
Discountoffice.nl B.V.;1;;;;1
Donkergroen B.V.;1;;;;1
Douwe Egberts Café;1;;;;1
Drentea Kantoormeubelen;2;;;;2
Dunea N.V.;;1;;;1
Dutch Flooring Solutions B.V.;1;;;;1
E.ON Benelux Levering B.V.;;4;;;4
