;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Athlon Car Lease Nederland B.V.;;;5;5
Bibliotheek Rilland;;1;;1
Carglass B.V.;;;1;1
Catering Oud London B.V.;;1;;1
De Horeca Academie Zakelijk B.V.;;1;;1
Garagebedrijf Korterink Zwolle B.V.;;;1;1
GGN Mastering Credit B.V.;;;1;1
Het Kookplein;;1;;1
Holding Beheermaatschappij Ropeni B.V.;;1;;1
IMYY;;1;;1
Inspiratie op Locatie B.V.;;1;;1
Ipse de Bruggen;;1;;1
La Paulowna - Boutique Hotel;;1;;1
Landgoed Duindigt;;1;;1
Leaseplan Nederland N.V.;;;7;7
Meetingselect B.V.;;7;;7
New Babylon Meeting Center B.V.;;1;;1
NS Reizigers B.V.;1;;;1
Plein 20 Den Haag B.V.;;1;;1
POL Heteren B.V.;;;1;1
Shuttel B.V.;1;;;1
Singel Horeca B.V.;;1;;1
Stichting Haags Theaterhuis;;1;;1
Vadenco B.V.;;1;;1
Vital Change B.V.;;1;;1
Waterproof Events B.V.;;1;;1
Worldmeetings.com B.V.;;1;;1
Eindtotaal;1;7;7;8
