buurtcode;soort_groen;gew_gem_afstand
N67a;groen_camping, kampeerterrein;2756.61280588199
N67b;groen_camping, kampeerterrein;2540.67069103345
N66d;groen_camping, kampeerterrein;3120.56310126699
N66c;groen_camping, kampeerterrein;3751.51195006279
N66b;groen_camping, kampeerterrein;3774.08364180302
T92g;groen_camping, kampeerterrein;3847.23139669089
N66f;groen_camping, kampeerterrein;3502.06036536837
N70c;groen_camping, kampeerterrein;3683.73772203757
N65b;groen_camping, kampeerterrein;4073.44538514996
N65c;groen_camping, kampeerterrein;4314.07609237579
N70a;groen_camping, kampeerterrein;3985.62552221164
N70d;groen_camping, kampeerterrein;3963.62696794475
N70b;groen_camping, kampeerterrein;4168.97546038373
N65d;groen_camping, kampeerterrein;4034.74275924074
N66g;groen_camping, kampeerterrein;3934.17449500285
N70e;groen_camping, kampeerterrein;4398.9369725386
N65a;groen_camping, kampeerterrein;4330.50439823995
N73h;groen_camping, kampeerterrein;8142.62584048968
N71c;groen_camping, kampeerterrein;5150.35948655561
T96g;groen_camping, kampeerterrein;4631.38468300213
T96f;groen_camping, kampeerterrein;4819.19060581518
N70f;groen_camping, kampeerterrein;4572.19683516667
N64a;groen_camping, kampeerterrein;4917.37787999617
N60c;groen_camping, kampeerterrein;5060.9353644996
N71f;groen_camping, kampeerterrein;4891.99753858884
N74c;groen_camping, kampeerterrein;5173.51002044745
N60b;groen_camping, kampeerterrein;5471.58128999076
N71e;groen_camping, kampeerterrein;4833.8613733361
N66e;groen_camping, kampeerterrein;5598.0059069193
T96e;groen_camping, kampeerterrein;5264.76576511003
N74b;groen_camping, kampeerterrein;5185.06668959635
T96b;groen_camping, kampeerterrein;5340.44968802801
T97d;groen_camping, kampeerterrein;5650.15357141432
T92f;groen_camping, kampeerterrein;5053.11216219377
N73i;groen_camping, kampeerterrein;5406.20071905301
N69c;groen_camping, kampeerterrein;5450.26396485463
N64b;groen_camping, kampeerterrein;5446.0731719861
T97b;groen_camping, kampeerterrein;5556.07265980283
N74a;groen_camping, kampeerterrein;5402.72773459689
N61c;groen_camping, kampeerterrein;6496.98783378559
T96d;groen_camping, kampeerterrein;5652.69306145492
T92d;groen_camping, kampeerterrein;5460.9362999602
N71g;groen_camping, kampeerterrein;5842.67604432216
T96a;groen_camping, kampeerterrein;5764.2556313495
N69m;groen_camping, kampeerterrein;5982.81795415489
N69j;groen_camping, kampeerterrein;6072.48292237601
T96c;groen_camping, kampeerterrein;6040.2638287799
N69l;groen_camping, kampeerterrein;5893.30223079505
N69k;groen_camping, kampeerterrein;5934.18570321934
