OBJECTID,TIJDSTIP_REGISTRATIE,SUBTYPE,POSITIONELE_NAUWKEURIGHEID_MM,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,BGTFUNCTIE,PLUSFUNCTIE,CUSTOMFUNCTIE,BGTFYSIEKVOORKOMEN,PLUSFYSIEKVOORKOMEN,CUSTOMFYSIEKVOORKOMEN,BGTTYPE,PLUSTYPE,CUSTOMTYPE,STATUS,Shape__Area,Shape__Length
1,2015/02/26 11:35:38+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,98250.027576,2134.10350409447
2,2015/09/25 15:46:51+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,2024.310869515,250.120284687477
3,2015/12/04 16:48:32+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,156640.66921813,2398.53892131008
4,2015/05/19 14:25:50+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,428.3760395,184.752394122791
5,2015/07/14 10:14:39+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,46447.853689,2043.57818529546
6,2015/05/22 15:29:20+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,1659.7951115,513.584792731895
7,2015/05/22 15:29:20+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,14343.9166365,1010.07606072784
8,2015/05/22 15:29:20+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,38762.4506515,1418.87513380335
9,2015/11/03 14:46:06+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,328.8604545,435.999575167462
10,2015/08/11 09:15:08+00,BEGROEIDTERREINDEEL,283,G0777,Etten-Leur,bestaand,0,,,,transitie,,,,,,,2699.217466695,1567.72340645124
11,2015/11/02 17:15:53+00,BEGROEIDTERREINDEEL,283,L0001,"Ministerie van Landbouw, Natuur en Voedselkwaliteit (LNV)",bestaand,0,,,,transitie,,,,,,,6202.206916,337.944546151027
