;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Deba 2000 B.V.;;4;;;;4
Decolux Holding B.V.;;1;;;;1
Deege Metaalfinishing B.V.;;2;;;;2
Destil;;2;;;;2
Dokkumer Vlaggen Centrale B.V.;;1;;;;1
Don Bureau B.V.;;;;2;;2
Dräger Nederland B.V.;;1;;;;1
DSA Facilities;;;;1;;1
Dulo Asbestverwijdering B.V.;;2;;;;2
Dunea N.V.;;;2;;;2
DuurzaamNL B.V.;;1;;;;1
Dynamic No-Break B.V.;;1;;;;1
E.A.L. Electronic Application Laboratory B.V.;;2;;;;2
EAN Nederland;;;1;;;1
Ecogroen B.V.;;2;;;;2
Eden Springs Nederland B.V.;;;1;;;1
Eijkelboom B.V.;;1;;;;1
Elec.techn. Bureau Van den Meerendonk B.V.;;2;;;;2
Electro-Technisch Install.bdr. 'Leerkes' B.V.;;1;;;;1
Elektro-Four B.V.;;3;;;;3
Enduris B.V.;;;2;;;2
Eneco Services B.V.;;;7;;;7
Eneco Zakelijk;;;8;;;8
ENGIE Energie Nederland N.V.;;;4;;;4
ENGIE Serv. Zuid vestiging Maastricht-Airport;;;;;2;2
ENGIE Services Noord B.V.;;1;;;;1
Ennatuurlijk B.V.;;;3;;;3
Ergolift B.V.;;1;;;;1
Essent Energie Verkoop Nederland B.V.;;;4;;;4
Etrometa B.V.;;;;;4;4
Eureka Internationaal B.V.;;1;;;;1
Evident Projectstoffering B.V.;;1;;;;1
Farwick Groenspecialisten;;3;;;;3
FEDIMMO;;2;;;4;4
FietsNED B.V.;;1;;;;1
Flanderijn Gerechtsdeurw. Bergen op Zoom B.V.;;;1;;;1
Fletcher Hotel Restaurant Doorwerth-Arnhem;;1;;;;1
Flevo Landscaping B.V.;;2;;;;2
Formenta Wego B.V.;;1;;;;1
Frisse Lucht B.V.;;1;;;;1
Fudura B.V.;;;4;;;4
Future House Music;;2;;;;2
G & Z Groep;;1;;;;1
Gebr. Van Kessel B.V.;;4;;;;4
Genuin.Holding B.V.;;1;;;;1
Geofox-Lexmond B.V.;;2;;;;2
Geotherm E.S.;;1;;;;1
Gijs de Haan;;1;;;;1
Glazenwassersbedrijf Koomen;;1;;;;1
Grandia Grondverzet;;1;;;;1
Graydon Nederland B.V.;;;1;;;1
Greenchoice;;;9;;;9
Greenport Rotterdam;;;;;3;3
Groenburgwal B.V.;;;;;2;2
Groningen Seaports N.V.;;;;;2;2
Gunters en Meuser B.V.;;1;;;;1
H.J.L.J. Swanenberg Beheermaatschappij B.V.;;;;;6;6
HaskoningDHV Nederland B.V.;;3;;;;3
HB Hekwerk- & Montagebedrijf B.V.;;1;;;;1
Heijmans Infra B.V.;;;1;;;1
Helix Academy;;2;;;;2
Heras B.V.;;1;;;;1
HGS Products B.V.;;2;;;;2
Holding R. Doppegieter B.V.;;;1;;2;2
Holland Mast B.V.;;1;;;;1
Hovek Projectinrichting B.V.;;2;;;;2
Hoveniersbedrijf Kees de Bruin B.V.;;1;;;;1
HYPERION TECHNOLOGY GROUP, INCORPOR;;1;;;;1
Industrieel Klimmen B.V.;;2;;;;2
Ingenieursbureau Ebatech B.V.;;1;5;;;5
Ingenieursbureau Wittich & Visser B.V.;;1;;;;1
Installatiebedrijf J.C. Barendse;;1;;;;1
Interdaad B.V.;;2;;;;2
Intermontage;;1;;;;1
Interpomp B.V.;;1;;;;1
Intersafe Netherlands B.V.;;1;;;;1
InventDesign B.V.;;;;;2;2
Isero IJzerwarengroep;;1;;;;1
ISSOS B.V.;;;;;2;2
itsme B.V.;;1;;;;1
IXBLUE B.V.;;;;;4;4
J. Feitsma Tuinaanleg en Groenvoorziening;;1;;;;1
Jack Hannen Hoveniersbedrijf en Boomkwekerij;;2;;;;2
Jar Luchtreiniging;;1;;;;1
JDL Parket & Interieurbouw;;1;;;;1
JH Acquisitions, LLC dba EN-SCI;;2;;;;2
Jos Scholman Groen B.V.;;5;;;2;5
Joulz Infradiensten B.V.;;2;6;;;6
Joulz Meetbedrijf B.V.;;1;1;;;1
Julo Systeemwanden en Kantoorinr. B.V.;;2;;;;2
K&A Montage B.V.;;2;;;;2
Kenter;;;4;;;4
KINEMETRICS;;4;;;;4
King Wall;;1;;;;1
Kinly Benelux;;1;;;;1
KJ Hekwerk B.V.;;1;;;;1
Klimaatservice Holland B.V.;;1;;;;1
Kongsberg Maritime Holland B.V.;;;;;4;4
KPN B.V.;;1;;;;1
Kreeft Betonrenovatie & Injectietechn. B.V.;;5;;;;5
Krinkels B.V.;;1;;;;1
Laanbroek Schoeman Adviseurs B.V.;;2;;;;2
Laboratorium Microbiologie Twente Achterhoek;;1;;;;1
Lagemaat Sloopwerken B.V.;;3;;;;3
Lankor Hoveniers;;2;;;;2
Leyten Vastgoedexploitatie II B.V.;;;;;2;2
Liander N.V.;;;7;;;7
Lichtparadijs Van Bukel V.O.F.;;1;;;;1
Liemers Hendriks Groenvoorziening B.V.;;1;;;;1
Lievense Milieu B.V.;;5;;;;5
Liftinstituut B.V.;;1;;;;1
Linde Gas Cryoservices B.V.;;;1;;;1
Loenderveen, Waternet;;;1;;;1
Logisticon Water Treatment;;;;;5;5
Lubron Waterbehandeling B.V.;;1;;;;1
Maatschap H. van der Veen & J. de Vries;;;;;1;1
Madeko Office Solution B.V.;;1;;;;1
Manutan B.V.;;1;;;;1
Marinisse Plaagdier Bestrijding B.V.;;2;;;;2
Mastermate Jan van Leusen;;1;;;;1
Mastermate VBT Groep;;1;;;;1
Matter Ongediertebestrijding;;1;;;;1
Meetingselect B.V.;;1;1;;;1
Memo B.V.;;1;;;;1
Metaaltechniek Nooijen B.V.;;1;;;;1
Meter Support B.V.;;;1;;;1
Metos B.V.;;1;;;;1
Meubelherstellers;;1;;;;1
Miele Nederland B.V.;;1;;;;1
MII B.V.;;2;;;;2
Millipore;;1;;;;1
Mirion Technologies;;;;;4;4
Modelec Data-Industrie;;2;;;;2
Mondial Movers B.V.;1;2;;4;;4
MTS H R RICHTERINK;;;;;1;1
Multi-Made B.V.;;2;;;;2
N.V. Luchthaven Lelystad;;2;;;;2
N.V. Rendo;;;1;;;1
N.V. Waterbedrijf Groningen;;;1;;;1
Navigation Solutions Europe B.V.;;;;;4;4
Netalux nv;;1;;;;1
Nieuw Ammervelde;;1;;;;1
Norisk Keymanagement B.V.;;1;;;;1
Nortek Oceanografische Instrum.&Diensten B.V.;;;;;2;2
Novoferm Nederland B.V.;;1;;;;1
Oasen N.V.;;;1;;;1
Observator Instruments B.V.;;5;;;6;6
Olympus Nederland B.V.;;;;;2;2
OTT Hydromet;;2;;;;2
Partoftom.com;;1;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;2;;;;2
Peutz B.V.;;1;;;;1
Pictogrammenwinkel;;1;;;;1
PILLER GERMANY GMBH & CO. KG;;2;;;;2
Polvo B.V.;;1;;;;1
Portakabin B.V.;;2;;;2;3
Pranger Gerechtsdeurwaarders B.V.;;1;;;;1
Praxis Doe Het Zelf Center;;1;;;;1
Pricewaterhousecoopers Advisory N.V.;;;2;;;2
Primagaz Nederland B.V.;;;2;;;2
Progenta Project Services Benelux B.V.;;1;;;;1
Projectvloeren Specialist;;1;;;;1
Property-Telecom B.V.;;;;;1;1
Protinus IT B.V.;;;;;8;8
PZEM Energy B.V.;;;2;;;2
PZEM N.V.;;;1;;;1
Q-Park Operations Netherlands B.V.;;2;;;;2
Radio Holland Netherlands B.V.;;1;;;;1
Ravebo B.V.;;1;;;;1
Rebro-SSC;;4;;;;4
Recycling Kampen Beheer B.V.;;;;;4;4
Reijmer Pannerden B.V.;;2;;;;2
Renewi Nederland B.V.;;1;;;;1
Restaurant Schietbaan Europoort C.V.;;;;;2;2
Rindert vdT Fotografie;;1;;;;1
RMC ST DERDENGELDEN;;;1;;;1
ROHDE & GRAHL B.V.;;2;;;6;6
Roompot Service B.V.;;;1;;;1
Rotterdam Airport B.V.;;1;;;;1
RPS advies- en ingenieursbureau;;1;;;;1
RPS Analyse B.V.;;1;;;;1
RRS Nederland B.V.;;1;;;;1
RS Components B.V.;;1;;;;1
Ruim Omgevingsontwikkeling B.V.;;1;;;;1
Sabel Communicatie B.V.;;1;;;;1
Schegro B.V.;;1;;;;1
Schildersbedrijf Merak;;1;;;;1
Schiphol Nederland B.V.;;;1;;;1
Schiphol Real Estate B.V.;;;;;2;2
Schürgers Sleutelservice V.O.F.;;1;;;;1
SealteQ Noord B.V.;;6;;;;6
SeaNRG B.V.;;;1;;;1
Securitas Beveiliging B.V.;;2;;;;2
Security Monitoring Centre;;1;;;;1
Service Support B.V.;;1;;;;1
Settels Sustainable Workconditions;;1;;;;1
SGS Intron B.V.;;1;;;;1
SGS Search Milieu;;2;;;;2
Signa Terra B.V.;;2;;;;2
Sleut.- & Safespecial. W. van den Hoogen B.V.;;1;;;;1
Slotenexpert Meijering;;1;;;;1
Smartwall B.V.;;1;;;;1
Smits Van Burgst Beheer en Onderhoud B.V.;;2;;;;2
SMT Netherlands B.V.;;1;;;;1
Source4Energy B.V.;;;1;;;1
SPIE Nederland B.V.;;2;;;;2
Spyke Security B.V.;;4;;;;4
Staelduinsebos Groenspecialisten;;2;;;;2
Stantec B.V.;;2;;;;2
Stedin;;2;7;;;7
Stg. Service Centrum Auteurs & Nabur. rechten;;1;;;;1
Sticht. Beh. Drd.gld. Cannock Chase Incasso;;;1;;;1
Stichting 'Vastgoedcert';;1;;;;1
Stracke Deuren en Zonwering;;1;;;;1
Strukton Civiel Zuid B.V.;;;;;3;3
Swanenberg Handelsonderneming B.V.;;;;;3;3
Sweco Nederland;;2;;;1;2
Swedamast Nederland B.V.;;1;;;;1
T & G Terrein- en Groenvoorziening B.V.;;1;;;;1
Tauw B.V.;;2;;;;2
Tebezo Grond-, Water- en Wegenbouw;;1;;;;1
Technisch Buro Nijkamp B.V.;;4;;;;4
Technische Unie B.V.;;2;;;;2
Technology Base;;;1;;;1
Telder Bouw en Industrie B.V.;;1;;;;1
Tempcontrol Industr. Electronic Products B.V.;;2;;;1;2
Tempo-Team Direct;;7;;;;7
Thermo Fisher Scientific B.V.;;;;;6;6
Thyzo B.V.;;1;;;;1
TMC Zeeland B.V.;;1;;;;1
Topgeschenken Nederland B.V.;;4;;;;4
Total Gas and Power Nederland B.V.;;;2;;;2
Traas Zuidwest Nederland B.V.;;2;;;;2
TVE Reclameproducties B.V.;;1;;;;1
TwynstraGudde;;2;;;;2
TwynstraGudde Huisvest., Vastgoed & Fac. Man.;;2;;;;2
U-Conto;;;2;;;2
Ultimo Software Solutions B.V.;;1;;;;1
Unica Installatietechniek;;9;;;;9
UTS Abbink Den Haag;;;;;1;1
V.O.F. Loonbedrijf A. Verhoef;;1;;;;1
V.O.F. Movares, Goudappel Coffeng, Nelen;;;;;2;2
V.O.F. Movares, Infram, Goudappel Coffeng;;2;;;;2
Van Daelen Totaalbouw;;1;;;;1
Van der Heide Kathodische Bescherming;;2;;;;2
Van der Meer Sleutelservice B.V.;;1;;;;1
Van der Vleuten V.O.F.;;1;;;;1
Van Es Incasso en Advies B.V.;;;1;;;1
Van Ewijk Zonwering B.V.;;1;;;;1
Van Ginkel Oost Nederland B.V.;;1;;;;1
Van Ginkel Veenendaal B.V.;;1;;;;1
Van Hoek Verhuizingen B.V.;;;;1;;1
Van Rumpt Specialisten;;1;;;;1
Vandervelde Protection B.V.;;1;;;;1
Vattenfall Warmte N.V.;;;3;;;3
VenM B.V.;;;;1;;1
Vennink Bedrijfshygiëne;;1;;;;1
Verboon Groen & GWW B.V.;;2;;;;2
Vereniging Parkmanagement Buitenvaart;;1;;;;1
Vestiging Brabant Noordoost;;;6;;;6
Vialis B.V.;;1;;;;1
Vierhouten Palletindustrie B.V.;;;;1;;1
VIOS Bouw Amsterdam B.V.;;1;;;;1
Visser en Visser B.V.;;1;;;;1
Visser Transport B.V.;;1;;;;1
Vitens N.V.;;;3;;;3
Vloerenbedrijf Het Zuiden B.V.;;1;;;;1
Voerman International B.V.;;;;2;;2
VTN Besturingstechniek;;2;;;;2
W. Schuurman Elektrotechnische Groothandel;;1;;;;1
Waddenrecreatiebedrijf 'Neptunus';;1;;;;1
Waterkracht B.V.;;1;;;;1
Wenau Transport & Cleaning B.V.;;1;;;;1
Witteveen+Bos;;2;;;5;5
Woningstoffeerbedrijf Uniek;;1;;;;1
Worksphere;;2;;;;2
WorkWire B.V.;;3;;;;3
Y-con Beheer B.V.;;1;;;;1
Ype Kramer Autocentrum;;1;;;;1
Zetacom B.V.;;2;;;;2
Zuidema Rioleringswerken B.V.;;1;;;;1
Eindtotaal;1;9;10;4;9;11
