Leverancier;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
1910 Restaurant;;;1;;;;;;1
3o2;;;;;1;;;;1
5 Moments of Need Academy Europe B.V.;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;5;;;;5
7AM Den Haag B.V.;;;1;;;;;;1
A. Gaemers Chronometrie;;;1;;;;;;1
A. Langeveld V.O.F.;;;1;;;;;;1
a.t. werkt;;1;;;;;;;1
A.Z. N.V.;;;1;;;;;;1
A5tien B.V.;;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;1;;;1
Aan de Beek B.V.;;;1;;;;;;1
Aardewerkfabriek De Drietand B.V.;;;1;;;;;;1
ABC Events Nederland;;;1;;;;;;1
Abel. Grand CafÃ© Restaurant B.V.;;;1;;;;;;1
Abro;;;1;;;;;;1
Absoluta B.V.;;;1;;;;;;1
Academie voor Vastgoed B.V.;;;;;2;;;;2
ACCS Gerechtsdeurwaarders B.V.;;;;;2;;;;2
Acteursbureau Kapok B.V.;4;;;;;;;;4
Actors in Action;;;;;;1;;;1
Ad Legem;;;;;1;;;;1
Adlib Gebruikersgroep;;;;;1;;;;1
Advance Business Events;;;;;;1;;;1
Adventure Veluwe B.V.;;;1;;;;;;1
Adviesbureau Atim B.V.;;;;;1;;;;1
Advocatenkantoor Van de Loo;;;;;1;;;;1
AEVES B.V.;;;;7;;;;;7
AG Staffing & Development;;;;;1;;;;1
Agile Consortium (AC);;;;;1;;;;1
Agrima II B.V.;;;1;;;;;;1
Ahuis Organisatieontw. Training Coaching;;;;;1;;;;1
Ai Uchi B.V.;;;1;;;;;;1
Albertina Entertainment;1;;;;;;;;1
Albron Nederland B.V.;;;1;;;;;;1
Ale House B.V.;;;1;;;;;;1
Alettri Consultancy and Interim Management;;;;;1;;;;1
Alexanderhoeve Maarssenbroek;;;1;;;;;;1
Alfred Mobiel;;;1;;;;;;1
Alkmaarse Rugby Union Football Club;;;1;;;;;;1
All that matters & Marleen;;;;;1;;;;1
All You Want Catering B.V.;;;1;;;;;;1
Allclaims B.V.;;;;;;;;1;1
Allgifts.nl B.V.;;;2;;;;;;2
Altijd Gezel-Li;;;;;1;;;;1
Altum Investigative Psychology;;1;;;;;;;1
Amethist Developing People B.V.;;;;;1;;;;1
Amplooi;;;;;1;;;;1
Amsterdams ADR Instituut B.V.;;;;;1;;;;1
Amtsgericht Koln;1;;;;;;;;1
Anakin B.V.;;;;;1;;;;1
Anke van der Hoek;1;;;;;;;;1
AnneGidsen;;;1;;;;;;1
Anoek.nu;;;;;1;;;;1
Anoniem_FIN_14;;;1;;;;;;1
Anoniem_FIN_15;;;1;;;;;;1
Anoniem_FIN_24;1;;;;;;;;1
Anoniem_FIN_35;;;1;;;;;;1
Anoniem_FIN_53;1;;;;;;;;1
Anoniem_FIN_55;;;1;;;;;;1
Anoniem_FIN_56;;;;;1;;;;1
Anoniem_FIN_57;;;1;;;;;;1
Anoniem_FIN_58;1;;;;;;;;1
Anoniem_FIN_59;;1;;;;;;;1
Anoniem_FIN_62;;1;1;;;1;;;1
Anoniem_FIN_67;;;1;;;;;;1
Anoniem_FIN_68;;;;;;;1;;1
Anoniem_FIN_69;;;;1;;;;;1
Anoniem_FIN_70;;;;1;;;;;1
Anoniem_FIN_82;;;;;1;;;;1
Anoniem_FIN_83;;;;;1;;;;1
ANWB Pers.-Ontsp.-Verenig. 'Planken Wambuis';;;1;;;;;;1
AOG Contractonderwijs B.V.;;;;;2;;;;2
Aphroditi;;;1;;;;;;1
Aquarant;;;1;;;;;;1
Arb.psych. Adv.bureau J.J. van den Broek B.V.;;2;;;;;;;2
Arbeidspsychologen Midden Nederland;;1;;;;;;;1
Arbody B.V.;;1;;;;;;;1
ARBOwinkel.nl B.V.;;1;;;;;;;1
Ardis Opleidingen B.V.;;;;2;3;;;;3
A-REA artsen en arbeidsdeskundigen B.V.;;3;;;;;;;3
Arianthe;;;;;1;;;;1
Arieso Holding B.V.;;;1;;;;;;1
Arnage Horeca B.V.;;;1;;;;;;1
Arnoud's Multi Service;;;1;;;;;;1
Art CafÃ© Sam Sam;;;1;;;;;;1
Arthur Geurts Basles;1;;;;;;;;1
Artpub B.V.;;;;;;1;;;1
Asana;;;;;1;;;;1
Asia Vietnamees Spec. Rest.;;;1;;;;;;1
At Noon Breda B.V.;;;1;;;;;;1
ATC-Comm;;;;;1;;;;1
Atelier Anette van Stekelenburg;;;;;;1;;;1
Athenas B.V.;1;;;;;;;;1
Athene Palace B.V.;;;1;;;;;;1
Attractie Verhuur Moonen B.V.;;;1;;;;;;1
Auberge de Rousch;;;1;;;;;;1
Auberge Navet V.O.F.;;;1;;;;;;1
Auberge 't Asje;;;1;;;;;;1
Aureus;;;;;1;;;;1
Autisme Centraal;;;;;1;;;;1
Autisme Expertisecentrum;;;;;1;;;;1
AutiTalent B.V.;;1;;;;;;;1
Autorijschool Jansen;;;;;1;;;;1
Avans Hogeschool B.V.;;;;;1;;;;1
AvdR Webinars B.V.;;;;;1;;;;1
AVEQ Creatieve Producties B.V.;;;;;2;;;;2
AVEQ show, theatre & congress facilities B.V.;;;;;1;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;1;;;;;;1
B.V. Exploitatiemaatschappij Museumstoomtram;;;1;;;;;;1
B.V. Het Refter;;;1;;;;;;1
B.V. Inuk;;;1;;;;;;1
B.V. Rederij G. Doeksen en Zonen;;;;;;;;1;1
B+B Vakmedianet B.V.;;;;;1;;;;1
B+B Vakmedianet Groep B.V.;;;;;1;;;;1
Babbage Company B.V.;;;;5;;;;;5
Back in Town;;;1;;;;;;1
Bagel & Juice Strijp S B.V.;;;1;;;;;;1
Bagels & Beans Stieltjesstraat;;;1;;;;;;1
Bakker Olde Keizer by Frans B.V.;;;;;;1;;;1
Bakkerij Jan Schrieks B.V.;;;1;;;;;;1
Bakkerij Lubbers;;;1;;;;;;1
Bakkerij Vromans B.V.;;;;;;1;;;1
Bakx & Meijer B.V.;;;1;;;;;;1
Balans & Impuls B.V.;;3;;;1;;;;3
Balansgroep B.V.;;;;;1;;;;1
Balkan Grill Boro;;;1;;;;;;1
Banair Pilotshop;;;;;1;;;;1
Banketbakkerij Boheemen;;;1;;;;;;1
Banketbakkerij Brokking B.V.;;;1;;;;;;1
Banketbakkerij De Vlaam B.V.;;;1;;;;;;1
Bar Bistro 'Pieke Potloed';;;1;;;;;;1
Bar De Tapperij;;;1;;;;;;1
Bar Le Duc;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;1;;;;;;1
Barista Cafe Njoy;;;1;;;;;;1
Barista Café Rotterdam B.V.;;;1;;;;;;1
Barrera B.V.;;;1;;;;;;1
Barthen Exploitatie Maatschappij B.V.;;;1;;;;;;1
Bartine;;;1;;;;;;1
Bas Hoorn;;;;;2;;;;2
Basis GGZ Stratum Eindhoven B.V.;;1;;;;;;;1
Bassoonery;1;;;;;;;;1
Batavia;;;1;;;;;;1
Baut B.V.;;;1;;;;;;1
BAX B.V.;;;1;;;;;;1
Bax Bier Brouwerij B.V.;;;1;;;;;;1
BC-opleidingen B.V.;;;;;1;;;;1
Beach Club WOW;;;1;;;;;;1
Beach Professionals B.V.;;;;;;1;;;1
Beachclub Lemmer;;;1;;;;;;1
Beatbuzz B.V. i.o.;;;;;;;;1;1
BedrijvennetwerkHR;;;;;1;;;;1
Behavior Change Group B.V.;;;;;1;;;;1
Beheerstichting Golfbaan Stippelberg;;;1;;;;;;1
Belangen Vereniging S.P.D.;;;;;1;;;;1
Beleef Concepts v.o.f.;;;1;;;;;;1
Belevenissen.nl;;;1;;;;;;1
Belgisch Biercafé Olivier B.V.;;;1;;;;;;1
BENU Apotheek Landlust;;1;;;;;;;1
Berenschot Groep B.V.;;;;;1;;;;1
Berg & Dal B.V.;;;1;;;;;;1
Berghauser Pont Academy B.V.;;;;;1;;;;1
Berghorst Horeca Exploitatie B.V.;;;1;;;;;;1
Berlage B.V.;;;1;;;;;;1
Beroepsver. van Professionals in Sociaal Werk;;;;;1;;;;1
Beroepsvereniging Vide;;;;;;;1;;1
Bespeak B.V.;;;;;2;;;;2
Bestuursacademie Nederland Opleidingen B.V.;;;;;1;;;;1
Beter Horen B.V.;;1;;;;;;;1
Betersport B.V.;;1;;;;;;;1
Beukenhof Biezenmortel Holding B.V.;;;1;;;;;;1
Bewoners Organisatie Scheepvaartkwartier;;;;;1;;;;1
Beyond the Digit;1;;;;;;;;1
Bezemer & Schubad B.V.;;;;;2;;;;2
BHV-SPECIALIST.NL;;1;;;;;;;1
Biercafe Bruxelles B.V.;;;1;;;;;;1
Bierfabriek Nes B.V.;;;1;;;;;;1
Biesenhof Horeca;;;1;;;;;;1
Big Party Verhuur;;;1;;;;;;1
Bij de Buurvrouw B.V.;;;1;;;;;;1
Bij Roel Linssen;;;1;;;;;;1
Bij Sib bites&grill;;;1;;;;;;1
BijBram;;;1;;;;;;1
BijzonderStrafrecht B.V.;;;;;1;;;;1
Biljart-DartcafÃ© Janssen&Janssen;;;1;;;;;;1
Bilt en Bahadoer Opleidingsinstituut B.V.;;;;;1;;;;1
Binkies Food & Drinks B.V.;;;1;;;;;;1
Bison Bowling;;;1;;;;;;1
Bistro De Rotonde;;;1;;;;;;1
