Ministerie;handelsnaam na kvk;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
AZ;A. Vernooij;;;;1;;;;1
AZ;BloomReach B.V.;;;;1;;;;1
AZ;Bridj Online Marketing;;;;1;;;;1
AZ;Bureau BlauwGeel B.V.;;;;1;;;;1
AZ;Clingendaelzicht I B.V.;1;;;;;;;1
AZ;Competence Factory;;;;1;;;;1
AZ;Den Haag Centrum v. Strategische Studies B.V.;1;;;;;;;1
AZ;Frank Pot Research & Consult;1;;;;;;;1
AZ;Grandcafe Haagsche Bluf;;;;1;;;;1
AZ;Gridline B.V.;;;;1;;;;1
AZ;in60seconds B.V.;;;;1;;;;1
AZ;Nobbe Mieras Trainingen;;;;1;;;;1
AZ;Novagraaf IP NL B.V.;;;;1;;;;1
AZ;Ontwerpwerk B.V.;;;;1;;;;1
AZ;P.J. Scheffer;1;;;;;;;1
AZ;PALM KRIJNEN V.O.F.;;;;1;;;;1
AZ;PBLQ B.V.;;;;1;;;;1
AZ;Process-Pro;;;;1;;;;1
AZ;Promofit;;;;1;;;;1
AZ;PubliContact B.V.;;;;1;;;;1
AZ;Stg. Intern. Instit. voor Soc. Geschiedenis;1;;;;;;;1
AZ;Stichting Accessibility;;;;1;;;;1
AZ;Tint, Buro voor Grafische Vormgeving;;;;1;;;;1
AZ;Tony's Chocolonely Nederland B.V.;;;;1;;;;1
AZ;Uptrends B.V.;;;;1;;;;1
AZ;Verhuurbedrijf Paul B.V.;;;;1;;;;1
AZ;Wattilete Advocaten;1;;;;;;;1
AZ;Xerox (Nederland) B.V.;1;;;;;;;1
BZ;Acris Kft Budapest;;;;;;;1;1
BZ;DIANA RHAYEM LAW OFFICE;;;;;1;;;1
BZ;Hendarti;;;1;;;;;1
BZ;Intelligence Group B.V.;;;1;;;;;1
BZ;Noguera Larrain & Dulanto Santiago;;;;;1;;;1
BZ;Sd Worx Systemen B.V. Almere;;;;;;;1;1
BZ;Sd Worx Systemen B.V. X Ede;;;;;;;1;1
BZ;Sticht. IHE Delft Instit. for Water Education;;;1;;;;;1
BZK;1e Klas' Grand Caf̩ Restaurant;;1;;;;;;1
BZK;360 Veiligheid B.V.;;1;;;;;;1
BZK;Aa & C Nederland B.V.;;;1;;;;;1
BZK;Aalbers Engineering en Interieurbouw B.V.;;;1;;;;;1
BZK;albertwelvaartfotoos;;;1;;;;;1
BZK;Allround Installations;;1;;;;;;1
BZK;ALTERNATE COMPUTERVERSAND NEDERLAND;;1;;;;;;1
BZK;Anna Vastgoed Beheer B.V.;;1;;;;;;1
BZK;Anoniem 120;;;1;;;;;1
BZK;Anoniem 191;;;1;;;;;1
BZK;Anoniem 21;;;1;;;;;1
BZK;Anoniem 212;;1;;;;;;1
BZK;Anoniem 218;;1;;;;;;1
BZK;Anoniem 23;;1;;;;;;1
BZK;Anoniem 245;;;1;;;;;1
BZK;Anoniem 256;;1;;;;;;1
BZK;Anoniem 26;;;1;;;;;1
BZK;Anoniem 262;;1;;;;;;1
BZK;Anoniem 268;;;1;;;;;1
BZK;Anoniem 269;;1;;;;;;1
BZK;Anoniem 27;;;1;;;;;1
BZK;Anoniem 33;;;1;;;;;1
BZK;Anoniem 334;;;1;;;;;1
BZK;Anoniem 335;;;1;;;;;1
BZK;Anoniem 37;;1;;;;;;1
BZK;Anoniem 383;;;1;;;;;1
BZK;Anoniem 394;;;1;;;;;1
BZK;Anoniem 409;;;1;;;;;1
BZK;Anoniem 411;;;1;;;;;1
BZK;Anoniem 412;;1;;;;;;1
BZK;Anoniem 419;;;1;;;;;1
BZK;Anoniem 420;;1;;;;;;1
BZK;Anoniem 486;;;1;;;;;1
BZK;Anoniem 538;;1;;;;;;1
BZK;Anoniem 561;;;1;;;;;1
BZK;Anoniem 589;;1;;;;;;1
BZK;Anoniem 590;;;1;;;;;1
BZK;Anoniem 593;;;1;;;;;1
BZK;Anoniem 617;;;1;;;;;1
BZK;Anoniem 660;;;1;;;;;1
BZK;Anoniem 661;;;1;;;;;1
BZK;Anoniem 668;;;1;;;;;1
BZK;Anoniem 7;;;1;;;;;1
BZK;Anoniem 74;;;1;;;;;1
BZK;Anoniem 743;;1;;;;;;1
BZK;Anoniem 754;;;1;;;;;1
BZK;Anoniem 755;;;1;;;;;1
BZK;Anoniem 825;;;1;;;;;1
BZK;Anoniem 830;;;1;;;;;1
BZK;Anoniem 87;;;;1;;;;1
BZK;Anoniem 95;;;1;;;;;1
BZK;Anoniem 96;;1;;;;;;1
BZK;Anoniem 99;;;1;;;;;1
BZK;Apptimize;;;1;;;;;1
BZK;Arcadis Nederland BV;;;1;;;;;1
BZK;Architectuurcentrum Amsterdam;;;1;;;;;1
BZK;ARDIS ORGANISATIE ONTWIKKELING;;1;1;;;;;1
BZK;Ardis Organisatieontwikkeling B.V.;;1;;;;;;1
BZK;Arup B.V.;;1;;;;;;1
BZK;AWARENESS;;;1;;;;;1
BZK;AWVN;;;1;;;;;1
BZK;Balance Juridica;;1;;;;;;1
BZK;Bauhaus Artitech B.V.;;;;;;1;;1
BZK;Behartiging Opleidingen Bouwnijverheid B.V.;;1;;;;;;1
BZK;BEHR GROEP NEDERLAND;;;1;;;;;1
BZK;BEKKER ADVIES;;;1;;;;;1
BZK;BINNENLANDS BESTUUR;;;1;;;;;1
BZK;BIRCH CONSULTANTS;;;1;;;;;1
BZK;BiZFiTS B.V.;;;1;;;;;1
BZK;BMT Consultants;;1;;;;;;1
BZK;Bodee Advocaten;;;;;1;;;1
BZK;Boom B.V.;;;1;;;;;1
BZK;Bouwkennis B.V.;;1;;;;;;1
BZK;Bouwstart;;;1;;;;;1
BZK;BPI Services B.V.;;;;;;1;;1
BZK;BRINK MANAGEMENT & ADVIES;;;1;;;;;1
BZK;Brooklands Horeca B.V.;;1;;;;;;1
BZK;BTS;;1;;;;;;1
BZK;Bureau 'Mevrouw de Voorzitter';;1;;;;;;1
BZK;BVS ADVIES;;;1;;;;;1
BZK;CASHEW;;;1;;;;;1
BZK;CEES ADVOCATEN N.V.;;;;;1;;;1
BZK;Coaching by Nature;;;1;;;;;1
BZK;Cohezy, platform voor projectcoaching Stichting;;1;;;;;;1
BZK;CRISISPLAN;;;1;;;;;1
BZK;De Bedouine Hoeve;;;1;;;;;1
BZK;De Brauw Blackstone Westbroek;;;1;;;;;1
BZK;DEBAT.NL;;;1;;;;;1
BZK;deBIMspecialist;;1;;;;;;1
BZK;DENC B.V.;;;1;;;;;1
BZK;Detron Communication Solutions;;;;;;1;;1
BZK;DIGNITAS MEDIATION COACHING EN CONFLICT;;1;;;;;;1
BZK;Dijkstra Jansen Bergman Notarissen;;;1;;;;;1
BZK;Duif ICT;;;;;;1;;1
BZK;DYNA VISION;;1;;;;;;1
BZK;Ebbinge B.V.;;1;;;;;;1
BZK;Econsultancy B.V.;;;1;;;;;1
BZK;EFPC;;;1;;;;;1
BZK;Eindhoven Airport N.V.;;;1;;;;;1
BZK;Elco;;;1;;;;;1
BZK;ENGIE Services Noord locatie Leeuwarden;;1;;;;;;1
BZK;ER;;1;;;;;;1
BZK;Exploitatiemij. Grand Hotel Karel V B.V.;;1;;;;;;1
BZK;ezCompany B.V.;;;1;;;;;1
BZK;FaceValue;;;1;;;;;1
BZK;Faculteit Governance and Global Affairs;;;1;;;;;1
BZK;FARESCON;;;1;;;;;1
BZK;FEDEC;;;1;;;;;1
BZK;Fokker Aircraft Services B.V.;;;1;;;;;1
BZK;Frisia Makelaars BV;;;1;;;;;1
BZK;gBOU B.V.;;1;;;;;;1
BZK;Geofox-Lexmond B.V.;;;1;;;;;1
BZK;Getting the picture B.V.;;;1;;;;;1
BZK;GGN HOLDING NV;;;;;1;;;1
BZK;GITP;;1;;;;;;1
BZK;Goed Gebouw;;;1;;;;;1
BZK;Gymnast. Verenig. 'Kwaliteit Is Ons Streven';;;1;;;;;1
BZK;Habenu-van de Kreeke Bouw B.V.;;;1;;;;;1
BZK;Harlinger Watertaxi;;;1;;;;;1
BZK;HASKONINGDHV NEDERLAND;;;1;;;;;1
