Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers(in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
startpagina/index,53603,77841,3672304,3164,60856,0.001,180.954,40878,330808,18676175,7332,12006,51061,38976,11525,69,18%,22%,0.465,http://www.utrecht.nl/startpagina/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2F,
contact/afspraak-maken/index,27233,37531,1167750,353,27297,0.001,589.656,7410,38344,3602241,1088,2338,25781,6886,2172,43,15%,9%,0.584,http://www.utrecht.nl/contact/afspraak-maken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcontact%2Fafspraak-maken%2F,
Formulieren/flow/ - Andere,26071,40160,3159822,34,34785,0.001,183.847,388,3397,243114,131,3111,4050,62,424,121,34%,12%,0.871,,,
Loket/prodcat/products/ - Andere,24958,30770,2616335,4042,24621,0.001,69.008,6776,30458,2515366,3199,6732,4051,1146,1154,105,47%,27%,0.603,,,
verkiezingen/index,15945,25818,2285165,139,18503,0.001,132.597,12537,42325,4252682,4083,7119,15278,12021,6848,143,33%,45%,0.535,http://www.utrecht.nl/verkiezingen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkiezingen%2F,
Loket/start.do,15000,20951,1659915,212,16726,0.001,838.079,1728,7683,669204,978,6252,14694,1643,6134,111,57%,42%,0.351,https://pki.utrecht.nl/Loket/start.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fstart.do,
publiekszaken/loket-burgerzaken/index,13459,18353,1233722,728,13416,0.001,191.571,7117,51739,3875602,1184,2715,12966,6809,2583,92,17%,20%,0.544,http://www.utrecht.nl/publiekszaken/loket-burgerzaken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fpubliekszaken%2Floket-burgerzaken%2F,
parkeren/parkeren-bezoeker/parkeerplattegrond-utrecht/index,13083,16404,717622,135,11176,0.001,33.221,6260,21723,1705896,1444,2389,12657,6038,2299,55,23%,18%,0.558,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeerplattegrond-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeerplattegrond-utrecht%2F,
contact/index,11361,14793,1575698,301,11199,0.001,199.984,4426,18480,1688992,2192,4763,10961,4188,4562,139,50%,42%,0.521,http://www.utrecht.nl/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcontact%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Paspoort en identiteitskaart,8084,9724,777991,550,7276,0.002,69.681,2817,16188,1353710,760,1614,7851,2674,1558,96,27%,20%,0.55,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Paspoort en identiteitskaart,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DPaspoort+en+identiteitskaart,
parkeren/index,7497,9120,378048,152,6775,0.001,85.218,4735,32424,1750557,515,982,7367,4661,965,50,11%,13%,0.53,http://www.utrecht.nl/parkeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=429,7103,8579,947181,48,6112,0.001,34.799,3328,16780,1468213,1181,2454,6840,3111,2343,133,35%,35%,0.723,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=429,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D429,
index.php?id=24071,6515,12598,1242674,85,8188,0.001,238.028,1220,5407,564271,539,2556,6148,1094,2414,191,44%,39%,0.586,http://www.utrecht.nl/index.php?id=24071,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D24071,
afval/index,5858,7837,608116,174,5527,0.001,50.111,2813,12167,926089,977,1877,5696,2715,1812,104,35%,32%,0.549,http://www.utrecht.nl/afval/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fafval%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=448,5509,7255,574303,237,6031,0.001,62.825,3120,22607,1487212,597,1086,5328,2981,1051,104,19%,20%,0.896,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=448,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D448,
