FID,CLUS_ID,ACNR,HOID,K_PRE_HO,K_NA_HO,LEGENDA,GEOMETRIE
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e66,C0268001253,1253,986,5,5,HO PE,"MULTIPOLYGON (((184387.153663186 427619.868779634, 184436.003503882 427659.032876053, 184419.070136549 427676.38957757, 184322.126608565 427708.986309687, 184317.893266732 427705.59963622, 184387.153663186 427619.868779634)), ((184387.320072799 427619.662797003, 184387.153663186 427619.868779634, 184386.896738615 427619.662797003, 184387.320072799 427619.662797003)))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e60,C0268000451,451,985,5,6,HO PE,"POLYGON ((184660.431728264 428059.860571272, 184711.785533689 428107.523321933, 184676.158831175 428146.359637286, 184624.644545108 428098.857367268, 184660.431728264 428059.860571272))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e5f,C0268000447,447,984,5,8,HO PU,"POLYGON ((184642.815052103 428059.811040554, 184611.392697399 428030.373255621, 184625.450066609 428015.075530305, 184656.955111719 428044.347934424, 184642.815052103 428059.811040554))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e5e,C0268000317,317,983,5,7,HO PU,"POLYGON ((184507.935368978 428153.14227714, 184523.267310292 428165.74179327, 184489.56739968 428206.576369642, 184484.557953508 428206.120965445, 184476.664280752 428216.139857789, 184464.975573017 428208.397986432, 184507.935368978 428153.14227714))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e5d,C0268000316,316,982,5,7,HO PU,"POLYGON ((184476.67873191 428216.181457428, 184484.289303423 428206.203152557, 184489.701265387 428206.372276368, 184533.504332536 428151.576161479, 184548.387227938 428164.936942579, 184534.519075404 428183.37143802, 184501.878179807 428233.093838567, 184476.67873191 428216.181457428))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e5c,C0268000312,312,980,7,6,HO PE,"POLYGON ((184601.289390182 428277.801112751, 184601.251624185 428277.725580756, 184585.994161274 428272.022915163, 184581.98222632 428270.783347739, 184582.286102624 428270.627988358, 184597.616697034 428221.232754001, 184600.798906004 428211.231525809, 184609.587864112 428219.111281354, 184619.286024784 428208.806985641, 184626.862712808 428211.383059569, 184605.859075856 428279.047390662, 184601.289390182 428277.801112751))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e5b,C0268005824,5824,971,6,6,HO PE,"POLYGON ((184176.450000329 429174.524347871, 184211.306425171 429203.664240574, 184172.77656242 429224.213500708, 184149.090238512 429204.794722647, 184176.450000329 429174.524347871))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e5a,C0268005823,5823,970,6,6,HO PE,"POLYGON ((184150.893247727 429142.002121141, 184150.893247727 429141.930774751, 184177.928076169 429164.370189242, 184172.209784993 429170.922397881, 184176.498503375 429174.496329867, 184149.217489222 429204.755620674, 184119.553853745 429180.572014241, 184150.893247727 429142.002121141))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e59,C0268005821,5821,969,6,6,HO PE,"POLYGON ((184077.711028649 429230.795303316, 184113.19160962 429187.72529326, 184131.216503696 429202.334944248, 184134.821482511 429206.509130245, 184138.046989872 429209.165430424, 184101.179956973 429252.164369962, 184077.711028649 429230.795303316))"
MIL_BOD_VERDACHT.fid-36cc8544_1861f8fe6be_-7e58,C0268005702,5702,968,6,6,HO PE,"MULTIPOLYGON (((184283.823727528 429118.128464838, 184283.822202864 429118.090233619, 184284.006531222 429117.905905262, 184283.823727528 429118.128464838)), ((184213.308380873 429159.42284933, 184234.294304706 429176.776987248, 184262.722359358 429143.03832836, 184263.074380612 429143.390349614, 184283.823727528 429118.128464838, 184285.805391717 429167.819065064, 184215.460024617 429206.974176081, 184190.716121557 429186.533560509, 184213.308380873 429159.42284933)))"
