FID,ID,STRAATNAAM,HUISNUMMER,PLAATS,CAPACITEIT,RD_X,RD_Y,LATITUDE,LONGITUDE,FOTO,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
MOB_FIETSENREKKEN_CENTRUM.1,1,Bisschop Hamerstraat,3,Nijmegen,8,187639.15683343014,428401.52062550094,51.843240000000002,5.86084,Bisschop_Hamerstraat_3.JPG,2019-01-04,2023-02-02,POINT (187635.521808446 428392.030089777)
MOB_FIETSENREKKEN_CENTRUM.2,2,In de Betouwstraat,4,Nijmegen,12,187628.04410678439,428414.79922274564,51.843359999999997,5.86068,In_de_Betouwstraat_4.JPG,2019-01-04,2023-02-02,POINT (187620.944882308 428418.32532511)
MOB_FIETSENREKKEN_CENTRUM.3,3,In de Betouwstraat,30,Nijmegen,16,187579.4881286634,428463.4368174984,51.8438,5.85998,In_de_Betouwstraat_30.JPG,2019-01-04,2023-02-02,POINT (187579.526960134 428463.498610306)
MOB_FIETSENREKKEN_CENTRUM.4,4,In de Betouwstraat,42,Nijmegen,20,187546.94131629539,428487.7020495474,51.84402,5.85951,In_de_Betouwstraat_42.JPG,2019-01-04,2023-02-02,POINT (187545.40548025 428482.882428375)
MOB_FIETSENREKKEN_CENTRUM.5,5,In de Betouwstraat,32,Nijmegen,32,187576.65936218036,428474.54425211117,51.843899999999998,5.85994,In_de_Betouwstraat_32.JPG,2019-01-04,2023-02-02,POINT (187572.814138899 428476.495535697)
MOB_FIETSENREKKEN_CENTRUM.6,6,Molenstraat,132,Nijmegen,96,187682.20051785308,428458.5430670446,51.84375,5.86147,Molenstraat_132.JPG,2019-01-04,2023-02-02,POINT (187682.239405167 428458.605298668)
MOB_FIETSENREKKEN_CENTRUM.7,7,Molenstraat,58,Nijmegen,52,187781.4212591169,428565.9995351452,51.84471,5.86292,Molenstraat_58.JPG,2019-01-04,2023-02-02,POINT (187781.459898063 428566.062161625)
MOB_FIETSENREKKEN_CENTRUM.8,8,Ziekerstraat,98,Nijmegen,48,187929.11267385265,428532.47827112785,51.8444,5.86506,Ziekerstraat_98.JPG,2019-01-04,2023-02-02,POINT (187929.151463296 428532.541533692)
MOB_FIETSENREKKEN_CENTRUM.9,9,Van Schevichavenstraat,3,Nijmegen,120,187974.56284505615,428432.64471815404,51.843499999999999,5.86571,van_Schevichavenstraat_3.JPG,2019-01-04,2023-02-02,POINT (187971.262227259 428440.372315471)
MOB_FIETSENREKKEN_CENTRUM.10,10,Van Schevichavenstraat,4,Nijmegen,192,187967.83289129025,428408.12356593541,51.84328,5.86561,van_Schevichavenstraat_4.JPG,2019-01-04,2023-02-02,POINT (187961.62083003 428413.92439494)
MOB_FIETSENREKKEN_CENTRUM.11,11,Tweede Walstraat,24,Nijmegen,12,187954.23474221217,428484.8023824073,51.843969999999999,5.86542,Tweede_Walstraat_24.JPG,2019-01-04,2023-02-02,POINT (187958.65509226 428484.094656639)
MOB_FIETSENREKKEN_CENTRUM.12,12,Tweede Walstraat,17,Nijmegen,16,187998.88687394926,428506.23547270347,51.84416,5.86607,Tweede_Walstraat_17.JPG,2019-01-04,2023-02-02,POINT (187998.925763275 428506.299040608)
MOB_FIETSENREKKEN_CENTRUM.13,13,Mariënburg,75,Nijmegen,52,188061.31549985186,428548.9253795406,51.84454,5.86698,Mariënburg_75.JPG,2019-01-04,2023-02-02,POINT (188061.354298195 428548.989198337)
MOB_FIETSENREKKEN_CENTRUM.14,14,Mariënburg,67,Nijmegen,64,188085.50713114368,428537.9592828526,51.84444,5.86733,Mariënburg_67.JPG,2019-01-04,2023-02-02,POINT (188085.545969274 428538.023208405)
MOB_FIETSENREKKEN_CENTRUM.15,15,Mariënburgsestraat,43,Nijmegen,232,188088.5630367432,428596.9464493497,51.84497,5.86738,Mariënburgsestraat_43.JPG,2019-01-04,2023-02-02,POINT (188088.601714785 428597.010366482)
MOB_FIETSENREKKEN_CENTRUM.16,16,Mariënburgsestraat,24,Nijmegen,96,188098.47284789104,428661.5418356406,51.84555,5.86753,Mariënburgsestraat_24.JPG,2019-01-04,2023-02-02,POINT (188098.511353135 428661.605771052)
MOB_FIETSENREKKEN_CENTRUM.17,17,Mariënburgsestraat,6,Nijmegen,96,188119.3412221464,428736.22296737676,51.84622,5.86784,Mariënburgsestraat_6,2019-01-04,2023-02-02,POINT (188119.379530996 428736.28696282)
MOB_FIETSENREKKEN_CENTRUM.18,18,Klein Mariënburg,2,Nijmegen,8,188145.22246293834,428573.9568155721,51.84476,5.8682,Klein_Mariënburg_2.JPG,2019-01-04,2023-02-02,POINT (188145.261226629 428574.020981425)
MOB_FIETSENREKKEN_CENTRUM.19,19,Hertogstraat,8,Nijmegen,24,188192.44098494068,428727.80622506514,51.84614,5.8689,Hertogstraat_8.JPG,2019-01-04,2023-02-02,POINT (188192.479344792 428727.870530277)
MOB_FIETSENREKKEN_CENTRUM.20,20,Hertogstraat,42,Nijmegen,4,188178.20646098134,428692.10919055645,51.84582,5.86869,Hertogstraat_42.JPG,2019-01-04,2023-02-02,POINT (188178.244913431 428692.173450058)
MOB_FIETSENREKKEN_CENTRUM.21,21,Hertogstraat,44,Nijmegen,8,188176.87253973217,428685.4248450827,51.84576,5.86867,Hertogstraat_44.JPG,2019-01-04,2023-02-02,POINT (188176.911010023 428685.489101595)
MOB_FIETSENREKKEN_CENTRUM.22,22,Hertogstraat,37,Nijmegen,8,188193.41024242697,428685.53442351107,51.84576,5.86891,Hertogstraat_37.JPG,2019-01-04,2023-02-02,POINT (188193.448718829 428685.598749588)
MOB_FIETSENREKKEN_CENTRUM.23,23,Hertogstraat,123,Nijmegen,24,188168.62192492274,428578.56206223654,51.8448,5.86854,Hertogstraat_123.JPG,2019-01-04,2023-02-02,POINT (188168.660685375 428578.626325599)
MOB_FIETSENREKKEN_CENTRUM.24,24,Hertogplein,1,Nijmegen,4,188193.80504408787,428521.98708169366,51.84429,5.8689,Hertogplein_1.JPG,2019-01-04,2023-02-02,POINT (188193.843970138 428522.051474345)
MOB_FIETSENREKKEN_CENTRUM.25,25,St Thomashof,3,Nijmegen,24,188245.5137686032,428725.93307640136,51.84612,5.86967,Thomashof_3.JPG,2019-01-04,2023-02-02,POINT (188245.552153908 428725.997605116)
MOB_FIETSENREKKEN_CENTRUM.26,26,Gerard Noodtstraat,121,Nijmegen,10,188288.5967646059,428568.2321825556,51.8447,5.87028,Gerard_Noodtstraat_121.JPG,2019-01-04,2023-02-02,POINT (188288.635601725 428568.296959578)
MOB_FIETSENREKKEN_CENTRUM.27,27,Gerard Noodtstraat,40,Nijmegen,16,188302.17137791976,428599.47480171546,51.84498,5.87048,Gerard_Noodtstraat_40.JPG,2019-01-04,2023-02-02,POINT (188302.210134207 428599.539622959)
MOB_FIETSENREKKEN_CENTRUM.28,28,Gerard Noodtstraat,2,Nijmegen,14,188389.1731242307,428676.82242464734,51.84567,5.87175,Gerard_Noodtstraat_2.JPG,2019-01-04,2023-02-02,POINT (188389.211700701 428676.887579408)
MOB_FIETSENREKKEN_CENTRUM.29,29,St. Jorisstraat,26,Nijmegen,8,188369.7382623656,428697.83201490616,51.845860000000002,5.87147,St_Jorisstraat_26.JPG,2019-01-04,2023-02-02,POINT (188369.776773064 428697.897078152)
MOB_FIETSENREKKEN_CENTRUM.30,30,Derde Walstraat,12,Nijmegen,8,188313.36038012258,428678.54274871,51.84569,5.87065,Derde_Walstraat_12.JPG,2019-01-04,2023-02-02,POINT (188313.398922357 428678.607582984)
MOB_FIETSENREKKEN_CENTRUM.31,31,Derde Walstraat,75,Nijmegen,8,188285.4411518394,428628.29079568834,51.84524,5.87024,Derde_Walstraat_75.JPG,2019-01-04,2023-02-02,POINT (188285.479821922 428628.355533709)
MOB_FIETSENREKKEN_CENTRUM.32,32,Derde Walstraat,73,Nijmegen,16,188292.99883259766,428631.67878387624,51.84527,5.87035,Derde_Walstraat_73.JPG,2019-01-04,2023-02-02,POINT (188293.037496312 428631.743552421)
MOB_FIETSENREKKEN_CENTRUM.33,33,Derde Walstraat,85,Nijmegen,8,188277.92042148576,428619.3401398325,51.84516,5.87013,Derde_Walstraat_85.JPG,2019-01-04,2023-02-02,POINT (188277.959113294 428619.404849833)
MOB_FIETSENREKKEN_CENTRUM.34,34,Kelfkensbos,52,Nijmegen,16,188350.19243707915,428735.5297188173,51.8462,5.87119,Kelfkensbos_52.JPG,2019-01-04,2023-02-02,POINT (188350.230835869 428735.59468288)
MOB_FIETSENREKKEN_CENTRUM.35,35,Kelfkensbos,38,Nijmegen,72,188312.85717247956,428754.1951898018,51.84637,5.87065,Kelfkensbos_38.JPG,2019-01-04,2023-02-02,POINT (188312.895505446 428754.259988997)
MOB_FIETSENREKKEN_CENTRUM.36,36,Kelfkensbos,32,Nijmegen,24,188281.91594234947,428743.97621114686,51.84628,5.8702,Kelfkensbos_32.JPG,2019-01-04,2023-02-02,POINT (188281.954291789 428744.040885025)
MOB_FIETSENREKKEN_CENTRUM.37,37,Voerweg,2,Nijmegen,24,188146.47671067534,428800.93240825523,51.846800000000002,5.86824,Voerweg_2.JPG,2019-01-04,2023-02-02,POINT (188184.305349198 428802.151163548)
MOB_FIETSENREKKEN_CENTRUM.38,38,Hoogstraat,15,Nijmegen,16,188141.6974984844,428794.2252701547,51.84674,5.86817,Hoogstraat_15.JPG,2019-01-04,2023-02-02,POINT (188141.735656826 428794.289337175)
MOB_FIETSENREKKEN_CENTRUM.39,39,Hoogstraat,17,Nijmegen,16,188137.54107876742,428797.53552145255,51.84677,5.86811,Hoogstraat_17.JPG,2019-01-04,2023-02-02,POINT (188137.57922648 428797.599569872)
MOB_FIETSENREKKEN_CENTRUM.40,40,Ridderstraat,27,Nijmegen,40,188148.11677845303,428865.4731904064,51.84738,5.86827,Ridderstraat_27.JPG,2019-01-04,2023-02-02,POINT (188148.154743786 428865.537256875)
MOB_FIETSENREKKEN_CENTRUM.41,41,Ridderstraat,17,Nijmegen,160,188152.96219619678,428862.1675090741,51.84735,5.86834,Ridderstraat_17.JPG,2019-01-04,2023-02-02,POINT (188153.000172366 428862.231596926)
