CODE;NAAM;WERKINGSTIJDEN;UITZONDERINGEN;ID;COUNTER;GUID
70C;Binnenstad bedrijven - Spui - Boekhorststraat;Dagelijks;"De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.

De vergunning is niet geldig in de straten en straatdelen hieronder vermeld.

Maandag tot en met zaterdag van 09.00 tot 18.00 uur:
- Lange Voorhout
- Kneuterdijk
- Denneweg
- Noordeinde
- Prinsestraat
- Jan Hendrikstraat
- Kerkplein
- Wagenstraat
- Torenstraat (even zijde, voor nrs. 2 tot en met 126)
- Westeinde (tussen Torenstraat en Vleerstraat)

Maandag tot en met vrijdag van 09.00 tot 24.00 uur, zaterdag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur, zondag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur:
- Hooigracht
- Houtweg
- Nieuwe Schoolstraat (uitgezonderd het middenplein)
- Willemstraat

Maandag tot en met zaterdag van 09.00 tot 18.00 uur en donderdag van 18.00 tot 21.00 uur:
- Spui (tussen Schedeldoekshaven en Ververstraat)
- Boekhorststraat";2377393;58997;{1DA44DDB-2587-4438-BE4F-1FDD37CF48EC}
70C;Binnenstad bedrijven - Spui - Boekhorststraat;Dagelijks;"De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.

De vergunning is niet geldig in de straten en straatdelen hieronder vermeld.

Maandag tot en met zaterdag van 09.00 tot 18.00 uur:
- Lange Voorhout
- Kneuterdijk
- Denneweg
- Noordeinde
- Prinsestraat
- Jan Hendrikstraat
- Kerkplein
- Wagenstraat
- Torenstraat (even zijde, voor nrs. 2 tot en met 126)
- Westeinde (tussen Torenstraat en Vleerstraat)

Maandag tot en met vrijdag van 09.00 tot 24.00 uur, zaterdag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur, zondag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur:
- Hooigracht
- Houtweg
- Nieuwe Schoolstraat (uitgezonderd het middenplein)
- Willemstraat

Maandag tot en met zaterdag van 09.00 tot 18.00 uur en donderdag van 18.00 tot 21.00 uur:
- Spui (tussen Schedeldoekshaven en Ververstraat)
- Boekhorststraat";2377394;58998;{76627B00-AA87-4AB0-B23F-DAB0D95F8C62}
70A;Binnenstad bedrijven - Kernwinkelstraten;Dagelijks;"De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.

De vergunning is niet geldig in de straten en straatdelen hieronder vermeld.

Maandag tot en met zaterdag van 09.00 tot 18.00 uur:
- Lange Voorhout
- Kneuterdijk
- Denneweg
- Noordeinde
- Prinsestraat
- Jan Hendrikstraat
- Kerkplein
- Wagenstraat
- Torenstraat (even zijde, voor nrs. 2 tot en met 126)
- Westeinde (tussen Torenstraat en Vleerstraat)

Maandag tot en met vrijdag van 09.00 tot 24.00 uur, zaterdag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur, zondag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur:
- Hooigracht
- Houtweg
- Nieuwe Schoolstraat (uitgezonderd het middenplein)
- Willemstraat

Maandag tot en met zaterdag van 09.00 tot 18.00 uur en donderdag van 18.00 tot 21.00 uur:
- Spui (tussen Schedeldoekshaven en Ververstraat)
- Boekhorststraat";2377395;58999;{C6BB7C2E-2C87-4F44-96E2-FC44293C459B}
70A;Binnenstad bedrijven - Kernwinkelstraten;Dagelijks;"De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.

De vergunning is niet geldig in de straten en straatdelen hieronder vermeld.

Maandag tot en met zaterdag van 09.00 tot 18.00 uur:
- Lange Voorhout
- Kneuterdijk
- Denneweg
- Noordeinde
- Prinsestraat
- Jan Hendrikstraat
- Kerkplein
- Wagenstraat
- Torenstraat (even zijde, voor nrs. 2 tot en met 126)
- Westeinde (tussen Torenstraat en Vleerstraat)

Maandag tot en met vrijdag van 09.00 tot 24.00 uur, zaterdag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur, zondag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur:
- Hooigracht
- Houtweg
- Nieuwe Schoolstraat (uitgezonderd het middenplein)
- Willemstraat

Maandag tot en met zaterdag van 09.00 tot 18.00 uur en donderdag van 18.00 tot 21.00 uur:
- Spui (tussen Schedeldoekshaven en Ververstraat)
- Boekhorststraat";2377396;59000;{523C8980-301C-4D48-9FA8-AAD2B00E813A}
70;Binnenstad;Dagelijks;"De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.

De vergunning is niet geldig in de straten en straatdelen hieronder vermeld.

Maandag tot en met zaterdag van 09.00 tot 18.00 uur:
- Lange Voorhout
- Kneuterdijk
- Denneweg
- Noordeinde
- Prinsestraat
- Jan Hendrikstraat
- Kerkplein
- Wagenstraat
- Torenstraat (even zijde, voor nrs. 2 tot en met 126)
- Westeinde (tussen Torenstraat en Vleerstraat)

Maandag tot en met vrijdag van 09.00 tot 24.00 uur, zaterdag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur, zondag van 00.00 tot 02.00 uur & 09.00 tot 24.00 uur:
- Hooigracht
- Houtweg
- Nieuwe Schoolstraat (uitgezonderd het middenplein)
- Willemstraat

Maandag tot en met zaterdag van 09.00 tot 18.00 uur en donderdag van 18.00 tot 21.00 uur:
- Spui (tussen Schedeldoekshaven en Ververstraat)
- Boekhorststraat";2377373;59006;{530C201E-11A3-4DED-BE0B-4B253F6CE75F}
75;Stationsbuurt en Rivierenbuurt;Dagelijks;"De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.

De vergunning is niet geldig in de straten en straatdelen hieronder vermeld.

Maandag tot en met zaterdag van 09.00 tot 17.00 uur in Stationsbuurt:
- Hoefkade (tussen Fanius Scholtenstraat en de Stationsweg)
- Stationsplein
- Stationsweg (uitgezonderd even nrs. 30 tot en met 64)

Maandag tot en met zaterdag van 09:00 tot 24:00 uur en zondag van 13:00 tot 24:00 uur in Rivierenbuurt:
- Pletterijkade (tussen Weteringkade en Hunsestraat)
- Hunsestraat";2377374;59007;{4B54C5C1-0C01-435A-8364-CB0B0E5EBACB}
85;Archipel - Zeeheldenkwartier;Dagelijks;"De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.

De vergunning is niet geldig in de straten en straatdelen hieronder vermeld. 

Maandag tot en met zaterdag van 09.00 tot 17.00 uur: 
- Bankastraat (tussen Laan Copes van Cattenburch en Atjehstraat) 
- Laan van Meerdervoort (tussen Waldeck Pyrmontkade en van Diemenstraat, alleen even zijde) 
- Piet Heinstraat 
- Prins Hendrikstraat (tussen Waldeck Pyrmontkade en Prins Hendrikplein) 
- Zoutmanstraat 
";2377375;59008;{CD0A5E16-8B28-4F48-BD65-DF752FD9B304}
90A;Bedrijfsvergunning Marktkooplieden - Leyweg;Dinsdag van 06.00 tot 19.00 uur;De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.;2377376;59009;{B2B3C977-81F1-4DCA-81C3-EFF21F36A0D7}
90C;Bedrijfsvergunning Marktkooplieden - Scheveningen;Donderdag van 06.00 tot 19.00 uur;De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.;2377377;59010;{8AC0C9E6-6002-4E6C-A225-B1216A0BF665}
30M;Schilderswijk - Midden;Dagelijks;De regeling is geldig binnen de lichtblauwe lijnen van het aangeklikte vlak.;2377381;59011;{1CD0D857-E739-43B6-8FB5-5886934A4EFB}
