FID,strooknaam,vliegdatum,shape_leng,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2014.1,L0003_r,2014-03-08T00:00:00,2471.3015271,,,"LINESTRING (35203.4840000011 388478.43400000036, 37462.77199999988 387476.9600000009)"
vlieglijnen_wschelde_2014.2,L0004_r,2014-03-08T00:00:00,2978.91380484,,,"LINESTRING (34861.58999999985 388144.2479999997, 37522.427999999374 386804.89499999955)"
vlieglijnen_wschelde_2014.3,L0005_r,2014-03-08T00:00:00,3396.6453064,,,"LINESTRING (34505.81199999899 387761.1180000007, 37558.29100000113 386271.2950000018)"
vlieglijnen_wschelde_2014.4,L0006_r,2014-03-06T00:00:00,17520.9164785,,,"LINESTRING (34172.60000000149 387342.94900000095, 49891.583000000566 379603.69099999964)"
vlieglijnen_wschelde_2014.5,L0007_r,2014-03-06T00:00:00,17963.3614303,,,"LINESTRING (33754.75299999863 387030.61400000006, 49868.39400000125 379091.28599999845)"
vlieglijnen_wschelde_2014.6,L0008_r,2014-03-06T00:00:00,18057.5254123,,,"LINESTRING (33280.482999999076 386673.0870000012, 49483.1799999997 378701.4609999992)"
vlieglijnen_wschelde_2014.7,L0009_r,2014-03-06T00:00:00,17923.5449997,,,"LINESTRING (33039.427999999374 386261.47399999946, 49122.66600000113 378350.53599999845)"
vlieglijnen_wschelde_2014.8,L0010_r,2014-03-06T00:00:00,18048.9359884,,,"LINESTRING (32664.22599999979 385834.98900000006, 48872.18100000173 377893.5610000007)"
vlieglijnen_wschelde_2014.9,L0011_r,2014-03-08T00:00:00,18508.5943351,,,"LINESTRING (32084.109999999404 385582.84899999946, 48693.109999999404 377415.27899999917)"
vlieglijnen_wschelde_2014.10,L0012_r,2014-03-08T00:00:00,20029.2273639,,,"LINESTRING (30409.425000000745 385873.9270000011, 48388.91800000146 377047.38899999857)"
vlieglijnen_wschelde_2014.11,L0013_r,2014-03-08T00:00:00,23595.5993907,,,"LINESTRING (26998.642999999225 386974.3720000014, 48171.5549999997 376559.9530000016)"
vlieglijnen_wschelde_2014.12,L0014_r,2014-03-08T00:00:00,23567.5634584,,,"LINESTRING (26643.01099999994 386622.3900000006, 47786.77400000021 376212.2349999994)"
vlieglijnen_wschelde_2014.13,L0015_r,2014-03-08T00:00:00,23515.7342789,,,"LINESTRING (26496.995000001043 386091.41899999976, 47614.13800000027 375744.631000001)"
vlieglijnen_wschelde_2014.14,L0016_r,2014-03-08T00:00:00,23593.947796,,,"LINESTRING (26191.26099999994 385743.3839999996, 47362.69000000134 375329.69299999997)"
vlieglijnen_wschelde_2014.15,L0017_r,2014-03-08T00:00:00,23485.1479401,,,"LINESTRING (26006.45600000024 385224.75400000066, 47080.256999999285 374859.08399999887)"
vlieglijnen_wschelde_2014.16,L0018_r,2014-03-08T00:00:00,23476.0372166,,,"LINESTRING (25727.38699999824 384846.9759999998, 46777.09299999848 374453.02600000054)"
vlieglijnen_wschelde_2014.17,L0019_r,2014-03-08T00:00:00,23537.1985531,,,"LINESTRING (25431.107000000775 384406.8280000016, 46543.63899999857 374001.98900000006)"
vlieglijnen_wschelde_2014.18,L0020_r,2014-04-01T00:00:00,23559.5342553,,,"LINESTRING (25156.5 384016.34099999815, 46285.072000000626 373593.5249999985)"
vlieglijnen_wschelde_2014.19,L0021_r,2014-04-01T00:00:00,23523.7647464,,,"LINESTRING (24963.881000000983 383670.06500000134, 45975.879000000656 373093.51399999857)"
vlieglijnen_wschelde_2014.20,L0022_1_r,2014-04-01T00:00:00,25958.1767971,,,"LINESTRING (24778.074000000954 383056.53500000015, 48123.46299999952 371706.6550000012)"
vlieglijnen_wschelde_2014.21,L0022_2_r,2014-06-11T00:00:00,14193.7684083,,,"LINESTRING (37314.05999999866 376483.30099999905, 50325.19000000134 370811.1270000003)"
vlieglijnen_wschelde_2014.22,L0023_r,2014-04-01T00:00:00,23639.568353,,,"LINESTRING (24519.61699999869 382661.58999999985, 45699.87200000137 372162.7340000011)"
vlieglijnen_wschelde_2014.23,L0024_r,2014-04-01T00:00:00,20585.9687856,,,"LINESTRING (24391.39699999988 382138.48699999973, 42870.65700000152 373066.6020000018)"
vlieglijnen_wschelde_2014.24,L0025_r,2014-04-01T00:00:00,20628.4247715,,,"LINESTRING (24104.65700000152 381688.44999999925, 42642.89600000158 372640.48800000176)"
vlieglijnen_wschelde_2014.25,L0026_r,2014-04-02T00:00:00,17030.3955597,,,"LINESTRING (44565.09800000116 371929.2120000012, 53676.31899999827 386317.40300000086)"
vlieglijnen_wschelde_2014.26,L0027_r,2014-04-02T00:00:00,17113.1182619,,,"LINESTRING (45003.04899999872 371617.6860000007, 54091.89400000125 386117.74500000104)"
vlieglijnen_wschelde_2014.27,L0028_r,2014-04-02T00:00:00,16532.6084989,,,"LINESTRING (46125.379000000656 372406.2419999987, 54862.89600000158 386441.3029999994)"
vlieglijnen_wschelde_2014.28,L0029_r,2014-04-02T00:00:00,17092.006963,,,"LINESTRING (46555.245999999344 372262.6469999999, 55655.08399999887 386730.8759999983)"
vlieglijnen_wschelde_2014.29,L0030_r,2014-04-01T00:00:00,18690.1102312,,,"LINESTRING (46802.074000000954 371576.3260000013, 56643.300000000745 387465.6460000016)"
vlieglijnen_wschelde_2014.30,L0031_r,2014-04-01T00:00:00,18583.8120707,,,"LINESTRING (47392.54500000179 371579.24500000104, 57141.42199999839 387400.66899999976)"
vlieglijnen_wschelde_2014.31,L0032_r,2014-03-31T00:00:00,17584.6089648,,,"LINESTRING (48345.675000000745 372150.40399999917, 57609.10099999979 387097.22300000116)"
vlieglijnen_wschelde_2014.32,L0033_r,2014-03-31T00:00:00,17092.228971,,,"LINESTRING (48973.072000000626 372234.6939999983, 57961.789999999106 386772.48099999875)"
vlieglijnen_wschelde_2014.33,L0034_r,2014-03-31T00:00:00,15147.1960097,,,"LINESTRING (50408.02499999851 373482.08399999887, 58195.23999999836 386474.2670000009)"
vlieglijnen_wschelde_2014.34,L0035_r,2014-03-31T00:00:00,13647.0651568,,,"LINESTRING (51434.50800000131 374509.39400000125, 58806.26399999857 385994.1499999985)"
vlieglijnen_wschelde_2014.35,L0036_r,2014-03-31T00:00:00,13600.627768,,,"LINESTRING (52427.81700000167 374942.74599999934, 59602.48800000176 386497.0170000009)"
vlieglijnen_wschelde_2014.36,L0037_r,2014-03-31T00:00:00,12938.8508997,,,"LINESTRING (53098.64799999818 375121.79100000113, 59928.4299999997 386111.23800000176)"
vlieglijnen_wschelde_2014.37,L0038_r,2014-03-31T00:00:00,12107.9604705,,,"LINESTRING (53797.35099999979 375229.48699999973, 60164.868000000715 385527.9070000015)"
vlieglijnen_wschelde_2014.38,L0039_r,2014-03-31T00:00:00,11002.4912693,,,"LINESTRING (54407.39499999955 375465.9910000004, 60350.62700000033 384725.19200000167)"
vlieglijnen_wschelde_2014.39,L0040_r,2014-03-31T00:00:00,11571.818512,,,"LINESTRING (55148.88300000131 375556.625, 61264.61199999973 385380.313000001)"
vlieglijnen_wschelde_2014.40,L0041_r,2014-03-06T00:00:00,4506.25458461,,,"LINESTRING (71623.01799999923 381051.67500000075, 75444.86499999836 378664.24500000104)"
vlieglijnen_wschelde_2014.41,L0042_r,2014-03-06T00:00:00,5497.13002251,,,"LINESTRING (71247.30600000173 380711.97199999914, 75913.99599999934 377806.7270000018)"
vlieglijnen_wschelde_2014.42,L0043_r,2014-03-06T00:00:00,6976.69233425,,,"LINESTRING (70286.70499999821 380703.8660000004, 76203.78000000119 377007.58900000155)"
vlieglijnen_wschelde_2014.43,L0044_r,2014-03-06T00:00:00,7587.94804254,,,"LINESTRING (69920.29699999839 380396.95800000057, 76346.52299999818 376362.0390000008)"
vlieglijnen_wschelde_2014.44,L0045_r,2014-03-06T00:00:00,8066.12500628,,,"LINESTRING (69416.0859999992 380064.3590000011, 76257.13100000098 375790.8969999999)"
vlieglijnen_wschelde_2014.45,L0046_r,2014-03-06T00:00:00,8979.83047718,,,"LINESTRING (69041.11699999869 379735.4450000003, 76671.65399999917 375001.28599999845)"
vlieglijnen_wschelde_2014.46,L0047_r,2014-03-08T00:00:00,20921.5167459,,,"LINESTRING (60162.32600000128 384656.4970000014, 77906.2899999991 373572.2010000013)"
vlieglijnen_wschelde_2014.47,L0048_r,2014-03-08T00:00:00,21522.7370451,,,"LINESTRING (59887.24500000104 384228.0460000001, 78167.3049999997 372867.2529999986)"
vlieglijnen_wschelde_2014.48,L0049_r,2014-03-08T00:00:00,22004.3104471,,,"LINESTRING (59644.1959999986 383789.3720000014, 78324.36100000143 372160.05000000075)"
vlieglijnen_wschelde_2014.49,L0050_r,2014-03-08T00:00:00,22484.4428353,,,"LINESTRING (59339.3590000011 383408.3759999983, 78424.8440000005 371521.64400000125)"
vlieglijnen_wschelde_2014.50,L0051_r,2014-03-08T00:00:00,22419.6871306,,,"LINESTRING (59115.609999999404 382944.0150000006, 78147.2650000006 371093.34099999815)"
vlieglijnen_wschelde_2014.51,L0052_r,2014-03-08T00:00:00,22014.6503927,,,"LINESTRING (58836.83399999887 382527.1409999989, 77525.77600000054 370892.3539999984)"
vlieglijnen_wschelde_2014.52,L0053_r,2014-03-08T00:00:00,19518.1369144,,,"LINESTRING (58581.20699999854 382106.368999999, 75134.93600000069 371765.58900000155)"
vlieglijnen_wschelde_2014.53,L0054_r,2014-03-08T00:00:00,19507.6263682,,,"LINESTRING (58306.495999999344 381699.1079999991, 74875.04800000042 371401.9930000007)"
vlieglijnen_wschelde_2014.54,L0055_r,2014-03-08T00:00:00,19521.3801272,,,"LINESTRING (58031.8040000014 381272.09899999946, 74592.2490000017 370935.9510000013)"
vlieglijnen_wschelde_2014.55,L0056_r,2014-03-08T00:00:00,17490.4623269,,,"LINESTRING (57792.00200000033 380859.4519999996, 72629.57200000063 371598.631000001)"
vlieglijnen_wschelde_2014.56,L0057_r,2014-04-02T00:00:00,17556.5974997,,,"LINESTRING (57436.67399999872 380407.7109999992, 72383.57499999925 371197.7010000013)"
vlieglijnen_wschelde_2014.57,L0058_r,2014-04-02T00:00:00,14184.5600837,,,"LINESTRING (60113.846000000834 378283.65300000086, 72109.34899999946 370713.33900000155)"
