Leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
ABC Security Systems B.V.;;;3;;;;;;;;3
ACCO Brands Benelux B.V.;;;;;;;;;1;;1
ACES Direct B.V.;;;;;;;;;1;;1
Acteursbureau Kapok B.V.;;;;;;;;;1;;1
Active Medical Check B.V.;;;1;;;;;;;;1
ACTME B.V.;;;;;;;;;1;;1
Adfo Groep B.V.;;;;;;;;;1;;1
Adviesburo mr. Kees Broos;;;;;;;;;1;;1
Advocatenkantoor Dijkgraaf B.V.;;;;;;;;;1;;1
AED Solutions B.V.;;;4;;;;;;;;4
Afvalverwerking Vink B.V.;;;;;;;1;;;;1
Ahrend Nederland B.V.;;;;;;;;7;;;7
Airport Real Estate Management B.V.;;;;;;;;;;2;2
Ajax Ch. Varel CSO (Centrale Serv.organis.);;;6;;;;;;;;6
Akoestiekfabriek B.V.;;;;;;;;4;;;4
Alco Chemicals B.V.;;;;1;;;;;;;1
Alphatron Marine B.V.;;;2;;;;;;1;;2
AlQuilar Beheer B.V.;;;3;;;;;;;;3
Alternate Computerversand Nederland;;;;;;;;;3;;3
American Express International Inc.;;;;;;;;;;1;1
Ankerslot B.V.;;;;;;;;1;;;1
Anticimex Benelux B.V.;;;;2;;;;;;;2
Antonisen B.V.;;;;;5;;;;;;5
ANWB B.V.;;;;;;1;;;;;1
AON Nederland C.V.;;;;;;;;;1;;1
ArboNed II B.V.;;;1;;;;;;;;1
Arnag Horeca;;1;;;;;;;;;1
ASB Security B.V.;;;1;;;;;;;;1
Asito Specialistische Diensten Noord B.V.;;;;1;;;;;;;1
Asito Tilburg B.V.;;;;1;;;;;;;1
Atir Schoonmaakstrategen;;;;1;;;;;;;1
Atrium Vastgoedmanagement B.V.;;;;;;;;;2;;2
Audio Electronics Mattijsen B.V.;;;;;;;;;1;;1
Auto Indumij Oosterhout;;;;;;;;;1;;1
Auto Muntstad B.V.;;;;;;;;;1;;1
