Nummer;Totaal van;Jaar;Maand;Procedure categorie;Verblijfscluster;Nationaliteit;Aantal aanvragen
1;Jaar, Procedure categorie;2022;*Alle*;EU-document;*Alle*;*Alle*;8340
2;Jaar, Maand, Procedure categorie;2022;01;EU-document;*Alle*;*Alle*;600
2;Jaar, Maand, Procedure categorie;2022;02;EU-document;*Alle*;*Alle*;560
2;Jaar, Maand, Procedure categorie;2022;03;EU-document;*Alle*;*Alle*;670
2;Jaar, Maand, Procedure categorie;2022;04;EU-document;*Alle*;*Alle*;520
2;Jaar, Maand, Procedure categorie;2022;05;EU-document;*Alle*;*Alle*;570
2;Jaar, Maand, Procedure categorie;2022;06;EU-document;*Alle*;*Alle*;810
2;Jaar, Maand, Procedure categorie;2022;07;EU-document;*Alle*;*Alle*;700
2;Jaar, Maand, Procedure categorie;2022;08;EU-document;*Alle*;*Alle*;690
2;Jaar, Maand, Procedure categorie;2022;09;EU-document;*Alle*;*Alle*;520
2;Jaar, Maand, Procedure categorie;2022;10;EU-document;*Alle*;*Alle*;1230
2;Jaar, Maand, Procedure categorie;2022;11;EU-document;*Alle*;*Alle*;820
2;Jaar, Maand, Procedure categorie;2022;12;EU-document;*Alle*;*Alle*;650
3;Jaar, Procedure categorie, Verblijfscluster;2022;*Alle*;EU-document;Derdelanders;*Alle*;8320
3;Jaar, Procedure categorie, Verblijfscluster;2022;*Alle*;EU-document;EU-burgers;*Alle*;20
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;01;EU-document;Derdelanders;*Alle*;600
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;02;EU-document;Derdelanders;*Alle*;560
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;03;EU-document;Derdelanders;*Alle*;670
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;04;EU-document;Derdelanders;*Alle*;520
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;05;EU-document;Derdelanders;*Alle*;570
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;06;EU-document;Derdelanders;*Alle*;810
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;07;EU-document;Derdelanders;*Alle*;700
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;08;EU-document;Derdelanders;*Alle*;690
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;09;EU-document;Derdelanders;*Alle*;520
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;10;EU-document;Derdelanders;*Alle*;1220
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;10;EU-document;EU-burgers;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;11;EU-document;Derdelanders;*Alle*;820
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2022;12;EU-document;Derdelanders;*Alle*;650
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Afghaanse;60
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Albanese;110
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Algerijnse;30
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Amerikaans burger;300
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Amerikaans onderdaan;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Angolese;30
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Argentijnse;120
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Armeense;30
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Australische;70
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Azerbeidzjaanse;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Belarussische;30
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Bengalese;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Boliviaanse;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Braziliaanse;600
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Brits burger;270
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Bulgaarse;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Burger van Bosnië-Herzegovina;40
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Burger van Congo;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Burger van de Bondsrepubliek Duitsland;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Burger van Democratische Republiek Congo;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Burkinese;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Burundese;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Canadese;90
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Chileense;50
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Chinese;140
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Colombiaanse;180
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Costa Ricaanse;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Cubaanse;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Dominicaanse;90
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Ecuadoraanse;30
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Egyptische;120
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Eritrese;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Ethiopische;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Filipijnse;180
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Gambiaanse;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Georgische;40
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Ghanese;210
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Guatemalaanse;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Guinese;40
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Haïtiaanse;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Hondurese;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Indiase;120
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Indonesische;80
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Iraakse;180
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2022;*Alle*;EU-document;Derdelanders;Iraanse;50
