FID,cte,dtm,omschr,se_anno_cad_data
dtb_rivieren_1993_2000_lijn.1,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.2,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.3,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.4,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.5,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.6,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.7,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.8,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.9,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.10,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.11,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.12,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.13,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.14,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.15,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.16,G010101,N,gemeentegrens,
dtb_rivieren_1993_2000_lijn.17,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.18,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.19,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.20,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.21,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.22,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.23,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.24,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.25,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.26,MD3,N,kilometerraailijn,
dtb_rivieren_1993_2000_lijn.27,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.28,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.29,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.30,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.31,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.32,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.33,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.34,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.35,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.36,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.37,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.38,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.39,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.40,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.41,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.42,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.43,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.44,MDOPM1,N,hoogteverschillijn  veren li),
dtb_rivieren_1993_2000_lijn.45,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.46,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.47,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.48,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.49,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.50,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.51,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.52,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.53,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.54,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.55,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.56,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.57,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.58,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.59,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.60,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.61,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.62,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.63,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.64,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.65,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.66,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.67,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.68,MDOPM2,N,hoogteverschillijn veren re),
dtb_rivieren_1993_2000_lijn.69,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.70,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.71,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.72,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.73,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.74,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.75,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.76,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.77,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.78,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.79,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.80,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.81,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.82,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.83,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.84,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.85,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.86,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.87,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.88,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.89,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.90,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.91,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.92,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.93,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.94,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.95,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.96,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.97,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.98,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.99,ZH1,J,breuklijn (soft),
dtb_rivieren_1993_2000_lijn.100,ZH1,J,breuklijn (soft),
