FID,locatie,shape_leng,jaar,type_ws,hoofdgeb,gebied,gdb_geomattr_data,shape
talud_maas_2017.11,De Paaldere 't Wildt,27.85948068,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153316.22700000182 420496.1090000011, 153316.08999999985 420492.90949999914, 153315.9530000016 420489.7100000009, 153315.72100000083 420486.0549999997, 153315.3900000006 420481.6180000007, 153315.05900000036 420477.1810000017, 153314.56700000167 420472.76150000095, 153314.07499999925 420468.3420000002)"
talud_maas_2017.12,De Paaldere 't Wildt,42.83794375,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153252.79300000146 420524.38699999824, 153253.01000000164 420520.9305000007, 153253.22700000182 420517.47399999946, 153252.3599999994 420512.98900000006, 153251.0080000013 420509.2659999989, 153250.42449999973 420506.3979999982, 153249.84099999815 420503.5300000012, 153249.63949999958 420500.11499999836, 153249.438000001 420496.69999999925, 153249.1523000002 420491.81269999966, 153248.86670000106 420486.9252999984, 153248.58100000024 420482.0379999988)"
talud_maas_2017.13,De Paaldere 't Wildt,60.37433463,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153324.0780000016 420565.5949999988, 153324.03700000048 420562.7340000011, 153323.99599999934 420559.8729999997, 153323.60550000146 420557.1570000015, 153323.21499999985 420554.44099999964, 153322.7824999988 420550.20699999854, 153322.3500000015 420545.97300000116, 153321.8449999988 420541.68499999866, 153321.33999999985 420537.3969999999, 153320.82569999993 420533.0346999988, 153320.3112999983 420528.67229999974, 153319.7969999984 420524.30999999866, 153319.2100000009 420519.71649999917, 153318.62299999967 420515.1229999997, 153317.94249999896 420510.3830000013, 153317.26199999824 420505.6429999992)"
talud_maas_2017.14,De Paaldere 't Wildt,38.15803513,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153317.8509999998 420694.4389999993, 153320.16600000113 420693.31500000134, 153322.80000000075 420691.9470000006, 153326.59600000083 420689.9279999994, 153329.88599999994 420687.8029999994, 153333.09800000116 420684.7829999998, 153334.36400000006 420682.6090000011, 153336.38199999928 420678.4360000007, 153336.45699999854 420673.6860000007, 153335.74599999934 420669.625, 153335.46200000122 420665.66800000146)"
talud_maas_2017.15,De Paaldere 't Wildt,35.4942317,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153282.96799999848 420737.8830000013, 153282.3040000014 420733.1545000002, 153281.6400000006 420728.42599999905, 153281.00699999928 420724.91899999976, 153280.3740000017 420721.4120000005, 153279.76999999955 420717.4979999997, 153279.67399999872 420714.36400000006, 153279.5780000016 420711.23000000045, 153278.79549999908 420707.0089999996, 153278.01300000027 420702.7879999988)"
talud_maas_2017.16,De Paaldere 't Wildt,161.79971931,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153365.55999999866 420865.7320000008, 153365.6009999998 420860.77600000054, 153365.21570000052 420856.58029999956, 153364.83029999956 420852.3847000003, 153364.4450000003 420848.1889999993, 153363.62929999828 420843.5487000011, 153362.8137000017 420838.9083000012, 153361.99799999967 420834.2679999992, 153361.45199999958 420830.52529999986, 153360.9059999995 420826.78269999847, 153360.3599999994 420823.0399999991, 153359.78550000116 420819.1574999988, 153359.2109999992 420815.2749999985, 153358.63650000095 420811.3924999982, 153358.061999999 420807.51000000164, 153357.39979999885 420803.0703999996, 153356.7375999987 420798.6308000013, 153356.07539999858 420794.1911999993, 153355.41319999844 420789.751600001, 153354.7509999983 420785.311999999, 153354.2703000009 420781.5234999992, 153353.78950000182 420777.7349999994, 153353.3088000007 420773.9464999996, 153352.8280000016 420770.1579999998, 153352.24749999866 420766.45050000027, 153351.66699999943 420762.7430000007, 153350.7884999998 420757.88650000095, 153349.91000000015 420753.0300000012, 153349.27050000057 420748.77600000054, 153348.63100000098 420744.5219999999, 153347.8449999988 420740.5009999983, 153347.05900000036 420736.48000000045, 153345.34299999848 420734.5240000002, 153343.62700000033 420732.56799999997, 153340.40700000152 420730.2575000003, 153337.186999999 420727.9470000006, 153333.92399999872 420727.11400000006, 153330.66099999845 420726.2809999995, 153327.26850000024 420726.3515000008, 153323.8759999983 420726.4219999984, 153319.39799999818 420726.45600000024)"
talud_maas_2017.17,De Paaldere 't Wildt,21.72712691,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153299.71599999815 420756.4070000015, 153298.1649999991 420756.29300000146, 153293.40399999917 420754.8854999989, 153288.64299999923 420753.4780000001, 153286.11899999902 420752.4389999993, 153283.5949999988 420751.3999999985, 153278.88699999824 420750.5529999994)"
talud_maas_2017.18,De Paaldere 't Wildt,52.95920544,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153286.3289999999 420788.5080000013, 153285.3238000013 420784.30139999837, 153284.31859999895 420780.09479999915, 153283.31340000033 420775.8881999999, 153282.30820000172 420771.6816000007, 153281.30299999937 420767.4750000015, 153285.42550000176 420768.6000000015, 153289.54800000042 420769.7250000015, 153293.2410000004 420772.29830000177, 153296.93400000036 420774.8717, 153300.62700000033 420777.4450000003, 153304.40450000018 420780.1429999992, 153308.18200000003 420782.84099999815)"
talud_maas_2017.19,De Paaldere 't Wildt,24.45760344,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153304.39799999818 420832.9120000005, 153303.9549999982 420829.36100000143, 153303.30099999905 420824.931499999, 153302.64699999988 420820.5020000003, 153302.55950000137 420816.7045000009, 153302.47199999914 420812.9070000015, 153302.56599999964 420808.58100000024)"
talud_maas_2017.20,De Paaldere 't Wildt,21.54658108,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153307.45699999854 420871.18299999833, 153307.14699999988 420866.3374999985, 153306.83700000122 420861.4919999987, 153306.42170000076 420857.56870000064, 153306.0062999986 420853.6453000009, 153305.59099999815 420849.72199999914)"
talud_maas_2017.36,De Paaldere 't Wildt,16.44203584,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153253.58399999887 419656.45600000024, 153250.62049999833 419656.2754999995, 153247.65700000152 419656.0949999988, 153244.16569999978 419655.83029999956, 153240.67430000007 419655.5656999983, 153237.18299999833 419655.30099999905)"
talud_maas_2017.21,De Paaldere 't Wildt,80.62440217,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153355.37299999967 421084.6180000007, 153354.35770000145 421080.38170000166, 153353.34230000153 421076.1453000009, 153352.32699999958 421071.90900000185, 153351.31170000136 421067.67269999906, 153350.29630000144 421063.4362999983, 153349.2809999995 421059.19999999925, 153348.254900001 421054.70439999923, 153347.22879999876 421050.2089000009, 153346.20270000026 421045.7133000009, 153345.17660000175 421041.2177999988, 153344.15040000156 421036.7221999988, 153343.12429999933 421032.22670000046, 153342.09820000082 421027.73110000044, 153341.0720999986 421023.2355999984, 153340.0460000001 421018.73999999836, 153339.35550000146 421015.3209999986, 153338.6649999991 421011.90199999884, 153337.55600000173 421007.4506999999, 153337.2120999992 421006.07030000165)"
talud_maas_2017.22,De Paaldere 't Wildt,29.5883064,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153372.24799999967 421125.5009999983, 153369.47450000048 421121.4754999988, 153366.70100000128 421117.44999999925, 153365.13599999994 421114.4893000014, 153363.5709999986 421111.52870000154, 153362.00600000098 421108.56799999997, 153360.4210000001 421103.94999999925, 153358.8359999992 421099.33199999854)"
