Kenteken,Soort erkenning keuringsinstantie,Meld datum door keuringsinstantie,Meld tijd door keuringsinstantie,Soort erkenning omschrijving,Soort melding ki omschrijving,Vervaldatum keuring,Meld datum door keuringsinstantie DT,Vervaldatum keuring DT,API Gebrek constateringen,API Gebrek beschrijving
0001TJ,AL,20210624,1101,APK Lichte voertuigen,periodieke controle,20230726,06/24/2021 11:01:00 AM,07/26/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0001TV,AL,20200810,1403,APK Lichte voertuigen,periodieke controle,20220916,08/10/2020 02:03:00 PM,09/16/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0001VM,AL,20201028,1604,APK Lichte voertuigen,periodieke controle,20221028,10/28/2020 04:04:00 PM,10/28/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0001VM,AL,20221024,1636,APK Lichte voertuigen,periodieke controle,20241028,10/24/2022 04:36:00 PM,10/28/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0002UJ,AL,20201020,1653,APK Lichte voertuigen,periodieke controle,20221101,10/20/2020 04:53:00 PM,11/01/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0002XK,AL,20210611,1130,APK Lichte voertuigen,periodieke controle,20230611,06/11/2021 11:30:00 AM,06/11/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0002ZA,AL,20200325,1552,APK Lichte voertuigen,periodieke controle,20220416,03/25/2020 03:52:00 PM,04/16/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0002ZA,AL,20220421,1047,APK Lichte voertuigen,periodieke controle,20240421,04/21/2022 10:47:00 AM,04/21/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0003ZZ,AZ,20210205,901,APK Zware voertuigen,periodieke controle,20220205,02/05/2021 09:01:00 AM,02/05/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0003ZZ,AZ,20220808,1114,APK Zware voertuigen,periodieke controle,20230808,08/08/2022 11:14:00 AM,08/08/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0004PF,AL,20201120,1127,APK Lichte voertuigen,periodieke controle,20221214,11/20/2020 11:27:00 AM,12/14/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0004PS,AL,20200409,1651,APK Lichte voertuigen,periodieke controle,20220418,04/09/2020 04:51:00 PM,04/18/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0004PS,AL,20220202,914,APK Lichte voertuigen,periodieke controle,20240202,02/02/2022 09:14:00 AM,02/02/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0004VS,AL,20210528,1620,APK Lichte voertuigen,periodieke controle,20230528,05/28/2021 04:20:00 PM,05/28/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0004ZZ,AZ,20200818,927,APK Zware voertuigen,periodieke controle,20210818,08/18/2020 09:27:00 AM,08/18/2021 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0004ZZ,AZ,20210714,1349,APK Zware voertuigen,periodieke controle,20220818,07/14/2021 01:49:00 PM,08/18/2022 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0004ZZ,AZ,20220809,830,APK Zware voertuigen,periodieke controle,20230818,08/09/2022 08:30:00 AM,08/18/2023 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
0005EB,AL,20211222,1326,APK Lichte voertuigen,periodieke controle,20240108,12/22/2021 01:26:00 PM,01/08/2024 12:00:00 AM,https://opendata.rdw.nl/Voertuigen/Open-Data-RDW-Geconstateerde-Gebreken/a34c-vvps,https://opendata.rdw.nl/dataset/Open-Data-RDW-Gebreken/hx2c-gt7k/
