Nummer;Totaal van;Jaar;Maand;Procedure categorie;Verblijfscluster;Nationaliteit;Aantal aanvragen
1;Jaar, Procedure categorie;2020;*Alle*;EU-document;*Alle*;*Alle*;5600
2;Jaar, Maand, Procedure categorie;2020;01;EU-document;*Alle*;*Alle*;670
2;Jaar, Maand, Procedure categorie;2020;02;EU-document;*Alle*;*Alle*;510
2;Jaar, Maand, Procedure categorie;2020;03;EU-document;*Alle*;*Alle*;410
2;Jaar, Maand, Procedure categorie;2020;04;EU-document;*Alle*;*Alle*;230
2;Jaar, Maand, Procedure categorie;2020;05;EU-document;*Alle*;*Alle*;220
2;Jaar, Maand, Procedure categorie;2020;06;EU-document;*Alle*;*Alle*;230
2;Jaar, Maand, Procedure categorie;2020;07;EU-document;*Alle*;*Alle*;350
2;Jaar, Maand, Procedure categorie;2020;08;EU-document;*Alle*;*Alle*;440
2;Jaar, Maand, Procedure categorie;2020;09;EU-document;*Alle*;*Alle*;680
2;Jaar, Maand, Procedure categorie;2020;10;EU-document;*Alle*;*Alle*;660
2;Jaar, Maand, Procedure categorie;2020;11;EU-document;*Alle*;*Alle*;590
2;Jaar, Maand, Procedure categorie;2020;12;EU-document;*Alle*;*Alle*;610
3;Jaar, Procedure categorie, Verblijfscluster;2020;*Alle*;EU-document;Derdelanders;*Alle*;5590
3;Jaar, Procedure categorie, Verblijfscluster;2020;*Alle*;EU-document;EU-burgers;*Alle*;10
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;01;EU-document;Derdelanders;*Alle*;670
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;02;EU-document;Derdelanders;*Alle*;510
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;03;EU-document;Derdelanders;*Alle*;410
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;04;EU-document;Derdelanders;*Alle*;230
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;05;EU-document;Derdelanders;*Alle*;220
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;06;EU-document;Derdelanders;*Alle*;230
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;07;EU-document;Derdelanders;*Alle*;350
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;08;EU-document;Derdelanders;*Alle*;440
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;09;EU-document;Derdelanders;*Alle*;680
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;10;EU-document;Derdelanders;*Alle*;660
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;11;EU-document;Derdelanders;*Alle*;590
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2020;12;EU-document;Derdelanders;*Alle*;600
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2020;*Alle*;EU-document;Derdelanders;Afghaanse;60
