OBJECTID,PUIC,NAAM,OMSCHRIJVING,KM_KMLINT_VAN_T,KM_KMLINT_TOT_T,GELDIG_VANAF,PUBLICATIEDATUM,KM_KMLINT_VAN,KM_KMLINT_TOT
1,7a3a0b84-c28c-4f49-ae74-8e5c1c6917b7,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte","21,039","42,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,21.039,42.3
2,881d2c7e-3398-424f-b3af-653c24830a4a,Bottha-Botbh,Botlek Theemsweg Aansl. - Botlek Brittanniëhaven ,"200,000","203,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,203.1
3,bc7bdaac-0e96-4641-96fc-85481a1c0afb,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek","6,100","20,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,6.1,20.5
4,340320aa-7302-4733-91ad-58d2c6811220,Ps-Bot,"Rotterdam, Emplacement Pernis - Rotterdam, Botlek ","813,184","816,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,813.184,816.3
5,7d2fd8f8-2d49-4e3c-982a-c2af94163a0b,Bot-Odma,"Rotterdam, Botlek - Oude Maas ","100,100","102,160",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.1,102.16
6,2b1a9622-bc24-45a8-a18c-76e35632be0c,Boto-Pstw,"Botlektunnel Oost - Rotterdam, Emplacement Pernis Tankweg ","600,000","602,751",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,600,602.751
7,22cff57f-6f30-403b-b2cd-f975b0d2aaef,Botwg-Slhvn,Botlekweg - Sint Laurenshaven ,"350,120","351,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,350.12,351.3
8,f697819a-0447-47d6-bfa1-e8302c6adc0f,Bot-Qbst,"Rotterdam, Botlek - Quebeckstraat ","300,400","306,430",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300.4,306.43
9,eee97fdc-d20a-4ae8-a4fc-84ca5a5bd92f,Bot-Botch2,"Rotterdam, Botlek - Botlek Chemiehaven 2 ","450,000","450,970",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,450,450.97
10,19eee846-b87f-4105-8e7f-b6955a9d0b6a,Bot-Bottha,"Rotterdam, Botlek - Botlek Theemsweg Aansl. ","100,000","104,650",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,104.65
11,8d2fe1c0-2874-4f6c-99db-0bd6f8cb1eaf,Bot-Vopk,"Rotterdam, Botlek - VOPAK ","375,000","376,689",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,375,376.689
12,57443a2c-f268-431c-85ce-fce7a03d5325,Bot-Botch1,"Rotterdam, Botlek - Botlek Chemiehaven 1 ","310,000","310,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,310,310.5
13,39aecb73-f38e-4a6a-be6a-70b6f5371122,Botwg-Botmw,Botlekweg - Botlek Montrealweg ,"320,120","320,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,320.12,320.4
14,295ec32d-8654-4cad-a55d-0afcc71d4cd7,Bottha-Botsh,Botlek Theemsweg Aansl. - Botlek Seinehaven ,"250,100","250,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,250.1,250.9
15,c7abef5e-6ae4-4b1f-9cbd-53827b2b6c30,Zl-Lw,Zwolle - Leeuwarden ,"74,650","165,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,74.65,165.9
16,46d5cb29-3e0b-40e3-b366-554540eeaefa,Hea-Emn,Herfte Aansl. - Emmen ,"4,210","76,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,4.21,76.1
17,af46a07e-da01-4f8e-a0f9-dd19f53daa32,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,300","4,149",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.3,4.149
18,92d9fcdc-6120-46bb-bec9-3c70974c39b6,Zl-Wdn,Zwolle - Wierden ,"1,400","39,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.4,39.4
19,1a3775e2-68ad-4656-ab71-6d74752d63cc,Ah-Zl,Arnhem - Zwolle ,"0,300","72,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.3,72.2
