Ministerie;Leveranciers;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
AZ;7AM B.V.;;2;;2
AZ;ANWB B.V.;;;1;1
AZ;Athlon Car Lease Nederland B.V.;;;3;3
AZ;Bedrukken.nl B.V.;;1;;1
AZ;BMW Den Haag B.V.;;;1;1
AZ;Buitengoed Hagenhorst Exploitatie B.V.;;1;;1
AZ;FleetCor Technologieën B.V.;;;1;1
AZ;Gh Catering B.V.;;1;;1
AZ;Golden Tulip Hotel Central;;1;;1
AZ;Happy Meat B.V.;;1;;1
AZ;HR Via Care B.V.;;;2;2
AZ;HTM Specials B.V.;;;1;1
AZ;Kasteel Oud-Poelgeest B.V.;;1;;1
AZ;Leaseplan Nederland N.V.;;;2;2
AZ;Logeion;;1;;1
AZ;MaMa Kelly B.V.;;1;;1
AZ;Meeting Circle Maarssen;;1;;1
AZ;Mobiel Casino Nederland;;1;;1
AZ;Munckhof Regie;;;1;1
AZ;Nieuwe of Litteraire Sociëteit De Witte;;2;;2
AZ;Novotel Breda;;1;;1
AZ;Novotel Den Haag;;1;;1
AZ;Renée Broekmeulen Tekst & Training;;1;;1
AZ;Stichting de Idazaal;;1;;1
AZ;Stichting Internat. Perscentrum 'Nieuwspoort';;1;;1
AZ;'t Goude Hooft Exploitatie B.V.;;1;;1
AZ;Taverne Meer en Bosch B.V.;;1;;1
AZ;Taxi Centrale Blerick B.V.;;;1;1
AZ;Taxibedrijf Van der Wijst;;;1;1
AZ;Taxicentrale Den Haag;;;1;1
AZ;TeamChange Talentontwikkeling;;1;;1
AZ;Theater Diligentia;;2;;2
AZ;Theater in De Steeg;;1;;1
BZ;Athlon Car Lease Nederland B.V.;;;3;3
BZ;HR Via Care B.V.;;;2;2
BZ;Leaseplan Nederland N.V.;;;1;1
BZ;Mercedes-Benz Dealer Bedrijven B.V.;;;1;1
BZ;Munckhof Taxi B.V.;;;2;2
BZ;Niham Westland B.V.;;;1;1
BZ;Park-line B.V.;;;1;1
BZ;PDS Interseco B.V.;;;2;2
BZ;Schiphol Nederland B.V.;;;1;1
BZ;Schut-Copex B.V.;;;3;3
BZ;Stomerij Panda;;;1;1
BZ;Vlaardingse Taxicentrale B.V.;;;1;1
BZK;ABS Den Elzen Den Haag;;;1;1
BZK;anoniem;1;;2;2
BZK;ANWB B.V.;1;;;1
BZK;APCOA Parking Nederland B.V.;1;;;1
BZK;Ardea Auto Lisse;;;1;1
BZK;Athlon Car Lease;;;1;1
BZK;Athlon Car Lease Nederland B.V.;1;;5;5
BZK;Athlon Car Lease Rental Services B.V.;;;7;7
BZK;Auto Arena B.V.;;;1;1
BZK;Auto Lease Groningen B.V.;;;2;2
BZK;Auto-Ambacht Zoetermeer;;;1;1
BZK;Autobedrijf van den Udenhout B.V.;;;1;1
BZK;Autobedrijf van Veen B.V.;;;1;1
BZK;Autohaag Zeeuw BV;;;1;1
BZK;Autohaas Autoverhuur;;;1;1
BZK;Autohaas B.V.;;;1;1
BZK;Automobielbedrijf Blekkink Aalten B.V.;;;1;1
BZK;AVIS Autoverhuur B.V.;;;2;2
BZK;Bilderberg Hotel De Bovenste Molen;;1;;1
BZK;Bilderberg Hotel De Buunderkamp;;1;;1
BZK;Bilderberg Hotel 't Speulderbos;;1;;1
BZK;BMW Den Haag B.V.;;;4;4
BZK;Brasserie/Restaurant Babbilage;;2;;2
BZK;Brezan Automaterialen;;;1;1
BZK;Budget Rent a Car;1;;;1
